PartNumber	PartName	Nominal_size(ref)	Nominal_size(in)	t.p.i.	Pitch(in)	Threading(in)	Length(ref)	L_length(in)	F_width_across_flats_max(in)	F_width_across_flats_min(in)	G_width_across_corners_max(in)	G_width_across_corners_min(in)	H_head_height_max(in)	H_head_height_min(in)	K_neck_relief_dia_max(in)	K_neck_relief_dia_min(in)	S_neck_relief_fillet_radius(in)	U_neck_relief_width(in)	W_head_radius(in)	P_dog_and_half_dog_point_dia_max(in)	P_dog_and_half_dog_point_dia_min(in)	Q_point_length_dog_max(in)	Q_point_length_dog_min(in)	Material	Reference	Edition
ASME B18.6.2 SCREW 1 x 3.5 UNC STEEL SQUARE HEAD SET SCREW DOG POINT	ASME_B18_6_2_1_x_3.5_UNC_STEEL_SQUARE_HEAD_DOG_POINT_SET_SCREW	1	1.0	8	0.1250	3.375	3  1/2 	3.5	1.0	0.974	1.414	1.337	0.774	0.726	0.838	0.823	0.081	0.25	2.5	0.75	0.734	0.51	0.49	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 1 x 4 UNC STEEL SQUARE HEAD SET SCREW DOG POINT	ASME_B18_6_2_1_x_4_UNC_STEEL_SQUARE_HEAD_DOG_POINT_SET_SCREW	1	1.0	8	0.1250	3.875	4      	4.0	1.0	0.974	1.414	1.337	0.774	0.726	0.838	0.823	0.081	0.25	2.5	0.75	0.734	0.51	0.49	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 1 x 4.5 UNC STEEL SQUARE HEAD SET SCREW DOG POINT	ASME_B18_6_2_1_x_4.5_UNC_STEEL_SQUARE_HEAD_DOG_POINT_SET_SCREW	1	1.0	8	0.1250	4.375	4  1/2 	4.5	1.0	0.974	1.414	1.337	0.774	0.726	0.838	0.823	0.081	0.25	2.5	0.75	0.734	0.51	0.49	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 1 x 5 UNC STEEL SQUARE HEAD SET SCREW DOG POINT	ASME_B18_6_2_1_x_5_UNC_STEEL_SQUARE_HEAD_DOG_POINT_SET_SCREW	1	1.0	8	0.1250	4.875	5      	5.0	1.0	0.974	1.414	1.337	0.774	0.726	0.838	0.823	0.081	0.25	2.5	0.75	0.734	0.51	0.49	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 1 x 5.5 UNC STEEL SQUARE HEAD SET SCREW DOG POINT	ASME_B18_6_2_1_x_5.5_UNC_STEEL_SQUARE_HEAD_DOG_POINT_SET_SCREW	1	1.0	8	0.1250	5.375	5  1/2 	5.5	1.0	0.974	1.414	1.337	0.774	0.726	0.838	0.823	0.081	0.25	2.5	0.75	0.734	0.51	0.49	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 1 x 6 UNC STEEL SQUARE HEAD SET SCREW DOG POINT	ASME_B18_6_2_1_x_6_UNC_STEEL_SQUARE_HEAD_DOG_POINT_SET_SCREW	1	1.0	8	0.1250	5.875	6      	6.0	1.0	0.974	1.414	1.337	0.774	0.726	0.838	0.823	0.081	0.25	2.5	0.75	0.734	0.51	0.49	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 1 x 6.5 UNC STEEL SQUARE HEAD SET SCREW DOG POINT	ASME_B18_6_2_1_x_6.5_UNC_STEEL_SQUARE_HEAD_DOG_POINT_SET_SCREW	1	1.0	8	0.1250	6.375	6  1/2 	6.5	1.0	0.974	1.414	1.337	0.774	0.726	0.838	0.823	0.081	0.25	2.5	0.75	0.734	0.51	0.49	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 1 x 7 UNC STEEL SQUARE HEAD SET SCREW DOG POINT	ASME_B18_6_2_1_x_7_UNC_STEEL_SQUARE_HEAD_DOG_POINT_SET_SCREW	1	1.0	8	0.1250	6.875	7      	7.0	1.0	0.974	1.414	1.337	0.774	0.726	0.838	0.823	0.081	0.25	2.5	0.75	0.734	0.51	0.49	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 1_1/8 x 1.25 UNC STEEL SQUARE HEAD SET SCREW DOG POINT	ASME_B18_6_2_1_1/8_x_1.25_UNC_STEEL_SQUARE_HEAD_DOG_POINT_SET_SCREW	1_1/8	1.125	7	0.1429	1.107	1  1/4 	1.25	1.125	1.096	1.591	1.505	0.87	0.817	0.939	0.914	0.092	0.283	2.81	0.844	0.826	0.572	0.552	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 1_1/8 x 1.5 UNC STEEL SQUARE HEAD SET SCREW DOG POINT	ASME_B18_6_2_1_1/8_x_1.5_UNC_STEEL_SQUARE_HEAD_DOG_POINT_SET_SCREW	1_1/8	1.125	7	0.1429	1.357	1  1/2 	1.5	1.125	1.096	1.591	1.505	0.87	0.817	0.939	0.914	0.092	0.283	2.81	0.844	0.826	0.572	0.552	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 1_1/8 x 1.75 UNC STEEL SQUARE HEAD SET SCREW DOG POINT	ASME_B18_6_2_1_1/8_x_1.75_UNC_STEEL_SQUARE_HEAD_DOG_POINT_SET_SCREW	1_1/8	1.125	7	0.1429	1.607	1  3/4 	1.75	1.125	1.096	1.591	1.505	0.87	0.817	0.939	0.914	0.092	0.283	2.81	0.844	0.826	0.572	0.552	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 1_1/8 x 2 UNC STEEL SQUARE HEAD SET SCREW DOG POINT	ASME_B18_6_2_1_1/8_x_2_UNC_STEEL_SQUARE_HEAD_DOG_POINT_SET_SCREW	1_1/8	1.125	7	0.1429	1.857	2      	2.0	1.125	1.096	1.591	1.505	0.87	0.817	0.939	0.914	0.092	0.283	2.81	0.844	0.826	0.572	0.552	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 1_1/8 x 2.25 UNC STEEL SQUARE HEAD SET SCREW DOG POINT	ASME_B18_6_2_1_1/8_x_2.25_UNC_STEEL_SQUARE_HEAD_DOG_POINT_SET_SCREW	1_1/8	1.125	7	0.1429	2.107	2  1/4 	2.25	1.125	1.096	1.591	1.505	0.87	0.817	0.939	0.914	0.092	0.283	2.81	0.844	0.826	0.572	0.552	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 1_1/8 x 2.5 UNC STEEL SQUARE HEAD SET SCREW DOG POINT	ASME_B18_6_2_1_1/8_x_2.5_UNC_STEEL_SQUARE_HEAD_DOG_POINT_SET_SCREW	1_1/8	1.125	7	0.1429	2.357	2  1/2 	2.5	1.125	1.096	1.591	1.505	0.87	0.817	0.939	0.914	0.092	0.283	2.81	0.844	0.826	0.572	0.552	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 1_1/8 x 2.75 UNC STEEL SQUARE HEAD SET SCREW DOG POINT	ASME_B18_6_2_1_1/8_x_2.75_UNC_STEEL_SQUARE_HEAD_DOG_POINT_SET_SCREW	1_1/8	1.125	7	0.1429	2.607	2  3/4 	2.75	1.125	1.096	1.591	1.505	0.87	0.817	0.939	0.914	0.092	0.283	2.81	0.844	0.826	0.572	0.552	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 1_1/8 x 3 UNC STEEL SQUARE HEAD SET SCREW DOG POINT	ASME_B18_6_2_1_1/8_x_3_UNC_STEEL_SQUARE_HEAD_DOG_POINT_SET_SCREW	1_1/8	1.125	7	0.1429	2.857	3      	3.0	1.125	1.096	1.591	1.505	0.87	0.817	0.939	0.914	0.092	0.283	2.81	0.844	0.826	0.572	0.552	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 1_1/8 x 3.25 UNC STEEL SQUARE HEAD SET SCREW DOG POINT	ASME_B18_6_2_1_1/8_x_3.25_UNC_STEEL_SQUARE_HEAD_DOG_POINT_SET_SCREW	1_1/8	1.125	7	0.1429	3.107	3  1/4 	3.25	1.125	1.096	1.591	1.505	0.87	0.817	0.939	0.914	0.092	0.283	2.81	0.844	0.826	0.572	0.552	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 1_1/8 x 3.5 UNC STEEL SQUARE HEAD SET SCREW DOG POINT	ASME_B18_6_2_1_1/8_x_3.5_UNC_STEEL_SQUARE_HEAD_DOG_POINT_SET_SCREW	1_1/8	1.125	7	0.1429	3.357	3  1/2 	3.5	1.125	1.096	1.591	1.505	0.87	0.817	0.939	0.914	0.092	0.283	2.81	0.844	0.826	0.572	0.552	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 1_1/8 x 4 UNC STEEL SQUARE HEAD SET SCREW DOG POINT	ASME_B18_6_2_1_1/8_x_4_UNC_STEEL_SQUARE_HEAD_DOG_POINT_SET_SCREW	1_1/8	1.125	7	0.1429	3.857	4      	4.0	1.125	1.096	1.591	1.505	0.87	0.817	0.939	0.914	0.092	0.283	2.81	0.844	0.826	0.572	0.552	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 1_1/8 x 4.5 UNC STEEL SQUARE HEAD SET SCREW DOG POINT	ASME_B18_6_2_1_1/8_x_4.5_UNC_STEEL_SQUARE_HEAD_DOG_POINT_SET_SCREW	1_1/8	1.125	7	0.1429	4.357	4  1/2 	4.5	1.125	1.096	1.591	1.505	0.87	0.817	0.939	0.914	0.092	0.283	2.81	0.844	0.826	0.572	0.552	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 1_1/8 x 5 UNC STEEL SQUARE HEAD SET SCREW DOG POINT	ASME_B18_6_2_1_1/8_x_5_UNC_STEEL_SQUARE_HEAD_DOG_POINT_SET_SCREW	1_1/8	1.125	7	0.1429	4.857	5      	5.0	1.125	1.096	1.591	1.505	0.87	0.817	0.939	0.914	0.092	0.283	2.81	0.844	0.826	0.572	0.552	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 1_1/8 x 5.5 UNC STEEL SQUARE HEAD SET SCREW DOG POINT	ASME_B18_6_2_1_1/8_x_5.5_UNC_STEEL_SQUARE_HEAD_DOG_POINT_SET_SCREW	1_1/8	1.125	7	0.1429	5.357	5  1/2 	5.5	1.125	1.096	1.591	1.505	0.87	0.817	0.939	0.914	0.092	0.283	2.81	0.844	0.826	0.572	0.552	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 1_1/8 x 6 UNC STEEL SQUARE HEAD SET SCREW DOG POINT	ASME_B18_6_2_1_1/8_x_6_UNC_STEEL_SQUARE_HEAD_DOG_POINT_SET_SCREW	1_1/8	1.125	7	0.1429	5.857	6      	6.0	1.125	1.096	1.591	1.505	0.87	0.817	0.939	0.914	0.092	0.283	2.81	0.844	0.826	0.572	0.552	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 1_1/8 x 6.5 UNC STEEL SQUARE HEAD SET SCREW DOG POINT	ASME_B18_6_2_1_1/8_x_6.5_UNC_STEEL_SQUARE_HEAD_DOG_POINT_SET_SCREW	1_1/8	1.125	7	0.1429	6.357	6  1/2 	6.5	1.125	1.096	1.591	1.505	0.87	0.817	0.939	0.914	0.092	0.283	2.81	0.844	0.826	0.572	0.552	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 1_1/8 x 7 UNC STEEL SQUARE HEAD SET SCREW DOG POINT	ASME_B18_6_2_1_1/8_x_7_UNC_STEEL_SQUARE_HEAD_DOG_POINT_SET_SCREW	1_1/8	1.125	7	0.1429	6.857	7      	7.0	1.125	1.096	1.591	1.505	0.87	0.817	0.939	0.914	0.092	0.283	2.81	0.844	0.826	0.572	0.552	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 1_1/4 x 1.5 UNC STEEL SQUARE HEAD SET SCREW DOG POINT	ASME_B18_6_2_1_1/4_x_1.5_UNC_STEEL_SQUARE_HEAD_DOG_POINT_SET_SCREW	1_1/4	1.25	7	0.1429	1.357	1  1/2 	1.5	1.25	1.219	1.768	1.674	0.966	0.908	1.064	1.039	0.092	0.283	3.12	0.938	0.92	0.635	0.615	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 1_1/4 x 1.75 UNC STEEL SQUARE HEAD SET SCREW DOG POINT	ASME_B18_6_2_1_1/4_x_1.75_UNC_STEEL_SQUARE_HEAD_DOG_POINT_SET_SCREW	1_1/4	1.25	7	0.1429	1.607	1  3/4 	1.75	1.25	1.219	1.768	1.674	0.966	0.908	1.064	1.039	0.092	0.283	3.12	0.938	0.92	0.635	0.615	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 1_1/4 x 2 UNC STEEL SQUARE HEAD SET SCREW DOG POINT	ASME_B18_6_2_1_1/4_x_2_UNC_STEEL_SQUARE_HEAD_DOG_POINT_SET_SCREW	1_1/4	1.25	7	0.1429	1.857	2      	2.0	1.25	1.219	1.768	1.674	0.966	0.908	1.064	1.039	0.092	0.283	3.12	0.938	0.92	0.635	0.615	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 1_1/4 x 2.25 UNC STEEL SQUARE HEAD SET SCREW DOG POINT	ASME_B18_6_2_1_1/4_x_2.25_UNC_STEEL_SQUARE_HEAD_DOG_POINT_SET_SCREW	1_1/4	1.25	7	0.1429	2.107	2  1/4 	2.25	1.25	1.219	1.768	1.674	0.966	0.908	1.064	1.039	0.092	0.283	3.12	0.938	0.92	0.635	0.615	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 1_1/4 x 2.5 UNC STEEL SQUARE HEAD SET SCREW DOG POINT	ASME_B18_6_2_1_1/4_x_2.5_UNC_STEEL_SQUARE_HEAD_DOG_POINT_SET_SCREW	1_1/4	1.25	7	0.1429	2.357	2  1/2 	2.5	1.25	1.219	1.768	1.674	0.966	0.908	1.064	1.039	0.092	0.283	3.12	0.938	0.92	0.635	0.615	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 1_1/4 x 2.75 UNC STEEL SQUARE HEAD SET SCREW DOG POINT	ASME_B18_6_2_1_1/4_x_2.75_UNC_STEEL_SQUARE_HEAD_DOG_POINT_SET_SCREW	1_1/4	1.25	7	0.1429	2.607	2  3/4 	2.75	1.25	1.219	1.768	1.674	0.966	0.908	1.064	1.039	0.092	0.283	3.12	0.938	0.92	0.635	0.615	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 1_1/4 x 3 UNC STEEL SQUARE HEAD SET SCREW DOG POINT	ASME_B18_6_2_1_1/4_x_3_UNC_STEEL_SQUARE_HEAD_DOG_POINT_SET_SCREW	1_1/4	1.25	7	0.1429	2.857	3      	3.0	1.25	1.219	1.768	1.674	0.966	0.908	1.064	1.039	0.092	0.283	3.12	0.938	0.92	0.635	0.615	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 1_1/4 x 3.25 UNC STEEL SQUARE HEAD SET SCREW DOG POINT	ASME_B18_6_2_1_1/4_x_3.25_UNC_STEEL_SQUARE_HEAD_DOG_POINT_SET_SCREW	1_1/4	1.25	7	0.1429	3.107	3  1/4 	3.25	1.25	1.219	1.768	1.674	0.966	0.908	1.064	1.039	0.092	0.283	3.12	0.938	0.92	0.635	0.615	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 1_1/4 x 3.5 UNC STEEL SQUARE HEAD SET SCREW DOG POINT	ASME_B18_6_2_1_1/4_x_3.5_UNC_STEEL_SQUARE_HEAD_DOG_POINT_SET_SCREW	1_1/4	1.25	7	0.1429	3.357	3  1/2 	3.5	1.25	1.219	1.768	1.674	0.966	0.908	1.064	1.039	0.092	0.283	3.12	0.938	0.92	0.635	0.615	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 1_1/4 x 4 UNC STEEL SQUARE HEAD SET SCREW DOG POINT	ASME_B18_6_2_1_1/4_x_4_UNC_STEEL_SQUARE_HEAD_DOG_POINT_SET_SCREW	1_1/4	1.25	7	0.1429	3.857	4      	4.0	1.25	1.219	1.768	1.674	0.966	0.908	1.064	1.039	0.092	0.283	3.12	0.938	0.92	0.635	0.615	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 1_1/4 x 4.5 UNC STEEL SQUARE HEAD SET SCREW DOG POINT	ASME_B18_6_2_1_1/4_x_4.5_UNC_STEEL_SQUARE_HEAD_DOG_POINT_SET_SCREW	1_1/4	1.25	7	0.1429	4.357	4  1/2 	4.5	1.25	1.219	1.768	1.674	0.966	0.908	1.064	1.039	0.092	0.283	3.12	0.938	0.92	0.635	0.615	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 1_1/4 x 5 UNC STEEL SQUARE HEAD SET SCREW DOG POINT	ASME_B18_6_2_1_1/4_x_5_UNC_STEEL_SQUARE_HEAD_DOG_POINT_SET_SCREW	1_1/4	1.25	7	0.1429	4.857	5      	5.0	1.25	1.219	1.768	1.674	0.966	0.908	1.064	1.039	0.092	0.283	3.12	0.938	0.92	0.635	0.615	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 1_1/4 x 5.5 UNC STEEL SQUARE HEAD SET SCREW DOG POINT	ASME_B18_6_2_1_1/4_x_5.5_UNC_STEEL_SQUARE_HEAD_DOG_POINT_SET_SCREW	1_1/4	1.25	7	0.1429	5.357	5  1/2 	5.5	1.25	1.219	1.768	1.674	0.966	0.908	1.064	1.039	0.092	0.283	3.12	0.938	0.92	0.635	0.615	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 1_1/4 x 6 UNC STEEL SQUARE HEAD SET SCREW DOG POINT	ASME_B18_6_2_1_1/4_x_6_UNC_STEEL_SQUARE_HEAD_DOG_POINT_SET_SCREW	1_1/4	1.25	7	0.1429	5.857	6      	6.0	1.25	1.219	1.768	1.674	0.966	0.908	1.064	1.039	0.092	0.283	3.12	0.938	0.92	0.635	0.615	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 1_1/4 x 6.5 UNC STEEL SQUARE HEAD SET SCREW DOG POINT	ASME_B18_6_2_1_1/4_x_6.5_UNC_STEEL_SQUARE_HEAD_DOG_POINT_SET_SCREW	1_1/4	1.25	7	0.1429	6.357	6  1/2 	6.5	1.25	1.219	1.768	1.674	0.966	0.908	1.064	1.039	0.092	0.283	3.12	0.938	0.92	0.635	0.615	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 1_1/4 x 7 UNC STEEL SQUARE HEAD SET SCREW DOG POINT	ASME_B18_6_2_1_1/4_x_7_UNC_STEEL_SQUARE_HEAD_DOG_POINT_SET_SCREW	1_1/4	1.25	7	0.1429	6.857	7      	7.0	1.25	1.219	1.768	1.674	0.966	0.908	1.064	1.039	0.092	0.283	3.12	0.938	0.92	0.635	0.615	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 1_3/8 x 1.75 UNC STEEL SQUARE HEAD SET SCREW DOG POINT	ASME_B18_6_2_1_3/8_x_1.75_UNC_STEEL_SQUARE_HEAD_DOG_POINT_SET_SCREW	1_3/8	1.375	6	0.1667	1.583	1  3/4 	1.75	1.375	1.342	1.945	1.843	1.063	1.0	1.159	1.134	0.109	0.333	3.44	1.031	1.011	0.698	0.678	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 1_3/8 x 2 UNC STEEL SQUARE HEAD SET SCREW DOG POINT	ASME_B18_6_2_1_3/8_x_2_UNC_STEEL_SQUARE_HEAD_DOG_POINT_SET_SCREW	1_3/8	1.375	6	0.1667	1.833	2      	2.0	1.375	1.342	1.945	1.843	1.063	1.0	1.159	1.134	0.109	0.333	3.44	1.031	1.011	0.698	0.678	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 1_3/8 x 2.25 UNC STEEL SQUARE HEAD SET SCREW DOG POINT	ASME_B18_6_2_1_3/8_x_2.25_UNC_STEEL_SQUARE_HEAD_DOG_POINT_SET_SCREW	1_3/8	1.375	6	0.1667	2.083	2  1/4 	2.25	1.375	1.342	1.945	1.843	1.063	1.0	1.159	1.134	0.109	0.333	3.44	1.031	1.011	0.698	0.678	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 1_3/8 x 2.5 UNC STEEL SQUARE HEAD SET SCREW DOG POINT	ASME_B18_6_2_1_3/8_x_2.5_UNC_STEEL_SQUARE_HEAD_DOG_POINT_SET_SCREW	1_3/8	1.375	6	0.1667	2.333	2  1/2 	2.5	1.375	1.342	1.945	1.843	1.063	1.0	1.159	1.134	0.109	0.333	3.44	1.031	1.011	0.698	0.678	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 1_3/8 x 2.75 UNC STEEL SQUARE HEAD SET SCREW DOG POINT	ASME_B18_6_2_1_3/8_x_2.75_UNC_STEEL_SQUARE_HEAD_DOG_POINT_SET_SCREW	1_3/8	1.375	6	0.1667	2.583	2  3/4 	2.75	1.375	1.342	1.945	1.843	1.063	1.0	1.159	1.134	0.109	0.333	3.44	1.031	1.011	0.698	0.678	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 1_3/8 x 3 UNC STEEL SQUARE HEAD SET SCREW DOG POINT	ASME_B18_6_2_1_3/8_x_3_UNC_STEEL_SQUARE_HEAD_DOG_POINT_SET_SCREW	1_3/8	1.375	6	0.1667	2.833	3      	3.0	1.375	1.342	1.945	1.843	1.063	1.0	1.159	1.134	0.109	0.333	3.44	1.031	1.011	0.698	0.678	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 1_3/8 x 3.25 UNC STEEL SQUARE HEAD SET SCREW DOG POINT	ASME_B18_6_2_1_3/8_x_3.25_UNC_STEEL_SQUARE_HEAD_DOG_POINT_SET_SCREW	1_3/8	1.375	6	0.1667	3.083	3  1/4 	3.25	1.375	1.342	1.945	1.843	1.063	1.0	1.159	1.134	0.109	0.333	3.44	1.031	1.011	0.698	0.678	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 1_3/8 x 3.5 UNC STEEL SQUARE HEAD SET SCREW DOG POINT	ASME_B18_6_2_1_3/8_x_3.5_UNC_STEEL_SQUARE_HEAD_DOG_POINT_SET_SCREW	1_3/8	1.375	6	0.1667	3.333	3  1/2 	3.5	1.375	1.342	1.945	1.843	1.063	1.0	1.159	1.134	0.109	0.333	3.44	1.031	1.011	0.698	0.678	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 1_3/8 x 4 UNC STEEL SQUARE HEAD SET SCREW DOG POINT	ASME_B18_6_2_1_3/8_x_4_UNC_STEEL_SQUARE_HEAD_DOG_POINT_SET_SCREW	1_3/8	1.375	6	0.1667	3.833	4      	4.0	1.375	1.342	1.945	1.843	1.063	1.0	1.159	1.134	0.109	0.333	3.44	1.031	1.011	0.698	0.678	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 1_3/8 x 4.5 UNC STEEL SQUARE HEAD SET SCREW DOG POINT	ASME_B18_6_2_1_3/8_x_4.5_UNC_STEEL_SQUARE_HEAD_DOG_POINT_SET_SCREW	1_3/8	1.375	6	0.1667	4.333	4  1/2 	4.5	1.375	1.342	1.945	1.843	1.063	1.0	1.159	1.134	0.109	0.333	3.44	1.031	1.011	0.698	0.678	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 1_3/8 x 5 UNC STEEL SQUARE HEAD SET SCREW DOG POINT	ASME_B18_6_2_1_3/8_x_5_UNC_STEEL_SQUARE_HEAD_DOG_POINT_SET_SCREW	1_3/8	1.375	6	0.1667	4.833	5      	5.0	1.375	1.342	1.945	1.843	1.063	1.0	1.159	1.134	0.109	0.333	3.44	1.031	1.011	0.698	0.678	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 1_3/8 x 5.5 UNC STEEL SQUARE HEAD SET SCREW DOG POINT	ASME_B18_6_2_1_3/8_x_5.5_UNC_STEEL_SQUARE_HEAD_DOG_POINT_SET_SCREW	1_3/8	1.375	6	0.1667	5.333	5  1/2 	5.5	1.375	1.342	1.945	1.843	1.063	1.0	1.159	1.134	0.109	0.333	3.44	1.031	1.011	0.698	0.678	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 1_3/8 x 6 UNC STEEL SQUARE HEAD SET SCREW DOG POINT	ASME_B18_6_2_1_3/8_x_6_UNC_STEEL_SQUARE_HEAD_DOG_POINT_SET_SCREW	1_3/8	1.375	6	0.1667	5.833	6      	6.0	1.375	1.342	1.945	1.843	1.063	1.0	1.159	1.134	0.109	0.333	3.44	1.031	1.011	0.698	0.678	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 1_3/8 x 6.5 UNC STEEL SQUARE HEAD SET SCREW DOG POINT	ASME_B18_6_2_1_3/8_x_6.5_UNC_STEEL_SQUARE_HEAD_DOG_POINT_SET_SCREW	1_3/8	1.375	6	0.1667	6.333	6  1/2 	6.5	1.375	1.342	1.945	1.843	1.063	1.0	1.159	1.134	0.109	0.333	3.44	1.031	1.011	0.698	0.678	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 1_3/8 x 7 UNC STEEL SQUARE HEAD SET SCREW DOG POINT	ASME_B18_6_2_1_3/8_x_7_UNC_STEEL_SQUARE_HEAD_DOG_POINT_SET_SCREW	1_3/8	1.375	6	0.1667	6.833	7      	7.0	1.375	1.342	1.945	1.843	1.063	1.0	1.159	1.134	0.109	0.333	3.44	1.031	1.011	0.698	0.678	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 1_1/2 x 2 UNC STEEL SQUARE HEAD SET SCREW DOG POINT	ASME_B18_6_2_1_1/2_x_2_UNC_STEEL_SQUARE_HEAD_DOG_POINT_SET_SCREW	1_1/2	1.5	6	0.1667	1.833	2      	2.0	1.5	1.464	2.121	2.01	1.159	1.091	1.284	1.759	0.109	0.333	3.75	1.125	1.105	0.76	0.74	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 1_1/2 x 2.25 UNC STEEL SQUARE HEAD SET SCREW DOG POINT	ASME_B18_6_2_1_1/2_x_2.25_UNC_STEEL_SQUARE_HEAD_DOG_POINT_SET_SCREW	1_1/2	1.5	6	0.1667	2.083	2  1/4 	2.25	1.5	1.464	2.121	2.01	1.159	1.091	1.284	1.759	0.109	0.333	3.75	1.125	1.105	0.76	0.74	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 1_1/2 x 2.5 UNC STEEL SQUARE HEAD SET SCREW DOG POINT	ASME_B18_6_2_1_1/2_x_2.5_UNC_STEEL_SQUARE_HEAD_DOG_POINT_SET_SCREW	1_1/2	1.5	6	0.1667	2.333	2  1/2 	2.5	1.5	1.464	2.121	2.01	1.159	1.091	1.284	1.759	0.109	0.333	3.75	1.125	1.105	0.76	0.74	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 1_1/2 x 2.75 UNC STEEL SQUARE HEAD SET SCREW DOG POINT	ASME_B18_6_2_1_1/2_x_2.75_UNC_STEEL_SQUARE_HEAD_DOG_POINT_SET_SCREW	1_1/2	1.5	6	0.1667	2.583	2  3/4 	2.75	1.5	1.464	2.121	2.01	1.159	1.091	1.284	1.759	0.109	0.333	3.75	1.125	1.105	0.76	0.74	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 1_1/2 x 3 UNC STEEL SQUARE HEAD SET SCREW DOG POINT	ASME_B18_6_2_1_1/2_x_3_UNC_STEEL_SQUARE_HEAD_DOG_POINT_SET_SCREW	1_1/2	1.5	6	0.1667	2.833	3      	3.0	1.5	1.464	2.121	2.01	1.159	1.091	1.284	1.759	0.109	0.333	3.75	1.125	1.105	0.76	0.74	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 1_1/2 x 3.25 UNC STEEL SQUARE HEAD SET SCREW DOG POINT	ASME_B18_6_2_1_1/2_x_3.25_UNC_STEEL_SQUARE_HEAD_DOG_POINT_SET_SCREW	1_1/2	1.5	6	0.1667	3.083	3  1/4 	3.25	1.5	1.464	2.121	2.01	1.159	1.091	1.284	1.759	0.109	0.333	3.75	1.125	1.105	0.76	0.74	St	ASME B18.6.2	1998
