PartNumber	PartName	Nominal_size(ref)	Nominal_size(in)	t.p.i.	Pitch(in)	Threading(in)	threshold	FullyThreaded	MinimumThread	Length(ref)	L_Length(in)	A_width_across_flats_max(in)	A_width_across_flats_min(in)	W_across_corners_min(in)	H_head_height_max(in)	H_head_height_min(in)	B_washer_dia_max(in)	B_washer_dia_min(in)	U_washer_thickness_max(in)	U_washer_thickness_min(in)	F_protrusion_beyond_gaging_ring_min(in)	Material	Reference	Edition
ASME B18.6.3 SCREW No_12 X 0.875 PLAIN HEXAGON WASHER HEAD MACHINE	ASME_B18_6_3_No_12_X_0.875_UNC_STEEL_PLAIN_HEX_WASHER_HEAD_MACHINE_SCREW	No_12	0.216	24	0.0417	0.7917	2.0	Y	1.5	  7/8 	0.8750	0.312	0.305	0.34	0.155	0.139	0.432	0.398	0.039	0.022	0.083	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_12 X 1 PLAIN HEXAGON WASHER HEAD MACHINE	ASME_B18_6_3_No_12_X_1_UNC_STEEL_PLAIN_HEX_WASHER_HEAD_MACHINE_SCREW	No_12	0.216	24	0.0417	0.9167	2.0	Y	1.5	1      	1.0000	0.312	0.305	0.34	0.155	0.139	0.432	0.398	0.039	0.022	0.083	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_12 X 1.25 PLAIN HEXAGON WASHER HEAD MACHINE	ASME_B18_6_3_No_12_X_1.25_UNC_STEEL_PLAIN_HEX_WASHER_HEAD_MACHINE_SCREW	No_12	0.216	24	0.0417	1.1667	2.0	Y	1.5	1  1/4 	1.2500	0.312	0.305	0.34	0.155	0.139	0.432	0.398	0.039	0.022	0.083	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_12 X 1.5 PLAIN HEXAGON WASHER HEAD MACHINE	ASME_B18_6_3_No_12_X_1.5_UNC_STEEL_PLAIN_HEX_WASHER_HEAD_MACHINE_SCREW	No_12	0.216	24	0.0417	1.4167	2.0	Y	1.5	1  1/2 	1.5000	0.312	0.305	0.34	0.155	0.139	0.432	0.398	0.039	0.022	0.083	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_12 X 1.75 PLAIN HEXAGON WASHER HEAD MACHINE	ASME_B18_6_3_No_12_X_1.75_UNC_STEEL_PLAIN_HEX_WASHER_HEAD_MACHINE_SCREW	No_12	0.216	24	0.0417	1.6667	2.0	Y	1.5	1  3/4 	1.7500	0.312	0.305	0.34	0.155	0.139	0.432	0.398	0.039	0.022	0.083	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_12 X 2 PLAIN HEXAGON WASHER HEAD MACHINE	ASME_B18_6_3_No_12_X_2_UNC_STEEL_PLAIN_HEX_WASHER_HEAD_MACHINE_SCREW	No_12	0.216	24	0.0417	1.9167	2.0	Y	1.5	2      	2.0000	0.312	0.305	0.34	0.155	0.139	0.432	0.398	0.039	0.022	0.083	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_12 X 2.25 PLAIN HEXAGON WASHER HEAD MACHINE	ASME_B18_6_3_No_12_X_2.25_UNC_STEEL_PLAIN_HEX_WASHER_HEAD_MACHINE_SCREW	No_12	0.216	24	0.0417	1.5000	2.0	N	1.5	2  1/4 	2.2500	0.312	0.305	0.34	0.155	0.139	0.432	0.398	0.039	0.022	0.083	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_12 X 2.5 PLAIN HEXAGON WASHER HEAD MACHINE	ASME_B18_6_3_No_12_X_2.5_UNC_STEEL_PLAIN_HEX_WASHER_HEAD_MACHINE_SCREW	No_12	0.216	24	0.0417	1.5000	2.0	N	1.5	2  1/2 	2.5000	0.312	0.305	0.34	0.155	0.139	0.432	0.398	0.039	0.022	0.083	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_12 X 2.75 PLAIN HEXAGON WASHER HEAD MACHINE	ASME_B18_6_3_No_12_X_2.75_UNC_STEEL_PLAIN_HEX_WASHER_HEAD_MACHINE_SCREW	No_12	0.216	24	0.0417	1.5000	2.0	N	1.5	2  3/4 	2.7500	0.312	0.305	0.34	0.155	0.139	0.432	0.398	0.039	0.022	0.083	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_12 X 3 PLAIN HEXAGON WASHER HEAD MACHINE	ASME_B18_6_3_No_12_X_3_UNC_STEEL_PLAIN_HEX_WASHER_HEAD_MACHINE_SCREW	No_12	0.216	24	0.0417	1.5000	2.0	N	1.5	3      	3.0000	0.312	0.305	0.34	0.155	0.139	0.432	0.398	0.039	0.022	0.083	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW 1/4 X 0.25 PLAIN HEXAGON WASHER HEAD MACHINE	ASME_B18_6_3_1/4_X_0.25_UNC_STEEL_PLAIN_HEX_WASHER_HEAD_MACHINE_SCREW	1/4	0.25	20	0.0500	0.2000	2.0	Y	1.5	  1/4 	0.2500	0.375	0.367	0.409	0.19	0.172	0.52	0.48	0.05	0.03	0.103	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW 1/4 X 0.3125 PLAIN HEXAGON WASHER HEAD MACHINE	ASME_B18_6_3_1/4_X_0.3125_UNC_STEEL_PLAIN_HEX_WASHER_HEAD_MACHINE_SCREW	1/4	0.25	20	0.0500	0.2625	2.0	Y	1.5	  5/16	0.3125	0.375	0.367	0.409	0.19	0.172	0.52	0.48	0.05	0.03	0.103	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW 1/4 X 0.375 PLAIN HEXAGON WASHER HEAD MACHINE	ASME_B18_6_3_1/4_X_0.375_UNC_STEEL_PLAIN_HEX_WASHER_HEAD_MACHINE_SCREW	1/4	0.25	20	0.0500	0.3250	2.0	Y	1.5	  3/8 	0.3750	0.375	0.367	0.409	0.19	0.172	0.52	0.48	0.05	0.03	0.103	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW 1/4 X 0.4375 PLAIN HEXAGON WASHER HEAD MACHINE	ASME_B18_6_3_1/4_X_0.4375_UNC_STEEL_PLAIN_HEX_WASHER_HEAD_MACHINE_SCREW	1/4	0.25	20	0.0500	0.3875	2.0	Y	1.5	  7/16	0.4375	0.375	0.367	0.409	0.19	0.172	0.52	0.48	0.05	0.03	0.103	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW 1/4 X 0.5 PLAIN HEXAGON WASHER HEAD MACHINE	ASME_B18_6_3_1/4_X_0.5_UNC_STEEL_PLAIN_HEX_WASHER_HEAD_MACHINE_SCREW	1/4	0.25	20	0.0500	0.4500	2.0	Y	1.5	  1/2 	0.5000	0.375	0.367	0.409	0.19	0.172	0.52	0.48	0.05	0.03	0.103	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW 1/4 X 0.5625 PLAIN HEXAGON WASHER HEAD MACHINE	ASME_B18_6_3_1/4_X_0.5625_UNC_STEEL_PLAIN_HEX_WASHER_HEAD_MACHINE_SCREW	1/4	0.25	20	0.0500	0.5125	2.0	Y	1.5	  9/16	0.5625	0.375	0.367	0.409	0.19	0.172	0.52	0.48	0.05	0.03	0.103	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW 1/4 X 0.625 PLAIN HEXAGON WASHER HEAD MACHINE	ASME_B18_6_3_1/4_X_0.625_UNC_STEEL_PLAIN_HEX_WASHER_HEAD_MACHINE_SCREW	1/4	0.25	20	0.0500	0.5750	2.0	Y	1.5	  5/8 	0.6250	0.375	0.367	0.409	0.19	0.172	0.52	0.48	0.05	0.03	0.103	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW 1/4 X 0.75 PLAIN HEXAGON WASHER HEAD MACHINE	ASME_B18_6_3_1/4_X_0.75_UNC_STEEL_PLAIN_HEX_WASHER_HEAD_MACHINE_SCREW	1/4	0.25	20	0.0500	0.7000	2.0	Y	1.5	  3/4 	0.7500	0.375	0.367	0.409	0.19	0.172	0.52	0.48	0.05	0.03	0.103	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW 1/4 X 0.875 PLAIN HEXAGON WASHER HEAD MACHINE	ASME_B18_6_3_1/4_X_0.875_UNC_STEEL_PLAIN_HEX_WASHER_HEAD_MACHINE_SCREW	1/4	0.25	20	0.0500	0.7750	2.0	Y	1.5	  7/8 	0.8750	0.375	0.367	0.409	0.19	0.172	0.52	0.48	0.05	0.03	0.103	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW 1/4 X 1 PLAIN HEXAGON WASHER HEAD MACHINE	ASME_B18_6_3_1/4_X_1_UNC_STEEL_PLAIN_HEX_WASHER_HEAD_MACHINE_SCREW	1/4	0.25	20	0.0500	0.9000	2.0	Y	1.5	1      	1.0000	0.375	0.367	0.409	0.19	0.172	0.52	0.48	0.05	0.03	0.103	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW 1/4 X 1.25 PLAIN HEXAGON WASHER HEAD MACHINE	ASME_B18_6_3_1/4_X_1.25_UNC_STEEL_PLAIN_HEX_WASHER_HEAD_MACHINE_SCREW	1/4	0.25	20	0.0500	1.1500	2.0	Y	1.5	1  1/4 	1.2500	0.375	0.367	0.409	0.19	0.172	0.52	0.48	0.05	0.03	0.103	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW 1/4 X 1.5 PLAIN HEXAGON WASHER HEAD MACHINE	ASME_B18_6_3_1/4_X_1.5_UNC_STEEL_PLAIN_HEX_WASHER_HEAD_MACHINE_SCREW	1/4	0.25	20	0.0500	1.4000	2.0	Y	1.5	1  1/2 	1.5000	0.375	0.367	0.409	0.19	0.172	0.52	0.48	0.05	0.03	0.103	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW 1/4 X 1.75 PLAIN HEXAGON WASHER HEAD MACHINE	ASME_B18_6_3_1/4_X_1.75_UNC_STEEL_PLAIN_HEX_WASHER_HEAD_MACHINE_SCREW	1/4	0.25	20	0.0500	1.6500	2.0	Y	1.5	1  3/4 	1.7500	0.375	0.367	0.409	0.19	0.172	0.52	0.48	0.05	0.03	0.103	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW 1/4 X 2 PLAIN HEXAGON WASHER HEAD MACHINE	ASME_B18_6_3_1/4_X_2_UNC_STEEL_PLAIN_HEX_WASHER_HEAD_MACHINE_SCREW	1/4	0.25	20	0.0500	1.9000	2.0	Y	1.5	2      	2.0000	0.375	0.367	0.409	0.19	0.172	0.52	0.48	0.05	0.03	0.103	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW 1/4 X 2.25 PLAIN HEXAGON WASHER HEAD MACHINE	ASME_B18_6_3_1/4_X_2.25_UNC_STEEL_PLAIN_HEX_WASHER_HEAD_MACHINE_SCREW	1/4	0.25	20	0.0500	1.5000	2.0	N	1.5	2  1/4 	2.2500	0.375	0.367	0.409	0.19	0.172	0.52	0.48	0.05	0.03	0.103	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW 1/4 X 2.5 PLAIN HEXAGON WASHER HEAD MACHINE	ASME_B18_6_3_1/4_X_2.5_UNC_STEEL_PLAIN_HEX_WASHER_HEAD_MACHINE_SCREW	1/4	0.25	20	0.0500	1.5000	2.0	N	1.5	2  1/2 	2.5000	0.375	0.367	0.409	0.19	0.172	0.52	0.48	0.05	0.03	0.103	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW 1/4 X 2.75 PLAIN HEXAGON WASHER HEAD MACHINE	ASME_B18_6_3_1/4_X_2.75_UNC_STEEL_PLAIN_HEX_WASHER_HEAD_MACHINE_SCREW	1/4	0.25	20	0.0500	1.5000	2.0	N	1.5	2  3/4 	2.7500	0.375	0.367	0.409	0.19	0.172	0.52	0.48	0.05	0.03	0.103	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW 1/4 X 3 PLAIN HEXAGON WASHER HEAD MACHINE	ASME_B18_6_3_1/4_X_3_UNC_STEEL_PLAIN_HEX_WASHER_HEAD_MACHINE_SCREW	1/4	0.25	20	0.0500	1.5000	2.0	N	1.5	3      	3.0000	0.375	0.367	0.409	0.19	0.172	0.52	0.48	0.05	0.03	0.103	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW 1/4 X 3.25 PLAIN HEXAGON WASHER HEAD MACHINE	ASME_B18_6_3_1/4_X_3.25_UNC_STEEL_PLAIN_HEX_WASHER_HEAD_MACHINE_SCREW	1/4	0.25	20	0.0500	1.5000	2.0	N	1.5	3  1/4 	3.2500	0.375	0.367	0.409	0.19	0.172	0.52	0.48	0.05	0.03	0.103	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW 1/4 X 3.5 PLAIN HEXAGON WASHER HEAD MACHINE	ASME_B18_6_3_1/4_X_3.5_UNC_STEEL_PLAIN_HEX_WASHER_HEAD_MACHINE_SCREW	1/4	0.25	20	0.0500	1.5000	2.0	N	1.5	3  1/2 	3.5000	0.375	0.367	0.409	0.19	0.172	0.52	0.48	0.05	0.03	0.103	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW 1/4 X 4 PLAIN HEXAGON WASHER HEAD MACHINE	ASME_B18_6_3_1/4_X_4_UNC_STEEL_PLAIN_HEX_WASHER_HEAD_MACHINE_SCREW	1/4	0.25	20	0.0500	1.5000	2.0	N	1.5	4      	4.0000	0.375	0.367	0.409	0.19	0.172	0.52	0.48	0.05	0.03	0.103	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW 1/4 X 4.5 PLAIN HEXAGON WASHER HEAD MACHINE	ASME_B18_6_3_1/4_X_4.5_UNC_STEEL_PLAIN_HEX_WASHER_HEAD_MACHINE_SCREW	1/4	0.25	20	0.0500	1.5000	2.0	N	1.5	4  1/2 	4.5000	0.375	0.367	0.409	0.19	0.172	0.52	0.48	0.05	0.03	0.103	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW 1/4 X 5 PLAIN HEXAGON WASHER HEAD MACHINE	ASME_B18_6_3_1/4_X_5_UNC_STEEL_PLAIN_HEX_WASHER_HEAD_MACHINE_SCREW	1/4	0.25	20	0.0500	1.5000	2.0	N	1.5	5      	5.0000	0.375	0.367	0.409	0.19	0.172	0.52	0.48	0.05	0.03	0.103	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW 5/16 X 0.375 PLAIN HEXAGON WASHER HEAD MACHINE	ASME_B18_6_3_5/16_X_0.375_UNC_STEEL_PLAIN_HEX_WASHER_HEAD_MACHINE_SCREW	5/16	0.313	18	0.0556	0.3194	2.0	Y	1.5	  3/8 	0.3750	0.5	0.489	0.545	0.23	0.208	0.676	0.624	0.055	0.035	0.125	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW 5/16 X 0.4375 PLAIN HEXAGON WASHER HEAD MACHINE	ASME_B18_6_3_5/16_X_0.4375_UNC_STEEL_PLAIN_HEX_WASHER_HEAD_MACHINE_SCREW	5/16	0.313	18	0.0556	0.3819	2.0	Y	1.5	  7/16	0.4375	0.5	0.489	0.545	0.23	0.208	0.676	0.624	0.055	0.035	0.125	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW 5/16 X 0.5 PLAIN HEXAGON WASHER HEAD MACHINE	ASME_B18_6_3_5/16_X_0.5_UNC_STEEL_PLAIN_HEX_WASHER_HEAD_MACHINE_SCREW	5/16	0.313	18	0.0556	0.4444	2.0	Y	1.5	  1/2 	0.5000	0.5	0.489	0.545	0.23	0.208	0.676	0.624	0.055	0.035	0.125	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW 5/16 X 0.5625 PLAIN HEXAGON WASHER HEAD MACHINE	ASME_B18_6_3_5/16_X_0.5625_UNC_STEEL_PLAIN_HEX_WASHER_HEAD_MACHINE_SCREW	5/16	0.313	18	0.0556	0.5069	2.0	Y	1.5	  9/16	0.5625	0.5	0.489	0.545	0.23	0.208	0.676	0.624	0.055	0.035	0.125	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW 5/16 X 0.625 PLAIN HEXAGON WASHER HEAD MACHINE	ASME_B18_6_3_5/16_X_0.625_UNC_STEEL_PLAIN_HEX_WASHER_HEAD_MACHINE_SCREW	5/16	0.313	18	0.0556	0.5694	2.0	Y	1.5	  5/8 	0.6250	0.5	0.489	0.545	0.23	0.208	0.676	0.624	0.055	0.035	0.125	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW 5/16 X 0.75 PLAIN HEXAGON WASHER HEAD MACHINE	ASME_B18_6_3_5/16_X_0.75_UNC_STEEL_PLAIN_HEX_WASHER_HEAD_MACHINE_SCREW	5/16	0.313	18	0.0556	0.6944	2.0	Y	1.5	  3/4 	0.7500	0.5	0.489	0.545	0.23	0.208	0.676	0.624	0.055	0.035	0.125	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW 5/16 X 0.875 PLAIN HEXAGON WASHER HEAD MACHINE	ASME_B18_6_3_5/16_X_0.875_UNC_STEEL_PLAIN_HEX_WASHER_HEAD_MACHINE_SCREW	5/16	0.313	18	0.0556	0.8194	2.0	Y	1.5	  7/8 	0.8750	0.5	0.489	0.545	0.23	0.208	0.676	0.624	0.055	0.035	0.125	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW 5/16 X 1 PLAIN HEXAGON WASHER HEAD MACHINE	ASME_B18_6_3_5/16_X_1_UNC_STEEL_PLAIN_HEX_WASHER_HEAD_MACHINE_SCREW	5/16	0.313	18	0.0556	0.8889	2.0	Y	1.5	1      	1.0000	0.5	0.489	0.545	0.23	0.208	0.676	0.624	0.055	0.035	0.125	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW 5/16 X 1.25 PLAIN HEXAGON WASHER HEAD MACHINE	ASME_B18_6_3_5/16_X_1.25_UNC_STEEL_PLAIN_HEX_WASHER_HEAD_MACHINE_SCREW	5/16	0.313	18	0.0556	1.1389	2.0	Y	1.5	1  1/4 	1.2500	0.5	0.489	0.545	0.23	0.208	0.676	0.624	0.055	0.035	0.125	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW 5/16 X 1.5 PLAIN HEXAGON WASHER HEAD MACHINE	ASME_B18_6_3_5/16_X_1.5_UNC_STEEL_PLAIN_HEX_WASHER_HEAD_MACHINE_SCREW	5/16	0.313	18	0.0556	1.3889	2.0	Y	1.5	1  1/2 	1.5000	0.5	0.489	0.545	0.23	0.208	0.676	0.624	0.055	0.035	0.125	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW 5/16 X 1.75 PLAIN HEXAGON WASHER HEAD MACHINE	ASME_B18_6_3_5/16_X_1.75_UNC_STEEL_PLAIN_HEX_WASHER_HEAD_MACHINE_SCREW	5/16	0.313	18	0.0556	1.6389	2.0	Y	1.5	1  3/4 	1.7500	0.5	0.489	0.545	0.23	0.208	0.676	0.624	0.055	0.035	0.125	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW 5/16 X 2 PLAIN HEXAGON WASHER HEAD MACHINE	ASME_B18_6_3_5/16_X_2_UNC_STEEL_PLAIN_HEX_WASHER_HEAD_MACHINE_SCREW	5/16	0.313	18	0.0556	1.8889	2.0	Y	1.5	2      	2.0000	0.5	0.489	0.545	0.23	0.208	0.676	0.624	0.055	0.035	0.125	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW 5/16 X 2.25 PLAIN HEXAGON WASHER HEAD MACHINE	ASME_B18_6_3_5/16_X_2.25_UNC_STEEL_PLAIN_HEX_WASHER_HEAD_MACHINE_SCREW	5/16	0.313	18	0.0556	1.5000	2.0	N	1.5	2  1/4 	2.2500	0.5	0.489	0.545	0.23	0.208	0.676	0.624	0.055	0.035	0.125	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW 5/16 X 2.5 PLAIN HEXAGON WASHER HEAD MACHINE	ASME_B18_6_3_5/16_X_2.5_UNC_STEEL_PLAIN_HEX_WASHER_HEAD_MACHINE_SCREW	5/16	0.313	18	0.0556	1.5000	2.0	N	1.5	2  1/2 	2.5000	0.5	0.489	0.545	0.23	0.208	0.676	0.624	0.055	0.035	0.125	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW 5/16 X 2.75 PLAIN HEXAGON WASHER HEAD MACHINE	ASME_B18_6_3_5/16_X_2.75_UNC_STEEL_PLAIN_HEX_WASHER_HEAD_MACHINE_SCREW	5/16	0.313	18	0.0556	1.5000	2.0	N	1.5	2  3/4 	2.7500	0.5	0.489	0.545	0.23	0.208	0.676	0.624	0.055	0.035	0.125	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW 5/16 X 3 PLAIN HEXAGON WASHER HEAD MACHINE	ASME_B18_6_3_5/16_X_3_UNC_STEEL_PLAIN_HEX_WASHER_HEAD_MACHINE_SCREW	5/16	0.313	18	0.0556	1.5000	2.0	N	1.5	3      	3.0000	0.5	0.489	0.545	0.23	0.208	0.676	0.624	0.055	0.035	0.125	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW 5/16 X 3.25 PLAIN HEXAGON WASHER HEAD MACHINE	ASME_B18_6_3_5/16_X_3.25_UNC_STEEL_PLAIN_HEX_WASHER_HEAD_MACHINE_SCREW	5/16	0.313	18	0.0556	1.5000	2.0	N	1.5	3  1/4 	3.2500	0.5	0.489	0.545	0.23	0.208	0.676	0.624	0.055	0.035	0.125	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW 5/16 X 3.5 PLAIN HEXAGON WASHER HEAD MACHINE	ASME_B18_6_3_5/16_X_3.5_UNC_STEEL_PLAIN_HEX_WASHER_HEAD_MACHINE_SCREW	5/16	0.313	18	0.0556	1.5000	2.0	N	1.5	3  1/2 	3.5000	0.5	0.489	0.545	0.23	0.208	0.676	0.624	0.055	0.035	0.125	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW 5/16 X 4 PLAIN HEXAGON WASHER HEAD MACHINE	ASME_B18_6_3_5/16_X_4_UNC_STEEL_PLAIN_HEX_WASHER_HEAD_MACHINE_SCREW	5/16	0.313	18	0.0556	1.5000	2.0	N	1.5	4      	4.0000	0.5	0.489	0.545	0.23	0.208	0.676	0.624	0.055	0.035	0.125	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW 5/16 X 4.5 PLAIN HEXAGON WASHER HEAD MACHINE	ASME_B18_6_3_5/16_X_4.5_UNC_STEEL_PLAIN_HEX_WASHER_HEAD_MACHINE_SCREW	5/16	0.313	18	0.0556	1.5000	2.0	N	1.5	4  1/2 	4.5000	0.5	0.489	0.545	0.23	0.208	0.676	0.624	0.055	0.035	0.125	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW 5/16 X 5 PLAIN HEXAGON WASHER HEAD MACHINE	ASME_B18_6_3_5/16_X_5_UNC_STEEL_PLAIN_HEX_WASHER_HEAD_MACHINE_SCREW	5/16	0.313	18	0.0556	1.5000	2.0	N	1.5	5      	5.0000	0.5	0.489	0.545	0.23	0.208	0.676	0.624	0.055	0.035	0.125	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW 3/8 X 0.375 PLAIN HEXAGON WASHER HEAD MACHINE	ASME_B18_6_3_3/8_X_0.375_UNC_STEEL_PLAIN_HEX_WASHER_HEAD_MACHINE_SCREW	3/8	0.375	16	0.0625	0.3125	2.0	Y	1.5	  3/8 	0.3750	0.562	0.551	0.614	0.295	0.27	0.78	0.72	0.063	0.037	0.162	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW 3/8 X 0.4375 PLAIN HEXAGON WASHER HEAD MACHINE	ASME_B18_6_3_3/8_X_0.4375_UNC_STEEL_PLAIN_HEX_WASHER_HEAD_MACHINE_SCREW	3/8	0.375	16	0.0625	0.3750	2.0	Y	1.5	  7/16	0.4375	0.562	0.551	0.614	0.295	0.27	0.78	0.72	0.063	0.037	0.162	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW 3/8 X 0.5 PLAIN HEXAGON WASHER HEAD MACHINE	ASME_B18_6_3_3/8_X_0.5_UNC_STEEL_PLAIN_HEX_WASHER_HEAD_MACHINE_SCREW	3/8	0.375	16	0.0625	0.4375	2.0	Y	1.5	  1/2 	0.5000	0.562	0.551	0.614	0.295	0.27	0.78	0.72	0.063	0.037	0.162	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW 3/8 X 0.5625 PLAIN HEXAGON WASHER HEAD MACHINE	ASME_B18_6_3_3/8_X_0.5625_UNC_STEEL_PLAIN_HEX_WASHER_HEAD_MACHINE_SCREW	3/8	0.375	16	0.0625	0.5000	2.0	Y	1.5	  9/16	0.5625	0.562	0.551	0.614	0.295	0.27	0.78	0.72	0.063	0.037	0.162	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW 3/8 X 0.625 PLAIN HEXAGON WASHER HEAD MACHINE	ASME_B18_6_3_3/8_X_0.625_UNC_STEEL_PLAIN_HEX_WASHER_HEAD_MACHINE_SCREW	3/8	0.375	16	0.0625	0.5625	2.0	Y	1.5	  5/8 	0.6250	0.562	0.551	0.614	0.295	0.27	0.78	0.72	0.063	0.037	0.162	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW 3/8 X 0.75 PLAIN HEXAGON WASHER HEAD MACHINE	ASME_B18_6_3_3/8_X_0.75_UNC_STEEL_PLAIN_HEX_WASHER_HEAD_MACHINE_SCREW	3/8	0.375	16	0.0625	0.6875	2.0	Y	1.5	  3/4 	0.7500	0.562	0.551	0.614	0.295	0.27	0.78	0.72	0.063	0.037	0.162	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW 3/8 X 0.875 PLAIN HEXAGON WASHER HEAD MACHINE	ASME_B18_6_3_3/8_X_0.875_UNC_STEEL_PLAIN_HEX_WASHER_HEAD_MACHINE_SCREW	3/8	0.375	16	0.0625	0.8125	2.0	Y	1.5	  7/8 	0.8750	0.562	0.551	0.614	0.295	0.27	0.78	0.72	0.063	0.037	0.162	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW 3/8 X 1 PLAIN HEXAGON WASHER HEAD MACHINE	ASME_B18_6_3_3/8_X_1_UNC_STEEL_PLAIN_HEX_WASHER_HEAD_MACHINE_SCREW	3/8	0.375	16	0.0625	0.9375	2.0	Y	1.5	1      	1.0000	0.562	0.551	0.614	0.295	0.27	0.78	0.72	0.063	0.037	0.162	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW 3/8 X 1.25 PLAIN HEXAGON WASHER HEAD MACHINE	ASME_B18_6_3_3/8_X_1.25_UNC_STEEL_PLAIN_HEX_WASHER_HEAD_MACHINE_SCREW	3/8	0.375	16	0.0625	1.1250	2.0	Y	1.5	1  1/4 	1.2500	0.562	0.551	0.614	0.295	0.27	0.78	0.72	0.063	0.037	0.162	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW 3/8 X 1.5 PLAIN HEXAGON WASHER HEAD MACHINE	ASME_B18_6_3_3/8_X_1.5_UNC_STEEL_PLAIN_HEX_WASHER_HEAD_MACHINE_SCREW	3/8	0.375	16	0.0625	1.3750	2.0	Y	1.5	1  1/2 	1.5000	0.562	0.551	0.614	0.295	0.27	0.78	0.72	0.063	0.037	0.162	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW 3/8 X 1.75 PLAIN HEXAGON WASHER HEAD MACHINE	ASME_B18_6_3_3/8_X_1.75_UNC_STEEL_PLAIN_HEX_WASHER_HEAD_MACHINE_SCREW	3/8	0.375	16	0.0625	1.6250	2.0	Y	1.5	1  3/4 	1.7500	0.562	0.551	0.614	0.295	0.27	0.78	0.72	0.063	0.037	0.162	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW 3/8 X 2 PLAIN HEXAGON WASHER HEAD MACHINE	ASME_B18_6_3_3/8_X_2_UNC_STEEL_PLAIN_HEX_WASHER_HEAD_MACHINE_SCREW	3/8	0.375	16	0.0625	1.8750	2.0	Y	1.5	2      	2.0000	0.562	0.551	0.614	0.295	0.27	0.78	0.72	0.063	0.037	0.162	St	ASME B18.6.3	1998
