PartNumber	PartName	Pin_size(ref)	Basic_pin_dia(in)	A_pin_dia(in)	Length(ref)	L_length(in)	C_chamfer_length(in)	Material	Reference	Edition
ASME B18.8.2 PIN 7/16 x 3/4 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_7/16_x_3/4_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	7/16	0.438	0.438	3/4	0.75	0.04	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 7/16 x 13/16 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_7/16_x_13/16_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	7/16	0.438	0.438	13/16	0.813	0.04	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 7/16 x 7/8 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_7/16_x_7/8_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	7/16	0.438	0.438	7/8	0.875	0.04	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 7/16 x 15/16 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_7/16_x_15/16_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	7/16	0.438	0.438	15/16	0.938	0.04	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 7/16 x 1 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_7/16_x_1_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	7/16	0.438	0.438	1	1.0	0.04	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 7/16 x 1_1/8 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_7/16_x_1_1/8_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	7/16	0.438	0.438	1_1/8	1.125	0.04	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 7/16 x 1_1/4 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_7/16_x_1_1/4_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	7/16	0.438	0.438	1_1/4	1.25	0.04	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 7/16 x 1_3/8 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_7/16_x_1_3/8_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	7/16	0.438	0.438	1_3/8	1.375	0.04	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 7/16 x 1_1/2 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_7/16_x_1_1/2_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	7/16	0.438	0.438	1_1/2	1.5	0.04	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 7/16 x 1_3/4 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_7/16_x_1_3/4_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	7/16	0.438	0.438	1_3/4	1.75	0.04	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 7/16 x 2 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_7/16_x_2_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	7/16	0.438	0.438	2	2.0	0.04	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 7/16 x 2_1/4 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_7/16_x_2_1/4_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	7/16	0.438	0.438	2_1/4	2.25	0.04	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 7/16 x 2_1/2 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_7/16_x_2_1/2_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	7/16	0.438	0.438	2_1/2	2.5	0.04	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 1/2 x 1/2 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_1/2_x_1/2_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	1/2	0.5	0.5	1/2	0.5	0.04	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 1/2 x 5/8 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_1/2_x_5/8_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	1/2	0.5	0.5	5/8	0.625	0.04	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 1/2 x 3/4 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_1/2_x_3/4_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	1/2	0.5	0.5	3/4	0.75	0.04	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 1/2 x 7/8 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_1/2_x_7/8_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	1/2	0.5	0.5	7/8	0.875	0.04	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 1/2 x 1 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_1/2_x_1_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	1/2	0.5	0.5	1	1.0	0.04	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 1/2 x 1_1/8 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_1/2_x_1_1/8_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	1/2	0.5	0.5	1_1/8	1.125	0.04	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 1/2 x 1_1/4 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_1/2_x_1_1/4_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	1/2	0.5	0.5	1_1/4	1.25	0.04	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 1/2 x 1_3/8 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_1/2_x_1_3/8_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	1/2	0.5	0.5	1_3/8	1.375	0.04	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 1/2 x 1_1/2 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_1/2_x_1_1/2_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	1/2	0.5	0.5	1_1/2	1.5	0.04	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 1/2 x 1_3/4 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_1/2_x_1_3/4_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	1/2	0.5	0.5	1_3/4	1.75	0.04	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 1/2 x 2 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_1/2_x_2_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	1/2	0.5	0.5	2	2.0	0.04	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 1/2 x 2_1/4 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_1/2_x_2_1/4_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	1/2	0.5	0.5	2_1/4	2.25	0.04	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 1/2 x 2_1/2 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_1/2_x_2_1/2_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	1/2	0.5	0.5	2_1/2	2.5	0.04	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 1/2 x 3 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_1/2_x_3_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	1/2	0.5	0.5	3	3.0	0.04	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 5/8 x 5/8 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_5/8_x_5/8_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	5/8	0.625	0.625	5/8	0.625	0.055	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 5/8 x 3/4 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_5/8_x_3/4_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	5/8	0.625	0.625	3/4	0.75	0.055	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 5/8 x 7/8 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_5/8_x_7/8_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	5/8	0.625	0.625	7/8	0.875	0.055	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 5/8 x 1 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_5/8_x_1_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	5/8	0.625	0.625	1	1.0	0.055	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 5/8 x 1_1/8 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_5/8_x_1_1/8_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	5/8	0.625	0.625	1_1/8	1.125	0.055	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 5/8 x 1_1/4 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_5/8_x_1_1/4_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	5/8	0.625	0.625	1_1/4	1.25	0.055	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 5/8 x 1_3/8 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_5/8_x_1_3/8_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	5/8	0.625	0.625	1_3/8	1.375	0.055	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 5/8 x 1_1/2 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_5/8_x_1_1/2_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	5/8	0.625	0.625	1_1/2	1.5	0.055	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 5/8 x 1_3/4 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_5/8_x_1_3/4_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	5/8	0.625	0.625	1_3/4	1.75	0.055	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 5/8 x 2 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_5/8_x_2_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	5/8	0.625	0.625	2	2.0	0.055	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 5/8 x 2_1/2 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_5/8_x_2_1/2_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	5/8	0.625	0.625	2_1/2	2.5	0.055	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 5/8 x 3 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_5/8_x_3_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	5/8	0.625	0.625	3	3.0	0.055	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 5/8 x 3_1/2 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_5/8_x_3_1/2_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	5/8	0.625	0.625	3_1/2	3.5	0.055	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 5/8 x 4 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_5/8_x_4_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	5/8	0.625	0.625	4	4.0	0.055	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 3/4 x 3/4 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_3/4_x_3/4_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	3/4	0.75	0.75	3/4	0.75	0.055	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 3/4 x 7/8 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_3/4_x_7/8_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	3/4	0.75	0.75	7/8	0.875	0.055	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 3/4 x 1 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_3/4_x_1_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	3/4	0.75	0.75	1	1.0	0.055	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 3/4 x 1_1/4 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_3/4_x_1_1/4_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	3/4	0.75	0.75	1_1/4	1.25	0.055	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 3/4 x 1_1/2 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_3/4_x_1_1/2_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	3/4	0.75	0.75	1_1/2	1.5	0.055	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 3/4 x 1_3/4 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_3/4_x_1_3/4_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	3/4	0.75	0.75	1_3/4	1.75	0.055	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 3/4 x 2 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_3/4_x_2_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	3/4	0.75	0.75	2	2.0	0.055	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 3/4 x 2_1/2 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_3/4_x_2_1/2_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	3/4	0.75	0.75	2_1/2	2.5	0.055	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 3/4 x 3 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_3/4_x_3_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	3/4	0.75	0.75	3	3.0	0.055	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 3/4 x 3_1/2 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_3/4_x_3_1/2_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	3/4	0.75	0.75	3_1/2	3.5	0.055	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 3/4 x 4 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_3/4_x_4_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	3/4	0.75	0.75	4	4.0	0.055	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 7/8 x 7/8 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_7/8_x_7/8_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	7/8	0.875	0.875	7/8	0.875	0.055	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 7/8 x 1 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_7/8_x_1_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	7/8	0.875	0.875	1	1.0	0.055	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 7/8 x 1_1/4 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_7/8_x_1_1/4_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	7/8	0.875	0.875	1_1/4	1.25	0.055	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 7/8 x 1_1/2 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_7/8_x_1_1/2_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	7/8	0.875	0.875	1_1/2	1.5	0.055	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 7/8 x 1_3/4 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_7/8_x_1_3/4_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	7/8	0.875	0.875	1_3/4	1.75	0.055	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 7/8 x 2 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_7/8_x_2_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	7/8	0.875	0.875	2	2.0	0.055	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 7/8 x 2_1/2 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_7/8_x_2_1/2_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	7/8	0.875	0.875	2_1/2	2.5	0.055	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 7/8 x 3 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_7/8_x_3_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	7/8	0.875	0.875	3	3.0	0.055	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 7/8 x 3_1/2 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_7/8_x_3_1/2_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	7/8	0.875	0.875	3_1/2	3.5	0.055	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 7/8 x 4 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_7/8_x_4_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	7/8	0.875	0.875	4	4.0	0.055	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 1 x 1 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_1_x_1_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	1	1.0	1.0	1	1.0	0.055	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 1 x 1_1/4 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_1_x_1_1/4_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	1	1.0	1.0	1_1/4	1.25	0.055	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 1 x 1_1/2 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_1_x_1_1/2_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	1	1.0	1.0	1_1/2	1.5	0.055	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 1 x 1_3/4 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_1_x_1_3/4_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	1	1.0	1.0	1_3/4	1.75	0.055	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 1 x 2 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_1_x_2_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	1	1.0	1.0	2	2.0	0.055	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 1 x 2_1/2 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_1_x_2_1/2_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	1	1.0	1.0	2_1/2	2.5	0.055	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 1 x 3 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_1_x_3_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	1	1.0	1.0	3	3.0	0.055	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 1 x 3_1/2 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_1_x_3_1/2_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	1	1.0	1.0	3_1/2	3.5	0.055	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 1 x 4 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_1_x_4_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	1	1.0	1.0	4	4.0	0.055	St	ASMEB18.8.2	2000
