PartNumber	PartName	Nominal_size(ref)	Nominal_size(in)	t.p.i.	Pitch(in)	Threading(in)	Length(ref)	s-n-l	L_length(in)	Lg_grip_length	Lt_min thread_ref	D_body_dia(in)	A_head_dia(in)	H_head_height(in)	J_hex_scocket_size(in)	T_key_engagement(in)	F_fillet_transition_dia(in)	Material	Reference	Edition
ASME B18.3 SCREW No_5 x 2.25 UNC STEEL HEXAGON SOCKET HEAD CSK CAP	ASME_B18_3_No_5_x_2.25_UNC_STEEL_HEXAGON_SOCKET_HEAD_CSK_CAP_SCREW	No_5	0.125	40	0.0250	1.25	2  1/4 	n	2.25	1.0	0.75	0.125	0.281	0.09	0.078	0.061	0.153	St	ASME B18.3	1998
ASME B18.3 SCREW No_5 x 2.5 UNC STEEL HEXAGON SOCKET HEAD CSK CAP	ASME_B18_3_No_5_x_2.5_UNC_STEEL_HEXAGON_SOCKET_HEAD_CSK_CAP_SCREW	No_5	0.125	40	0.0250	1.0	2  1/2 	n	2.50	1.5	0.75	0.125	0.281	0.09	0.078	0.061	0.153	St	ASME B18.3	1998
ASME B18.3 SCREW No_5 x 2.75 UNC STEEL HEXAGON SOCKET HEAD CSK CAP	ASME_B18_3_No_5_x_2.75_UNC_STEEL_HEXAGON_SOCKET_HEAD_CSK_CAP_SCREW	No_5	0.125	40	0.0250	0.75	2  3/4 	l	2.75	2.0	0.75	0.125	0.281	0.09	0.078	0.061	0.153	St	ASME B18.3	1998
ASME B18.3 SCREW No_5 x 3 UNC STEEL HEXAGON SOCKET HEAD CSK CAP	ASME_B18_3_No_5_x_3_UNC_STEEL_HEXAGON_SOCKET_HEAD_CSK_CAP_SCREW	No_5	0.125	40	0.0250	0.75	3      	l	3.00	2.25	0.75	0.125	0.281	0.09	0.078	0.061	0.153	St	ASME B18.3	1998
ASME B18.3 SCREW No_6 x 0.1875 UNC STEEL HEXAGON SOCKET HEAD CSK CAP	ASME_B18_3_No_6_x_0.1875_UNC_STEEL_HEXAGON_SOCKET_HEAD_CSK_CAP_SCREW	No_6	0.138	32	0.0313	0.028	  3/16	s	0.19	0.063	0.75	0.138	0.307	0.097	0.078	0.066	0.168	St	ASME B18.3	1998
ASME B18.3 SCREW No_6 x 0.25 UNC STEEL HEXAGON SOCKET HEAD CSK CAP	ASME_B18_3_No_6_x_0.25_UNC_STEEL_HEXAGON_SOCKET_HEAD_CSK_CAP_SCREW	No_6	0.138	32	0.0313	0.091	  1/4 	s	0.25	0.063	0.75	0.138	0.307	0.097	0.078	0.066	0.168	St	ASME B18.3	1998
ASME B18.3 SCREW No_6 x 0.375 UNC STEEL HEXAGON SOCKET HEAD CSK CAP	ASME_B18_3_No_6_x_0.375_UNC_STEEL_HEXAGON_SOCKET_HEAD_CSK_CAP_SCREW	No_6	0.138	32	0.0313	0.216	  3/8 	s	0.38	0.063	0.75	0.138	0.307	0.097	0.078	0.066	0.168	St	ASME B18.3	1998
ASME B18.3 SCREW No_6 x 0.5 UNC STEEL HEXAGON SOCKET HEAD CSK CAP	ASME_B18_3_No_6_x_0.5_UNC_STEEL_HEXAGON_SOCKET_HEAD_CSK_CAP_SCREW	No_6	0.138	32	0.0313	0.341	  1/2 	s	0.50	0.063	0.75	0.138	0.307	0.097	0.078	0.066	0.168	St	ASME B18.3	1998
ASME B18.3 SCREW No_6 x 0.625 UNC STEEL HEXAGON SOCKET HEAD CSK CAP	ASME_B18_3_No_6_x_0.625_UNC_STEEL_HEXAGON_SOCKET_HEAD_CSK_CAP_SCREW	No_6	0.138	32	0.0313	0.466	  5/8 	s	0.63	0.063	0.75	0.138	0.307	0.097	0.078	0.066	0.168	St	ASME B18.3	1998
ASME B18.3 SCREW No_6 x 0.75 UNC STEEL HEXAGON SOCKET HEAD CSK CAP	ASME_B18_3_No_6_x_0.75_UNC_STEEL_HEXAGON_SOCKET_HEAD_CSK_CAP_SCREW	No_6	0.138	32	0.0313	0.591	  3/4 	s	0.75	0.063	0.75	0.138	0.307	0.097	0.078	0.066	0.168	St	ASME B18.3	1998
ASME B18.3 SCREW No_6 x 0.875 UNC STEEL HEXAGON SOCKET HEAD CSK CAP	ASME_B18_3_No_6_x_0.875_UNC_STEEL_HEXAGON_SOCKET_HEAD_CSK_CAP_SCREW	No_6	0.138	32	0.0313	0.716	  7/8 	s	0.88	0.063	0.75	0.138	0.307	0.097	0.078	0.066	0.168	St	ASME B18.3	1998
ASME B18.3 SCREW No_6 x 1 UNC STEEL HEXAGON SOCKET HEAD CSK CAP	ASME_B18_3_No_6_x_1_UNC_STEEL_HEXAGON_SOCKET_HEAD_CSK_CAP_SCREW	No_6	0.138	32	0.0313	0.75	1      	s	1.00	0.063	0.75	0.138	0.307	0.097	0.078	0.066	0.168	St	ASME B18.3	1998
ASME B18.3 SCREW No_6 x 1.25 UNC STEEL HEXAGON SOCKET HEAD CSK CAP	ASME_B18_3_No_6_x_1.25_UNC_STEEL_HEXAGON_SOCKET_HEAD_CSK_CAP_SCREW	No_6	0.138	32	0.0313	0.75	1  1/4 	n	1.25	0.5	0.75	0.138	0.307	0.097	0.078	0.066	0.168	St	ASME B18.3	1998
ASME B18.3 SCREW No_6 x 1.5 UNC STEEL HEXAGON SOCKET HEAD CSK CAP	ASME_B18_3_No_6_x_1.5_UNC_STEEL_HEXAGON_SOCKET_HEAD_CSK_CAP_SCREW	No_6	0.138	32	0.0313	1.0	1  1/2 	n	1.50	0.5	0.75	0.138	0.307	0.097	0.078	0.066	0.168	St	ASME B18.3	1998
ASME B18.3 SCREW No_6 x 1.75 UNC STEEL HEXAGON SOCKET HEAD CSK CAP	ASME_B18_3_No_6_x_1.75_UNC_STEEL_HEXAGON_SOCKET_HEAD_CSK_CAP_SCREW	No_6	0.138	32	0.0313	0.75	1  3/4 	n	1.75	1.0	0.75	0.138	0.307	0.097	0.078	0.066	0.168	St	ASME B18.3	1998
ASME B18.3 SCREW No_6 x 2 UNC STEEL HEXAGON SOCKET HEAD CSK CAP	ASME_B18_3_No_6_x_2_UNC_STEEL_HEXAGON_SOCKET_HEAD_CSK_CAP_SCREW	No_6	0.138	32	0.0313	1.0	2      	n	2.00	1.0	0.75	0.138	0.307	0.097	0.078	0.066	0.168	St	ASME B18.3	1998
ASME B18.3 SCREW No_6 x 2.25 UNC STEEL HEXAGON SOCKET HEAD CSK CAP	ASME_B18_3_No_6_x_2.25_UNC_STEEL_HEXAGON_SOCKET_HEAD_CSK_CAP_SCREW	No_6	0.138	32	0.0313	0.75	2  1/4 	n	2.25	1.5	0.75	0.138	0.307	0.097	0.078	0.066	0.168	St	ASME B18.3	1998
ASME B18.3 SCREW No_6 x 2.5 UNC STEEL HEXAGON SOCKET HEAD CSK CAP	ASME_B18_3_No_6_x_2.5_UNC_STEEL_HEXAGON_SOCKET_HEAD_CSK_CAP_SCREW	No_6	0.138	32	0.0313	1.0	2  1/2 	n	2.50	1.5	0.75	0.138	0.307	0.097	0.078	0.066	0.168	St	ASME B18.3	1998
ASME B18.3 SCREW No_6 x 2.75 UNC STEEL HEXAGON SOCKET HEAD CSK CAP	ASME_B18_3_No_6_x_2.75_UNC_STEEL_HEXAGON_SOCKET_HEAD_CSK_CAP_SCREW	No_6	0.138	32	0.0313	0.75	2  3/4 	n	2.75	2.0	0.75	0.138	0.307	0.097	0.078	0.066	0.168	St	ASME B18.3	1998
ASME B18.3 SCREW No_6 x 3 UNC STEEL HEXAGON SOCKET HEAD CSK CAP	ASME_B18_3_No_6_x_3_UNC_STEEL_HEXAGON_SOCKET_HEAD_CSK_CAP_SCREW	No_6	0.138	32	0.0313	0.75	3      	l	3.00	2.25	0.75	0.138	0.307	0.097	0.078	0.066	0.168	St	ASME B18.3	1998
ASME B18.3 SCREW No_6 x 3.25 UNC STEEL HEXAGON SOCKET HEAD CSK CAP	ASME_B18_3_No_6_x_3.25_UNC_STEEL_HEXAGON_SOCKET_HEAD_CSK_CAP_SCREW	No_6	0.138	32	0.0313	0.75	3  1/4 	l	3.25	2.5	0.75	0.138	0.307	0.097	0.078	0.066	0.168	St	ASME B18.3	1998
ASME B18.3 SCREW No_8 x 0.1875 UNC STEEL HEXAGON SOCKET HEAD CSK CAP	ASME_B18_3_No_8_x_0.1875_UNC_STEEL_HEXAGON_SOCKET_HEAD_CSK_CAP_SCREW	No_8	0.164	32	0.0313	0.013	  3/16	s	0.19	0.063	0.88	0.164	0.359	0.112	0.094	0.076	0.194	St	ASME B18.3	1998
ASME B18.3 SCREW No_8 x 0.25 UNC STEEL HEXAGON SOCKET HEAD CSK CAP	ASME_B18_3_No_8_x_0.25_UNC_STEEL_HEXAGON_SOCKET_HEAD_CSK_CAP_SCREW	No_8	0.164	32	0.0313	0.076	  1/4 	s	0.25	0.063	0.88	0.164	0.359	0.112	0.094	0.076	0.194	St	ASME B18.3	1998
ASME B18.3 SCREW No_8 x 0.375 UNC STEEL HEXAGON SOCKET HEAD CSK CAP	ASME_B18_3_No_8_x_0.375_UNC_STEEL_HEXAGON_SOCKET_HEAD_CSK_CAP_SCREW	No_8	0.164	32	0.0313	0.201	  3/8 	s	0.38	0.063	0.88	0.164	0.359	0.112	0.094	0.076	0.194	St	ASME B18.3	1998
ASME B18.3 SCREW No_8 x 0.5 UNC STEEL HEXAGON SOCKET HEAD CSK CAP	ASME_B18_3_No_8_x_0.5_UNC_STEEL_HEXAGON_SOCKET_HEAD_CSK_CAP_SCREW	No_8	0.164	32	0.0313	0.326	  1/2 	s	0.50	0.063	0.88	0.164	0.359	0.112	0.094	0.076	0.194	St	ASME B18.3	1998
ASME B18.3 SCREW No_8 x 0.625 UNC STEEL HEXAGON SOCKET HEAD CSK CAP	ASME_B18_3_No_8_x_0.625_UNC_STEEL_HEXAGON_SOCKET_HEAD_CSK_CAP_SCREW	No_8	0.164	32	0.0313	0.451	  5/8 	s	0.63	0.063	0.88	0.164	0.359	0.112	0.094	0.076	0.194	St	ASME B18.3	1998
ASME B18.3 SCREW No_8 x 0.75 UNC STEEL HEXAGON SOCKET HEAD CSK CAP	ASME_B18_3_No_8_x_0.75_UNC_STEEL_HEXAGON_SOCKET_HEAD_CSK_CAP_SCREW	No_8	0.164	32	0.0313	0.576	  3/4 	s	0.75	0.063	0.88	0.164	0.359	0.112	0.094	0.076	0.194	St	ASME B18.3	1998
ASME B18.3 SCREW No_8 x 0.875 UNC STEEL HEXAGON SOCKET HEAD CSK CAP	ASME_B18_3_No_8_x_0.875_UNC_STEEL_HEXAGON_SOCKET_HEAD_CSK_CAP_SCREW	No_8	0.164	32	0.0313	0.701	  7/8 	s	0.88	0.063	0.88	0.164	0.359	0.112	0.094	0.076	0.194	St	ASME B18.3	1998
ASME B18.3 SCREW No_8 x 1 UNC STEEL HEXAGON SOCKET HEAD CSK CAP	ASME_B18_3_No_8_x_1_UNC_STEEL_HEXAGON_SOCKET_HEAD_CSK_CAP_SCREW	No_8	0.164	32	0.0313	0.826	1      	s	1.00	0.063	0.88	0.164	0.359	0.112	0.094	0.076	0.194	St	ASME B18.3	1998
ASME B18.3 SCREW No_8 x 1.25 UNC STEEL HEXAGON SOCKET HEAD CSK CAP	ASME_B18_3_No_8_x_1.25_UNC_STEEL_HEXAGON_SOCKET_HEAD_CSK_CAP_SCREW	No_8	0.164	32	0.0313	0.87	1  1/4 	n	1.25	0.38	0.88	0.164	0.359	0.112	0.094	0.076	0.194	St	ASME B18.3	1998
ASME B18.3 SCREW No_8 x 1.5 UNC STEEL HEXAGON SOCKET HEAD CSK CAP	ASME_B18_3_No_8_x_1.5_UNC_STEEL_HEXAGON_SOCKET_HEAD_CSK_CAP_SCREW	No_8	0.164	32	0.0313	1.12	1  1/2 	n	1.50	0.38	0.88	0.164	0.359	0.112	0.094	0.076	0.194	St	ASME B18.3	1998
ASME B18.3 SCREW No_8 x 1.75 UNC STEEL HEXAGON SOCKET HEAD CSK CAP	ASME_B18_3_No_8_x_1.75_UNC_STEEL_HEXAGON_SOCKET_HEAD_CSK_CAP_SCREW	No_8	0.164	32	0.0313	0.87	1  3/4 	n	1.75	0.88	0.88	0.164	0.359	0.112	0.094	0.076	0.194	St	ASME B18.3	1998
ASME B18.3 SCREW No_8 x 2 UNC STEEL HEXAGON SOCKET HEAD CSK CAP	ASME_B18_3_No_8_x_2_UNC_STEEL_HEXAGON_SOCKET_HEAD_CSK_CAP_SCREW	No_8	0.164	32	0.0313	1.12	2      	n	2.00	0.88	0.88	0.164	0.359	0.112	0.094	0.076	0.194	St	ASME B18.3	1998
ASME B18.3 SCREW No_8 x 2.25 UNC STEEL HEXAGON SOCKET HEAD CSK CAP	ASME_B18_3_No_8_x_2.25_UNC_STEEL_HEXAGON_SOCKET_HEAD_CSK_CAP_SCREW	No_8	0.164	32	0.0313	0.87	2  1/4 	n	2.25	1.38	0.88	0.164	0.359	0.112	0.094	0.076	0.194	St	ASME B18.3	1998
ASME B18.3 SCREW No_8 x 2.5 UNC STEEL HEXAGON SOCKET HEAD CSK CAP	ASME_B18_3_No_8_x_2.5_UNC_STEEL_HEXAGON_SOCKET_HEAD_CSK_CAP_SCREW	No_8	0.164	32	0.0313	1.12	2  1/2 	n	2.50	1.38	0.88	0.164	0.359	0.112	0.094	0.076	0.194	St	ASME B18.3	1998
ASME B18.3 SCREW No_8 x 2.75 UNC STEEL HEXAGON SOCKET HEAD CSK CAP	ASME_B18_3_No_8_x_2.75_UNC_STEEL_HEXAGON_SOCKET_HEAD_CSK_CAP_SCREW	No_8	0.164	32	0.0313	0.87	2  3/4 	n	2.75	1.88	0.88	0.164	0.359	0.112	0.094	0.076	0.194	St	ASME B18.3	1998
ASME B18.3 SCREW No_8 x 3 UNC STEEL HEXAGON SOCKET HEAD CSK CAP	ASME_B18_3_No_8_x_3_UNC_STEEL_HEXAGON_SOCKET_HEAD_CSK_CAP_SCREW	No_8	0.164	32	0.0313	1.12	3      	n	3.00	1.88	0.88	0.164	0.359	0.112	0.094	0.076	0.194	St	ASME B18.3	1998
ASME B18.3 SCREW No_8 x 3.25 UNC STEEL HEXAGON SOCKET HEAD CSK CAP	ASME_B18_3_No_8_x_3.25_UNC_STEEL_HEXAGON_SOCKET_HEAD_CSK_CAP_SCREW	No_8	0.164	32	0.0313	0.87	3  1/4 	n	3.25	2.38	0.88	0.164	0.359	0.112	0.094	0.076	0.194	St	ASME B18.3	1998
ASME B18.3 SCREW No_8 x 3.5 UNC STEEL HEXAGON SOCKET HEAD CSK CAP	ASME_B18_3_No_8_x_3.5_UNC_STEEL_HEXAGON_SOCKET_HEAD_CSK_CAP_SCREW	No_8	0.164	32	0.0313	0.88	3  1/2 	l	3.50	2.62	0.88	0.164	0.359	0.112	0.094	0.076	0.194	St	ASME B18.3	1998
ASME B18.3 SCREW No_10 x 0.25 UNC STEEL HEXAGON SOCKET HEAD CSK CAP	ASME_B18_3_No_10_x_0.25_UNC_STEEL_HEXAGON_SOCKET_HEAD_CSK_CAP_SCREW	No_10	0.19	24	0.0417	0.04	  1/4 	s	0.25	-0.5	0.88	0.19	0.411	0.127	0.125	0.087	0.22	St	ASME B18.3	1998
ASME B18.3 SCREW No_10 x 0.375 UNC STEEL HEXAGON SOCKET HEAD CSK CAP	ASME_B18_3_No_10_x_0.375_UNC_STEEL_HEXAGON_SOCKET_HEAD_CSK_CAP_SCREW	No_10	0.19	24	0.0417	0.165	  3/8 	s	0.38	-0.375	0.88	0.19	0.411	0.127	0.125	0.087	0.22	St	ASME B18.3	1998
ASME B18.3 SCREW No_10 x 0.5 UNC STEEL HEXAGON SOCKET HEAD CSK CAP	ASME_B18_3_No_10_x_0.5_UNC_STEEL_HEXAGON_SOCKET_HEAD_CSK_CAP_SCREW	No_10	0.19	24	0.0417	0.29	  1/2 	s	0.50	-0.25	0.88	0.19	0.411	0.127	0.125	0.087	0.22	St	ASME B18.3	1998
ASME B18.3 SCREW No_10 x 0.625 UNC STEEL HEXAGON SOCKET HEAD CSK CAP	ASME_B18_3_No_10_x_0.625_UNC_STEEL_HEXAGON_SOCKET_HEAD_CSK_CAP_SCREW	No_10	0.19	24	0.0417	0.415	  5/8 	s	0.63	-0.125	0.88	0.19	0.411	0.127	0.125	0.087	0.22	St	ASME B18.3	1998
ASME B18.3 SCREW No_10 x 0.75 UNC STEEL HEXAGON SOCKET HEAD CSK CAP	ASME_B18_3_No_10_x_0.75_UNC_STEEL_HEXAGON_SOCKET_HEAD_CSK_CAP_SCREW	No_10	0.19	24	0.0417	0.54	  3/4 	s	0.75	0.0	0.88	0.19	0.411	0.127	0.125	0.087	0.22	St	ASME B18.3	1998
ASME B18.3 SCREW No_10 x 0.875 UNC STEEL HEXAGON SOCKET HEAD CSK CAP	ASME_B18_3_No_10_x_0.875_UNC_STEEL_HEXAGON_SOCKET_HEAD_CSK_CAP_SCREW	No_10	0.19	24	0.0417	0.665	  7/8 	s	0.88	0.125	0.88	0.19	0.411	0.127	0.125	0.087	0.22	St	ASME B18.3	1998
ASME B18.3 SCREW No_10 x 1 UNC STEEL HEXAGON SOCKET HEAD CSK CAP	ASME_B18_3_No_10_x_1_UNC_STEEL_HEXAGON_SOCKET_HEAD_CSK_CAP_SCREW	No_10	0.19	24	0.0417	0.79	1      	s	1.00	0.25	0.88	0.19	0.411	0.127	0.125	0.087	0.22	St	ASME B18.3	1998
ASME B18.3 SCREW No_10 x 1.25 UNC STEEL HEXAGON SOCKET HEAD CSK CAP	ASME_B18_3_No_10_x_1.25_UNC_STEEL_HEXAGON_SOCKET_HEAD_CSK_CAP_SCREW	No_10	0.19	24	0.0417	0.88	1  1/4 	s	1.25	0.5	0.88	0.19	0.411	0.127	0.125	0.087	0.22	St	ASME B18.3	1998
ASME B18.3 SCREW No_10 x 1.5 UNC STEEL HEXAGON SOCKET HEAD CSK CAP	ASME_B18_3_No_10_x_1.5_UNC_STEEL_HEXAGON_SOCKET_HEAD_CSK_CAP_SCREW	No_10	0.19	24	0.0417	0.88	1  1/2 	n	1.50	0.62	0.88	0.19	0.411	0.127	0.125	0.087	0.22	St	ASME B18.3	1998
ASME B18.3 SCREW No_10 x 1.75 UNC STEEL HEXAGON SOCKET HEAD CSK CAP	ASME_B18_3_No_10_x_1.75_UNC_STEEL_HEXAGON_SOCKET_HEAD_CSK_CAP_SCREW	No_10	0.19	24	0.0417	1.13	1  3/4 	n	1.75	0.62	0.88	0.19	0.411	0.127	0.125	0.087	0.22	St	ASME B18.3	1998
ASME B18.3 SCREW No_10 x 2 UNC STEEL HEXAGON SOCKET HEAD CSK CAP	ASME_B18_3_No_10_x_2_UNC_STEEL_HEXAGON_SOCKET_HEAD_CSK_CAP_SCREW	No_10	0.19	24	0.0417	0.88	2      	n	2.00	1.12	0.88	0.19	0.411	0.127	0.125	0.087	0.22	St	ASME B18.3	1998
ASME B18.3 SCREW No_10 x 2.25 UNC STEEL HEXAGON SOCKET HEAD CSK CAP	ASME_B18_3_No_10_x_2.25_UNC_STEEL_HEXAGON_SOCKET_HEAD_CSK_CAP_SCREW	No_10	0.19	24	0.0417	1.13	2  1/4 	n	2.25	1.12	0.88	0.19	0.411	0.127	0.125	0.087	0.22	St	ASME B18.3	1998
ASME B18.3 SCREW No_10 x 2.5 UNC STEEL HEXAGON SOCKET HEAD CSK CAP	ASME_B18_3_No_10_x_2.5_UNC_STEEL_HEXAGON_SOCKET_HEAD_CSK_CAP_SCREW	No_10	0.19	24	0.0417	0.88	2  1/2 	n	2.50	1.62	0.88	0.19	0.411	0.127	0.125	0.087	0.22	St	ASME B18.3	1998
ASME B18.3 SCREW No_10 x 2.75 UNC STEEL HEXAGON SOCKET HEAD CSK CAP	ASME_B18_3_No_10_x_2.75_UNC_STEEL_HEXAGON_SOCKET_HEAD_CSK_CAP_SCREW	No_10	0.19	24	0.0417	1.13	2  3/4 	n	2.75	1.62	0.88	0.19	0.411	0.127	0.125	0.087	0.22	St	ASME B18.3	1998
ASME B18.3 SCREW No_10 x 3 UNC STEEL HEXAGON SOCKET HEAD CSK CAP	ASME_B18_3_No_10_x_3_UNC_STEEL_HEXAGON_SOCKET_HEAD_CSK_CAP_SCREW	No_10	0.19	24	0.0417	0.88	3      	n	3.00	2.12	0.88	0.19	0.411	0.127	0.125	0.087	0.22	St	ASME B18.3	1998
ASME B18.3 SCREW No_10 x 3.25 UNC STEEL HEXAGON SOCKET HEAD CSK CAP	ASME_B18_3_No_10_x_3.25_UNC_STEEL_HEXAGON_SOCKET_HEAD_CSK_CAP_SCREW	No_10	0.19	24	0.0417	1.13	3  1/4 	n	3.25	2.12	0.88	0.19	0.411	0.127	0.125	0.087	0.22	St	ASME B18.3	1998
ASME B18.3 SCREW No_10 x 3.5 UNC STEEL HEXAGON SOCKET HEAD CSK CAP	ASME_B18_3_No_10_x_3.5_UNC_STEEL_HEXAGON_SOCKET_HEAD_CSK_CAP_SCREW	No_10	0.19	24	0.0417	0.88	3  1/2 	n	3.50	2.62	0.88	0.19	0.411	0.127	0.125	0.087	0.22	St	ASME B18.3	1998
ASME B18.3 SCREW No_10 x 4 UNC STEEL HEXAGON SOCKET HEAD CSK CAP	ASME_B18_3_No_10_x_4_UNC_STEEL_HEXAGON_SOCKET_HEAD_CSK_CAP_SCREW	No_10	0.19	24	0.0417	0.88	4      	n	4.00	3.12	0.88	0.19	0.411	0.127	0.125	0.087	0.22	St	ASME B18.3	1998
ASME B18.3 SCREW 1/4 x 0.375 UNC STEEL HEXAGON SOCKET HEAD CSK CAP	ASME_B18_3_1/4_x_0.375_UNC_STEEL_HEXAGON_SOCKET_HEAD_CSK_CAP_SCREW	1/4	0.25	20	0.0500	0.114	  3/8 	s	0.38	0.1	1.0	0.25	0.531	0.161	0.156	0.111	0.28	St	ASME B18.3	1998
ASME B18.3 SCREW 1/4 x 0.5 UNC STEEL HEXAGON SOCKET HEAD CSK CAP	ASME_B18_3_1/4_x_0.5_UNC_STEEL_HEXAGON_SOCKET_HEAD_CSK_CAP_SCREW	1/4	0.25	20	0.0500	0.239	  1/2 	s	0.50	0.1	1.0	0.25	0.531	0.161	0.156	0.111	0.28	St	ASME B18.3	1998
ASME B18.3 SCREW 1/4 x 0.625 UNC STEEL HEXAGON SOCKET HEAD CSK CAP	ASME_B18_3_1/4_x_0.625_UNC_STEEL_HEXAGON_SOCKET_HEAD_CSK_CAP_SCREW	1/4	0.25	20	0.0500	0.364	  5/8 	s	0.63	0.1	1.0	0.25	0.531	0.161	0.156	0.111	0.28	St	ASME B18.3	1998
ASME B18.3 SCREW 1/4 x 0.75 UNC STEEL HEXAGON SOCKET HEAD CSK CAP	ASME_B18_3_1/4_x_0.75_UNC_STEEL_HEXAGON_SOCKET_HEAD_CSK_CAP_SCREW	1/4	0.25	20	0.0500	0.489	  3/4 	s	0.75	0.1	1.0	0.25	0.531	0.161	0.156	0.111	0.28	St	ASME B18.3	1998
ASME B18.3 SCREW 1/4 x 0.875 UNC STEEL HEXAGON SOCKET HEAD CSK CAP	ASME_B18_3_1/4_x_0.875_UNC_STEEL_HEXAGON_SOCKET_HEAD_CSK_CAP_SCREW	1/4	0.25	20	0.0500	0.614	  7/8 	s	0.88	0.1	1.0	0.25	0.531	0.161	0.156	0.111	0.28	St	ASME B18.3	1998
ASME B18.3 SCREW 1/4 x 1 UNC STEEL HEXAGON SOCKET HEAD CSK CAP	ASME_B18_3_1/4_x_1_UNC_STEEL_HEXAGON_SOCKET_HEAD_CSK_CAP_SCREW	1/4	0.25	20	0.0500	0.739	1      	s	1.00	0.1	1.0	0.25	0.531	0.161	0.156	0.111	0.28	St	ASME B18.3	1998
ASME B18.3 SCREW 1/4 x 1.25 UNC STEEL HEXAGON SOCKET HEAD CSK CAP	ASME_B18_3_1/4_x_1.25_UNC_STEEL_HEXAGON_SOCKET_HEAD_CSK_CAP_SCREW	1/4	0.25	20	0.0500	0.989	1  1/4 	s	1.25	0.1	1.0	0.25	0.531	0.161	0.156	0.111	0.28	St	ASME B18.3	1998
ASME B18.3 SCREW 1/4 x 1.5 UNC STEEL HEXAGON SOCKET HEAD CSK CAP	ASME_B18_3_1/4_x_1.5_UNC_STEEL_HEXAGON_SOCKET_HEAD_CSK_CAP_SCREW	1/4	0.25	20	0.0500	1.0	1  1/2 	s	1.50	0.1	1.0	0.25	0.531	0.161	0.156	0.111	0.28	St	ASME B18.3	1998
ASME B18.3 SCREW 1/4 x 1.75 UNC STEEL HEXAGON SOCKET HEAD CSK CAP	ASME_B18_3_1/4_x_1.75_UNC_STEEL_HEXAGON_SOCKET_HEAD_CSK_CAP_SCREW	1/4	0.25	20	0.0500	1.0	1  3/4 	n	1.75	0.75	1.0	0.25	0.531	0.161	0.156	0.111	0.28	St	ASME B18.3	1998
ASME B18.3 SCREW 1/4 x 2 UNC STEEL HEXAGON SOCKET HEAD CSK CAP	ASME_B18_3_1/4_x_2_UNC_STEEL_HEXAGON_SOCKET_HEAD_CSK_CAP_SCREW	1/4	0.25	20	0.0500	1.25	2      	n	2.00	0.75	1.0	0.25	0.531	0.161	0.156	0.111	0.28	St	ASME B18.3	1998
ASME B18.3 SCREW 1/4 x 2.25 UNC STEEL HEXAGON SOCKET HEAD CSK CAP	ASME_B18_3_1/4_x_2.25_UNC_STEEL_HEXAGON_SOCKET_HEAD_CSK_CAP_SCREW	1/4	0.25	20	0.0500	1.0	2  1/4 	n	2.25	1.25	1.0	0.25	0.531	0.161	0.156	0.111	0.28	St	ASME B18.3	1998
ASME B18.3 SCREW 1/4 x 2.5 UNC STEEL HEXAGON SOCKET HEAD CSK CAP	ASME_B18_3_1/4_x_2.5_UNC_STEEL_HEXAGON_SOCKET_HEAD_CSK_CAP_SCREW	1/4	0.25	20	0.0500	1.25	2  1/2 	n	2.50	1.25	1.0	0.25	0.531	0.161	0.156	0.111	0.28	St	ASME B18.3	1998
ASME B18.3 SCREW 1/4 x 2.75 UNC STEEL HEXAGON SOCKET HEAD CSK CAP	ASME_B18_3_1/4_x_2.75_UNC_STEEL_HEXAGON_SOCKET_HEAD_CSK_CAP_SCREW	1/4	0.25	20	0.0500	1.0	2  3/4 	n	2.75	1.75	1.0	0.25	0.531	0.161	0.156	0.111	0.28	St	ASME B18.3	1998
ASME B18.3 SCREW 1/4 x 3 UNC STEEL HEXAGON SOCKET HEAD CSK CAP	ASME_B18_3_1/4_x_3_UNC_STEEL_HEXAGON_SOCKET_HEAD_CSK_CAP_SCREW	1/4	0.25	20	0.0500	1.25	3      	n	3.00	1.75	1.0	0.25	0.531	0.161	0.156	0.111	0.28	St	ASME B18.3	1998
ASME B18.3 SCREW 1/4 x 3.25 UNC STEEL HEXAGON SOCKET HEAD CSK CAP	ASME_B18_3_1/4_x_3.25_UNC_STEEL_HEXAGON_SOCKET_HEAD_CSK_CAP_SCREW	1/4	0.25	20	0.0500	1.0	3  1/4 	n	3.25	2.25	1.0	0.25	0.531	0.161	0.156	0.111	0.28	St	ASME B18.3	1998
ASME B18.3 SCREW 1/4 x 3.5 UNC STEEL HEXAGON SOCKET HEAD CSK CAP	ASME_B18_3_1/4_x_3.5_UNC_STEEL_HEXAGON_SOCKET_HEAD_CSK_CAP_SCREW	1/4	0.25	20	0.0500	1.25	3  1/2 	n	3.50	2.25	1.0	0.25	0.531	0.161	0.156	0.111	0.28	St	ASME B18.3	1998
ASME B18.3 SCREW 1/4 x 4 UNC STEEL HEXAGON SOCKET HEAD CSK CAP	ASME_B18_3_1/4_x_4_UNC_STEEL_HEXAGON_SOCKET_HEAD_CSK_CAP_SCREW	1/4	0.25	20	0.0500	1.25	4      	n	4.00	2.75	1.0	0.25	0.531	0.161	0.156	0.111	0.28	St	ASME B18.3	1998
