PartNumber	PartName	Nominal_size(ref)	Nominal_size(in)	t.p.i.	Pitch(in)	Threading(in)	threshold	FullyThreaded	MinimumThread	Length(ref)	L_length(in)	A_dia_max_dia(in)	A_dia_min_dia(in)	H_side_height(in)	C_head_crown_height(in)	O_total_head_height(in)	M_recess(in)	T_recess_Depth(in)	N_recess_width(in)	Material	Reference	Edition
ASME B18.6.3 SCREW No_8 x 2_1/4 UNC STEEL X RECESSED OVAL CSK TYPE IA	ASME_B18_6_3_No_8_x_2_1/4_UNC_STEEL_X_RECESSED_OVAL_CSK_TYPE_IA_SCREW	No_8	0.164	32	0.03125	1.5000	2	N	1.5	2_1/4	2.2500	0.312	0.285	0.1	0.052	0.152	0.186	0.115	0.041	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_8 x 2_1/2 UNC STEEL X RECESSED OVAL CSK TYPE IA	ASME_B18_6_3_No_8_x_2_1/2_UNC_STEEL_X_RECESSED_OVAL_CSK_TYPE_IA_SCREW	No_8	0.164	32	0.03125	1.5000	2	N	1.5	2_1/2	2.5000	0.312	0.285	0.1	0.052	0.152	0.186	0.115	0.041	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_10 x 1/4 UNC STEEL X RECESSED OVAL CSK TYPE IA	ASME_B18_6_3_No_10_x_1/4_UNC_STEEL_X_RECESSED_OVAL_CSK_TYPE_IA_SCREW	No_10	0.19	24	0.041666667	0.0923	2	Y	1.5	1/4	0.2500	0.362	0.333	0.116	0.06	0.176	0.202	0.132	0.041	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_10 x 5/16 UNC STEEL X RECESSED OVAL CSK TYPE IA	ASME_B18_6_3_No_10_x_5/16_UNC_STEEL_X_RECESSED_OVAL_CSK_TYPE_IA_SCREW	No_10	0.19	24	0.041666667	0.1548	2	Y	1.5	5/16	0.3125	0.362	0.333	0.116	0.06	0.176	0.202	0.132	0.041	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_10 x 3/8 UNC STEEL X RECESSED OVAL CSK TYPE IA	ASME_B18_6_3_No_10_x_3/8_UNC_STEEL_X_RECESSED_OVAL_CSK_TYPE_IA_SCREW	No_10	0.19	24	0.041666667	0.2173	2	Y	1.5	3/8	0.3750	0.362	0.333	0.116	0.06	0.176	0.202	0.132	0.041	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_10 x 7/16 UNC STEEL X RECESSED OVAL CSK TYPE IA	ASME_B18_6_3_No_10_x_7/16_UNC_STEEL_X_RECESSED_OVAL_CSK_TYPE_IA_SCREW	No_10	0.19	24	0.041666667	0.2798	2	Y	1.5	7/16	0.4375	0.362	0.333	0.116	0.06	0.176	0.202	0.132	0.041	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_10 x 1/2 UNC STEEL X RECESSED OVAL CSK TYPE IA	ASME_B18_6_3_No_10_x_1/2_UNC_STEEL_X_RECESSED_OVAL_CSK_TYPE_IA_SCREW	No_10	0.19	24	0.041666667	0.3423	2	Y	1.5	1/2	0.5000	0.362	0.333	0.116	0.06	0.176	0.202	0.132	0.041	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_10 x 9/16 UNC STEEL X RECESSED OVAL CSK TYPE IA	ASME_B18_6_3_No_10_x_9/16_UNC_STEEL_X_RECESSED_OVAL_CSK_TYPE_IA_SCREW	No_10	0.19	24	0.041666667	0.4048	2	Y	1.5	9/16	0.5625	0.362	0.333	0.116	0.06	0.176	0.202	0.132	0.041	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_10 x 5/8 UNC STEEL X RECESSED OVAL CSK TYPE IA	ASME_B18_6_3_No_10_x_5/8_UNC_STEEL_X_RECESSED_OVAL_CSK_TYPE_IA_SCREW	No_10	0.19	24	0.041666667	0.4257	2	Y	1.5	5/8	0.6250	0.362	0.333	0.116	0.06	0.176	0.202	0.132	0.041	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_10 x 3/4 UNC STEEL X RECESSED OVAL CSK TYPE IA	ASME_B18_6_3_No_10_x_3/4_UNC_STEEL_X_RECESSED_OVAL_CSK_TYPE_IA_SCREW	No_10	0.19	24	0.041666667	0.5507	2	Y	1.5	3/4	0.7500	0.362	0.333	0.116	0.06	0.176	0.202	0.132	0.041	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_10 x 7/8 UNC STEEL X RECESSED OVAL CSK TYPE IA	ASME_B18_6_3_No_10_x_7/8_UNC_STEEL_X_RECESSED_OVAL_CSK_TYPE_IA_SCREW	No_10	0.19	24	0.041666667	0.6757	2	Y	1.5	7/8	0.8750	0.362	0.333	0.116	0.06	0.176	0.202	0.132	0.041	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_10 x 1 UNC STEEL X RECESSED OVAL CSK TYPE IA	ASME_B18_6_3_No_10_x_1_UNC_STEEL_X_RECESSED_OVAL_CSK_TYPE_IA_SCREW	No_10	0.19	24	0.041666667	0.8007	2	Y	1.5	1	1.0000	0.362	0.333	0.116	0.06	0.176	0.202	0.132	0.041	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_10 x 1_1/4 UNC STEEL X RECESSED OVAL CSK TYPE IA	ASME_B18_6_3_No_10_x_1_1/4_UNC_STEEL_X_RECESSED_OVAL_CSK_TYPE_IA_SCREW	No_10	0.19	24	0.041666667	1.0507	2	Y	1.5	1_1/4	1.2500	0.362	0.333	0.116	0.06	0.176	0.202	0.132	0.041	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_10 x 1_1/2 UNC STEEL X RECESSED OVAL CSK TYPE IA	ASME_B18_6_3_No_10_x_1_1/2_UNC_STEEL_X_RECESSED_OVAL_CSK_TYPE_IA_SCREW	No_10	0.19	24	0.041666667	1.3007	2	Y	1.5	1_1/2	1.5000	0.362	0.333	0.116	0.06	0.176	0.202	0.132	0.041	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_10 x 1_3/4 UNC STEEL X RECESSED OVAL CSK TYPE IA	ASME_B18_6_3_No_10_x_1_3/4_UNC_STEEL_X_RECESSED_OVAL_CSK_TYPE_IA_SCREW	No_10	0.19	24	0.041666667	1.5507	2	Y	1.5	1_3/4	1.7500	0.362	0.333	0.116	0.06	0.176	0.202	0.132	0.041	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_10 x 2 UNC STEEL X RECESSED OVAL CSK TYPE IA	ASME_B18_6_3_No_10_x_2_UNC_STEEL_X_RECESSED_OVAL_CSK_TYPE_IA_SCREW	No_10	0.19	24	0.041666667	1.8007	2	Y	1.5	2	2.0000	0.362	0.333	0.116	0.06	0.176	0.202	0.132	0.041	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_10 x 2_1/4 UNC STEEL X RECESSED OVAL CSK TYPE IA	ASME_B18_6_3_No_10_x_2_1/4_UNC_STEEL_X_RECESSED_OVAL_CSK_TYPE_IA_SCREW	No_10	0.19	24	0.041666667	1.5000	2	N	1.5	2_1/4	2.2500	0.362	0.333	0.116	0.06	0.176	0.202	0.132	0.041	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_10 x 2_1/2 UNC STEEL X RECESSED OVAL CSK TYPE IA	ASME_B18_6_3_No_10_x_2_1/2_UNC_STEEL_X_RECESSED_OVAL_CSK_TYPE_IA_SCREW	No_10	0.19	24	0.041666667	1.5000	2	N	1.5	2_1/2	2.5000	0.362	0.333	0.116	0.06	0.176	0.202	0.132	0.041	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_10 x 2_3/4 UNC STEEL X RECESSED OVAL CSK TYPE IA	ASME_B18_6_3_No_10_x_2_3/4_UNC_STEEL_X_RECESSED_OVAL_CSK_TYPE_IA_SCREW	No_10	0.19	24	0.041666667	1.5000	2	N	1.5	2_3/4	2.7500	0.362	0.333	0.116	0.06	0.176	0.202	0.132	0.041	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_10 x 3 UNC STEEL X RECESSED OVAL CSK TYPE IA	ASME_B18_6_3_No_10_x_3_UNC_STEEL_X_RECESSED_OVAL_CSK_TYPE_IA_SCREW	No_10	0.19	24	0.041666667	1.5000	2	N	1.5	3	3.0000	0.362	0.333	0.116	0.06	0.176	0.202	0.132	0.041	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_12 x 5/16 UNC STEEL X RECESSED OVAL CSK TYPE IA	ASME_B18_6_3_No_12_x_5/16_UNC_STEEL_X_RECESSED_OVAL_CSK_TYPE_IA_SCREW	No_12	0.216	24	0.041666667	0.1388	2	Y	1.5	5/16	0.3125	0.412	0.38	0.132	0.068	0.2	0.264	0.148	0.056	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_12 x 3/8 UNC STEEL X RECESSED OVAL CSK TYPE IA	ASME_B18_6_3_No_12_x_3/8_UNC_STEEL_X_RECESSED_OVAL_CSK_TYPE_IA_SCREW	No_12	0.216	24	0.041666667	0.2013	2	Y	1.5	3/8	0.3750	0.412	0.38	0.132	0.068	0.2	0.264	0.148	0.056	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_12 x 7/16 UNC STEEL X RECESSED OVAL CSK TYPE IA	ASME_B18_6_3_No_12_x_7/16_UNC_STEEL_X_RECESSED_OVAL_CSK_TYPE_IA_SCREW	No_12	0.216	24	0.041666667	0.2638	2	Y	1.5	7/16	0.4375	0.412	0.38	0.132	0.068	0.2	0.264	0.148	0.056	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_12 x 1/2 UNC STEEL X RECESSED OVAL CSK TYPE IA	ASME_B18_6_3_No_12_x_1/2_UNC_STEEL_X_RECESSED_OVAL_CSK_TYPE_IA_SCREW	No_12	0.216	24	0.041666667	0.3263	2	Y	1.5	1/2	0.5000	0.412	0.38	0.132	0.068	0.2	0.264	0.148	0.056	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_12 x 9/16 UNC STEEL X RECESSED OVAL CSK TYPE IA	ASME_B18_6_3_No_12_x_9/16_UNC_STEEL_X_RECESSED_OVAL_CSK_TYPE_IA_SCREW	No_12	0.216	24	0.041666667	0.3888	2	Y	1.5	9/16	0.5625	0.412	0.38	0.132	0.068	0.2	0.264	0.148	0.056	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_12 x 5/8 UNC STEEL X RECESSED OVAL CSK TYPE IA	ASME_B18_6_3_No_12_x_5/8_UNC_STEEL_X_RECESSED_OVAL_CSK_TYPE_IA_SCREW	No_12	0.216	24	0.041666667	0.4513	2	Y	1.5	5/8	0.6250	0.412	0.38	0.132	0.068	0.2	0.264	0.148	0.056	St	ASME B18.6.3	1998
