PartNumber	PartName	Nominal_size(ref)	Nominal_size(in)	t.p.i.	Pitch(in)	Threading(in)	threshold	FullyThreaded	MinimumThread	Length(ref)	L_length(in)	A_dia_max_dia(in)	A_dia_min_dia(in)	H_side_height(in)	C_head_crown_height(in)	O_total_head_height(in)	M_recess(in)	T_recess_Depth(in)	N_recess_width(in)	Material	Reference	Edition
ASME B18.6.3 SCREW 5/16 x 1_3/4 UNC STEEL X RECESSED OVAL CSK TYPE IA	ASME_B18_6_3_5/16_x_1_3/4_UNC_STEEL_X_RECESSED_OVAL_CSK_TYPE_IA_SCREW	5/16	0.313	18	0.055555556	1.4479	2	Y	1.5	1_3/4	1.7500	0.597	0.556	0.191	0.099	0.29	0.384	0.232	0.086	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW 5/16 x 2 UNC STEEL X RECESSED OVAL CSK TYPE IA	ASME_B18_6_3_5/16_x_2_UNC_STEEL_X_RECESSED_OVAL_CSK_TYPE_IA_SCREW	5/16	0.313	18	0.055555556	1.6979	2	Y	1.5	2	2.0000	0.597	0.556	0.191	0.099	0.29	0.384	0.232	0.086	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW 5/16 x 2_1/4 UNC STEEL X RECESSED OVAL CSK TYPE IA	ASME_B18_6_3_5/16_x_2_1/4_UNC_STEEL_X_RECESSED_OVAL_CSK_TYPE_IA_SCREW	5/16	0.313	18	0.055555556	1.5000	2	N	1.5	2_1/4	2.2500	0.597	0.556	0.191	0.099	0.29	0.384	0.232	0.086	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW 5/16 x 2_1/2 UNC STEEL X RECESSED OVAL CSK TYPE IA	ASME_B18_6_3_5/16_x_2_1/2_UNC_STEEL_X_RECESSED_OVAL_CSK_TYPE_IA_SCREW	5/16	0.313	18	0.055555556	1.5000	2	N	1.5	2_1/2	2.5000	0.597	0.556	0.191	0.099	0.29	0.384	0.232	0.086	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW 5/16 x 2_3/4 UNC STEEL X RECESSED OVAL CSK TYPE IA	ASME_B18_6_3_5/16_x_2_3/4_UNC_STEEL_X_RECESSED_OVAL_CSK_TYPE_IA_SCREW	5/16	0.313	18	0.055555556	1.5000	2	N	1.5	2_3/4	2.7500	0.597	0.556	0.191	0.099	0.29	0.384	0.232	0.086	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW 5/16 x 3 UNC STEEL X RECESSED OVAL CSK TYPE IA	ASME_B18_6_3_5/16_x_3_UNC_STEEL_X_RECESSED_OVAL_CSK_TYPE_IA_SCREW	5/16	0.313	18	0.055555556	1.5000	2	N	1.5	3	3.0000	0.597	0.556	0.191	0.099	0.29	0.384	0.232	0.086	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW 5/16 x 3_1/4 UNC STEEL X RECESSED OVAL CSK TYPE IA	ASME_B18_6_3_5/16_x_3_1/4_UNC_STEEL_X_RECESSED_OVAL_CSK_TYPE_IA_SCREW	5/16	0.313	18	0.055555556	1.5000	2	N	1.5	3_1/4	3.2500	0.597	0.556	0.191	0.099	0.29	0.384	0.232	0.086	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW 5/16 x 3_1/2 UNC STEEL X RECESSED OVAL CSK TYPE IA	ASME_B18_6_3_5/16_x_3_1/2_UNC_STEEL_X_RECESSED_OVAL_CSK_TYPE_IA_SCREW	5/16	0.313	18	0.055555556	1.5000	2	N	1.5	3_1/2	3.5000	0.597	0.556	0.191	0.099	0.29	0.384	0.232	0.086	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW 5/16 x 4 UNC STEEL X RECESSED OVAL CSK TYPE IA	ASME_B18_6_3_5/16_x_4_UNC_STEEL_X_RECESSED_OVAL_CSK_TYPE_IA_SCREW	5/16	0.313	18	0.055555556	1.5000	2	N	1.5	4	4.0000	0.597	0.556	0.191	0.099	0.29	0.384	0.232	0.086	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW 5/16 x 4_1/2 UNC STEEL X RECESSED OVAL CSK TYPE IA	ASME_B18_6_3_5/16_x_4_1/2_UNC_STEEL_X_RECESSED_OVAL_CSK_TYPE_IA_SCREW	5/16	0.313	18	0.055555556	1.5000	2	N	1.5	4_1/2	4.5000	0.597	0.556	0.191	0.099	0.29	0.384	0.232	0.086	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW 5/16 x 5 UNC STEEL X RECESSED OVAL CSK TYPE IA	ASME_B18_6_3_5/16_x_5_UNC_STEEL_X_RECESSED_OVAL_CSK_TYPE_IA_SCREW	5/16	0.313	18	0.055555556	1.5000	2	N	1.5	5	5.0000	0.597	0.556	0.191	0.099	0.29	0.384	0.232	0.086	St	ASME B18.6.3	1998
