PartNumber	PartName	Nominal_size(ref)	Nominal_size(in)	t.p.i.	Pitch(in)	Threading(in)	FullyThreaded	multiplier/increment	Length(ref)	L_length(in)	E_full_size_body_max_dia(in)	E_full_size_body_min_dia(in)	F_width_across_flats_basic(in)	F_width_across_flats_max(in)	F_width_across_flats_min(in)	G_width_across_corners_max(in)	G_width_across_corners_min(in)	H_head_height_basic(in)	H_head_height_max(in)	H_head_height_min(in)	R_fillet_rad(in)	J_wrenching_height(in)	Y_transition_thread_length(in)	Material	Reference	Edition
ASME B18.2.1 SCREW 1_1/8 x 5.5 UNC STEEL HEXAGON CAP	ASME_B18_2_1_1_1/8_x_5.5_UNC_STEEL_HEXAGON_CAP_SCREW	1_1/8	1.125	7	0.1429	2.500	N	0.25	5  1/2 	5.5	1.125	1.114	1.688	1.688	1.631	1.949	1.859	0.688	0.718	0.658	0.09	0.461	0.714	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 1_1/8 x 6 UNC STEEL HEXAGON CAP	ASME_B18_2_1_1_1/8_x_6_UNC_STEEL_HEXAGON_CAP_SCREW	1_1/8	1.125	7	0.1429	2.500	N	0.25	6      	6.0	1.125	1.114	1.688	1.688	1.631	1.949	1.859	0.688	0.718	0.658	0.09	0.461	0.714	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 1_1/8 x 6.5 UNC STEEL HEXAGON CAP	ASME_B18_2_1_1_1/8_x_6.5_UNC_STEEL_HEXAGON_CAP_SCREW	1_1/8	1.125	7	0.1429	2.750	N	0.5	6  1/2 	6.5	1.125	1.114	1.688	1.688	1.631	1.949	1.859	0.688	0.718	0.658	0.09	0.461	0.714	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 1_1/8 x 7 UNC STEEL HEXAGON CAP	ASME_B18_2_1_1_1/8_x_7_UNC_STEEL_HEXAGON_CAP_SCREW	1_1/8	1.125	7	0.1429	2.750	N	0.5	7      	7.0	1.125	1.114	1.688	1.688	1.631	1.949	1.859	0.688	0.718	0.658	0.09	0.461	0.714	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 1_1/8 x 7.5 UNC STEEL HEXAGON CAP	ASME_B18_2_1_1_1/8_x_7.5_UNC_STEEL_HEXAGON_CAP_SCREW	1_1/8	1.125	7	0.1429	2.750	N	0.5	7  1/2 	7.5	1.125	1.114	1.688	1.688	1.631	1.949	1.859	0.688	0.718	0.658	0.09	0.461	0.714	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 1_1/8 x 8 UNC STEEL HEXAGON CAP	ASME_B18_2_1_1_1/8_x_8_UNC_STEEL_HEXAGON_CAP_SCREW	1_1/8	1.125	7	0.1429	2.750	N	0.5	8      	8.0	1.125	1.114	1.688	1.688	1.631	1.949	1.859	0.688	0.718	0.658	0.09	0.461	0.714	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 1_1/4 x 1.25 UNC STEEL HEXAGON CAP	ASME_B18_2_1_1_1/4_x_1.25_UNC_STEEL_HEXAGON_CAP_SCREW	1_1/4	1.25	7	0.1429	0.893	Y	2.5	1  1/4 	1.25	1.25	1.239	1.875	1.875	1.812	2.165	2.066	0.781	0.813	0.749	0.09	0.53	0.714	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 1_1/4 x 1.375 UNC STEEL HEXAGON CAP	ASME_B18_2_1_1_1/4_x_1.375_UNC_STEEL_HEXAGON_CAP_SCREW	1_1/4	1.25	7	0.1429	1.018	Y	2.5	1  3/8 	1.375	1.25	1.239	1.875	1.875	1.812	2.165	2.066	0.781	0.813	0.749	0.09	0.53	0.714	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 1_1/4 x 1.5 UNC STEEL HEXAGON CAP	ASME_B18_2_1_1_1/4_x_1.5_UNC_STEEL_HEXAGON_CAP_SCREW	1_1/4	1.25	7	0.1429	1.143	Y	2.5	1  1/2 	1.5	1.25	1.239	1.875	1.875	1.812	2.165	2.066	0.781	0.813	0.749	0.09	0.53	0.714	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 1_1/4 x 1.75 UNC STEEL HEXAGON CAP	ASME_B18_2_1_1_1/4_x_1.75_UNC_STEEL_HEXAGON_CAP_SCREW	1_1/4	1.25	7	0.1429	1.393	Y	2.5	1  3/4 	1.75	1.25	1.239	1.875	1.875	1.812	2.165	2.066	0.781	0.813	0.749	0.09	0.53	0.714	St	ASME B18.2.1	1996
