PartNumber	PartName	Nominal_size(ref)	Basic_shoulder_dia(in)	D_shoulder_dia(in)	Length(ref)	L_length(in)	A_head_dia(in)	H_head_height(in)	C_chamfer(in)	J_Hex_scocket_Size(in)	T_key_engagement(in)	M_fillettransition_dia(in)	R_heda_fillet_radius(in)	K_shoulder_neck_dia(in)	F_shoulder_neck_width(in)	D1_nominal_thread_size(ref)	Nominal_size(in)	t.p.i.	Pitch(in)	Threading(in)	G_thread_neck_dia(in)	I_thread_neck_width(in)	N_thread_neck_fillet(in)	E_thread_length(in)	Material	Reference	Edition
ASME B.18.3 SCREW 3/8 x 5.5 UNC STEEL HEXAGON SOCKET HEAD SHOULDER	ASM_B18_3_3/8_x_5.5_UNC_STEEL_HEXAGON_SOCKET_HEAD_SHOULDER_SCREW	3/8	0.375	0.373	5  1/2 	5.5	0.562	0.25	0.031	0.188	0.141	0.413	0.015	0.352	0.093	5/16	0.3125	16	0.0625	0.357	0.249	0.111	0.031	0.5	St	ASME B18.3	1998
ASME B.18.3 SCREW 3/8 x 6 UNC STEEL HEXAGON SOCKET HEAD SHOULDER	ASM_B18_3_3/8_x_6_UNC_STEEL_HEXAGON_SOCKET_HEAD_SHOULDER_SCREW	3/8	0.375	0.373	6      	6.0	0.562	0.25	0.031	0.188	0.141	0.413	0.015	0.352	0.093	5/16	0.3125	16	0.0625	0.357	0.249	0.111	0.031	0.5	St	ASME B18.3	1998
ASME B.18.3 SCREW 3/8 x 6.5 UNC STEEL HEXAGON SOCKET HEAD SHOULDER	ASM_B18_3_3/8_x_6.5_UNC_STEEL_HEXAGON_SOCKET_HEAD_SHOULDER_SCREW	3/8	0.375	0.373	6  1/2 	6.5	0.562	0.25	0.031	0.188	0.141	0.413	0.015	0.352	0.093	5/16	0.3125	16	0.0625	0.357	0.249	0.111	0.031	0.5	St	ASME B18.3	1998
ASME B.18.3 SCREW 3/8 x 7 UNC STEEL HEXAGON SOCKET HEAD SHOULDER	ASM_B18_3_3/8_x_7_UNC_STEEL_HEXAGON_SOCKET_HEAD_SHOULDER_SCREW	3/8	0.375	0.373	7      	7.0	0.562	0.25	0.031	0.188	0.141	0.413	0.015	0.352	0.093	5/16	0.3125	16	0.0625	0.357	0.249	0.111	0.031	0.5	St	ASME B18.3	1998
ASME B.18.3 SCREW 1/2 x 0.5 UNC STEEL HEXAGON SOCKET HEAD SHOULDER	ASM_B18_3_1/2_x_0.5_UNC_STEEL_HEXAGON_SOCKET_HEAD_SHOULDER_SCREW	1/2	0.5	0.498	  1/2 	0.5	0.75	0.312	0.04	0.25	0.188	0.55	0.02	0.477	0.093	3/8	0.375	13	0.0769	0.465	0.304	0.125	0.035	0.625	St	ASME B18.3	1998
ASME B.18.3 SCREW 1/2 x 0.625 UNC STEEL HEXAGON SOCKET HEAD SHOULDER	ASM_B18_3_1/2_x_0.625_UNC_STEEL_HEXAGON_SOCKET_HEAD_SHOULDER_SCREW	1/2	0.5	0.498	  5/8 	0.625	0.75	0.312	0.04	0.25	0.188	0.55	0.02	0.477	0.093	3/8	0.375	13	0.0769	0.465	0.304	0.125	0.035	0.625	St	ASME B18.3	1998
ASME B.18.3 SCREW 1/2 x 0.75 UNC STEEL HEXAGON SOCKET HEAD SHOULDER	ASM_B18_3_1/2_x_0.75_UNC_STEEL_HEXAGON_SOCKET_HEAD_SHOULDER_SCREW	1/2	0.5	0.498	  3/4 	0.75	0.75	0.312	0.04	0.25	0.188	0.55	0.02	0.477	0.093	3/8	0.375	13	0.0769	0.465	0.304	0.125	0.035	0.625	St	ASME B18.3	1998
ASME B.18.3 SCREW 1/2 x 1 UNC STEEL HEXAGON SOCKET HEAD SHOULDER	ASM_B18_3_1/2_x_1_UNC_STEEL_HEXAGON_SOCKET_HEAD_SHOULDER_SCREW	1/2	0.5	0.498	1      	1.0	0.75	0.312	0.04	0.25	0.188	0.55	0.02	0.477	0.093	3/8	0.375	13	0.0769	0.465	0.304	0.125	0.035	0.625	St	ASME B18.3	1998
ASME B.18.3 SCREW 1/2 x 1.25 UNC STEEL HEXAGON SOCKET HEAD SHOULDER	ASM_B18_3_1/2_x_1.25_UNC_STEEL_HEXAGON_SOCKET_HEAD_SHOULDER_SCREW	1/2	0.5	0.498	1  1/4 	1.25	0.75	0.312	0.04	0.25	0.188	0.55	0.02	0.477	0.093	3/8	0.375	13	0.0769	0.465	0.304	0.125	0.035	0.625	St	ASME B18.3	1998
ASME B.18.3 SCREW 1/2 x 1.5 UNC STEEL HEXAGON SOCKET HEAD SHOULDER	ASM_B18_3_1/2_x_1.5_UNC_STEEL_HEXAGON_SOCKET_HEAD_SHOULDER_SCREW	1/2	0.5	0.498	1  1/2 	1.5	0.75	0.312	0.04	0.25	0.188	0.55	0.02	0.477	0.093	3/8	0.375	13	0.0769	0.465	0.304	0.125	0.035	0.625	St	ASME B18.3	1998
