PartNumber	PartName	Nominal_size(ref)	Nominal_size(in)	t.p.i.	Pitch(in)	Threading(in)	Min_Thread(in)	Max_Unthread(in)	Length(ref)	L_length(in)	E_body_dia_max(in)	E_body_dia_min(in)	A_head_dia_max(in)	A_head_dia_min(in)	A_head_dia_absolute_min(in)	F_flat_head_dia_max(in)	H_head_height_max(in)	H_head_height_min(in)	J_Slot_Width_max(in)	J_slot_width_min(in)	T_slot_Depth_max(in)	T_slot_depth_min(in)	Material	Reference	Edition
ANSI B18.5 BOLT 1 x 7 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_1_x_7_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	1	1.0	8	0.1250	2.5	2.5	0.85	7      	7.0	1.022	0.976	1.869	1.81	1.735	0.043	0.537	0.466	0.188	0.166	0.24	0.162	St	ANSI B18.5	1990
ANSI B18.5 BOLT 1 x 7.5 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_1_x_7.5_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	1	1.0	8	0.1250	2.5	2.5	0.85	7  1/2 	7.5	1.022	0.976	1.869	1.81	1.735	0.043	0.537	0.466	0.188	0.166	0.24	0.162	St	ANSI B18.5	1990
ANSI B18.5 BOLT 1 x 8 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_1_x_8_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	1	1.0	8	0.1250	2.5	2.5	0.85	8      	8.0	1.022	0.976	1.869	1.81	1.735	0.043	0.537	0.466	0.188	0.166	0.24	0.162	St	ANSI B18.5	1990
ANSI B18.5 BOLT 1 x 8.5 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_1_x_8.5_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	1	1.0	8	0.1250	2.5	2.5	0.85	8  1/2 	8.5	1.022	0.976	1.869	1.81	1.735	0.043	0.537	0.466	0.188	0.166	0.24	0.162	St	ANSI B18.5	1990
ANSI B18.5 BOLT 1 x 9 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_1_x_9_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	1	1.0	8	0.1250	2.5	2.5	0.85	9      	9.0	1.022	0.976	1.869	1.81	1.735	0.043	0.537	0.466	0.188	0.166	0.24	0.162	St	ANSI B18.5	1990
ANSI B18.5 BOLT 1 x 9.5 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_1_x_9.5_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	1	1.0	8	0.1250	2.5	2.5	0.85	9  1/2 	9.5	1.022	0.976	1.869	1.81	1.735	0.043	0.537	0.466	0.188	0.166	0.24	0.162	St	ANSI B18.5	1990
ANSI B18.5 BOLT 1 x 10 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_1_x_10_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	1	1.0	8	0.1250	2.5	2.5	0.85	10      	10.0	1.022	0.976	1.869	1.81	1.735	0.043	0.537	0.466	0.188	0.166	0.24	0.162	St	ANSI B18.5	1990
ANSI B18.5 BOLT 1_1/8 x 1.75 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_1_1/8_x_1.75_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	1_1/8	1.125	7	0.1429	0.646	2.5	1.104	1  3/4 	1.75	1.149	1.098	2.104	2.037	1.962	0.043	0.604	0.525	0.196	0.178	0.257	0.173	St	ANSI B18.5	1990
ANSI B18.5 BOLT 1_1/8 x 2 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_1_1/8_x_2_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	1_1/8	1.125	7	0.1429	0.896	2.5	1.104	2      	2.0	1.149	1.098	2.104	2.037	1.962	0.043	0.604	0.525	0.196	0.178	0.257	0.173	St	ANSI B18.5	1990
ANSI B18.5 BOLT 1_1/8 x 2.25 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_1_1/8_x_2.25_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	1_1/8	1.125	7	0.1429	1.146	2.5	1.104	2  1/4 	2.25	1.149	1.098	2.104	2.037	1.962	0.043	0.604	0.525	0.196	0.178	0.257	0.173	St	ANSI B18.5	1990
