PartNumber	PartName	Pin_size_number(ref)	Basic_pin_dia	Length(ref)	L_length(in)	A_pin_dia_standard(in)	A_pin_dia_oversize(in)	B_point_dia(in)	C_crown_height(in)	R_end_crown_radius(in)	Material	Reference	Edition
ANSI B18.8.2 PIN 1/4x1/2 STEEL GROUND MACHINE DOWEL 	ANSI_B18_8_2_1/4x1/2_STEEL_GROUND_MACHINE_DOWEL_PIN	1/4	0.25	1/2	0.5	0.25	0.251	0.24	0.083	0.031	St	ASME B18.8.2	2000
ANSI B18.8.2 PIN 1/4x5/8 STEEL GROUND MACHINE DOWEL 	ANSI_B18_8_2_1/4x5/8_STEEL_GROUND_MACHINE_DOWEL_PIN	1/4	0.25	5/8	0.625	0.25	0.251	0.24	0.083	0.031	St	ASME B18.8.2	2000
ANSI B18.8.2 PIN 1/4x3/4 STEEL GROUND MACHINE DOWEL 	ANSI_B18_8_2_1/4x3/4_STEEL_GROUND_MACHINE_DOWEL_PIN	1/4	0.25	3/4	0.75	0.25	0.251	0.24	0.083	0.031	St	ASME B18.8.2	2000
ANSI B18.8.2 PIN 1/4x7/8 STEEL GROUND MACHINE DOWEL 	ANSI_B18_8_2_1/4x7/8_STEEL_GROUND_MACHINE_DOWEL_PIN	1/4	0.25	7/8	0.875	0.25	0.251	0.24	0.083	0.031	St	ASME B18.8.2	2000
ANSI B18.8.2 PIN 1/4x1 STEEL GROUND MACHINE DOWEL 	ANSI_B18_8_2_1/4x1_STEEL_GROUND_MACHINE_DOWEL_PIN	1/4	0.25	1.0	1.0	0.25	0.251	0.24	0.083	0.031	St	ASME B18.8.2	2000
ANSI B18.8.2 PIN 1/4x1_1/4 STEEL GROUND MACHINE DOWEL 	ANSI_B18_8_2_1/4x1_1/4_STEEL_GROUND_MACHINE_DOWEL_PIN	1/4	0.25	1_1/4	1.25	0.25	0.251	0.24	0.083	0.031	St	ASME B18.8.2	2000
ANSI B18.8.2 PIN 1/4x1_1/2 STEEL GROUND MACHINE DOWEL 	ANSI_B18_8_2_1/4x1_1/2_STEEL_GROUND_MACHINE_DOWEL_PIN	1/4	0.25	1_1/2	1.5	0.25	0.251	0.24	0.083	0.031	St	ASME B18.8.2	2000
ANSI B18.8.2 PIN 1/4x1_3/4 STEEL GROUND MACHINE DOWEL 	ANSI_B18_8_2_1/4x1_3/4_STEEL_GROUND_MACHINE_DOWEL_PIN	1/4	0.25	1_3/4	1.75	0.25	0.251	0.24	0.083	0.031	St	ASME B18.8.2	2000
ANSI B18.8.2 PIN 1/4x2 STEEL GROUND MACHINE DOWEL 	ANSI_B18_8_2_1/4x2_STEEL_GROUND_MACHINE_DOWEL_PIN	1/4	0.25	2.0	2.0	0.25	0.251	0.24	0.083	0.031	St	ASME B18.8.2	2000
ANSI B18.8.2 PIN 1/4x2_1/4 STEEL GROUND MACHINE DOWEL 	ANSI_B18_8_2_1/4x2_1/4_STEEL_GROUND_MACHINE_DOWEL_PIN	1/4	0.25	2_1/4	2.25	0.25	0.251	0.24	0.083	0.031	St	ASME B18.8.2	2000
ANSI B18.8.2 PIN 1/4x2_1/2 STEEL GROUND MACHINE DOWEL 	ANSI_B18_8_2_1/4x2_1/2_STEEL_GROUND_MACHINE_DOWEL_PIN	1/4	0.25	2_1/2	2.5	0.25	0.251	0.24	0.083	0.031	St	ASME B18.8.2	2000
ANSI B18.8.2 PIN 5/16x1/2 STEEL GROUND MACHINE DOWEL 	ANSI_B18_8_2_5/16x1/2_STEEL_GROUND_MACHINE_DOWEL_PIN	5/16	0.313	1/2	0.5	0.313	0.314	0.302	0.104	0.039	St	ASME B18.8.2	2000
