PartNumber	PartName	Nominal_size(ref)	Nominal_size(in)	t.p.i.	Pitch(in)	Threading(in)	threshold	FullyThreaded	MinimumThread	Length(ref)	L_length(in)	A_dia_max_dia(in)	A_dia_min_dia(in)	H_dia_max(in)	H_dia_min(in)	R_head_radius(in)	J_slot_width_max(in)	J_slot_width_mix(in)	T_slot_depth_max(in)	T_slot_depth_min(in)	Material	Reference	Edition
ASME B18.6.3 SCREW No_10 x 1/4 UNC STEEL SCREW SLOTTED PAN HEAD	ASME_B18_6_3_No_10_x_1/4_UNC_STEEL_SCREW_SLOTTED_PAN_HEAD_SCREW	No_10	0.19	24	0.0417	0.208	2.0	Y	1.5	1/4	0.25	0.373	0.357	0.11	0.099	0.061	0.06	0.05	0.068	0.053	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_10 x 5/16 UNC STEEL SCREW SLOTTED PAN HEAD	ASME_B18_6_3_No_10_x_5/16_UNC_STEEL_SCREW_SLOTTED_PAN_HEAD_SCREW	No_10	0.19	24	0.0417	0.271	2.0	Y	1.5	5/16	0.313	0.373	0.357	0.11	0.099	0.061	0.06	0.05	0.068	0.053	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_10 x 3/8 UNC STEEL SCREW SLOTTED PAN HEAD	ASME_B18_6_3_No_10_x_3/8_UNC_STEEL_SCREW_SLOTTED_PAN_HEAD_SCREW	No_10	0.19	24	0.0417	0.333	2.0	Y	1.5	3/8	0.375	0.373	0.357	0.11	0.099	0.061	0.06	0.05	0.068	0.053	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_10 x 7/16 UNC STEEL SCREW SLOTTED PAN HEAD	ASME_B18_6_3_No_10_x_7/16_UNC_STEEL_SCREW_SLOTTED_PAN_HEAD_SCREW	No_10	0.19	24	0.0417	0.396	2.0	Y	1.5	7/16	0.438	0.373	0.357	0.11	0.099	0.061	0.06	0.05	0.068	0.053	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_10 x 1/2 UNC STEEL SCREW SLOTTED PAN HEAD	ASME_B18_6_3_No_10_x_1/2_UNC_STEEL_SCREW_SLOTTED_PAN_HEAD_SCREW	No_10	0.19	24	0.0417	0.458	2.0	Y	1.5	1/2	0.5	0.373	0.357	0.11	0.099	0.061	0.06	0.05	0.068	0.053	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_10 x 9/16 UNC STEEL SCREW SLOTTED PAN HEAD	ASME_B18_6_3_No_10_x_9/16_UNC_STEEL_SCREW_SLOTTED_PAN_HEAD_SCREW	No_10	0.19	24	0.0417	0.521	2.0	Y	1.5	9/16	0.563	0.373	0.357	0.11	0.099	0.061	0.06	0.05	0.068	0.053	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_10 x 5/8 UNC STEEL SCREW SLOTTED PAN HEAD	ASME_B18_6_3_No_10_x_5/8_UNC_STEEL_SCREW_SLOTTED_PAN_HEAD_SCREW	No_10	0.19	24	0.0417	0.542	2.0	Y	1.5	5/8	0.625	0.373	0.357	0.11	0.099	0.061	0.06	0.05	0.068	0.053	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_10 x 3/4 UNC STEEL SCREW SLOTTED PAN HEAD	ASME_B18_6_3_No_10_x_3/4_UNC_STEEL_SCREW_SLOTTED_PAN_HEAD_SCREW	No_10	0.19	24	0.0417	0.667	2.0	Y	1.5	3/4	0.75	0.373	0.357	0.11	0.099	0.061	0.06	0.05	0.068	0.053	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_10 x 7/8 UNC STEEL SCREW SLOTTED PAN HEAD	ASME_B18_6_3_No_10_x_7/8_UNC_STEEL_SCREW_SLOTTED_PAN_HEAD_SCREW	No_10	0.19	24	0.0417	0.792	2.0	Y	1.5	7/8	0.875	0.373	0.357	0.11	0.099	0.061	0.06	0.05	0.068	0.053	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_10 x 1 UNC STEEL SCREW SLOTTED PAN HEAD	ASME_B18_6_3_No_10_x_1_UNC_STEEL_SCREW_SLOTTED_PAN_HEAD_SCREW	No_10	0.19	24	0.0417	0.917	2.0	Y	1.5	1	1.0	0.373	0.357	0.11	0.099	0.061	0.06	0.05	0.068	0.053	St	ASME B18.6.3	1998
