PartNumber	PartName	Nominal_size(ref)	Nominal_size(in)	t.p.i.	Pitch(in)	Threading(in)	threshold	FullyThreaded	MinimumThread	Length(ref)	L_length(in)	A_dia_max_dia(in)	A_dia_min_dia(in)	H_dia_max(in)	H_dia_min(in)	R_head_radius(in)	J_slot_width_max(in)	J_slot_width_mix(in)	T_slot_depth_max(in)	T_slot_depth_min(in)	Material	Reference	Edition
ASME B18.6.3 SCREW No_10 x 1_1/4 UNC STEEL SCREW SLOTTED PAN HEAD	ASME_B18_6_3_No_10_x_1_1/4_UNC_STEEL_SCREW_SLOTTED_PAN_HEAD_SCREW	No_10	0.19	24	0.0417	1.167	2.0	Y	1.5	1_1/4	1.25	0.373	0.357	0.11	0.099	0.061	0.06	0.05	0.068	0.053	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_10 x 1_1/2 UNC STEEL SCREW SLOTTED PAN HEAD	ASME_B18_6_3_No_10_x_1_1/2_UNC_STEEL_SCREW_SLOTTED_PAN_HEAD_SCREW	No_10	0.19	24	0.0417	1.417	2.0	Y	1.5	1_1/2	1.5	0.373	0.357	0.11	0.099	0.061	0.06	0.05	0.068	0.053	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_10 x 1_3/4 UNC STEEL SCREW SLOTTED PAN HEAD	ASME_B18_6_3_No_10_x_1_3/4_UNC_STEEL_SCREW_SLOTTED_PAN_HEAD_SCREW	No_10	0.19	24	0.0417	1.667	2.0	Y	1.5	1_3/4	1.75	0.373	0.357	0.11	0.099	0.061	0.06	0.05	0.068	0.053	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_10 x 2 UNC STEEL SCREW SLOTTED PAN HEAD	ASME_B18_6_3_No_10_x_2_UNC_STEEL_SCREW_SLOTTED_PAN_HEAD_SCREW	No_10	0.19	24	0.0417	1.917	2.0	Y	1.5	2	2.0	0.373	0.357	0.11	0.099	0.061	0.06	0.05	0.068	0.053	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_10 x 2_1/4 UNC STEEL SCREW SLOTTED PAN HEAD	ASME_B18_6_3_No_10_x_2_1/4_UNC_STEEL_SCREW_SLOTTED_PAN_HEAD_SCREW	No_10	0.19	24	0.0417	1.5	2.0	N	1.5	2_1/4	2.25	0.373	0.357	0.11	0.099	0.061	0.06	0.05	0.068	0.053	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_10 x 2_1/2 UNC STEEL SCREW SLOTTED PAN HEAD	ASME_B18_6_3_No_10_x_2_1/2_UNC_STEEL_SCREW_SLOTTED_PAN_HEAD_SCREW	No_10	0.19	24	0.0417	1.5	2.0	N	1.5	2_1/2	2.5	0.373	0.357	0.11	0.099	0.061	0.06	0.05	0.068	0.053	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_10 x 2_3/4 UNC STEEL SCREW SLOTTED PAN HEAD	ASME_B18_6_3_No_10_x_2_3/4_UNC_STEEL_SCREW_SLOTTED_PAN_HEAD_SCREW	No_10	0.19	24	0.0417	1.5	2.0	N	1.5	2_3/4	2.75	0.373	0.357	0.11	0.099	0.061	0.06	0.05	0.068	0.053	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_10 x 3 UNC STEEL SCREW SLOTTED PAN HEAD	ASME_B18_6_3_No_10_x_3_UNC_STEEL_SCREW_SLOTTED_PAN_HEAD_SCREW	No_10	0.19	24	0.0417	1.5	2.0	N	1.5	3	3.0	0.373	0.357	0.11	0.099	0.061	0.06	0.05	0.068	0.053	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_12 x 1/8 UNC STEEL SCREW SLOTTED PAN HEAD	ASME_B18_6_3_No_12_x_1/8_UNC_STEEL_SCREW_SLOTTED_PAN_HEAD_SCREW	No_12	0.216	24	0.0417	0.083	2.0	Y	1.5	1/8	0.125	0.425	0.407	0.125	0.112	0.078	0.067	0.056	0.077	0.061	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_12 x 5/32 UNC STEEL SCREW SLOTTED PAN HEAD	ASME_B18_6_3_No_12_x_5/32_UNC_STEEL_SCREW_SLOTTED_PAN_HEAD_SCREW	No_12	0.216	24	0.0417	0.115	2.0	Y	1.5	5/32	0.156	0.425	0.407	0.125	0.112	0.078	0.067	0.056	0.077	0.061	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_12 x 3/16 UNC STEEL SCREW SLOTTED PAN HEAD	ASME_B18_6_3_No_12_x_3/16_UNC_STEEL_SCREW_SLOTTED_PAN_HEAD_SCREW	No_12	0.216	24	0.0417	0.146	2.0	Y	1.5	3/16	0.188	0.425	0.407	0.125	0.112	0.078	0.067	0.056	0.077	0.061	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_12 x 1/4 UNC STEEL SCREW SLOTTED PAN HEAD	ASME_B18_6_3_No_12_x_1/4_UNC_STEEL_SCREW_SLOTTED_PAN_HEAD_SCREW	No_12	0.216	24	0.0417	0.208	2.0	Y	1.5	1/4	0.25	0.425	0.407	0.125	0.112	0.078	0.067	0.056	0.077	0.061	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_12 x 5/16 UNC STEEL SCREW SLOTTED PAN HEAD	ASME_B18_6_3_No_12_x_5/16_UNC_STEEL_SCREW_SLOTTED_PAN_HEAD_SCREW	No_12	0.216	24	0.0417	0.271	2.0	Y	1.5	5/16	0.313	0.425	0.407	0.125	0.112	0.078	0.067	0.056	0.077	0.061	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_12 x 3/8 UNC STEEL SCREW SLOTTED PAN HEAD	ASME_B18_6_3_No_12_x_3/8_UNC_STEEL_SCREW_SLOTTED_PAN_HEAD_SCREW	No_12	0.216	24	0.0417	0.333	2.0	Y	1.5	3/8	0.375	0.425	0.407	0.125	0.112	0.078	0.067	0.056	0.077	0.061	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_12 x 7/16 UNC STEEL SCREW SLOTTED PAN HEAD	ASME_B18_6_3_No_12_x_7/16_UNC_STEEL_SCREW_SLOTTED_PAN_HEAD_SCREW	No_12	0.216	24	0.0417	0.396	2.0	Y	1.5	7/16	0.438	0.425	0.407	0.125	0.112	0.078	0.067	0.056	0.077	0.061	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_12 x 1/2 UNC STEEL SCREW SLOTTED PAN HEAD	ASME_B18_6_3_No_12_x_1/2_UNC_STEEL_SCREW_SLOTTED_PAN_HEAD_SCREW	No_12	0.216	24	0.0417	0.458	2.0	Y	1.5	1/2	0.5	0.425	0.407	0.125	0.112	0.078	0.067	0.056	0.077	0.061	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_12 x 9/16 UNC STEEL SCREW SLOTTED PAN HEAD	ASME_B18_6_3_No_12_x_9/16_UNC_STEEL_SCREW_SLOTTED_PAN_HEAD_SCREW	No_12	0.216	24	0.0417	0.521	2.0	Y	1.5	9/16	0.563	0.425	0.407	0.125	0.112	0.078	0.067	0.056	0.077	0.061	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_12 x 5/8 UNC STEEL SCREW SLOTTED PAN HEAD	ASME_B18_6_3_No_12_x_5/8_UNC_STEEL_SCREW_SLOTTED_PAN_HEAD_SCREW	No_12	0.216	24	0.0417	0.583	2.0	Y	1.5	5/8	0.625	0.425	0.407	0.125	0.112	0.078	0.067	0.056	0.077	0.061	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_12 x 3/4 UNC STEEL SCREW SLOTTED PAN HEAD	ASME_B18_6_3_No_12_x_3/4_UNC_STEEL_SCREW_SLOTTED_PAN_HEAD_SCREW	No_12	0.216	24	0.0417	0.667	2.0	Y	1.5	3/4	0.75	0.425	0.407	0.125	0.112	0.078	0.067	0.056	0.077	0.061	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_12 x 7/8 UNC STEEL SCREW SLOTTED PAN HEAD	ASME_B18_6_3_No_12_x_7/8_UNC_STEEL_SCREW_SLOTTED_PAN_HEAD_SCREW	No_12	0.216	24	0.0417	0.792	2.0	Y	1.5	7/8	0.875	0.425	0.407	0.125	0.112	0.078	0.067	0.056	0.077	0.061	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_12 x 1 UNC STEEL SCREW SLOTTED PAN HEAD	ASME_B18_6_3_No_12_x_1_UNC_STEEL_SCREW_SLOTTED_PAN_HEAD_SCREW	No_12	0.216	24	0.0417	0.917	2.0	Y	1.5	1	1.0	0.425	0.407	0.125	0.112	0.078	0.067	0.056	0.077	0.061	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_12 x 1_1/4 UNC STEEL SCREW SLOTTED PAN HEAD	ASME_B18_6_3_No_12_x_1_1/4_UNC_STEEL_SCREW_SLOTTED_PAN_HEAD_SCREW	No_12	0.216	24	0.0417	1.167	2.0	Y	1.5	1_1/4	1.25	0.425	0.407	0.125	0.112	0.078	0.067	0.056	0.077	0.061	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_12 x 1_1/2 UNC STEEL SCREW SLOTTED PAN HEAD	ASME_B18_6_3_No_12_x_1_1/2_UNC_STEEL_SCREW_SLOTTED_PAN_HEAD_SCREW	No_12	0.216	24	0.0417	1.417	2.0	Y	1.5	1_1/2	1.5	0.425	0.407	0.125	0.112	0.078	0.067	0.056	0.077	0.061	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_12 x 1_3/4 UNC STEEL SCREW SLOTTED PAN HEAD	ASME_B18_6_3_No_12_x_1_3/4_UNC_STEEL_SCREW_SLOTTED_PAN_HEAD_SCREW	No_12	0.216	24	0.0417	1.667	2.0	Y	1.5	1_3/4	1.75	0.425	0.407	0.125	0.112	0.078	0.067	0.056	0.077	0.061	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_12 x 2 UNC STEEL SCREW SLOTTED PAN HEAD	ASME_B18_6_3_No_12_x_2_UNC_STEEL_SCREW_SLOTTED_PAN_HEAD_SCREW	No_12	0.216	24	0.0417	1.917	2.0	Y	1.5	2	2.0	0.425	0.407	0.125	0.112	0.078	0.067	0.056	0.077	0.061	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_12 x 2_1/4 UNC STEEL SCREW SLOTTED PAN HEAD	ASME_B18_6_3_No_12_x_2_1/4_UNC_STEEL_SCREW_SLOTTED_PAN_HEAD_SCREW	No_12	0.216	24	0.0417	1.5	2.0	N	1.5	2_1/4	2.25	0.425	0.407	0.125	0.112	0.078	0.067	0.056	0.077	0.061	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_12 x 2_1/2 UNC STEEL SCREW SLOTTED PAN HEAD	ASME_B18_6_3_No_12_x_2_1/2_UNC_STEEL_SCREW_SLOTTED_PAN_HEAD_SCREW	No_12	0.216	24	0.0417	1.5	2.0	N	1.5	2_1/2	2.5	0.425	0.407	0.125	0.112	0.078	0.067	0.056	0.077	0.061	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_12 x 2_3/4 UNC STEEL SCREW SLOTTED PAN HEAD	ASME_B18_6_3_No_12_x_2_3/4_UNC_STEEL_SCREW_SLOTTED_PAN_HEAD_SCREW	No_12	0.216	24	0.0417	1.5	2.0	N	1.5	2_3/4	2.75	0.425	0.407	0.125	0.112	0.078	0.067	0.056	0.077	0.061	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_12 x 3 UNC STEEL SCREW SLOTTED PAN HEAD	ASME_B18_6_3_No_12_x_3_UNC_STEEL_SCREW_SLOTTED_PAN_HEAD_SCREW	No_12	0.216	24	0.0417	1.5	2.0	N	1.5	3	3.0	0.425	0.407	0.125	0.112	0.078	0.067	0.056	0.077	0.061	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW 1/4 x 1/4 UNC STEEL SCREW SLOTTED PAN HEAD	ASME_B18_6_3_1/4_x_1/4_UNC_STEEL_SCREW_SLOTTED_PAN_HEAD_SCREW	1/4	0.25	20	0.0500	0.2	2.0	Y	1.5	1/4	0.25	0.492	0.473	0.144	0.13	0.087	0.075	0.064	0.087	0.07	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW 1/4 x 5/16 UNC STEEL SCREW SLOTTED PAN HEAD	ASME_B18_6_3_1/4_x_5/16_UNC_STEEL_SCREW_SLOTTED_PAN_HEAD_SCREW	1/4	0.25	20	0.0500	0.263	2.0	Y	1.5	5/16	0.313	0.492	0.473	0.144	0.13	0.087	0.075	0.064	0.087	0.07	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW 1/4 x 3/8 UNC STEEL SCREW SLOTTED PAN HEAD	ASME_B18_6_3_1/4_x_3/8_UNC_STEEL_SCREW_SLOTTED_PAN_HEAD_SCREW	1/4	0.25	20	0.0500	0.325	2.0	Y	1.5	3/8	0.375	0.492	0.473	0.144	0.13	0.087	0.075	0.064	0.087	0.07	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW 1/4 x 7/16 UNC STEEL SCREW SLOTTED PAN HEAD	ASME_B18_6_3_1/4_x_7/16_UNC_STEEL_SCREW_SLOTTED_PAN_HEAD_SCREW	1/4	0.25	20	0.0500	0.388	2.0	Y	1.5	7/16	0.438	0.492	0.473	0.144	0.13	0.087	0.075	0.064	0.087	0.07	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW 1/4 x 1/2 UNC STEEL SCREW SLOTTED PAN HEAD	ASME_B18_6_3_1/4_x_1/2_UNC_STEEL_SCREW_SLOTTED_PAN_HEAD_SCREW	1/4	0.25	20	0.0500	0.45	2.0	Y	1.5	1/2	0.5	0.492	0.473	0.144	0.13	0.087	0.075	0.064	0.087	0.07	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW 1/4 x 9/16 UNC STEEL SCREW SLOTTED PAN HEAD	ASME_B18_6_3_1/4_x_9/16_UNC_STEEL_SCREW_SLOTTED_PAN_HEAD_SCREW	1/4	0.25	20	0.0500	0.513	2.0	Y	1.5	9/16	0.563	0.492	0.473	0.144	0.13	0.087	0.075	0.064	0.087	0.07	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW 1/4 x 5/8 UNC STEEL SCREW SLOTTED PAN HEAD	ASME_B18_6_3_1/4_x_5/8_UNC_STEEL_SCREW_SLOTTED_PAN_HEAD_SCREW	1/4	0.25	20	0.0500	0.575	2.0	Y	1.5	5/8	0.625	0.492	0.473	0.144	0.13	0.087	0.075	0.064	0.087	0.07	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW 1/4 x 3/4 UNC STEEL SCREW SLOTTED PAN HEAD	ASME_B18_6_3_1/4_x_3/4_UNC_STEEL_SCREW_SLOTTED_PAN_HEAD_SCREW	1/4	0.25	20	0.0500	0.7	2.0	Y	1.5	3/4	0.75	0.492	0.473	0.144	0.13	0.087	0.075	0.064	0.087	0.07	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW 1/4 x 7/8 UNC STEEL SCREW SLOTTED PAN HEAD	ASME_B18_6_3_1/4_x_7/8_UNC_STEEL_SCREW_SLOTTED_PAN_HEAD_SCREW	1/4	0.25	20	0.0500	0.775	2.0	Y	1.5	7/8	0.875	0.492	0.473	0.144	0.13	0.087	0.075	0.064	0.087	0.07	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW 1/4 x 1 UNC STEEL SCREW SLOTTED PAN HEAD	ASME_B18_6_3_1/4_x_1_UNC_STEEL_SCREW_SLOTTED_PAN_HEAD_SCREW	1/4	0.25	20	0.0500	0.9	2.0	Y	1.5	1	1.0	0.492	0.473	0.144	0.13	0.087	0.075	0.064	0.087	0.07	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW 1/4 x 1_1/4 UNC STEEL SCREW SLOTTED PAN HEAD	ASME_B18_6_3_1/4_x_1_1/4_UNC_STEEL_SCREW_SLOTTED_PAN_HEAD_SCREW	1/4	0.25	20	0.0500	1.15	2.0	Y	1.5	1_1/4	1.25	0.492	0.473	0.144	0.13	0.087	0.075	0.064	0.087	0.07	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW 1/4 x 1_1/2 UNC STEEL SCREW SLOTTED PAN HEAD	ASME_B18_6_3_1/4_x_1_1/2_UNC_STEEL_SCREW_SLOTTED_PAN_HEAD_SCREW	1/4	0.25	20	0.0500	1.4	2.0	Y	1.5	1_1/2	1.5	0.492	0.473	0.144	0.13	0.087	0.075	0.064	0.087	0.07	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW 1/4 x 1_3/4 UNC STEEL SCREW SLOTTED PAN HEAD	ASME_B18_6_3_1/4_x_1_3/4_UNC_STEEL_SCREW_SLOTTED_PAN_HEAD_SCREW	1/4	0.25	20	0.0500	1.65	2.0	Y	1.5	1_3/4	1.75	0.492	0.473	0.144	0.13	0.087	0.075	0.064	0.087	0.07	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW 1/4 x 2 UNC STEEL SCREW SLOTTED PAN HEAD	ASME_B18_6_3_1/4_x_2_UNC_STEEL_SCREW_SLOTTED_PAN_HEAD_SCREW	1/4	0.25	20	0.0500	1.9	2.0	Y	1.5	2	2.0	0.492	0.473	0.144	0.13	0.087	0.075	0.064	0.087	0.07	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW 1/4 x 2_1/4 UNC STEEL SCREW SLOTTED PAN HEAD	ASME_B18_6_3_1/4_x_2_1/4_UNC_STEEL_SCREW_SLOTTED_PAN_HEAD_SCREW	1/4	0.25	20	0.0500	1.5	2.0	N	1.5	2_1/4	2.25	0.492	0.473	0.144	0.13	0.087	0.075	0.064	0.087	0.07	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW 1/4 x 2_1/2 UNC STEEL SCREW SLOTTED PAN HEAD	ASME_B18_6_3_1/4_x_2_1/2_UNC_STEEL_SCREW_SLOTTED_PAN_HEAD_SCREW	1/4	0.25	20	0.0500	1.5	2.0	N	1.5	2_1/2	2.5	0.492	0.473	0.144	0.13	0.087	0.075	0.064	0.087	0.07	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW 1/4 x 2_3/4 UNC STEEL SCREW SLOTTED PAN HEAD	ASME_B18_6_3_1/4_x_2_3/4_UNC_STEEL_SCREW_SLOTTED_PAN_HEAD_SCREW	1/4	0.25	20	0.0500	1.5	2.0	N	1.5	2_3/4	2.75	0.492	0.473	0.144	0.13	0.087	0.075	0.064	0.087	0.07	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW 1/4 x 3 UNC STEEL SCREW SLOTTED PAN HEAD	ASME_B18_6_3_1/4_x_3_UNC_STEEL_SCREW_SLOTTED_PAN_HEAD_SCREW	1/4	0.25	20	0.0500	1.5	2.0	N	1.5	3	3.0	0.492	0.473	0.144	0.13	0.087	0.075	0.064	0.087	0.07	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW 1/4 x 3_1/4 UNC STEEL SCREW SLOTTED PAN HEAD	ASME_B18_6_3_1/4_x_3_1/4_UNC_STEEL_SCREW_SLOTTED_PAN_HEAD_SCREW	1/4	0.25	20	0.0500	1.5	2.0	N	1.5	3_1/4	3.25	0.492	0.473	0.144	0.13	0.087	0.075	0.064	0.087	0.07	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW 1/4 x 3_1/2 UNC STEEL SCREW SLOTTED PAN HEAD	ASME_B18_6_3_1/4_x_3_1/2_UNC_STEEL_SCREW_SLOTTED_PAN_HEAD_SCREW	1/4	0.25	20	0.0500	1.5	2.0	N	1.5	3_1/2	3.5	0.492	0.473	0.144	0.13	0.087	0.075	0.064	0.087	0.07	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW 1/4 x 4 UNC STEEL SCREW SLOTTED PAN HEAD	ASME_B18_6_3_1/4_x_4_UNC_STEEL_SCREW_SLOTTED_PAN_HEAD_SCREW	1/4	0.25	20	0.0500	1.5	2.0	N	1.5	4	4.0	0.492	0.473	0.144	0.13	0.087	0.075	0.064	0.087	0.07	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW 1/4 x 4_1/2 UNC STEEL SCREW SLOTTED PAN HEAD	ASME_B18_6_3_1/4_x_4_1/2_UNC_STEEL_SCREW_SLOTTED_PAN_HEAD_SCREW	1/4	0.25	20	0.0500	1.5	2.0	N	1.5	4_1/2	4.5	0.492	0.473	0.144	0.13	0.087	0.075	0.064	0.087	0.07	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW 1/4 x 5 UNC STEEL SCREW SLOTTED PAN HEAD	ASME_B18_6_3_1/4_x_5_UNC_STEEL_SCREW_SLOTTED_PAN_HEAD_SCREW	1/4	0.25	20	0.0500	1.5	2.0	N	1.5	5	5.0	0.492	0.473	0.144	0.13	0.087	0.075	0.064	0.087	0.07	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW 5/16 x 3/8 UNC STEEL SCREW SLOTTED PAN HEAD	ASME_B18_6_3_5/16_x_3/8_UNC_STEEL_SCREW_SLOTTED_PAN_HEAD_SCREW	5/16	0.313	18	0.0556	0.319	2.0	Y	1.5	3/8	0.375	0.615	0.594	0.178	0.162	0.099	0.084	0.072	0.106	0.085	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW 5/16 x 7/16 UNC STEEL SCREW SLOTTED PAN HEAD	ASME_B18_6_3_5/16_x_7/16_UNC_STEEL_SCREW_SLOTTED_PAN_HEAD_SCREW	5/16	0.313	18	0.0556	0.382	2.0	Y	1.5	7/16	0.438	0.615	0.594	0.178	0.162	0.099	0.084	0.072	0.106	0.085	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW 5/16 x 1/2 UNC STEEL SCREW SLOTTED PAN HEAD	ASME_B18_6_3_5/16_x_1/2_UNC_STEEL_SCREW_SLOTTED_PAN_HEAD_SCREW	5/16	0.313	18	0.0556	0.444	2.0	Y	1.5	1/2	0.5	0.615	0.594	0.178	0.162	0.099	0.084	0.072	0.106	0.085	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW 5/16 x 9/16 UNC STEEL SCREW SLOTTED PAN HEAD	ASME_B18_6_3_5/16_x_9/16_UNC_STEEL_SCREW_SLOTTED_PAN_HEAD_SCREW	5/16	0.313	18	0.0556	0.507	2.0	Y	1.5	9/16	0.563	0.615	0.594	0.178	0.162	0.099	0.084	0.072	0.106	0.085	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW 5/16 x 5/8 UNC STEEL SCREW SLOTTED PAN HEAD	ASME_B18_6_3_5/16_x_5/8_UNC_STEEL_SCREW_SLOTTED_PAN_HEAD_SCREW	5/16	0.313	18	0.0556	0.569	2.0	Y	1.5	5/8	0.625	0.615	0.594	0.178	0.162	0.099	0.084	0.072	0.106	0.085	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW 5/16 x 3/4 UNC STEEL SCREW SLOTTED PAN HEAD	ASME_B18_6_3_5/16_x_3/4_UNC_STEEL_SCREW_SLOTTED_PAN_HEAD_SCREW	5/16	0.313	18	0.0556	0.694	2.0	Y	1.5	3/4	0.75	0.615	0.594	0.178	0.162	0.099	0.084	0.072	0.106	0.085	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW 5/16 x 7/8 UNC STEEL SCREW SLOTTED PAN HEAD	ASME_B18_6_3_5/16_x_7/8_UNC_STEEL_SCREW_SLOTTED_PAN_HEAD_SCREW	5/16	0.313	18	0.0556	0.819	2.0	Y	1.5	7/8	0.875	0.615	0.594	0.178	0.162	0.099	0.084	0.072	0.106	0.085	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW 5/16 x 1 UNC STEEL SCREW SLOTTED PAN HEAD	ASME_B18_6_3_5/16_x_1_UNC_STEEL_SCREW_SLOTTED_PAN_HEAD_SCREW	5/16	0.313	18	0.0556	0.889	2.0	Y	1.5	1	1.0	0.615	0.594	0.178	0.162	0.099	0.084	0.072	0.106	0.085	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW 5/16 x 1_1/4 UNC STEEL SCREW SLOTTED PAN HEAD	ASME_B18_6_3_5/16_x_1_1/4_UNC_STEEL_SCREW_SLOTTED_PAN_HEAD_SCREW	5/16	0.313	18	0.0556	1.139	2.0	Y	1.5	1_1/4	1.25	0.615	0.594	0.178	0.162	0.099	0.084	0.072	0.106	0.085	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW 5/16 x 1_1/2 UNC STEEL SCREW SLOTTED PAN HEAD	ASME_B18_6_3_5/16_x_1_1/2_UNC_STEEL_SCREW_SLOTTED_PAN_HEAD_SCREW	5/16	0.313	18	0.0556	1.389	2.0	Y	1.5	1_1/2	1.5	0.615	0.594	0.178	0.162	0.099	0.084	0.072	0.106	0.085	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW 5/16 x 1_3/4 UNC STEEL SCREW SLOTTED PAN HEAD	ASME_B18_6_3_5/16_x_1_3/4_UNC_STEEL_SCREW_SLOTTED_PAN_HEAD_SCREW	5/16	0.313	18	0.0556	1.639	2.0	Y	1.5	1_3/4	1.75	0.615	0.594	0.178	0.162	0.099	0.084	0.072	0.106	0.085	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW 5/16 x 2 UNC STEEL SCREW SLOTTED PAN HEAD	ASME_B18_6_3_5/16_x_2_UNC_STEEL_SCREW_SLOTTED_PAN_HEAD_SCREW	5/16	0.313	18	0.0556	1.889	2.0	Y	1.5	2	2.0	0.615	0.594	0.178	0.162	0.099	0.084	0.072	0.106	0.085	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW 5/16 x 2_1/4 UNC STEEL SCREW SLOTTED PAN HEAD	ASME_B18_6_3_5/16_x_2_1/4_UNC_STEEL_SCREW_SLOTTED_PAN_HEAD_SCREW	5/16	0.313	18	0.0556	1.5	2.0	N	1.5	2_1/4	2.25	0.615	0.594	0.178	0.162	0.099	0.084	0.072	0.106	0.085	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW 5/16 x 2_1/2 UNC STEEL SCREW SLOTTED PAN HEAD	ASME_B18_6_3_5/16_x_2_1/2_UNC_STEEL_SCREW_SLOTTED_PAN_HEAD_SCREW	5/16	0.313	18	0.0556	1.5	2.0	N	1.5	2_1/2	2.5	0.615	0.594	0.178	0.162	0.099	0.084	0.072	0.106	0.085	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW 5/16 x 2_3/4 UNC STEEL SCREW SLOTTED PAN HEAD	ASME_B18_6_3_5/16_x_2_3/4_UNC_STEEL_SCREW_SLOTTED_PAN_HEAD_SCREW	5/16	0.313	18	0.0556	1.5	2.0	N	1.5	2_3/4	2.75	0.615	0.594	0.178	0.162	0.099	0.084	0.072	0.106	0.085	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW 5/16 x 3 UNC STEEL SCREW SLOTTED PAN HEAD	ASME_B18_6_3_5/16_x_3_UNC_STEEL_SCREW_SLOTTED_PAN_HEAD_SCREW	5/16	0.313	18	0.0556	1.5	2.0	N	1.5	3	3.0	0.615	0.594	0.178	0.162	0.099	0.084	0.072	0.106	0.085	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW 5/16 x 3_1/4 UNC STEEL SCREW SLOTTED PAN HEAD	ASME_B18_6_3_5/16_x_3_1/4_UNC_STEEL_SCREW_SLOTTED_PAN_HEAD_SCREW	5/16	0.313	18	0.0556	1.5	2.0	N	1.5	3_1/4	3.25	0.615	0.594	0.178	0.162	0.099	0.084	0.072	0.106	0.085	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW 5/16 x 3_1/2 UNC STEEL SCREW SLOTTED PAN HEAD	ASME_B18_6_3_5/16_x_3_1/2_UNC_STEEL_SCREW_SLOTTED_PAN_HEAD_SCREW	5/16	0.313	18	0.0556	1.5	2.0	N	1.5	3_1/2	3.5	0.615	0.594	0.178	0.162	0.099	0.084	0.072	0.106	0.085	St	ASME B18.6.3	1998
