PartNumber	PartName	Nominal_size(ref)	Nominal_size(in)	t.p.i.	Pitch(in)	Threading(in)	Length(ref)	s-n-l	L_length(in)	Lg_grip_length	Lt_min thread_ref	D_body_dia(in)	A_head_dia(in)	H_head_height(in)	C_chamfer(in)	J_hexagon_socet_size(in)	T_key_engagement(in)	G_wall_thickness	K_chamfer(in)	Material	Reference	Edition
ASME B18.3 SCREW 1/4 x 2 UNC STEEL HEXAGON SOCKET HEAD CAP	ASME_B18_3_1/4_x_2_UNC_STEEL_HEXAGON_SOCKET_HEAD_CAP_SCREW	1/4	0.25	20	0.0500	1.0	2      	n	2.00	1.0	1.0	0.25	0.375	0.25	0.025	0.188	0.12	0.095	0.01	St	ASME B18.3	1998
ASME B18.3 SCREW 1/4 x 2.25 UNC STEEL HEXAGON SOCKET HEAD CAP	ASME_B18_3_1/4_x_2.25_UNC_STEEL_HEXAGON_SOCKET_HEAD_CAP_SCREW	1/4	0.25	20	0.0500	1.25	2  1/4 	n	2.25	1.0	1.0	0.25	0.375	0.25	0.025	0.188	0.12	0.095	0.01	St	ASME B18.3	1998
ASME B18.3 SCREW 1/4 x 2.5 UNC STEEL HEXAGON SOCKET HEAD CAP	ASME_B18_3_1/4_x_2.5_UNC_STEEL_HEXAGON_SOCKET_HEAD_CAP_SCREW	1/4	0.25	20	0.0500	1.0	2  1/2 	n	2.50	1.5	1.0	0.25	0.375	0.25	0.025	0.188	0.12	0.095	0.01	St	ASME B18.3	1998
ASME B18.3 SCREW 1/4 x 2.75 UNC STEEL HEXAGON SOCKET HEAD CAP	ASME_B18_3_1/4_x_2.75_UNC_STEEL_HEXAGON_SOCKET_HEAD_CAP_SCREW	1/4	0.25	20	0.0500	1.25	2  3/4 	n	2.75	1.5	1.0	0.25	0.375	0.25	0.025	0.188	0.12	0.095	0.01	St	ASME B18.3	1998
ASME B18.3 SCREW 1/4 x 3 UNC STEEL HEXAGON SOCKET HEAD CAP	ASME_B18_3_1/4_x_3_UNC_STEEL_HEXAGON_SOCKET_HEAD_CAP_SCREW	1/4	0.25	20	0.0500	1.0	3      	n	3.00	2.0	1.0	0.25	0.375	0.25	0.025	0.188	0.12	0.095	0.01	St	ASME B18.3	1998
ASME B18.3 SCREW 1/4 x 3.25 UNC STEEL HEXAGON SOCKET HEAD CAP	ASME_B18_3_1/4_x_3.25_UNC_STEEL_HEXAGON_SOCKET_HEAD_CAP_SCREW	1/4	0.25	20	0.0500	1.25	3  1/4 	n	3.25	2.0	1.0	0.25	0.375	0.25	0.025	0.188	0.12	0.095	0.01	St	ASME B18.3	1998
ASME B18.3 SCREW 1/4 x 3.5 UNC STEEL HEXAGON SOCKET HEAD CAP	ASME_B18_3_1/4_x_3.5_UNC_STEEL_HEXAGON_SOCKET_HEAD_CAP_SCREW	1/4	0.25	20	0.0500	1.0	3  1/2 	n	3.50	2.5	1.0	0.25	0.375	0.25	0.025	0.188	0.12	0.095	0.01	St	ASME B18.3	1998
ASME B18.3 SCREW 1/4 x 4 UNC STEEL HEXAGON SOCKET HEAD CAP	ASME_B18_3_1/4_x_4_UNC_STEEL_HEXAGON_SOCKET_HEAD_CAP_SCREW	1/4	0.25	20	0.0500	1.0	4      	n	4.00	3.0	1.0	0.25	0.375	0.25	0.025	0.188	0.12	0.095	0.01	St	ASME B18.3	1998
ASME B18.3 SCREW 1/4 x 4.5 UNC STEEL HEXAGON SOCKET HEAD CAP	ASME_B18_3_1/4_x_4.5_UNC_STEEL_HEXAGON_SOCKET_HEAD_CAP_SCREW	1/4	0.25	20	0.0500	1.0	4  1/2 	n	4.50	3.5	1.0	0.25	0.375	0.25	0.025	0.188	0.12	0.095	0.01	St	ASME B18.3	1998
ASME B18.3 SCREW 1/4 x 5 UNC STEEL HEXAGON SOCKET HEAD CAP	ASME_B18_3_1/4_x_5_UNC_STEEL_HEXAGON_SOCKET_HEAD_CAP_SCREW	1/4	0.25	20	0.0500	1.0	5      	n	5.00	4.0	1.0	0.25	0.375	0.25	0.025	0.188	0.12	0.095	0.01	St	ASME B18.3	1998
ASME B18.3 SCREW 5/16 x 0.375 UNC STEEL HEXAGON SOCKET HEAD CAP	ASME_B18_3_5/16_x_0.375_UNC_STEEL_HEXAGON_SOCKET_HEAD_CAP_SCREW	5/16	0.313	18	0.0556	0.264	  3/8 	s	0.38	0.111	1.12	0.313	0.469	0.312	0.033	0.25	0.151	0.119	0.01	St	ASME B18.3	1998
ASME B18.3 SCREW 5/16 x 0.5 UNC STEEL HEXAGON SOCKET HEAD CAP	ASME_B18_3_5/16_x_0.5_UNC_STEEL_HEXAGON_SOCKET_HEAD_CAP_SCREW	5/16	0.313	18	0.0556	0.389	  1/2 	s	0.50	0.111	1.12	0.313	0.469	0.312	0.033	0.25	0.151	0.119	0.01	St	ASME B18.3	1998
ASME B18.3 SCREW 5/16 x 0.625 UNC STEEL HEXAGON SOCKET HEAD CAP	ASME_B18_3_5/16_x_0.625_UNC_STEEL_HEXAGON_SOCKET_HEAD_CAP_SCREW	5/16	0.313	18	0.0556	0.514	  5/8 	s	0.63	0.111	1.12	0.313	0.469	0.312	0.033	0.25	0.151	0.119	0.01	St	ASME B18.3	1998
ASME B18.3 SCREW 5/16 x 0.75 UNC STEEL HEXAGON SOCKET HEAD CAP	ASME_B18_3_5/16_x_0.75_UNC_STEEL_HEXAGON_SOCKET_HEAD_CAP_SCREW	5/16	0.313	18	0.0556	0.639	  3/4 	s	0.75	0.111	1.12	0.313	0.469	0.312	0.033	0.25	0.151	0.119	0.01	St	ASME B18.3	1998
ASME B18.3 SCREW 5/16 x 0.875 UNC STEEL HEXAGON SOCKET HEAD CAP	ASME_B18_3_5/16_x_0.875_UNC_STEEL_HEXAGON_SOCKET_HEAD_CAP_SCREW	5/16	0.313	18	0.0556	0.764	  7/8 	s	0.88	0.111	1.12	0.313	0.469	0.312	0.033	0.25	0.151	0.119	0.01	St	ASME B18.3	1998
ASME B18.3 SCREW 5/16 x 1 UNC STEEL HEXAGON SOCKET HEAD CAP	ASME_B18_3_5/16_x_1_UNC_STEEL_HEXAGON_SOCKET_HEAD_CAP_SCREW	5/16	0.313	18	0.0556	0.889	1      	s	1.00	0.111	1.12	0.313	0.469	0.312	0.033	0.25	0.151	0.119	0.01	St	ASME B18.3	1998
ASME B18.3 SCREW 5/16 x 1.25 UNC STEEL HEXAGON SOCKET HEAD CAP	ASME_B18_3_5/16_x_1.25_UNC_STEEL_HEXAGON_SOCKET_HEAD_CAP_SCREW	5/16	0.313	18	0.0556	1.12	1  1/4 	s	1.25	0.111	1.12	0.313	0.469	0.312	0.033	0.25	0.151	0.119	0.01	St	ASME B18.3	1998
ASME B18.3 SCREW 5/16 x 1.5 UNC STEEL HEXAGON SOCKET HEAD CAP	ASME_B18_3_5/16_x_1.5_UNC_STEEL_HEXAGON_SOCKET_HEAD_CAP_SCREW	5/16	0.313	18	0.0556	1.12	1  1/2 	s	1.50	0.111	1.12	0.313	0.469	0.312	0.033	0.25	0.151	0.119	0.01	St	ASME B18.3	1998
ASME B18.3 SCREW 5/16 x 1.75 UNC STEEL HEXAGON SOCKET HEAD CAP	ASME_B18_3_5/16_x_1.75_UNC_STEEL_HEXAGON_SOCKET_HEAD_CAP_SCREW	5/16	0.313	18	0.0556	1.13	1  3/4 	n	1.75	0.62	1.12	0.313	0.469	0.312	0.033	0.25	0.151	0.119	0.01	St	ASME B18.3	1998
ASME B18.3 SCREW 5/16 x 2 UNC STEEL HEXAGON SOCKET HEAD CAP	ASME_B18_3_5/16_x_2_UNC_STEEL_HEXAGON_SOCKET_HEAD_CAP_SCREW	5/16	0.313	18	0.0556	1.38	2      	n	2.00	0.62	1.12	0.313	0.469	0.312	0.033	0.25	0.151	0.119	0.01	St	ASME B18.3	1998
ASME B18.3 SCREW 5/16 x 2.25 UNC STEEL HEXAGON SOCKET HEAD CAP	ASME_B18_3_5/16_x_2.25_UNC_STEEL_HEXAGON_SOCKET_HEAD_CAP_SCREW	5/16	0.313	18	0.0556	1.13	2  1/4 	n	2.25	1.12	1.12	0.313	0.469	0.312	0.033	0.25	0.151	0.119	0.01	St	ASME B18.3	1998
ASME B18.3 SCREW 5/16 x 2.5 UNC STEEL HEXAGON SOCKET HEAD CAP	ASME_B18_3_5/16_x_2.5_UNC_STEEL_HEXAGON_SOCKET_HEAD_CAP_SCREW	5/16	0.313	18	0.0556	1.38	2  1/2 	n	2.50	1.12	1.12	0.313	0.469	0.312	0.033	0.25	0.151	0.119	0.01	St	ASME B18.3	1998
ASME B18.3 SCREW 5/16 x 2.75 UNC STEEL HEXAGON SOCKET HEAD CAP	ASME_B18_3_5/16_x_2.75_UNC_STEEL_HEXAGON_SOCKET_HEAD_CAP_SCREW	5/16	0.313	18	0.0556	1.13	2  3/4 	n	2.75	1.62	1.12	0.313	0.469	0.312	0.033	0.25	0.151	0.119	0.01	St	ASME B18.3	1998
ASME B18.3 SCREW 5/16 x 3 UNC STEEL HEXAGON SOCKET HEAD CAP	ASME_B18_3_5/16_x_3_UNC_STEEL_HEXAGON_SOCKET_HEAD_CAP_SCREW	5/16	0.313	18	0.0556	1.38	3      	n	3.00	1.62	1.12	0.313	0.469	0.312	0.033	0.25	0.151	0.119	0.01	St	ASME B18.3	1998
ASME B18.3 SCREW 5/16 x 3.25 UNC STEEL HEXAGON SOCKET HEAD CAP	ASME_B18_3_5/16_x_3.25_UNC_STEEL_HEXAGON_SOCKET_HEAD_CAP_SCREW	5/16	0.313	18	0.0556	1.13	3  1/4 	n	3.25	2.12	1.12	0.313	0.469	0.312	0.033	0.25	0.151	0.119	0.01	St	ASME B18.3	1998
ASME B18.3 SCREW 5/16 x 3.5 UNC STEEL HEXAGON SOCKET HEAD CAP	ASME_B18_3_5/16_x_3.5_UNC_STEEL_HEXAGON_SOCKET_HEAD_CAP_SCREW	5/16	0.313	18	0.0556	1.38	3  1/2 	n	3.50	2.12	1.12	0.313	0.469	0.312	0.033	0.25	0.151	0.119	0.01	St	ASME B18.3	1998
ASME B18.3 SCREW 5/16 x 4 UNC STEEL HEXAGON SOCKET HEAD CAP	ASME_B18_3_5/16_x_4_UNC_STEEL_HEXAGON_SOCKET_HEAD_CAP_SCREW	5/16	0.313	18	0.0556	1.38	4      	n	4.00	2.62	1.12	0.313	0.469	0.312	0.033	0.25	0.151	0.119	0.01	St	ASME B18.3	1998
ASME B18.3 SCREW 5/16 x 4.5 UNC STEEL HEXAGON SOCKET HEAD CAP	ASME_B18_3_5/16_x_4.5_UNC_STEEL_HEXAGON_SOCKET_HEAD_CAP_SCREW	5/16	0.313	18	0.0556	1.38	4  1/2 	n	4.50	3.12	1.12	0.313	0.469	0.312	0.033	0.25	0.151	0.119	0.01	St	ASME B18.3	1998
ASME B18.3 SCREW 5/16 x 5 UNC STEEL HEXAGON SOCKET HEAD CAP	ASME_B18_3_5/16_x_5_UNC_STEEL_HEXAGON_SOCKET_HEAD_CAP_SCREW	5/16	0.313	18	0.0556	1.38	5      	n	5.00	3.62	1.12	0.313	0.469	0.312	0.033	0.25	0.151	0.119	0.01	St	ASME B18.3	1998
ASME B18.3 SCREW 5/16 x 5.5 UNC STEEL HEXAGON SOCKET HEAD CAP	ASME_B18_3_5/16_x_5.5_UNC_STEEL_HEXAGON_SOCKET_HEAD_CAP_SCREW	5/16	0.313	18	0.0556	1.38	5  1/2 	n	5.50	4.12	1.12	0.313	0.469	0.312	0.033	0.25	0.151	0.119	0.01	St	ASME B18.3	1998
ASME B18.3 SCREW 5/16 x 6 UNC STEEL HEXAGON SOCKET HEAD CAP	ASME_B18_3_5/16_x_6_UNC_STEEL_HEXAGON_SOCKET_HEAD_CAP_SCREW	5/16	0.313	18	0.0556	1.38	6      	n	6.00	4.62	1.12	0.313	0.469	0.312	0.033	0.25	0.151	0.119	0.01	St	ASME B18.3	1998
ASME B18.3 SCREW 3/8 x 0.375 UNC STEEL HEXAGON SOCKET HEAD CAP	ASME_B18_3_3/8_x_0.375_UNC_STEEL_HEXAGON_SOCKET_HEAD_CAP_SCREW	3/8	0.375	16	0.0625	0.25	  3/8 	s	0.38	0.125	1.25	0.375	0.562	0.375	0.04	0.312	0.182	0.143	0.01	St	ASME B18.3	1998
ASME B18.3 SCREW 3/8 x 0.5 UNC STEEL HEXAGON SOCKET HEAD CAP	ASME_B18_3_3/8_x_0.5_UNC_STEEL_HEXAGON_SOCKET_HEAD_CAP_SCREW	3/8	0.375	16	0.0625	0.375	  1/2 	s	0.50	0.125	1.25	0.375	0.562	0.375	0.04	0.312	0.182	0.143	0.01	St	ASME B18.3	1998
ASME B18.3 SCREW 3/8 x 0.625 UNC STEEL HEXAGON SOCKET HEAD CAP	ASME_B18_3_3/8_x_0.625_UNC_STEEL_HEXAGON_SOCKET_HEAD_CAP_SCREW	3/8	0.375	16	0.0625	0.5	  5/8 	s	0.63	0.125	1.25	0.375	0.562	0.375	0.04	0.312	0.182	0.143	0.01	St	ASME B18.3	1998
ASME B18.3 SCREW 3/8 x 0.75 UNC STEEL HEXAGON SOCKET HEAD CAP	ASME_B18_3_3/8_x_0.75_UNC_STEEL_HEXAGON_SOCKET_HEAD_CAP_SCREW	3/8	0.375	16	0.0625	0.625	  3/4 	s	0.75	0.125	1.25	0.375	0.562	0.375	0.04	0.312	0.182	0.143	0.01	St	ASME B18.3	1998
ASME B18.3 SCREW 3/8 x 0.875 UNC STEEL HEXAGON SOCKET HEAD CAP	ASME_B18_3_3/8_x_0.875_UNC_STEEL_HEXAGON_SOCKET_HEAD_CAP_SCREW	3/8	0.375	16	0.0625	0.75	  7/8 	s	0.88	0.125	1.25	0.375	0.562	0.375	0.04	0.312	0.182	0.143	0.01	St	ASME B18.3	1998
ASME B18.3 SCREW 3/8 x 1 UNC STEEL HEXAGON SOCKET HEAD CAP	ASME_B18_3_3/8_x_1_UNC_STEEL_HEXAGON_SOCKET_HEAD_CAP_SCREW	3/8	0.375	16	0.0625	0.875	1      	s	1.00	0.125	1.25	0.375	0.562	0.375	0.04	0.312	0.182	0.143	0.01	St	ASME B18.3	1998
ASME B18.3 SCREW 3/8 x 1.25 UNC STEEL HEXAGON SOCKET HEAD CAP	ASME_B18_3_3/8_x_1.25_UNC_STEEL_HEXAGON_SOCKET_HEAD_CAP_SCREW	3/8	0.375	16	0.0625	1.125	1  1/4 	s	1.25	0.125	1.25	0.375	0.562	0.375	0.04	0.312	0.182	0.143	0.01	St	ASME B18.3	1998
ASME B18.3 SCREW 3/8 x 1.5 UNC STEEL HEXAGON SOCKET HEAD CAP	ASME_B18_3_3/8_x_1.5_UNC_STEEL_HEXAGON_SOCKET_HEAD_CAP_SCREW	3/8	0.375	16	0.0625	1.25	1  1/2 	s	1.50	0.125	1.25	0.375	0.562	0.375	0.04	0.312	0.182	0.143	0.01	St	ASME B18.3	1998
ASME B18.3 SCREW 3/8 x 1.75 UNC STEEL HEXAGON SOCKET HEAD CAP	ASME_B18_3_3/8_x_1.75_UNC_STEEL_HEXAGON_SOCKET_HEAD_CAP_SCREW	3/8	0.375	16	0.0625	1.25	1  3/4 	n	1.75	0.5	1.25	0.375	0.562	0.375	0.04	0.312	0.182	0.143	0.01	St	ASME B18.3	1998
ASME B18.3 SCREW 3/8 x 2 UNC STEEL HEXAGON SOCKET HEAD CAP	ASME_B18_3_3/8_x_2_UNC_STEEL_HEXAGON_SOCKET_HEAD_CAP_SCREW	3/8	0.375	16	0.0625	1.5	2      	n	2.00	0.5	1.25	0.375	0.562	0.375	0.04	0.312	0.182	0.143	0.01	St	ASME B18.3	1998
ASME B18.3 SCREW 3/8 x 2.25 UNC STEEL HEXAGON SOCKET HEAD CAP	ASME_B18_3_3/8_x_2.25_UNC_STEEL_HEXAGON_SOCKET_HEAD_CAP_SCREW	3/8	0.375	16	0.0625	1.25	2  1/4 	n	2.25	1.0	1.25	0.375	0.562	0.375	0.04	0.312	0.182	0.143	0.01	St	ASME B18.3	1998
ASME B18.3 SCREW 3/8 x 2.5 UNC STEEL HEXAGON SOCKET HEAD CAP	ASME_B18_3_3/8_x_2.5_UNC_STEEL_HEXAGON_SOCKET_HEAD_CAP_SCREW	3/8	0.375	16	0.0625	1.5	2  1/2 	n	2.50	1.0	1.25	0.375	0.562	0.375	0.04	0.312	0.182	0.143	0.01	St	ASME B18.3	1998
ASME B18.3 SCREW 3/8 x 2.75 UNC STEEL HEXAGON SOCKET HEAD CAP	ASME_B18_3_3/8_x_2.75_UNC_STEEL_HEXAGON_SOCKET_HEAD_CAP_SCREW	3/8	0.375	16	0.0625	1.25	2  3/4 	n	2.75	1.5	1.25	0.375	0.562	0.375	0.04	0.312	0.182	0.143	0.01	St	ASME B18.3	1998
ASME B18.3 SCREW 3/8 x 3 UNC STEEL HEXAGON SOCKET HEAD CAP	ASME_B18_3_3/8_x_3_UNC_STEEL_HEXAGON_SOCKET_HEAD_CAP_SCREW	3/8	0.375	16	0.0625	1.5	3      	n	3.00	1.5	1.25	0.375	0.562	0.375	0.04	0.312	0.182	0.143	0.01	St	ASME B18.3	1998
ASME B18.3 SCREW 3/8 x 3.25 UNC STEEL HEXAGON SOCKET HEAD CAP	ASME_B18_3_3/8_x_3.25_UNC_STEEL_HEXAGON_SOCKET_HEAD_CAP_SCREW	3/8	0.375	16	0.0625	1.25	3  1/4 	n	3.25	2.0	1.25	0.375	0.562	0.375	0.04	0.312	0.182	0.143	0.01	St	ASME B18.3	1998
ASME B18.3 SCREW 3/8 x 3.5 UNC STEEL HEXAGON SOCKET HEAD CAP	ASME_B18_3_3/8_x_3.5_UNC_STEEL_HEXAGON_SOCKET_HEAD_CAP_SCREW	3/8	0.375	16	0.0625	1.5	3  1/2 	n	3.50	2.0	1.25	0.375	0.562	0.375	0.04	0.312	0.182	0.143	0.01	St	ASME B18.3	1998
ASME B18.3 SCREW 3/8 x 4 UNC STEEL HEXAGON SOCKET HEAD CAP	ASME_B18_3_3/8_x_4_UNC_STEEL_HEXAGON_SOCKET_HEAD_CAP_SCREW	3/8	0.375	16	0.0625	1.5	4      	n	4.00	2.5	1.25	0.375	0.562	0.375	0.04	0.312	0.182	0.143	0.01	St	ASME B18.3	1998
ASME B18.3 SCREW 3/8 x 4.5 UNC STEEL HEXAGON SOCKET HEAD CAP	ASME_B18_3_3/8_x_4.5_UNC_STEEL_HEXAGON_SOCKET_HEAD_CAP_SCREW	3/8	0.375	16	0.0625	1.5	4  1/2 	n	4.50	3.0	1.25	0.375	0.562	0.375	0.04	0.312	0.182	0.143	0.01	St	ASME B18.3	1998
ASME B18.3 SCREW 3/8 x 5 UNC STEEL HEXAGON SOCKET HEAD CAP	ASME_B18_3_3/8_x_5_UNC_STEEL_HEXAGON_SOCKET_HEAD_CAP_SCREW	3/8	0.375	16	0.0625	1.5	5      	n	5.00	3.5	1.25	0.375	0.562	0.375	0.04	0.312	0.182	0.143	0.01	St	ASME B18.3	1998
ASME B18.3 SCREW 3/8 x 5.5 UNC STEEL HEXAGON SOCKET HEAD CAP	ASME_B18_3_3/8_x_5.5_UNC_STEEL_HEXAGON_SOCKET_HEAD_CAP_SCREW	3/8	0.375	16	0.0625	1.5	5  1/2 	n	5.50	4.0	1.25	0.375	0.562	0.375	0.04	0.312	0.182	0.143	0.01	St	ASME B18.3	1998
ASME B18.3 SCREW 3/8 x 6 UNC STEEL HEXAGON SOCKET HEAD CAP	ASME_B18_3_3/8_x_6_UNC_STEEL_HEXAGON_SOCKET_HEAD_CAP_SCREW	3/8	0.375	16	0.0625	1.5	6      	n	6.00	4.5	1.25	0.375	0.562	0.375	0.04	0.312	0.182	0.143	0.01	St	ASME B18.3	1998
ASME B18.3 SCREW 3/8 x 6.5 UNC STEEL HEXAGON SOCKET HEAD CAP	ASME_B18_3_3/8_x_6.5_UNC_STEEL_HEXAGON_SOCKET_HEAD_CAP_SCREW	3/8	0.375	16	0.0625	1.5	6  1/2 	n	6.50	5.0	1.25	0.375	0.562	0.375	0.04	0.312	0.182	0.143	0.01	St	ASME B18.3	1998
ASME B18.3 SCREW 3/8 x 7 UNC STEEL HEXAGON SOCKET HEAD CAP	ASME_B18_3_3/8_x_7_UNC_STEEL_HEXAGON_SOCKET_HEAD_CAP_SCREW	3/8	0.375	16	0.0625	1.5	7      	n	7.00	5.5	1.25	0.375	0.562	0.375	0.04	0.312	0.182	0.143	0.01	St	ASME B18.3	1998
ASME B18.3 SCREW 7/16 x 0.5 UNC STEEL HEXAGON SOCKET HEAD CAP	ASME_B18_3_7/16_x_0.5_UNC_STEEL_HEXAGON_SOCKET_HEAD_CAP_SCREW	7/16	0.438	14	0.0714	0.357	  1/2 	s	0.50	0.143	1.38	0.438	0.656	0.438	0.047	0.375	0.213	0.166	0.015	St	ASME B18.3	1998
ASME B18.3 SCREW 7/16 x 0.625 UNC STEEL HEXAGON SOCKET HEAD CAP	ASME_B18_3_7/16_x_0.625_UNC_STEEL_HEXAGON_SOCKET_HEAD_CAP_SCREW	7/16	0.438	14	0.0714	0.482	  5/8 	s	0.63	0.143	1.38	0.438	0.656	0.438	0.047	0.375	0.213	0.166	0.015	St	ASME B18.3	1998
ASME B18.3 SCREW 7/16 x 0.75 UNC STEEL HEXAGON SOCKET HEAD CAP	ASME_B18_3_7/16_x_0.75_UNC_STEEL_HEXAGON_SOCKET_HEAD_CAP_SCREW	7/16	0.438	14	0.0714	0.607	  3/4 	s	0.75	0.143	1.38	0.438	0.656	0.438	0.047	0.375	0.213	0.166	0.015	St	ASME B18.3	1998
ASME B18.3 SCREW 7/16 x 0.875 UNC STEEL HEXAGON SOCKET HEAD CAP	ASME_B18_3_7/16_x_0.875_UNC_STEEL_HEXAGON_SOCKET_HEAD_CAP_SCREW	7/16	0.438	14	0.0714	0.732	  7/8 	s	0.88	0.143	1.38	0.438	0.656	0.438	0.047	0.375	0.213	0.166	0.015	St	ASME B18.3	1998
ASME B18.3 SCREW 7/16 x 1 UNC STEEL HEXAGON SOCKET HEAD CAP	ASME_B18_3_7/16_x_1_UNC_STEEL_HEXAGON_SOCKET_HEAD_CAP_SCREW	7/16	0.438	14	0.0714	0.857	1      	s	1.00	0.143	1.38	0.438	0.656	0.438	0.047	0.375	0.213	0.166	0.015	St	ASME B18.3	1998
ASME B18.3 SCREW 7/16 x 1.25 UNC STEEL HEXAGON SOCKET HEAD CAP	ASME_B18_3_7/16_x_1.25_UNC_STEEL_HEXAGON_SOCKET_HEAD_CAP_SCREW	7/16	0.438	14	0.0714	1.107	1  1/4 	s	1.25	0.143	1.38	0.438	0.656	0.438	0.047	0.375	0.213	0.166	0.015	St	ASME B18.3	1998
ASME B18.3 SCREW 7/16 x 1.5 UNC STEEL HEXAGON SOCKET HEAD CAP	ASME_B18_3_7/16_x_1.5_UNC_STEEL_HEXAGON_SOCKET_HEAD_CAP_SCREW	7/16	0.438	14	0.0714	1.357	1  1/2 	s	1.50	0.143	1.38	0.438	0.656	0.438	0.047	0.375	0.213	0.166	0.015	St	ASME B18.3	1998
ASME B18.3 SCREW 7/16 x 1.75 UNC STEEL HEXAGON SOCKET HEAD CAP	ASME_B18_3_7/16_x_1.75_UNC_STEEL_HEXAGON_SOCKET_HEAD_CAP_SCREW	7/16	0.438	14	0.0714	1.38	1  3/4 	s	1.75	0.143	1.38	0.438	0.656	0.438	0.047	0.375	0.213	0.166	0.015	St	ASME B18.3	1998
ASME B18.3 SCREW 7/16 x 2 UNC STEEL HEXAGON SOCKET HEAD CAP	ASME_B18_3_7/16_x_2_UNC_STEEL_HEXAGON_SOCKET_HEAD_CAP_SCREW	7/16	0.438	14	0.0714	1.38	2      	n	2.00	0.62	1.38	0.438	0.656	0.438	0.047	0.375	0.213	0.166	0.015	St	ASME B18.3	1998
ASME B18.3 SCREW 7/16 x 2.25 UNC STEEL HEXAGON SOCKET HEAD CAP	ASME_B18_3_7/16_x_2.25_UNC_STEEL_HEXAGON_SOCKET_HEAD_CAP_SCREW	7/16	0.438	14	0.0714	1.63	2  1/4 	n	2.25	0.62	1.38	0.438	0.656	0.438	0.047	0.375	0.213	0.166	0.015	St	ASME B18.3	1998
ASME B18.3 SCREW 7/16 x 2.5 UNC STEEL HEXAGON SOCKET HEAD CAP	ASME_B18_3_7/16_x_2.5_UNC_STEEL_HEXAGON_SOCKET_HEAD_CAP_SCREW	7/16	0.438	14	0.0714	1.38	2  1/2 	n	2.50	1.12	1.38	0.438	0.656	0.438	0.047	0.375	0.213	0.166	0.015	St	ASME B18.3	1998
ASME B18.3 SCREW 7/16 x 2.75 UNC STEEL HEXAGON SOCKET HEAD CAP	ASME_B18_3_7/16_x_2.75_UNC_STEEL_HEXAGON_SOCKET_HEAD_CAP_SCREW	7/16	0.438	14	0.0714	1.63	2  3/4 	n	2.75	1.12	1.38	0.438	0.656	0.438	0.047	0.375	0.213	0.166	0.015	St	ASME B18.3	1998
ASME B18.3 SCREW 7/16 x 3 UNC STEEL HEXAGON SOCKET HEAD CAP	ASME_B18_3_7/16_x_3_UNC_STEEL_HEXAGON_SOCKET_HEAD_CAP_SCREW	7/16	0.438	14	0.0714	1.38	3      	n	3.00	1.62	1.38	0.438	0.656	0.438	0.047	0.375	0.213	0.166	0.015	St	ASME B18.3	1998
ASME B18.3 SCREW 7/16 x 3.25 UNC STEEL HEXAGON SOCKET HEAD CAP	ASME_B18_3_7/16_x_3.25_UNC_STEEL_HEXAGON_SOCKET_HEAD_CAP_SCREW	7/16	0.438	14	0.0714	1.63	3  1/4 	n	3.25	1.62	1.38	0.438	0.656	0.438	0.047	0.375	0.213	0.166	0.015	St	ASME B18.3	1998
ASME B18.3 SCREW 7/16 x 3.5 UNC STEEL HEXAGON SOCKET HEAD CAP	ASME_B18_3_7/16_x_3.5_UNC_STEEL_HEXAGON_SOCKET_HEAD_CAP_SCREW	7/16	0.438	14	0.0714	1.38	3  1/2 	n	3.50	2.12	1.38	0.438	0.656	0.438	0.047	0.375	0.213	0.166	0.015	St	ASME B18.3	1998
ASME B18.3 SCREW 7/16 x 4 UNC STEEL HEXAGON SOCKET HEAD CAP	ASME_B18_3_7/16_x_4_UNC_STEEL_HEXAGON_SOCKET_HEAD_CAP_SCREW	7/16	0.438	14	0.0714	1.38	4      	n	4.00	2.62	1.38	0.438	0.656	0.438	0.047	0.375	0.213	0.166	0.015	St	ASME B18.3	1998
ASME B18.3 SCREW 7/16 x 4.5 UNC STEEL HEXAGON SOCKET HEAD CAP	ASME_B18_3_7/16_x_4.5_UNC_STEEL_HEXAGON_SOCKET_HEAD_CAP_SCREW	7/16	0.438	14	0.0714	1.38	4  1/2 	n	4.50	3.12	1.38	0.438	0.656	0.438	0.047	0.375	0.213	0.166	0.015	St	ASME B18.3	1998
ASME B18.3 SCREW 7/16 x 5 UNC STEEL HEXAGON SOCKET HEAD CAP	ASME_B18_3_7/16_x_5_UNC_STEEL_HEXAGON_SOCKET_HEAD_CAP_SCREW	7/16	0.438	14	0.0714	1.38	5      	n	5.00	3.62	1.38	0.438	0.656	0.438	0.047	0.375	0.213	0.166	0.015	St	ASME B18.3	1998
ASME B18.3 SCREW 7/16 x 5.5 UNC STEEL HEXAGON SOCKET HEAD CAP	ASME_B18_3_7/16_x_5.5_UNC_STEEL_HEXAGON_SOCKET_HEAD_CAP_SCREW	7/16	0.438	14	0.0714	1.38	5  1/2 	n	5.50	4.12	1.38	0.438	0.656	0.438	0.047	0.375	0.213	0.166	0.015	St	ASME B18.3	1998
ASME B18.3 SCREW 7/16 x 6 UNC STEEL HEXAGON SOCKET HEAD CAP	ASME_B18_3_7/16_x_6_UNC_STEEL_HEXAGON_SOCKET_HEAD_CAP_SCREW	7/16	0.438	14	0.0714	1.38	6      	n	6.00	4.62	1.38	0.438	0.656	0.438	0.047	0.375	0.213	0.166	0.015	St	ASME B18.3	1998
