PartNumber	PartName	Pin_size(ref)	Basic_pin_dia(in)	A_pin_dia(in)	Length(ref)	L_length(in)	C_chamfer_length(in)	Material	Reference	Edition
ASME B18.8.2 1/8 x 13/16 STEEL UNHARDENED GROUND DOWEL PIN	ASME_B18_8_2_1/8_x_13/16_STEEL_UNHARDENED_GROUND_DOWEL_PIN	1/8	0.125	0.122	13/16	0.813	0.025	St	ASME B18.8.2	2000
ASME B18.8.2 1/8 x 7/8 STEEL UNHARDENED GROUND DOWEL PIN	ASME_B18_8_2_1/8_x_7/8_STEEL_UNHARDENED_GROUND_DOWEL_PIN	1/8	0.125	0.122	7/8	0.875	0.025	St	ASME B18.8.2	2000
ASME B18.8.2 1/8 x 15/16 STEEL UNHARDENED GROUND DOWEL PIN	ASME_B18_8_2_1/8_x_15/16_STEEL_UNHARDENED_GROUND_DOWEL_PIN	1/8	0.125	0.122	15/16	0.938	0.025	St	ASME B18.8.2	2000
ASME B18.8.2 1/8 x 1 STEEL UNHARDENED GROUND DOWEL PIN	ASME_B18_8_2_1/8_x_1_STEEL_UNHARDENED_GROUND_DOWEL_PIN	1/8	0.125	0.122	1	1.0	0.025	St	ASME B18.8.2	2000
ASME B18.8.2 1/8 x 1_1/8 STEEL UNHARDENED GROUND DOWEL PIN	ASME_B18_8_2_1/8_x_1_1/8_STEEL_UNHARDENED_GROUND_DOWEL_PIN	1/8	0.125	0.122	1_1/8	1.125	0.025	St	ASME B18.8.2	2000
ASME B18.8.2 1/8 x 1_1/4 STEEL UNHARDENED GROUND DOWEL PIN	ASME_B18_8_2_1/8_x_1_1/4_STEEL_UNHARDENED_GROUND_DOWEL_PIN	1/8	0.125	0.122	1_1/4	1.25	0.025	St	ASME B18.8.2	2000
ASME B18.8.2 1/8 x 1_3/8 STEEL UNHARDENED GROUND DOWEL PIN	ASME_B18_8_2_1/8_x_1_3/8_STEEL_UNHARDENED_GROUND_DOWEL_PIN	1/8	0.125	0.122	1_3/8	1.375	0.025	St	ASME B18.8.2	2000
ASME B18.8.2 1/8 x 1_1/2 STEEL UNHARDENED GROUND DOWEL PIN	ASME_B18_8_2_1/8_x_1_1/2_STEEL_UNHARDENED_GROUND_DOWEL_PIN	1/8	0.125	0.122	1_1/2	1.5	0.025	St	ASME B18.8.2	2000
ASME B18.8.2 1/8 x 1_5/8 STEEL UNHARDENED GROUND DOWEL PIN	ASME_B18_8_2_1/8_x_1_5/8_STEEL_UNHARDENED_GROUND_DOWEL_PIN	1/8	0.125	0.122	1_5/8	1.625	0.025	St	ASME B18.8.2	2000
ASME B18.8.2 1/8 x 1_3/4 STEEL UNHARDENED GROUND DOWEL PIN	ASME_B18_8_2_1/8_x_1_3/4_STEEL_UNHARDENED_GROUND_DOWEL_PIN	1/8	0.125	0.122	1_3/4	1.75	0.025	St	ASME B18.8.2	2000
ASME B18.8.2 1/8 x 1_7/8 STEEL UNHARDENED GROUND DOWEL PIN	ASME_B18_8_2_1/8_x_1_7/8_STEEL_UNHARDENED_GROUND_DOWEL_PIN	1/8	0.125	0.122	1_7/8	1.875	0.025	St	ASME B18.8.2	2000
ASME B18.8.2 1/8 x 2 STEEL UNHARDENED GROUND DOWEL PIN	ASME_B18_8_2_1/8_x_2_STEEL_UNHARDENED_GROUND_DOWEL_PIN	1/8	0.125	0.122	2	2.0	0.025	St	ASME B18.8.2	2000
ASME B18.8.2 5/32 x 1/4 STEEL UNHARDENED GROUND DOWEL PIN	ASME_B18_8_2_5/32_x_1/4_STEEL_UNHARDENED_GROUND_DOWEL_PIN	5/32	0.156	0.154	1/4	0.25	0.025	St	ASME B18.8.2	2000
ASME B18.8.2 5/32 x 5/16 STEEL UNHARDENED GROUND DOWEL PIN	ASME_B18_8_2_5/32_x_5/16_STEEL_UNHARDENED_GROUND_DOWEL_PIN	5/32	0.156	0.154	5/16	0.313	0.025	St	ASME B18.8.2	2000
ASME B18.8.2 5/32 x 3/8 STEEL UNHARDENED GROUND DOWEL PIN	ASME_B18_8_2_5/32_x_3/8_STEEL_UNHARDENED_GROUND_DOWEL_PIN	5/32	0.156	0.154	3/8	0.375	0.025	St	ASME B18.8.2	2000
ASME B18.8.2 5/32 x 7/16 STEEL UNHARDENED GROUND DOWEL PIN	ASME_B18_8_2_5/32_x_7/16_STEEL_UNHARDENED_GROUND_DOWEL_PIN	5/32	0.156	0.154	7/16	0.438	0.025	St	ASME B18.8.2	2000
ASME B18.8.2 5/32 x 1/2 STEEL UNHARDENED GROUND DOWEL PIN	ASME_B18_8_2_5/32_x_1/2_STEEL_UNHARDENED_GROUND_DOWEL_PIN	5/32	0.156	0.154	1/2	0.5	0.025	St	ASME B18.8.2	2000
