PartNumber	PartName	Nominal_size(ref)	Nominal_size(in)	t.p.i.	Pitch(in)	Threading(in)	Min_Thread(in)	Max_Unthread(in)	L_length(ref)	Length(in)	E_body_diamax(in)	E_body_diamin(in)	A_head_dia_max(in)	A_head_dia_min(in)	H_head_height_max(in)	H_head_height_min(in)	R_fillet_radius_max(in)	Material	Reference	Edition
ASME B18.5 BOLT 7/16 x 3.5 UNC STEEL ROUND HEAD	ASME_B18_5_7/16_x_3.5_UNC_STEEL_ROUND_HEAD_BOLT	7/16	0.438	14	0.0714	1.125	1.125	0.179	3  1/2 	3.5	0.452	0.421	0.969	0.907	0.239	0.219	0.031	St	ASME B18 5	1990
ASME B18.5 BOLT 7/16 x 3.75 UNC STEEL ROUND HEAD	ASME_B18_5_7/16_x_3.75_UNC_STEEL_ROUND_HEAD_BOLT	7/16	0.438	14	0.0714	1.125	1.125	0.179	3  3/4 	3.75	0.452	0.421	0.969	0.907	0.239	0.219	0.031	St	ASME B18 5	1990
ASME B18.5 BOLT 7/16 x 4 UNC STEEL ROUND HEAD	ASME_B18_5_7/16_x_4_UNC_STEEL_ROUND_HEAD_BOLT	7/16	0.438	14	0.0714	1.125	1.125	0.179	4      	4.0	0.452	0.421	0.969	0.907	0.239	0.219	0.031	St	ASME B18 5	1990
ASME B18.5 BOLT 7/16 x 4.25 UNC STEEL ROUND HEAD	ASME_B18_5_7/16_x_4.25_UNC_STEEL_ROUND_HEAD_BOLT	7/16	0.438	14	0.0714	1.125	1.125	0.179	4  1/4 	4.25	0.452	0.421	0.969	0.907	0.239	0.219	0.031	St	ASME B18 5	1990
ASME B18.5 BOLT 7/16 x 4.5 UNC STEEL ROUND HEAD	ASME_B18_5_7/16_x_4.5_UNC_STEEL_ROUND_HEAD_BOLT	7/16	0.438	14	0.0714	1.125	1.125	0.179	4  1/2 	4.5	0.452	0.421	0.969	0.907	0.239	0.219	0.031	St	ASME B18 5	1990
ASME B18.5 BOLT 7/16 x 4.75 UNC STEEL ROUND HEAD	ASME_B18_5_7/16_x_4.75_UNC_STEEL_ROUND_HEAD_BOLT	7/16	0.438	14	0.0714	1.125	1.125	0.179	4  3/4 	4.75	0.452	0.421	0.969	0.907	0.239	0.219	0.031	St	ASME B18 5	1990
ASME B18.5 BOLT 7/16 x 5 UNC STEEL ROUND HEAD	ASME_B18_5_7/16_x_5_UNC_STEEL_ROUND_HEAD_BOLT	7/16	0.438	14	0.0714	1.125	1.125	0.179	5      	5.0	0.452	0.421	0.969	0.907	0.239	0.219	0.031	St	ASME B18 5	1990
ASME B18.5 BOLT 7/16 x 5.5 UNC STEEL ROUND HEAD	ASME_B18_5_7/16_x_5.5_UNC_STEEL_ROUND_HEAD_BOLT	7/16	0.438	14	0.0714	1.125	1.125	0.179	5  1/2 	5.5	0.452	0.421	0.969	0.907	0.239	0.219	0.031	St	ASME B18 5	1990
ASME B18.5 BOLT 7/16 x 6 UNC STEEL ROUND HEAD	ASME_B18_5_7/16_x_6_UNC_STEEL_ROUND_HEAD_BOLT	7/16	0.438	14	0.0714	1.125	1.125	0.179	6      	6.0	0.452	0.421	0.969	0.907	0.239	0.219	0.031	St	ASME B18 5	1990
ASME B18.5 BOLT 7/16 x 6.5 UNC STEEL ROUND HEAD	ASME_B18_5_7/16_x_6.5_UNC_STEEL_ROUND_HEAD_BOLT	7/16	0.438	14	0.0714	1.375	1.375	0.179	6  1/2 	6.5	0.452	0.421	0.969	0.907	0.239	0.219	0.031	St	ASME B18 5	1990
ASME B18.5 BOLT 7/16 x 7 UNC STEEL ROUND HEAD	ASME_B18_5_7/16_x_7_UNC_STEEL_ROUND_HEAD_BOLT	7/16	0.438	14	0.0714	1.375	1.375	0.179	7      	7.0	0.452	0.421	0.969	0.907	0.239	0.219	0.031	St	ASME B18 5	1990
ASME B18.5 BOLT 1/2 x 0.5 UNC STEEL ROUND HEAD	ASME_B18_5_1/2_x_0.5_UNC_STEEL_ROUND_HEAD_BOLT	1/2	0.5	13	0.0769	0.308	1.25	0.192	  1/2 	0.5	0.515	0.483	1.094	1.032	0.27	0.25	0.031	St	ASME B18 5	1990
ASME B18.5 BOLT 1/2 x 0.625 UNC STEEL ROUND HEAD	ASME_B18_5_1/2_x_0.625_UNC_STEEL_ROUND_HEAD_BOLT	1/2	0.5	13	0.0769	0.433	1.25	0.192	  5/8 	0.625	0.515	0.483	1.094	1.032	0.27	0.25	0.031	St	ASME B18 5	1990
ASME B18.5 BOLT 1/2 x 0.75 UNC STEEL ROUND HEAD	ASME_B18_5_1/2_x_0.75_UNC_STEEL_ROUND_HEAD_BOLT	1/2	0.5	13	0.0769	0.558	1.25	0.192	  3/4 	0.75	0.515	0.483	1.094	1.032	0.27	0.25	0.031	St	ASME B18 5	1990
ASME B18.5 BOLT 1/2 x 0.875 UNC STEEL ROUND HEAD	ASME_B18_5_1/2_x_0.875_UNC_STEEL_ROUND_HEAD_BOLT	1/2	0.5	13	0.0769	0.683	1.25	0.192	  7/8 	0.875	0.515	0.483	1.094	1.032	0.27	0.25	0.031	St	ASME B18 5	1990
ASME B18.5 BOLT 1/2 x 1 UNC STEEL ROUND HEAD	ASME_B18_5_1/2_x_1_UNC_STEEL_ROUND_HEAD_BOLT	1/2	0.5	13	0.0769	0.808	1.25	0.192	1      	1.0	0.515	0.483	1.094	1.032	0.27	0.25	0.031	St	ASME B18 5	1990
ASME B18.5 BOLT 1/2 x 1.125 UNC STEEL ROUND HEAD	ASME_B18_5_1/2_x_1.125_UNC_STEEL_ROUND_HEAD_BOLT	1/2	0.5	13	0.0769	0.933	1.25	0.192	1  1/8 	1.125	0.515	0.483	1.094	1.032	0.27	0.25	0.031	St	ASME B18 5	1990
ASME B18.5 BOLT 1/2 x 1.25 UNC STEEL ROUND HEAD	ASME_B18_5_1/2_x_1.25_UNC_STEEL_ROUND_HEAD_BOLT	1/2	0.5	13	0.0769	1.058	1.25	0.192	1  1/4 	1.25	0.515	0.483	1.094	1.032	0.27	0.25	0.031	St	ASME B18 5	1990
ASME B18.5 BOLT 1/2 x 1.375 UNC STEEL ROUND HEAD	ASME_B18_5_1/2_x_1.375_UNC_STEEL_ROUND_HEAD_BOLT	1/2	0.5	13	0.0769	1.183	1.25	0.192	1  3/8 	1.375	0.515	0.483	1.094	1.032	0.27	0.25	0.031	St	ASME B18 5	1990
ASME B18.5 BOLT 1/2 x 1.5 UNC STEEL ROUND HEAD	ASME_B18_5_1/2_x_1.5_UNC_STEEL_ROUND_HEAD_BOLT	1/2	0.5	13	0.0769	1.25	1.25	0.192	1  1/2 	1.5	0.515	0.483	1.094	1.032	0.27	0.25	0.031	St	ASME B18 5	1990
ASME B18.5 BOLT 1/2 x 1.75 UNC STEEL ROUND HEAD	ASME_B18_5_1/2_x_1.75_UNC_STEEL_ROUND_HEAD_BOLT	1/2	0.5	13	0.0769	1.25	1.25	0.192	1  3/4 	1.75	0.515	0.483	1.094	1.032	0.27	0.25	0.031	St	ASME B18 5	1990
ASME B18.5 BOLT 1/2 x 2 UNC STEEL ROUND HEAD	ASME_B18_5_1/2_x_2_UNC_STEEL_ROUND_HEAD_BOLT	1/2	0.5	13	0.0769	1.25	1.25	0.192	2      	2.0	0.515	0.483	1.094	1.032	0.27	0.25	0.031	St	ASME B18 5	1990
ASME B18.5 BOLT 1/2 x 2.25 UNC STEEL ROUND HEAD	ASME_B18_5_1/2_x_2.25_UNC_STEEL_ROUND_HEAD_BOLT	1/2	0.5	13	0.0769	1.25	1.25	0.192	2  1/4 	2.25	0.515	0.483	1.094	1.032	0.27	0.25	0.031	St	ASME B18 5	1990
ASME B18.5 BOLT 1/2 x 2.75 UNC STEEL ROUND HEAD	ASME_B18_5_1/2_x_2.75_UNC_STEEL_ROUND_HEAD_BOLT	1/2	0.5	13	0.0769	1.25	1.25	0.192	2  3/4 	2.75	0.515	0.483	1.094	1.032	0.27	0.25	0.031	St	ASME B18 5	1990
ASME B18.5 BOLT 1/2 x 3 UNC STEEL ROUND HEAD	ASME_B18_5_1/2_x_3_UNC_STEEL_ROUND_HEAD_BOLT	1/2	0.5	13	0.0769	1.25	1.25	0.192	3      	3.0	0.515	0.483	1.094	1.032	0.27	0.25	0.031	St	ASME B18 5	1990
ASME B18.5 BOLT 1/2 x 3.25 UNC STEEL ROUND HEAD	ASME_B18_5_1/2_x_3.25_UNC_STEEL_ROUND_HEAD_BOLT	1/2	0.5	13	0.0769	1.25	1.25	0.192	3  1/4 	3.25	0.515	0.483	1.094	1.032	0.27	0.25	0.031	St	ASME B18 5	1990
ASME B18.5 BOLT 1/2 x 3.5 UNC STEEL ROUND HEAD	ASME_B18_5_1/2_x_3.5_UNC_STEEL_ROUND_HEAD_BOLT	1/2	0.5	13	0.0769	1.25	1.25	0.192	3  1/2 	3.5	0.515	0.483	1.094	1.032	0.27	0.25	0.031	St	ASME B18 5	1990
ASME B18.5 BOLT 1/2 x 3.75 UNC STEEL ROUND HEAD	ASME_B18_5_1/2_x_3.75_UNC_STEEL_ROUND_HEAD_BOLT	1/2	0.5	13	0.0769	1.25	1.25	0.192	3  3/4 	3.75	0.515	0.483	1.094	1.032	0.27	0.25	0.031	St	ASME B18 5	1990
ASME B18.5 BOLT 1/2 x 4 UNC STEEL ROUND HEAD	ASME_B18_5_1/2_x_4_UNC_STEEL_ROUND_HEAD_BOLT	1/2	0.5	13	0.0769	1.25	1.25	0.192	4      	4.0	0.515	0.483	1.094	1.032	0.27	0.25	0.031	St	ASME B18 5	1990
