PartNumber	PartName	Nominal_size(ref)	Nominal_size(in)	t.p.i.	Pitch(in)	Threading(in)	Min_Thread(in)	Max_Unthread(in)	L_length(ref)	Length(in)	E_body_diamax(in)	E_body_diamin(in)	A_head_dia_max(in)	A_head_dia_min(in)	H_head_height_max(in)	H_head_height_min(in)	R_fillet_radius_max(in)	Material	Reference	Edition
ASME B18.5 BOLT 5/8 x 7 UNC STEEL ROUND HEAD	ASME_B18_5_5/8_x_7_UNC_STEEL_ROUND_HEAD_BOLT	5/8	0.625	11	0.0909	1.75	1.75	0.227	7      	7.0	0.642	0.605	1.344	1.219	0.344	0.313	0.062	St	ASME B18 5	1990
ASME B18.5 BOLT 5/8 x 7.5 UNC STEEL ROUND HEAD	ASME_B18_5_5/8_x_7.5_UNC_STEEL_ROUND_HEAD_BOLT	5/8	0.625	11	0.0909	1.75	1.75	0.227	7  1/2 	7.5	0.642	0.605	1.344	1.219	0.344	0.313	0.062	St	ASME B18 5	1990
ASME B18.5 BOLT 5/8 x 8 UNC STEEL ROUND HEAD	ASME_B18_5_5/8_x_8_UNC_STEEL_ROUND_HEAD_BOLT	5/8	0.625	11	0.0909	1.75	1.75	0.227	8      	8.0	0.642	0.605	1.344	1.219	0.344	0.313	0.062	St	ASME B18 5	1990
ASME B18.5 BOLT 5/8 x 8.5 UNC STEEL ROUND HEAD	ASME_B18_5_5/8_x_8.5_UNC_STEEL_ROUND_HEAD_BOLT	5/8	0.625	11	0.0909	1.75	1.75	0.227	8  1/2 	8.5	0.642	0.605	1.344	1.219	0.344	0.313	0.062	St	ASME B18 5	1990
ASME B18.5 BOLT 5/8 x 9 UNC STEEL ROUND HEAD	ASME_B18_5_5/8_x_9_UNC_STEEL_ROUND_HEAD_BOLT	5/8	0.625	11	0.0909	1.75	1.75	0.227	9      	9.0	0.642	0.605	1.344	1.219	0.344	0.313	0.062	St	ASME B18 5	1990
ASME B18.5 BOLT 3/4 x 0.625 UNC STEEL ROUND HEAD	ASME_B18_5_3/4_x_0.625_UNC_STEEL_ROUND_HEAD_BOLT	3/4	0.75	10	0.1000	0.375	1.75	0.25	  5/8 	0.625	0.768	0.729	1.594	1.469	0.406	0.375	0.062	St	ASME B18 5	1990
ASME B18.5 BOLT 3/4 x 0.75 UNC STEEL ROUND HEAD	ASME_B18_5_3/4_x_0.75_UNC_STEEL_ROUND_HEAD_BOLT	3/4	0.75	10	0.1000	0.5	1.75	0.25	  3/4 	0.75	0.768	0.729	1.594	1.469	0.406	0.375	0.062	St	ASME B18 5	1990
ASME B18.5 BOLT 3/4 x 0.875 UNC STEEL ROUND HEAD	ASME_B18_5_3/4_x_0.875_UNC_STEEL_ROUND_HEAD_BOLT	3/4	0.75	10	0.1000	0.625	1.75	0.25	  7/8 	0.875	0.768	0.729	1.594	1.469	0.406	0.375	0.062	St	ASME B18 5	1990
ASME B18.5 BOLT 3/4 x 1 UNC STEEL ROUND HEAD	ASME_B18_5_3/4_x_1_UNC_STEEL_ROUND_HEAD_BOLT	3/4	0.75	10	0.1000	0.75	1.75	0.25	1      	1.0	0.768	0.729	1.594	1.469	0.406	0.375	0.062	St	ASME B18 5	1990
ASME B18.5 BOLT 3/4 x 1.125 UNC STEEL ROUND HEAD	ASME_B18_5_3/4_x_1.125_UNC_STEEL_ROUND_HEAD_BOLT	3/4	0.75	10	0.1000	0.875	1.75	0.25	1  1/8 	1.125	0.768	0.729	1.594	1.469	0.406	0.375	0.062	St	ASME B18 5	1990
ASME B18.5 BOLT 3/4 x 1.25 UNC STEEL ROUND HEAD	ASME_B18_5_3/4_x_1.25_UNC_STEEL_ROUND_HEAD_BOLT	3/4	0.75	10	0.1000	1.0	1.75	0.25	1  1/4 	1.25	0.768	0.729	1.594	1.469	0.406	0.375	0.062	St	ASME B18 5	1990
ASME B18.5 BOLT 3/4 x 1.375 UNC STEEL ROUND HEAD	ASME_B18_5_3/4_x_1.375_UNC_STEEL_ROUND_HEAD_BOLT	3/4	0.75	10	0.1000	1.125	1.75	0.25	1  3/8 	1.375	0.768	0.729	1.594	1.469	0.406	0.375	0.062	St	ASME B18 5	1990
ASME B18.5 BOLT 3/4 x 1.5 UNC STEEL ROUND HEAD	ASME_B18_5_3/4_x_1.5_UNC_STEEL_ROUND_HEAD_BOLT	3/4	0.75	10	0.1000	1.25	1.75	0.25	1  1/2 	1.5	0.768	0.729	1.594	1.469	0.406	0.375	0.062	St	ASME B18 5	1990
