PartNumber	PartName	Nominal_size(ref)	Nominal_size(in)	t.p.i.	Pitch(in)	Threading(in)	Min_Thread(in)	Max_Unthread(in)	Length(ref)	L_length(in)	E_body_dia_max(in)	E_body_dia_min(in)	A_head_dia_max_edge_sharp(in)	A_head_dia_min_edge_rounded_or_flat(in)	H_head_height(in)	J_slot_width_max(in)	J_slot_width_min(in)	T_slot_depth_max(in)	T_slot_depth_min(in)	U_fillet_radius_max(in)	Material	Reference	Edition
ASME B18.6.2 SCREW 3/8 x 0.625 UNC STEEL SLOTTED FLAT CSK HEAD CAP	ASME_B18_6_2_3/8_x_0.625_UNC_STEEL_SLOTTED_FLAT_CSK_HEAD_CAP_SCREW	3/8	0.375	16	0.0625	0.259	1.0	0.366	  5/8 	0.625	0.375	0.369	0.75	0.682	0.21	0.094	0.081	0.103	0.068	0.15	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 3/8 x 0.75 UNC STEEL SLOTTED FLAT CSK HEAD CAP	ASME_B18_6_2_3/8_x_0.75_UNC_STEEL_SLOTTED_FLAT_CSK_HEAD_CAP_SCREW	3/8	0.375	16	0.0625	0.384	1.0	0.366	  3/4 	0.750	0.375	0.369	0.75	0.682	0.21	0.094	0.081	0.103	0.068	0.15	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 3/8 x 0.875 UNC STEEL SLOTTED FLAT CSK HEAD CAP	ASME_B18_6_2_3/8_x_0.875_UNC_STEEL_SLOTTED_FLAT_CSK_HEAD_CAP_SCREW	3/8	0.375	16	0.0625	0.509	1.0	0.366	  7/8 	0.875	0.375	0.369	0.75	0.682	0.21	0.094	0.081	0.103	0.068	0.15	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 3/8 x 1 UNC STEEL SLOTTED FLAT CSK HEAD CAP	ASME_B18_6_2_3/8_x_1_UNC_STEEL_SLOTTED_FLAT_CSK_HEAD_CAP_SCREW	3/8	0.375	16	0.0625	0.634	1.0	0.366	1      	1.000	0.375	0.369	0.75	0.682	0.21	0.094	0.081	0.103	0.068	0.15	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 3/8 x 1.125 UNC STEEL SLOTTED FLAT CSK HEAD CAP	ASME_B18_6_2_3/8_x_1.125_UNC_STEEL_SLOTTED_FLAT_CSK_HEAD_CAP_SCREW	3/8	0.375	16	0.0625	0.759	1.0	0.366	1  1/8 	1.125	0.375	0.369	0.75	0.682	0.21	0.094	0.081	0.103	0.068	0.15	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 3/8 x 1.25 UNC STEEL SLOTTED FLAT CSK HEAD CAP	ASME_B18_6_2_3/8_x_1.25_UNC_STEEL_SLOTTED_FLAT_CSK_HEAD_CAP_SCREW	3/8	0.375	16	0.0625	0.884	1.0	0.366	1  1/4 	1.250	0.375	0.369	0.75	0.682	0.21	0.094	0.081	0.103	0.068	0.15	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 3/8 x 1.375 UNC STEEL SLOTTED FLAT CSK HEAD CAP	ASME_B18_6_2_3/8_x_1.375_UNC_STEEL_SLOTTED_FLAT_CSK_HEAD_CAP_SCREW	3/8	0.375	16	0.0625	1.000	1.0	0.366	1  3/8 	1.375	0.375	0.369	0.75	0.682	0.21	0.094	0.081	0.103	0.068	0.15	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 3/8 x 1.5 UNC STEEL SLOTTED FLAT CSK HEAD CAP	ASME_B18_6_2_3/8_x_1.5_UNC_STEEL_SLOTTED_FLAT_CSK_HEAD_CAP_SCREW	3/8	0.375	16	0.0625	1.000	1.0	0.366	1  1/2 	1.500	0.375	0.369	0.75	0.682	0.21	0.094	0.081	0.103	0.068	0.15	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 3/8 x 1.75 UNC STEEL SLOTTED FLAT CSK HEAD CAP	ASME_B18_6_2_3/8_x_1.75_UNC_STEEL_SLOTTED_FLAT_CSK_HEAD_CAP_SCREW	3/8	0.375	16	0.0625	1.000	1.0	0.366	1  3/4 	1.750	0.375	0.369	0.75	0.682	0.21	0.094	0.081	0.103	0.068	0.15	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 3/8 x 2 UNC STEEL SLOTTED FLAT CSK HEAD CAP	ASME_B18_6_2_3/8_x_2_UNC_STEEL_SLOTTED_FLAT_CSK_HEAD_CAP_SCREW	3/8	0.375	16	0.0625	1.000	1.0	0.366	2      	2.000	0.375	0.369	0.75	0.682	0.21	0.094	0.081	0.103	0.068	0.15	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 3/8 x 2.25 UNC STEEL SLOTTED FLAT CSK HEAD CAP	ASME_B18_6_2_3/8_x_2.25_UNC_STEEL_SLOTTED_FLAT_CSK_HEAD_CAP_SCREW	3/8	0.375	16	0.0625	1.000	1.0	0.366	2  1/4 	2.250	0.375	0.369	0.75	0.682	0.21	0.094	0.081	0.103	0.068	0.15	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 3/8 x 2.75 UNC STEEL SLOTTED FLAT CSK HEAD CAP	ASME_B18_6_2_3/8_x_2.75_UNC_STEEL_SLOTTED_FLAT_CSK_HEAD_CAP_SCREW	3/8	0.375	16	0.0625	1.000	1.0	0.366	2  3/4 	2.750	0.375	0.369	0.75	0.682	0.21	0.094	0.081	0.103	0.068	0.15	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 3/8 x 3 UNC STEEL SLOTTED FLAT CSK HEAD CAP	ASME_B18_6_2_3/8_x_3_UNC_STEEL_SLOTTED_FLAT_CSK_HEAD_CAP_SCREW	3/8	0.375	16	0.0625	1.000	1.0	0.366	3      	3.000	0.375	0.369	0.75	0.682	0.21	0.094	0.081	0.103	0.068	0.15	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 3/8 x 3.25 UNC STEEL SLOTTED FLAT CSK HEAD CAP	ASME_B18_6_2_3/8_x_3.25_UNC_STEEL_SLOTTED_FLAT_CSK_HEAD_CAP_SCREW	3/8	0.375	16	0.0625	1.000	1.0	0.366	3  1/4 	3.250	0.375	0.369	0.75	0.682	0.21	0.094	0.081	0.103	0.068	0.15	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 3/8 x 3.5 UNC STEEL SLOTTED FLAT CSK HEAD CAP	ASME_B18_6_2_3/8_x_3.5_UNC_STEEL_SLOTTED_FLAT_CSK_HEAD_CAP_SCREW	3/8	0.375	16	0.0625	1.000	1.0	0.366	3  1/2 	3.500	0.375	0.369	0.75	0.682	0.21	0.094	0.081	0.103	0.068	0.15	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 3/8 x 3.75 UNC STEEL SLOTTED FLAT CSK HEAD CAP	ASME_B18_6_2_3/8_x_3.75_UNC_STEEL_SLOTTED_FLAT_CSK_HEAD_CAP_SCREW	3/8	0.375	16	0.0625	1.000	1.0	0.366	3  3/4 	3.750	0.375	0.369	0.75	0.682	0.21	0.094	0.081	0.103	0.068	0.15	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 3/8 x 4 UNC STEEL SLOTTED FLAT CSK HEAD CAP	ASME_B18_6_2_3/8_x_4_UNC_STEEL_SLOTTED_FLAT_CSK_HEAD_CAP_SCREW	3/8	0.375	16	0.0625	1.000	1.0	0.366	4      	4.000	0.375	0.369	0.75	0.682	0.21	0.094	0.081	0.103	0.068	0.15	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 3/8 x 4.25 UNC STEEL SLOTTED FLAT CSK HEAD CAP	ASME_B18_6_2_3/8_x_4.25_UNC_STEEL_SLOTTED_FLAT_CSK_HEAD_CAP_SCREW	3/8	0.375	16	0.0625	1.000	1.0	0.366	4  1/4 	4.250	0.375	0.369	0.75	0.682	0.21	0.094	0.081	0.103	0.068	0.15	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 3/8 x 4.5 UNC STEEL SLOTTED FLAT CSK HEAD CAP	ASME_B18_6_2_3/8_x_4.5_UNC_STEEL_SLOTTED_FLAT_CSK_HEAD_CAP_SCREW	3/8	0.375	16	0.0625	1.000	1.0	0.366	4  1/2 	4.500	0.375	0.369	0.75	0.682	0.21	0.094	0.081	0.103	0.068	0.15	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 3/8 x 4.75 UNC STEEL SLOTTED FLAT CSK HEAD CAP	ASME_B18_6_2_3/8_x_4.75_UNC_STEEL_SLOTTED_FLAT_CSK_HEAD_CAP_SCREW	3/8	0.375	16	0.0625	1.000	1.0	0.366	4  3/4 	4.750	0.375	0.369	0.75	0.682	0.21	0.094	0.081	0.103	0.068	0.15	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 3/8 x 5 UNC STEEL SLOTTED FLAT CSK HEAD CAP	ASME_B18_6_2_3/8_x_5_UNC_STEEL_SLOTTED_FLAT_CSK_HEAD_CAP_SCREW	3/8	0.375	16	0.0625	1.000	1.0	0.366	5      	5.000	0.375	0.369	0.75	0.682	0.21	0.094	0.081	0.103	0.068	0.15	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 7/16 x 0.5 UNC STEEL SLOTTED FLAT CSK HEAD CAP	ASME_B18_6_2_7/16_x_0.5_UNC_STEEL_SLOTTED_FLAT_CSK_HEAD_CAP_SCREW	7/16	0.438	14	0.0714	0.111	1.125	0.389	  1/2 	0.500	0.438	0.431	0.812	0.736	0.21	0.094	0.081	0.103	0.068	0.175	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 7/16 x 0.625 UNC STEEL SLOTTED FLAT CSK HEAD CAP	ASME_B18_6_2_7/16_x_0.625_UNC_STEEL_SLOTTED_FLAT_CSK_HEAD_CAP_SCREW	7/16	0.438	14	0.0714	0.236	1.125	0.389	  5/8 	0.625	0.438	0.431	0.812	0.736	0.21	0.094	0.081	0.103	0.068	0.175	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 7/16 x 0.75 UNC STEEL SLOTTED FLAT CSK HEAD CAP	ASME_B18_6_2_7/16_x_0.75_UNC_STEEL_SLOTTED_FLAT_CSK_HEAD_CAP_SCREW	7/16	0.438	14	0.0714	0.361	1.125	0.389	  3/4 	0.750	0.438	0.431	0.812	0.736	0.21	0.094	0.081	0.103	0.068	0.175	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 7/16 x 0.875 UNC STEEL SLOTTED FLAT CSK HEAD CAP	ASME_B18_6_2_7/16_x_0.875_UNC_STEEL_SLOTTED_FLAT_CSK_HEAD_CAP_SCREW	7/16	0.438	14	0.0714	0.486	1.125	0.389	  7/8 	0.875	0.438	0.431	0.812	0.736	0.21	0.094	0.081	0.103	0.068	0.175	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 7/16 x 1 UNC STEEL SLOTTED FLAT CSK HEAD CAP	ASME_B18_6_2_7/16_x_1_UNC_STEEL_SLOTTED_FLAT_CSK_HEAD_CAP_SCREW	7/16	0.438	14	0.0714	0.611	1.125	0.389	1      	1.000	0.438	0.431	0.812	0.736	0.21	0.094	0.081	0.103	0.068	0.175	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 7/16 x 1.125 UNC STEEL SLOTTED FLAT CSK HEAD CAP	ASME_B18_6_2_7/16_x_1.125_UNC_STEEL_SLOTTED_FLAT_CSK_HEAD_CAP_SCREW	7/16	0.438	14	0.0714	0.736	1.125	0.389	1  1/8 	1.125	0.438	0.431	0.812	0.736	0.21	0.094	0.081	0.103	0.068	0.175	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 7/16 x 1.25 UNC STEEL SLOTTED FLAT CSK HEAD CAP	ASME_B18_6_2_7/16_x_1.25_UNC_STEEL_SLOTTED_FLAT_CSK_HEAD_CAP_SCREW	7/16	0.438	14	0.0714	0.861	1.125	0.389	1  1/4 	1.250	0.438	0.431	0.812	0.736	0.21	0.094	0.081	0.103	0.068	0.175	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 7/16 x 1.375 UNC STEEL SLOTTED FLAT CSK HEAD CAP	ASME_B18_6_2_7/16_x_1.375_UNC_STEEL_SLOTTED_FLAT_CSK_HEAD_CAP_SCREW	7/16	0.438	14	0.0714	0.986	1.125	0.389	1  3/8 	1.375	0.438	0.431	0.812	0.736	0.21	0.094	0.081	0.103	0.068	0.175	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 7/16 x 1.5 UNC STEEL SLOTTED FLAT CSK HEAD CAP	ASME_B18_6_2_7/16_x_1.5_UNC_STEEL_SLOTTED_FLAT_CSK_HEAD_CAP_SCREW	7/16	0.438	14	0.0714	1.111	1.125	0.389	1  1/2 	1.500	0.438	0.431	0.812	0.736	0.21	0.094	0.081	0.103	0.068	0.175	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 7/16 x 1.75 UNC STEEL SLOTTED FLAT CSK HEAD CAP	ASME_B18_6_2_7/16_x_1.75_UNC_STEEL_SLOTTED_FLAT_CSK_HEAD_CAP_SCREW	7/16	0.438	14	0.0714	1.125	1.125	0.389	1  3/4 	1.750	0.438	0.431	0.812	0.736	0.21	0.094	0.081	0.103	0.068	0.175	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 7/16 x 2 UNC STEEL SLOTTED FLAT CSK HEAD CAP	ASME_B18_6_2_7/16_x_2_UNC_STEEL_SLOTTED_FLAT_CSK_HEAD_CAP_SCREW	7/16	0.438	14	0.0714	1.125	1.125	0.389	2      	2.000	0.438	0.431	0.812	0.736	0.21	0.094	0.081	0.103	0.068	0.175	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 7/16 x 2.25 UNC STEEL SLOTTED FLAT CSK HEAD CAP	ASME_B18_6_2_7/16_x_2.25_UNC_STEEL_SLOTTED_FLAT_CSK_HEAD_CAP_SCREW	7/16	0.438	14	0.0714	1.125	1.125	0.389	2  1/4 	2.250	0.438	0.431	0.812	0.736	0.21	0.094	0.081	0.103	0.068	0.175	St	ASME B18.6.2	1998
