PartNumber	PartName	Designation	d1_thread_od_max(mm)	d2_thread_base_dia_min(mm)	d3_min(mm)	l_length(mm)	a_max(mm)	p_pitch(mm)	threading(mm)	dk_head_dia_max(mm)	k_head_depth_max(mm)	m_width(mm)	q_recess_depth_max(mm)	r_max(mm)	y_taper(mm)	slot_width(mm)	cross_recess_no	Type	Material	Reference	Edition																				
JIS B 1122 SCREW ST5.5x38 STEEL CROSS REC CSK HEAD TAPPING TYPE HC	JIS_B_1122_ST5.5x38_STEEL_TYPE_HC_CROSS_REC_CSK_HEAD_TAPPING_SCREW	ST5.5	5.46	3.99	0.0	38.0	1.8	1.8	31.2	10.3	3.0	6.6	3.3	2.2	5.0	0.86	3.0	HC	St	JIS B 1122	1996																				
JIS B 1122 SCREW ST6.3x13 STEEL CROSS REC CSK HEAD TAPPING TYPE HC	JIS_B_1122_ST6.3x13_STEEL_TYPE_HC_CROSS_REC_CSK_HEAD_TAPPING_SCREW	ST6.3	6.25	4.7	0.0	13.0	1.8	1.8	5.2	11.3	3.15	6.8	3.5	2.4	6.0	0.86	3.0	HC	St	JIS B 1122	1996																				
JIS B 1122 SCREW ST6.3x16 STEEL CROSS REC CSK HEAD TAPPING TYPE HC	JIS_B_1122_ST6.3x16_STEEL_TYPE_HC_CROSS_REC_CSK_HEAD_TAPPING_SCREW	ST6.3	6.25	4.7	0.0	16.0	1.8	1.8	8.2	11.3	3.15	6.8	3.5	2.4	6.0	0.86	3.0	HC	St	JIS B 1122	1996																				
JIS B 1122 SCREW ST6.3x19 STEEL CROSS REC CSK HEAD TAPPING TYPE HC	JIS_B_1122_ST6.3x19_STEEL_TYPE_HC_CROSS_REC_CSK_HEAD_TAPPING_SCREW	ST6.3	6.25	4.7	0.0	19.0	1.8	1.8	11.2	11.3	3.15	6.8	3.5	2.4	6.0	0.86	3.0	HC	St	JIS B 1122	1996																				
JIS B 1122 SCREW ST6.3x22 STEEL CROSS REC CSK HEAD TAPPING TYPE HC	JIS_B_1122_ST6.3x22_STEEL_TYPE_HC_CROSS_REC_CSK_HEAD_TAPPING_SCREW	ST6.3	6.25	4.7	0.0	22.0	1.8	1.8	14.2	11.3	3.15	6.8	3.5	2.4	6.0	0.86	3.0	HC	St	JIS B 1122	1996																				
JIS B 1122 SCREW ST6.3x25 STEEL CROSS REC CSK HEAD TAPPING TYPE HC	JIS_B_1122_ST6.3x25_STEEL_TYPE_HC_CROSS_REC_CSK_HEAD_TAPPING_SCREW	ST6.3	6.25	4.7	0.0	25.0	1.8	1.8	17.2	11.3	3.15	6.8	3.5	2.4	6.0	0.86	3.0	HC	St	JIS B 1122	1996																				
JIS B 1122 SCREW ST6.3x32 STEEL CROSS REC CSK HEAD TAPPING TYPE HC	JIS_B_1122_ST6.3x32_STEEL_TYPE_HC_CROSS_REC_CSK_HEAD_TAPPING_SCREW	ST6.3	6.25	4.7	0.0	32.0	1.8	1.8	24.2	11.3	3.15	6.8	3.5	2.4	6.0	0.86	3.0	HC	St	JIS B 1122	1996																				
JIS B 1122 SCREW ST6.3x38 STEEL CROSS REC CSK HEAD TAPPING TYPE HC	JIS_B_1122_ST6.3x38_STEEL_TYPE_HC_CROSS_REC_CSK_HEAD_TAPPING_SCREW	ST6.3	6.25	4.7	0.0	38.0	1.8	1.8	30.2	11.3	3.15	6.8	3.5	2.4	6.0	0.86	3.0	HC	St	JIS B 1122	1996																				
JIS B 1122 SCREW ST8x16 STEEL CROSS REC CSK HEAD TAPPING TYPE HC	JIS_B_1122_ST8x16_STEEL_TYPE_HC_CROSS_REC_CSK_HEAD_TAPPING_SCREW	ST8	8.0	5.99	0.0	16.0	2.1	2.1	6.4	15.8	4.65	8.9	4.6	3.2	7.5	1.27	4.0	HC	St	JIS B 1122	1996																				
JIS B 1122 SCREW ST8x19 STEEL CROSS REC CSK HEAD TAPPING TYPE HC	JIS_B_1122_ST8x19_STEEL_TYPE_HC_CROSS_REC_CSK_HEAD_TAPPING_SCREW	ST8	8.0	5.99	0.0	19.0	2.1	2.1	9.4	15.8	4.65	8.9	4.6	3.2	7.5	1.27	4.0	HC	St	JIS B 1122	1996																				
