PartNumber	PartName	d_dia(mm)	a_approx(mm)	r1(mm)	l_nom_Length(mm)	l_min(mm)	l_max(mm)	Material	Reference	Edition
JIS B 1352 PIN 6x55 STEEL TAPER	JIS_B_1352_6x55_STEEL_TAPER_PIN	6.0	0.8	6.0	55.0	54.25	55.75	St	JIS B 1352	1988
JIS B 1352 PIN 6x60 STEEL TAPER	JIS_B_1352_6x60_STEEL_TAPER_PIN	6.0	0.8	6.0	60.0	59.25	60.75	St	JIS B 1352	1988
JIS B 1352 PIN 6x65 STEEL TAPER	JIS_B_1352_6x65_STEEL_TAPER_PIN	6.0	0.8	6.0	65.0	64.25	65.75	St	JIS B 1352	1988
JIS B 1352 PIN 6x70 STEEL TAPER	JIS_B_1352_6x70_STEEL_TAPER_PIN	6.0	0.8	6.0	70.0	69.25	70.75	St	JIS B 1352	1988
JIS B 1352 PIN 6x75 STEEL TAPER	JIS_B_1352_6x75_STEEL_TAPER_PIN	6.0	0.8	6.0	75.0	74.25	75.75	St	JIS B 1352	1988
JIS B 1352 PIN 6x80 STEEL TAPER	JIS_B_1352_6x80_STEEL_TAPER_PIN	6.0	0.8	6.0	80.0	79.25	80.75	St	JIS B 1352	1988
JIS B 1352 PIN 6x85 STEEL TAPER	JIS_B_1352_6x85_STEEL_TAPER_PIN	6.0	0.8	6.0	85.0	84.25	85.75	St	JIS B 1352	1988
JIS B 1352 PIN 6x90 STEEL TAPER	JIS_B_1352_6x90_STEEL_TAPER_PIN	6.0	0.8	6.0	90.0	89.25	90.75	St	JIS B 1352	1988
JIS B 1352 PIN 8x22 STEEL TAPER	JIS_B_1352_8x22_STEEL_TAPER_PIN	8.0	1.0	8.0	22.0	21.5	22.5	St	JIS B 1352	1988
JIS B 1352 PIN 8x24 STEEL TAPER	JIS_B_1352_8x24_STEEL_TAPER_PIN	8.0	1.0	8.0	24.0	23.5	24.5	St	JIS B 1352	1988
JIS B 1352 PIN 8x26 STEEL TAPER	JIS_B_1352_8x26_STEEL_TAPER_PIN	8.0	1.0	8.0	26.0	25.5	26.5	St	JIS B 1352	1988
JIS B 1352 PIN 8x28 STEEL TAPER	JIS_B_1352_8x28_STEEL_TAPER_PIN	8.0	1.0	8.0	28.0	27.5	28.5	St	JIS B 1352	1988
JIS B 1352 PIN 8x30 STEEL TAPER	JIS_B_1352_8x30_STEEL_TAPER_PIN	8.0	1.0	8.0	30.0	29.5	30.5	St	JIS B 1352	1988
JIS B 1352 PIN 8x32 STEEL TAPER	JIS_B_1352_8x32_STEEL_TAPER_PIN	8.0	1.0	8.0	32.0	31.5	32.5	St	JIS B 1352	1988
JIS B 1352 PIN 8x35 STEEL TAPER	JIS_B_1352_8x35_STEEL_TAPER_PIN	8.0	1.0	8.0	35.0	34.5	35.5	St	JIS B 1352	1988
JIS B 1352 PIN 8x40 STEEL TAPER	JIS_B_1352_8x40_STEEL_TAPER_PIN	8.0	1.0	8.0	40.0	39.5	40.5	St	JIS B 1352	1988
JIS B 1352 PIN 8x45 STEEL TAPER	JIS_B_1352_8x45_STEEL_TAPER_PIN	8.0	1.0	8.0	45.0	44.5	45.5	St	JIS B 1352	1988
JIS B 1352 PIN 8x50 STEEL TAPER	JIS_B_1352_8x50_STEEL_TAPER_PIN	8.0	1.0	8.0	50.0	49.5	50.5	St	JIS B 1352	1988
JIS B 1352 PIN 8x55 STEEL TAPER	JIS_B_1352_8x55_STEEL_TAPER_PIN	8.0	1.0	8.0	55.0	54.25	55.75	St	JIS B 1352	1988
JIS B 1352 PIN 8x60 STEEL TAPER	JIS_B_1352_8x60_STEEL_TAPER_PIN	8.0	1.0	8.0	60.0	59.25	60.75	St	JIS B 1352	1988
JIS B 1352 PIN 8x65 STEEL TAPER	JIS_B_1352_8x65_STEEL_TAPER_PIN	8.0	1.0	8.0	65.0	64.25	65.75	St	JIS B 1352	1988
JIS B 1352 PIN 8x70 STEEL TAPER	JIS_B_1352_8x70_STEEL_TAPER_PIN	8.0	1.0	8.0	70.0	69.25	70.75	St	JIS B 1352	1988
JIS B 1352 PIN 8x75 STEEL TAPER	JIS_B_1352_8x75_STEEL_TAPER_PIN	8.0	1.0	8.0	75.0	74.25	75.75	St	JIS B 1352	1988
JIS B 1352 PIN 8x80 STEEL TAPER	JIS_B_1352_8x80_STEEL_TAPER_PIN	8.0	1.0	8.0	80.0	79.25	80.75	St	JIS B 1352	1988
