PartNumber	PartName	Designation	d1_thread_od_max(mm)	d2_thread_base_dia_min(mm)	d3_min(mm)	l_length(mm)	a_max(mm)	p_pitch(mm)	threading(mm)	e_across_corners(mm)	s_across_flats_max(mm)	k_head_depth_max(mm)	r_max(mm)	y_taper(mm)	Type	Material	Reference	Edition
JIS B 1123 SCREW ST8x19 STEEL HEXAGON HEAD TAPPING TYPE C	JIS_B_1123_ST8x19_STEEL_TYPE_C_HEXAGON_HEAD_TAPPING_SCREW	ST8	8.0	5.99	0.02	19.0	2.1	2.1	9.4	14.26	13.0	6.0	0.4	7.5	C	St	JIS B 1123	1996
JIS B 1123 SCREW ST8x22 STEEL HEXAGON HEAD TAPPING TYPE C	JIS_B_1123_ST8x22_STEEL_TYPE_C_HEXAGON_HEAD_TAPPING_SCREW	ST8	8.0	5.99	0.02	22.0	2.1	2.1	12.4	14.26	13.0	6.0	0.4	7.5	C	St	JIS B 1123	1996
JIS B 1123 SCREW ST8x25 STEEL HEXAGON HEAD TAPPING TYPE C	JIS_B_1123_ST8x25_STEEL_TYPE_C_HEXAGON_HEAD_TAPPING_SCREW	ST8	8.0	5.99	0.02	25.0	2.1	2.1	15.4	14.26	13.0	6.0	0.4	7.5	C	St	JIS B 1123	1996
JIS B 1123 SCREW ST8x32 STEEL HEXAGON HEAD TAPPING TYPE C	JIS_B_1123_ST8x32_STEEL_TYPE_C_HEXAGON_HEAD_TAPPING_SCREW	ST8	8.0	5.99	0.02	32.0	2.1	2.1	22.4	14.26	13.0	6.0	0.4	7.5	C	St	JIS B 1123	1996
JIS B 1123 SCREW ST8x38 STEEL HEXAGON HEAD TAPPING TYPE C	JIS_B_1123_ST8x38_STEEL_TYPE_C_HEXAGON_HEAD_TAPPING_SCREW	ST8	8.0	5.99	0.02	38.0	2.1	2.1	28.4	14.26	13.0	6.0	0.4	7.5	C	St	JIS B 1123	1996
JIS B 1123 SCREW ST8x45 STEEL HEXAGON HEAD TAPPING TYPE C	JIS_B_1123_ST8x45_STEEL_TYPE_C_HEXAGON_HEAD_TAPPING_SCREW	ST8	8.0	5.99	0.02	45.0	2.1	2.1	35.4	14.26	13.0	6.0	0.4	7.5	C	St	JIS B 1123	1996
JIS B 1123 SCREW ST8x50 STEEL HEXAGON HEAD TAPPING TYPE C	JIS_B_1123_ST8x50_STEEL_TYPE_C_HEXAGON_HEAD_TAPPING_SCREW	ST8	8.0	5.99	0.02	50.0	2.1	2.1	40.4	14.26	13.0	6.0	0.4	7.5	C	St	JIS B 1123	1996
JIS B 1123 SCREW ST9.5x16 STEEL HEXAGON HEAD TAPPING TYPE C	JIS_B_1123_ST9.5x16_STEEL_TYPE_C_HEXAGON_HEAD_TAPPING_SCREW	ST9.5	9.65	7.59	0.02	16.0	2.1	2.1	5.9	17.62	16.0	7.5	0.4	8.0	C	St	JIS B 1123	1996
JIS B 1123 SCREW ST9.5x19 STEEL HEXAGON HEAD TAPPING TYPE C	JIS_B_1123_ST9.5x19_STEEL_TYPE_C_HEXAGON_HEAD_TAPPING_SCREW	ST9.5	9.65	7.59	0.02	19.0	2.1	2.1	8.9	17.62	16.0	7.5	0.4	8.0	C	St	JIS B 1123	1996
JIS B 1123 SCREW ST9.5x22 STEEL HEXAGON HEAD TAPPING TYPE C	JIS_B_1123_ST9.5x22_STEEL_TYPE_C_HEXAGON_HEAD_TAPPING_SCREW	ST9.5	9.65	7.59	0.02	22.0	2.1	2.1	11.9	17.62	16.0	7.5	0.4	8.0	C	St	JIS B 1123	1996
