PartNumber	PartName	designation	d_dia(mm)	p_pitch(mm)	threading(mm)	l_length(mm)	angle(deg)	re_radius(mm)	n_nom_slot_width(mm)	t_max_slot_depth(mm)	Grade	Material	Reference	Edition
JIS B 1117 SCREW M3.5x8 STEEL GRADE A SLOTTED SET WITH ROUNDED END	JIS_B_1117_M3.5x8_STEEL_GRADE_A_ROUNDED_END_SLOTTED_SET_SCREW	M3.5	3.5	0.6	7.7348	8.0	90.0	4.9	0.5	1.21	A	St	JIS B 1117	1995
JIS B 1117 SCREW M3.5x10 STEEL GRADE A SLOTTED SET WITH ROUNDED END	JIS_B_1117_M3.5x10_STEEL_GRADE_A_ROUNDED_END_SLOTTED_SET_SCREW	M3.5	3.5	0.6	9.7348	10.0	90.0	4.9	0.5	1.21	A	St	JIS B 1117	1995
JIS B 1117 SCREW M3.5x12 STEEL GRADE A SLOTTED SET WITH ROUNDED END	JIS_B_1117_M3.5x12_STEEL_GRADE_A_ROUNDED_END_SLOTTED_SET_SCREW	M3.5	3.5	0.6	11.7348	12.0	90.0	4.9	0.5	1.21	A	St	JIS B 1117	1995
JIS B 1117 SCREW M3.5x14 STEEL GRADE A SLOTTED SET WITH ROUNDED END	JIS_B_1117_M3.5x14_STEEL_GRADE_A_ROUNDED_END_SLOTTED_SET_SCREW	M3.5	3.5	0.6	13.7348	14.0	90.0	4.9	0.5	1.21	A	St	JIS B 1117	1995
JIS B 1117 SCREW M3.5x16 STEEL GRADE A SLOTTED SET WITH ROUNDED END	JIS_B_1117_M3.5x16_STEEL_GRADE_A_ROUNDED_END_SLOTTED_SET_SCREW	M3.5	3.5	0.6	15.7348	16.0	90.0	4.9	0.5	1.21	A	St	JIS B 1117	1995
JIS B 1117 SCREW M3.5x20 STEEL GRADE A SLOTTED SET WITH ROUNDED END	JIS_B_1117_M3.5x20_STEEL_GRADE_A_ROUNDED_END_SLOTTED_SET_SCREW	M3.5	3.5	0.6	19.7348	20.0	90.0	4.9	0.5	1.21	A	St	JIS B 1117	1995
JIS B 1117 SCREW M4x4 STEEL GRADE A SLOTTED SET WITH ROUNDED END	JIS_B_1117_M4x4_STEEL_GRADE_A_ROUNDED_END_SLOTTED_SET_SCREW	M4	4.0	0.7	3.7813	4.0	120.0	5.6	0.6	1.42	A	St	JIS B 1117	1995
JIS B 1117 SCREW M4x5 STEEL GRADE A SLOTTED SET WITH ROUNDED END	JIS_B_1117_M4x5_STEEL_GRADE_A_ROUNDED_END_SLOTTED_SET_SCREW	M4	4.0	0.7	4.6906	5.0	90.0	5.6	0.6	1.42	A	St	JIS B 1117	1995
JIS B 1117 SCREW M4x6 STEEL GRADE A SLOTTED SET WITH ROUNDED END	JIS_B_1117_M4x6_STEEL_GRADE_A_ROUNDED_END_SLOTTED_SET_SCREW	M4	4.0	0.7	5.6906	6.0	90.0	5.6	0.6	1.42	A	St	JIS B 1117	1995
JIS B 1117 SCREW M4x8 STEEL GRADE A SLOTTED SET WITH ROUNDED END	JIS_B_1117_M4x8_STEEL_GRADE_A_ROUNDED_END_SLOTTED_SET_SCREW	M4	4.0	0.7	7.6906	8.0	90.0	5.6	0.6	1.42	A	St	JIS B 1117	1995
JIS B 1117 SCREW M4x10 STEEL GRADE A SLOTTED SET WITH ROUNDED END	JIS_B_1117_M4x10_STEEL_GRADE_A_ROUNDED_END_SLOTTED_SET_SCREW	M4	4.0	0.7	9.6906	10.0	90.0	5.6	0.6	1.42	A	St	JIS B 1117	1995
