PartNumber	PartName	Designation	d_dia(mm)	p_pitch(mm)	threading(mm)	l_nom_length(mm)	angle(deg)	ds_dia_point(mm)	dz_min(mm)	e_across_points(mm)	s_across_flat(mm)	t_depth_socket(mm)	Grade	Material	Reference	Edition
JIS B 1177 SCREW M5X16 GRADE A STEEL HEXAGON SOCKET CUP POINT SET	JIS_B_1177_M5X16_GRADE_A_STEEL_HEXAGON_SOCKET_CUP_POINT_SET_SCREW	M5	5.0	0.8	15.6464	16.0	90.0	2.5	2.25	2.87	2.5	3.0	A	St	JIS B 1177 	1997
JIS B 1177 SCREW M5X20 GRADE A STEEL HEXAGON SOCKET CUP POINT SET	JIS_B_1177_M5X20_GRADE_A_STEEL_HEXAGON_SOCKET_CUP_POINT_SET_SCREW	M5	5.0	0.8	19.6464	20.0	90.0	2.5	2.25	2.87	2.5	3.0	A	St	JIS B 1177 	1997
JIS B 1177 SCREW M5X25 GRADE A STEEL HEXAGON SOCKET CUP POINT SET	JIS_B_1177_M5X25_GRADE_A_STEEL_HEXAGON_SOCKET_CUP_POINT_SET_SCREW	M5	5.0	0.8	24.6464	25.0	90.0	2.5	2.25	2.87	2.5	3.0	A	St	JIS B 1177 	1997
JIS B 1177 SCREW M6X5 GRADE A STEEL HEXAGON SOCKET CUP POINT SET	JIS_B_1177_M6X5_GRADE_A_STEEL_HEXAGON_SOCKET_CUP_POINT_SET_SCREW	M6	6.0	1.0	4.6875	5.0	120.0	3.0	2.75	3.44	3.0	2.0	A	St	JIS B 1177 	1997
JIS B 1177 SCREW M6X6 GRADE A STEEL HEXAGON SOCKET CUP POINT SET	JIS_B_1177_M6X6_GRADE_A_STEEL_HEXAGON_SOCKET_CUP_POINT_SET_SCREW	M6	6.0	1.0	5.6875	6.0	120.0	3.0	2.75	3.44	3.0	2.0	A	St	JIS B 1177 	1997
JIS B 1177 SCREW M6X8 GRADE A STEEL HEXAGON SOCKET CUP POINT SET	JIS_B_1177_M6X8_GRADE_A_STEEL_HEXAGON_SOCKET_CUP_POINT_SET_SCREW	M6	6.0	1.0	7.5581	8.0	90.0	3.0	2.75	3.44	3.0	3.5	A	St	JIS B 1177 	1997
JIS B 1177 SCREW M6X10 GRADE A STEEL HEXAGON SOCKET CUP POINT SET	JIS_B_1177_M6X10_GRADE_A_STEEL_HEXAGON_SOCKET_CUP_POINT_SET_SCREW	M6	6.0	1.0	9.5581	10.0	90.0	3.0	2.75	3.44	3.0	3.5	A	St	JIS B 1177 	1997
JIS B 1177 SCREW M6X12 GRADE A STEEL HEXAGON SOCKET CUP POINT SET	JIS_B_1177_M6X12_GRADE_A_STEEL_HEXAGON_SOCKET_CUP_POINT_SET_SCREW	M6	6.0	1.0	11.5581	12.0	90.0	3.0	2.75	3.44	3.0	3.5	A	St	JIS B 1177 	1997
JIS B 1177 SCREW M6X16 GRADE A STEEL HEXAGON SOCKET CUP POINT SET	JIS_B_1177_M6X16_GRADE_A_STEEL_HEXAGON_SOCKET_CUP_POINT_SET_SCREW	M6	6.0	1.0	15.5581	16.0	90.0	3.0	2.75	3.44	3.0	3.5	A	St	JIS B 1177 	1997
JIS B 1177 SCREW M6X20 GRADE A STEEL HEXAGON SOCKET CUP POINT SET	JIS_B_1177_M6X20_GRADE_A_STEEL_HEXAGON_SOCKET_CUP_POINT_SET_SCREW	M6	6.0	1.0	19.5581	20.0	90.0	3.0	2.75	3.44	3.0	3.5	A	St	JIS B 1177 	1997
