PartNumber	PartName	l_length(mm)	b_width(mm)	h_thickness(mm)	c_chamfer_max(mm)	d2_hole(mm)	d3_hole(mm)	g_hole(mm)	Symbol	Material	Reference	Edition
JIS B 1301 KEY 14x9x45 PARALLEL WITH ONE HOLE SYMBOL B	JIS_B_1301_14x9x45_SYMBOL_B_WITH_ONE_HOLE_PARALLEL_KEY	45	14	9	0.6	10.0	5.5	3.7	B	St	JIS B 1301	1996
JIS B 1301 KEY 14x9x50 PARALLEL WITH ONE HOLE SYMBOL B	JIS_B_1301_14x9x50_SYMBOL_B_WITH_ONE_HOLE_PARALLEL_KEY	50	14	9	0.6	10.0	5.5	3.7	B	St	JIS B 1301	1996
JIS B 1301 KEY 14x9x56 PARALLEL WITH ONE HOLE SYMBOL B	JIS_B_1301_14x9x56_SYMBOL_B_WITH_ONE_HOLE_PARALLEL_KEY	56	14	9	0.6	10.0	5.5	3.7	B	St	JIS B 1301	1996
JIS B 1301 KEY 14x9x63 PARALLEL WITH ONE HOLE SYMBOL B	JIS_B_1301_14x9x63_SYMBOL_B_WITH_ONE_HOLE_PARALLEL_KEY	63	14	9	0.6	10.0	5.5	3.7	B	St	JIS B 1301	1996
JIS B 1301 KEY 14x9x70 PARALLEL WITH ONE HOLE SYMBOL B	JIS_B_1301_14x9x70_SYMBOL_B_WITH_ONE_HOLE_PARALLEL_KEY	70	14	9	0.6	10.0	5.5	3.7	B	St	JIS B 1301	1996
JIS B 1301 KEY 14x9x80 PARALLEL WITH ONE HOLE SYMBOL B	JIS_B_1301_14x9x80_SYMBOL_B_WITH_ONE_HOLE_PARALLEL_KEY	80	14	9	0.6	10.0	5.5	3.7	B	St	JIS B 1301	1996
JIS B 1301 KEY 14x9x90 PARALLEL WITH ONE HOLE SYMBOL B	JIS_B_1301_14x9x90_SYMBOL_B_WITH_ONE_HOLE_PARALLEL_KEY	90	14	9	0.6	10.0	5.5	3.7	B	St	JIS B 1301	1996
JIS B 1301 KEY 14x9x100 PARALLEL WITH ONE HOLE SYMBOL B	JIS_B_1301_14x9x100_SYMBOL_B_WITH_ONE_HOLE_PARALLEL_KEY	100	14	9	0.6	10.0	5.5	3.7	B	St	JIS B 1301	1996
JIS B 1301 KEY 14x9x110 PARALLEL WITH ONE HOLE SYMBOL B	JIS_B_1301_14x9x110_SYMBOL_B_WITH_ONE_HOLE_PARALLEL_KEY	110	14	9	0.6	10.0	5.5	3.7	B	St	JIS B 1301	1996
JIS B 1301 KEY 14x9x125 PARALLEL WITH ONE HOLE SYMBOL B	JIS_B_1301_14x9x125_SYMBOL_B_WITH_ONE_HOLE_PARALLEL_KEY	125	14	9	0.6	10.0	5.5	3.7	B	St	JIS B 1301	1996
