PartNumber	PartName	l_length(mm)	b_width(mm)	h_height(mm)	c_chamfer_max(mm)	h1_gib_height(mm)	e_gib_length	Material	Reference	Edition
JIS B 1301 KEY 10x8x63 TAPER WITH GIB HEAD	JIS_B_1301_10x8x63_GIB_HEAD_TAPER_KEY	63.0	10.0	8.0	0.6	12.0	10.0	St	JIS B 1301	1996
JIS B 1301 KEY 10x8x70 TAPER WITH GIB HEAD	JIS_B_1301_10x8x70_GIB_HEAD_TAPER_KEY	70.0	10.0	8.0	0.6	12.0	10.0	St	JIS B 1301	1996
JIS B 1301 KEY 10x8x80 TAPER WITH GIB HEAD	JIS_B_1301_10x8x80_GIB_HEAD_TAPER_KEY	80.0	10.0	8.0	0.6	12.0	10.0	St	JIS B 1301	1996
JIS B 1301 KEY 10x8x90 TAPER WITH GIB HEAD	JIS_B_1301_10x8x90_GIB_HEAD_TAPER_KEY	90.0	10.0	8.0	0.6	12.0	10.0	St	JIS B 1301	1996
JIS B 1301 KEY 10x8x100 TAPER WITH GIB HEAD	JIS_B_1301_10x8x100_GIB_HEAD_TAPER_KEY	100.0	10.0	8.0	0.6	12.0	10.0	St	JIS B 1301	1996
JIS B 1301 KEY 10x8x110 TAPER WITH GIB HEAD	JIS_B_1301_10x8x110_GIB_HEAD_TAPER_KEY	110.0	10.0	8.0	0.6	12.0	10.0	St	JIS B 1301	1996
JIS B 1301 KEY 12x8x28 TAPER WITH GIB HEAD	JIS_B_1301_12x8x28_GIB_HEAD_TAPER_KEY	28.0	12.0	8.0	0.6	12.0	12.0	St	JIS B 1301	1996
JIS B 1301 KEY 12x8x32 TAPER WITH GIB HEAD	JIS_B_1301_12x8x32_GIB_HEAD_TAPER_KEY	32.0	12.0	8.0	0.6	12.0	12.0	St	JIS B 1301	1996
JIS B 1301 KEY 12x8x36 TAPER WITH GIB HEAD	JIS_B_1301_12x8x36_GIB_HEAD_TAPER_KEY	36.0	12.0	8.0	0.6	12.0	12.0	St	JIS B 1301	1996
JIS B 1301 KEY 12x8x40 TAPER WITH GIB HEAD	JIS_B_1301_12x8x40_GIB_HEAD_TAPER_KEY	40.0	12.0	8.0	0.6	12.0	12.0	St	JIS B 1301	1996
JIS B 1301 KEY 12x8x45 TAPER WITH GIB HEAD	JIS_B_1301_12x8x45_GIB_HEAD_TAPER_KEY	45.0	12.0	8.0	0.6	12.0	12.0	St	JIS B 1301	1996
JIS B 1301 KEY 12x8x50 TAPER WITH GIB HEAD	JIS_B_1301_12x8x50_GIB_HEAD_TAPER_KEY	50.0	12.0	8.0	0.6	12.0	12.0	St	JIS B 1301	1996
JIS B 1301 KEY 12x8x56 TAPER WITH GIB HEAD	JIS_B_1301_12x8x56_GIB_HEAD_TAPER_KEY	56.0	12.0	8.0	0.6	12.0	12.0	St	JIS B 1301	1996
JIS B 1301 KEY 12x8x63 TAPER WITH GIB HEAD	JIS_B_1301_12x8x63_GIB_HEAD_TAPER_KEY	63.0	12.0	8.0	0.6	12.0	12.0	St	JIS B 1301	1996
JIS B 1301 KEY 12x8x70 TAPER WITH GIB HEAD	JIS_B_1301_12x8x70_GIB_HEAD_TAPER_KEY	70.0	12.0	8.0	0.6	12.0	12.0	St	JIS B 1301	1996
JIS B 1301 KEY 12x8x80 TAPER WITH GIB HEAD	JIS_B_1301_12x8x80_GIB_HEAD_TAPER_KEY	80.0	12.0	8.0	0.6	12.0	12.0	St	JIS B 1301	1996
JIS B 1301 KEY 12x8x90 TAPER WITH GIB HEAD	JIS_B_1301_12x8x90_GIB_HEAD_TAPER_KEY	90.0	12.0	8.0	0.6	12.0	12.0	St	JIS B 1301	1996
JIS B 1301 KEY 12x8x100 TAPER WITH GIB HEAD	JIS_B_1301_12x8x100_GIB_HEAD_TAPER_KEY	100.0	12.0	8.0	0.6	12.0	12.0	St	JIS B 1301	1996
JIS B 1301 KEY 12x8x110 TAPER WITH GIB HEAD	JIS_B_1301_12x8x110_GIB_HEAD_TAPER_KEY	110.0	12.0	8.0	0.6	12.0	12.0	St	JIS B 1301	1996
JIS B 1301 KEY 12x8x125 TAPER WITH GIB HEAD	JIS_B_1301_12x8x125_GIB_HEAD_TAPER_KEY	125.0	12.0	8.0	0.6	12.0	12.0	St	JIS B 1301	1996
JIS B 1301 KEY 12x8x140 TAPER WITH GIB HEAD	JIS_B_1301_12x8x140_GIB_HEAD_TAPER_KEY	140.0	12.0	8.0	0.6	12.0	12.0	St	JIS B 1301	1996
JIS B 1301 KEY 14x9x36 TAPER WITH GIB HEAD	JIS_B_1301_14x9x36_GIB_HEAD_TAPER_KEY	36.0	14.0	9.0	0.6	14.0	14.0	St	JIS B 1301	1996
JIS B 1301 KEY 14x9x40 TAPER WITH GIB HEAD	JIS_B_1301_14x9x40_GIB_HEAD_TAPER_KEY	40.0	14.0	9.0	0.6	14.0	14.0	St	JIS B 1301	1996
JIS B 1301 KEY 14x9x45 TAPER WITH GIB HEAD	JIS_B_1301_14x9x45_GIB_HEAD_TAPER_KEY	45.0	14.0	9.0	0.6	14.0	14.0	St	JIS B 1301	1996
JIS B 1301 KEY 14x9x50 TAPER WITH GIB HEAD	JIS_B_1301_14x9x50_GIB_HEAD_TAPER_KEY	50.0	14.0	9.0	0.6	14.0	14.0	St	JIS B 1301	1996
JIS B 1301 KEY 14x9x56 TAPER WITH GIB HEAD	JIS_B_1301_14x9x56_GIB_HEAD_TAPER_KEY	56.0	14.0	9.0	0.6	14.0	14.0	St	JIS B 1301	1996
JIS B 1301 KEY 14x9x63 TAPER WITH GIB HEAD	JIS_B_1301_14x9x63_GIB_HEAD_TAPER_KEY	63.0	14.0	9.0	0.6	14.0	14.0	St	JIS B 1301	1996
JIS B 1301 KEY 14x9x70 TAPER WITH GIB HEAD	JIS_B_1301_14x9x70_GIB_HEAD_TAPER_KEY	70.0	14.0	9.0	0.6	14.0	14.0	St	JIS B 1301	1996
JIS B 1301 KEY 14x9x80 TAPER WITH GIB HEAD	JIS_B_1301_14x9x80_GIB_HEAD_TAPER_KEY	80.0	14.0	9.0	0.6	14.0	14.0	St	JIS B 1301	1996
JIS B 1301 KEY 14x9x90 TAPER WITH GIB HEAD	JIS_B_1301_14x9x90_GIB_HEAD_TAPER_KEY	90.0	14.0	9.0	0.6	14.0	14.0	St	JIS B 1301	1996
JIS B 1301 KEY 14x9x100 TAPER WITH GIB HEAD	JIS_B_1301_14x9x100_GIB_HEAD_TAPER_KEY	100.0	14.0	9.0	0.6	14.0	14.0	St	JIS B 1301	1996
JIS B 1301 KEY 14x9x110 TAPER WITH GIB HEAD	JIS_B_1301_14x9x110_GIB_HEAD_TAPER_KEY	110.0	14.0	9.0	0.6	14.0	14.0	St	JIS B 1301	1996
JIS B 1301 KEY 14x9x125 TAPER WITH GIB HEAD	JIS_B_1301_14x9x125_GIB_HEAD_TAPER_KEY	125.0	14.0	9.0	0.6	14.0	14.0	St	JIS B 1301	1996
JIS B 1301 KEY 14x9x140 TAPER WITH GIB HEAD	JIS_B_1301_14x9x140_GIB_HEAD_TAPER_KEY	140.0	14.0	9.0	0.6	14.0	14.0	St	JIS B 1301	1996
JIS B 1301 KEY 14x9x160 TAPER WITH GIB HEAD	JIS_B_1301_14x9x160_GIB_HEAD_TAPER_KEY	160.0	14.0	9.0	0.6	14.0	14.0	St	JIS B 1301	1996
JIS B 1301 KEY 15x10x40 TAPER WITH GIB HEAD	JIS_B_1301_15x10x40_GIB_HEAD_TAPER_KEY	40.0	15.0	10.0	0.6	15.0	15.0	St	JIS B 1301	1996
JIS B 1301 KEY 15x10x45 TAPER WITH GIB HEAD	JIS_B_1301_15x10x45_GIB_HEAD_TAPER_KEY	45.0	15.0	10.0	0.6	15.0	15.0	St	JIS B 1301	1996
JIS B 1301 KEY 15x10x50 TAPER WITH GIB HEAD	JIS_B_1301_15x10x50_GIB_HEAD_TAPER_KEY	50.0	15.0	10.0	0.6	15.0	15.0	St	JIS B 1301	1996
JIS B 1301 KEY 15x10x56 TAPER WITH GIB HEAD	JIS_B_1301_15x10x56_GIB_HEAD_TAPER_KEY	56.0	15.0	10.0	0.6	15.0	15.0	St	JIS B 1301	1996
JIS B 1301 KEY 15x10x63 TAPER WITH GIB HEAD	JIS_B_1301_15x10x63_GIB_HEAD_TAPER_KEY	63.0	15.0	10.0	0.6	15.0	15.0	St	JIS B 1301	1996
