PartNumber	PartName	Designation	d_dia(mm)	p_pitch(mm)	threading(mm)	l_nom_length(mm)	angle(deg)	dp_dia_point(mm)	dp_min(mm)	e_across_points(mm)	s_across_flat(mm)	t_depth_socket(mm)	z_dog_point_max(mm)	dog_point	Grade	Material	Reference	Edition
JIS B 1177 SCREW M6x16 STEEL GRADE A HEXAGON SOCKET LONG DOG POINT SET	JIS_B_1177_M6x16_STEEL_GRADE_A_HEXAGON_SOCKET_LONG_DOG_POINT_SET_SCREW	M6	6.0	1.0	15.5581	16.0	90	4.0	3.7	3.44	3.0	3.5	3.25	LONG	A	St	JIS B 1177	1997
JIS B 1177 SCREW M6x20 STEEL GRADE A HEXAGON SOCKET LONG DOG POINT SET	JIS_B_1177_M6x20_STEEL_GRADE_A_HEXAGON_SOCKET_LONG_DOG_POINT_SET_SCREW	M6	6.0	1.0	19.5581	20.0	90	4.0	3.7	3.44	3.0	3.5	3.25	LONG	A	St	JIS B 1177	1997
JIS B 1177 SCREW M6x25 STEEL GRADE A HEXAGON SOCKET LONG DOG POINT SET	JIS_B_1177_M6x25_STEEL_GRADE_A_HEXAGON_SOCKET_LONG_DOG_POINT_SET_SCREW	M6	6.0	1.0	24.5581	25.0	90	4.0	3.7	3.44	3.0	3.5	3.25	LONG	A	St	JIS B 1177	1997
JIS B 1177 SCREW M6x30 STEEL GRADE A HEXAGON SOCKET LONG DOG POINT SET	JIS_B_1177_M6x30_STEEL_GRADE_A_HEXAGON_SOCKET_LONG_DOG_POINT_SET_SCREW	M6	6.0	1.0	29.5581	30.0	90	4.0	3.7	3.44	3.0	3.5	3.25	LONG	A	St	JIS B 1177	1997
JIS B 1177 SCREW M8x8 STEEL GRADE A HEXAGON SOCKET SHORT DOG POINT SET	JIS_B_1177_M8x8_STEEL_GRADE_A_HEXAGON_SOCKET_SHORT_DOG_POINT_SET_SCREW	M8	8.0	1.25	7.6094	8.0	120	5.5	5.2	4.58	4.0	3.0	2.25	SHORT	A	St	JIS B 1177	1997
JIS B 1177 SCREW M8x10 STEEL GRADE A HEXAGON SOCKET SHORT DOG POINT SET	JIS_B_1177_M8x10_STEEL_GRADE_A_HEXAGON_SOCKET_SHORT_DOG_POINT_SET_SCREW	M8	8.0	1.25	9.6094	10.0	120	5.5	5.2	4.58	4.0	3.0	2.25	SHORT	A	St	JIS B 1177	1997
JIS B 1177 SCREW M8x12 STEEL GRADE A HEXAGON SOCKET LONG DOG POINT SET	JIS_B_1177_M8x12_STEEL_GRADE_A_HEXAGON_SOCKET_LONG_DOG_POINT_SET_SCREW	M8	8.0	1.25	11.4476	12.0	90	5.5	5.2	4.58	4.0	5.0	4.3	LONG	A	St	JIS B 1177	1997
JIS B 1177 SCREW M8x16 STEEL GRADE A HEXAGON SOCKET LONG DOG POINT SET	JIS_B_1177_M8x16_STEEL_GRADE_A_HEXAGON_SOCKET_LONG_DOG_POINT_SET_SCREW	M8	8.0	1.25	15.4476	16.0	90	5.5	5.2	4.58	4.0	5.0	4.3	LONG	A	St	JIS B 1177	1997
JIS B 1177 SCREW M8x20 STEEL GRADE A HEXAGON SOCKET LONG DOG POINT SET	JIS_B_1177_M8x20_STEEL_GRADE_A_HEXAGON_SOCKET_LONG_DOG_POINT_SET_SCREW	M8	8.0	1.25	19.4476	20.0	90	5.5	5.2	4.58	4.0	5.0	4.3	LONG	A	St	JIS B 1177	1997
JIS B 1177 SCREW M8x25 STEEL GRADE A HEXAGON SOCKET LONG DOG POINT SET	JIS_B_1177_M8x25_STEEL_GRADE_A_HEXAGON_SOCKET_LONG_DOG_POINT_SET_SCREW	M8	8.0	1.25	24.4476	25.0	90	5.5	5.2	4.58	4.0	5.0	4.3	LONG	A	St	JIS B 1177	1997
JIS B 1177 SCREW M8x30 STEEL GRADE A HEXAGON SOCKET LONG DOG POINT SET	JIS_B_1177_M8x30_STEEL_GRADE_A_HEXAGON_SOCKET_LONG_DOG_POINT_SET_SCREW	M8	8.0	1.25	29.4476	30.0	90	5.5	5.2	4.58	4.0	5.0	4.3	LONG	A	St	JIS B 1177	1997
JIS B 1177 SCREW M8x35 STEEL GRADE A HEXAGON SOCKET LONG DOG POINT SET	JIS_B_1177_M8x35_STEEL_GRADE_A_HEXAGON_SOCKET_LONG_DOG_POINT_SET_SCREW	M8	8.0	1.25	34.4476	35.0	90	5.5	5.2	4.58	4.0	5.0	4.3	LONG	A	St	JIS B 1177	1997
JIS B 1177 SCREW M8x40 STEEL GRADE A HEXAGON SOCKET LONG DOG POINT SET	JIS_B_1177_M8x40_STEEL_GRADE_A_HEXAGON_SOCKET_LONG_DOG_POINT_SET_SCREW	M8	8.0	1.25	39.4476	40.0	90	5.5	5.2	4.58	4.0	5.0	4.3	LONG	A	St	JIS B 1177	1997
JIS B 1177 SCREW M10x10 STEEL GRADE A HEXAGON SOCKET SHORT DOG POINT SET	JIS_B_1177_M10x10_STEEL_GRADE_A_HEXAGON_SOCKET_SHORT_DOG_POINT_SET_SCREW	M10	10.0	1.5	9.5313	10.0	120	7.0	6.64	5.72	5.0	4.0	2.75	SHORT	A	St	JIS B 1177	1997
JIS B 1177 SCREW M10x12 STEEL GRADE A HEXAGON SOCKET SHORT DOG POINT SET	JIS_B_1177_M10x12_STEEL_GRADE_A_HEXAGON_SOCKET_SHORT_DOG_POINT_SET_SCREW	M10	10.0	1.5	11.5313	12.0	120	7.0	6.64	5.72	5.0	4.0	2.75	SHORT	A	St	JIS B 1177	1997
JIS B 1177 SCREW M10x16 STEEL GRADE A HEXAGON SOCKET LONG DOG POINT SET	JIS_B_1177_M10x16_STEEL_GRADE_A_HEXAGON_SOCKET_LONG_DOG_POINT_SET_SCREW	M10	10.0	1.5	15.3371	16.0	90	7.0	6.64	5.72	5.0	6.0	5.3	LONG	A	St	JIS B 1177	1997
JIS B 1177 SCREW M10x20 STEEL GRADE A HEXAGON SOCKET LONG DOG POINT SET	JIS_B_1177_M10x20_STEEL_GRADE_A_HEXAGON_SOCKET_LONG_DOG_POINT_SET_SCREW	M10	10.0	1.5	19.3371	20.0	90	7.0	6.64	5.72	5.0	6.0	5.3	LONG	A	St	JIS B 1177	1997
