PartNumber	PartName	Designation	d_dia(mm)	p_pitch(mm)	threading(mm)	l_bolt_length(mm)	s_nom_across_flats(mm)	ls_shoulder_length(mm)	lg_shoulder_length(mm)	k_max_head_depth(mm)	k_head_edge_length(mm)	dw(mm)	r_min(mm)	c_min(mm)	c__max(mm)	da_max(mm)	ds_max_nom(mm)	e_acrosscorner_min(mm)	lf_max(mm)	Grade	Material	Reference	Edition
JIS B 1180 BOLT M27x200 STEEL GRADE B HEXAGON HEAD NON PREFERRED	JIS_B_1180_M27x200_STEEL_GRADE_B_NON_PREFERRED_HEXAGON_HEAD_BOLT	M27	27.0	3.0	66.0	200.0	42.0	119.0	134.0	17.35	11.66	38.0	1.0	0.2	0.8	30.4	27.0	45.2	6.0	B	St	JIS B 1180	1994
JIS B 1180 BOLT M27x220 STEEL GRADE B HEXAGON HEAD NON PREFERRED	JIS_B_1180_M27x220_STEEL_GRADE_B_NON_PREFERRED_HEXAGON_HEAD_BOLT	M27	27.0	3.0	79.0	220.0	42.0	126.0	141.0	17.35	11.66	38.0	1.0	0.2	0.8	30.4	27.0	45.2	6.0	B	St	JIS B 1180	1994
JIS B 1180 BOLT M27x240 STEEL GRADE B HEXAGON HEAD NON PREFERRED	JIS_B_1180_M27x240_STEEL_GRADE_B_NON_PREFERRED_HEXAGON_HEAD_BOLT	M27	27.0	3.0	79.0	240.0	42.0	146.0	161.0	17.35	11.66	38.0	1.0	0.2	0.8	30.4	27.0	45.2	6.0	B	St	JIS B 1180	1994
JIS B 1180 BOLT M27x260 STEEL GRADE B HEXAGON HEAD NON PREFERRED	JIS_B_1180_M27x260_STEEL_GRADE_B_NON_PREFERRED_HEXAGON_HEAD_BOLT	M27	27.0	3.0	79.0	260.0	42.0	166.0	181.0	17.35	11.66	38.0	1.0	0.2	0.8	30.4	27.0	45.2	6.0	B	St	JIS B 1180	1994
JIS B 1180 BOLT M33x130 STEEL GRADE B HEXAGON HEAD NON PREFERRED	JIS_B_1180_M33x130_STEEL_GRADE_B_NON_PREFERRED_HEXAGON_HEAD_BOLT	M33	33.0	3.5	78.0	130.0	50.0	34.5	52.0	21.42	14.41	46.55	1.0	0.2	0.8	36.4	33.0	55.37	6.0	B	St	JIS B 1180	1994
JIS B 1180 BOLT M33x140 STEEL GRADE B HEXAGON HEAD NON PREFERRED	JIS_B_1180_M33x140_STEEL_GRADE_B_NON_PREFERRED_HEXAGON_HEAD_BOLT	M33	33.0	3.5	78.0	140.0	50.0	44.5	62.0	21.42	14.41	46.55	1.0	0.2	0.8	36.4	33.0	55.37	6.0	B	St	JIS B 1180	1994
JIS B 1180 BOLT M33x150 STEEL GRADE B HEXAGON HEAD NON PREFERRED	JIS_B_1180_M33x150_STEEL_GRADE_B_NON_PREFERRED_HEXAGON_HEAD_BOLT	M33	33.0	3.5	78.0	150.0	50.0	54.5	72.0	21.42	14.41	46.55	1.0	0.2	0.8	36.4	33.0	55.37	6.0	B	St	JIS B 1180	1994
JIS B 1180 BOLT M33x160 STEEL GRADE B HEXAGON HEAD NON PREFERRED	JIS_B_1180_M33x160_STEEL_GRADE_B_NON_PREFERRED_HEXAGON_HEAD_BOLT	M33	33.0	3.5	78.0	160.0	50.0	64.5	82.0	21.42	14.41	46.55	1.0	0.2	0.8	36.4	33.0	55.37	6.0	B	St	JIS B 1180	1994
JIS B 1180 BOLT M33x180 STEEL GRADE B HEXAGON HEAD NON PREFERRED	JIS_B_1180_M33x180_STEEL_GRADE_B_NON_PREFERRED_HEXAGON_HEAD_BOLT	M33	33.0	3.5	78.0	180.0	50.0	84.5	102.0	21.42	14.41	46.55	1.0	0.2	0.8	36.4	33.0	55.37	6.0	B	St	JIS B 1180	1994
JIS B 1180 BOLT M33x200 STEEL GRADE B HEXAGON HEAD NON PREFERRED	JIS_B_1180_M33x200_STEEL_GRADE_B_NON_PREFERRED_HEXAGON_HEAD_BOLT	M33	33.0	3.5	78.0	200.0	50.0	104.5	122.0	21.42	14.41	46.55	1.0	0.2	0.8	36.4	33.0	55.37	6.0	B	St	JIS B 1180	1994
JIS B 1180 BOLT M33x220 STEEL GRADE B HEXAGON HEAD NON PREFERRED	JIS_B_1180_M33x220_STEEL_GRADE_B_NON_PREFERRED_HEXAGON_HEAD_BOLT	M33	33.0	3.5	91.0	220.0	50.0	111.5	129.0	21.42	14.41	46.55	1.0	0.2	0.8	36.4	33.0	55.37	6.0	B	St	JIS B 1180	1994
JIS B 1180 BOLT M33x240 STEEL GRADE B HEXAGON HEAD NON PREFERRED	JIS_B_1180_M33x240_STEEL_GRADE_B_NON_PREFERRED_HEXAGON_HEAD_BOLT	M33	33.0	3.5	91.0	240.0	50.0	131.5	149.0	21.42	14.41	46.55	1.0	0.2	0.8	36.4	33.0	55.37	6.0	B	St	JIS B 1180	1994
