PartNumber	PartName	Designation	d_dia(mm)	p_pitch(mm)	Threading(mm)	l_nom_Length(mm)	b_min_Thread_Length(mm)	dk_nom_head_Dia(mm)	k_nom_head_depth(mm)	n_nom_Slot_Width(mm)	t_min_Slot_Depth(mm)	a_max(mm)	r_max(mm)	x_max(mm)	Material	Reference	Edition
JIS B 1101 SCREW M6x30 STEEL COUNTERSUNK SLOTTED FLAT HEAD	JIS_B_1101_M6x30_STEEL_SLOTTED_COUNTERSUNK_SCREW	M6	6.0	1.0	24.7	30.0	38.0	11.3	3.3	1.6	1.2	2.0	1.5	2.5	St	JIS B 1101	1996
JIS B 1101 SCREW M6x35 STEEL COUNTERSUNK SLOTTED FLAT HEAD	JIS_B_1101_M6x35_STEEL_SLOTTED_COUNTERSUNK_SCREW	M6	6.0	1.0	29.7	35.0	38.0	11.3	3.3	1.6	1.2	2.0	1.5	2.5	St	JIS B 1101	1996
JIS B 1101 SCREW M6x40 STEEL COUNTERSUNK SLOTTED FLAT HEAD	JIS_B_1101_M6x40_STEEL_SLOTTED_COUNTERSUNK_SCREW	M6	6.0	1.0	34.7	40.0	38.0	11.3	3.3	1.6	1.2	2.0	1.5	2.5	St	JIS B 1101	1996
JIS B 1101 SCREW M6x45 STEEL COUNTERSUNK SLOTTED FLAT HEAD	JIS_B_1101_M6x45_STEEL_SLOTTED_COUNTERSUNK_SCREW	M6	6.0	1.0	39.7	45.0	38.0	11.3	3.3	1.6	1.2	2.0	1.5	2.5	St	JIS B 1101	1996
JIS B 1101 SCREW M6x50 STEEL COUNTERSUNK SLOTTED FLAT HEAD	JIS_B_1101_M6x50_STEEL_SLOTTED_COUNTERSUNK_SCREW	M6	6.0	1.0	38.0	50.0	38.0	11.3	3.3	1.6	1.2	2.0	1.5	2.5	St	JIS B 1101	1996
JIS B 1101 SCREW M6x55 STEEL COUNTERSUNK SLOTTED FLAT HEAD	JIS_B_1101_M6x55_STEEL_SLOTTED_COUNTERSUNK_SCREW	M6	6.0	1.0	38.0	55.0	38.0	11.3	3.3	1.6	1.2	2.0	1.5	2.5	St	JIS B 1101	1996
JIS B 1101 SCREW M6x60 STEEL COUNTERSUNK SLOTTED FLAT HEAD	JIS_B_1101_M6x60_STEEL_SLOTTED_COUNTERSUNK_SCREW	M6	6.0	1.0	38.0	60.0	38.0	11.3	3.3	1.6	1.2	2.0	1.5	2.5	St	JIS B 1101	1996
JIS B 1101 SCREW M8x10 STEEL COUNTERSUNK SLOTTED FLAT HEAD	JIS_B_1101_M8x10_STEEL_SLOTTED_COUNTERSUNK_SCREW	M8	8.0	1.25	2.85	10.0	38.0	15.8	4.65	2.0	1.8	2.5	2.0	3.2	St	JIS B 1101	1996
JIS B 1101 SCREW M8x12 STEEL COUNTERSUNK SLOTTED FLAT HEAD	JIS_B_1101_M8x12_STEEL_SLOTTED_COUNTERSUNK_SCREW	M8	8.0	1.25	4.85	12.0	38.0	15.8	4.65	2.0	1.8	2.5	2.0	3.2	St	JIS B 1101	1996
JIS B 1101 SCREW M8x14 STEEL COUNTERSUNK SLOTTED FLAT HEAD	JIS_B_1101_M8x14_STEEL_SLOTTED_COUNTERSUNK_SCREW	M8	8.0	1.25	6.85	14.0	38.0	15.8	4.65	2.0	1.8	2.5	2.0	3.2	St	JIS B 1101	1996
JIS B 1101 SCREW M8x16 STEEL COUNTERSUNK SLOTTED FLAT HEAD	JIS_B_1101_M8x16_STEEL_SLOTTED_COUNTERSUNK_SCREW	M8	8.0	1.25	8.85	16.0	38.0	15.8	4.65	2.0	1.8	2.5	2.0	3.2	St	JIS B 1101	1996
JIS B 1101 SCREW M8x20 STEEL COUNTERSUNK SLOTTED FLAT HEAD	JIS_B_1101_M8x20_STEEL_SLOTTED_COUNTERSUNK_SCREW	M8	8.0	1.25	12.85	20.0	38.0	15.8	4.65	2.0	1.8	2.5	2.0	3.2	St	JIS B 1101	1996
JIS B 1101 SCREW M8x25 STEEL COUNTERSUNK SLOTTED FLAT HEAD	JIS_B_1101_M8x25_STEEL_SLOTTED_COUNTERSUNK_SCREW	M8	8.0	1.25	17.85	25.0	38.0	15.8	4.65	2.0	1.8	2.5	2.0	3.2	St	JIS B 1101	1996
JIS B 1101 SCREW M8x30 STEEL COUNTERSUNK SLOTTED FLAT HEAD	JIS_B_1101_M8x30_STEEL_SLOTTED_COUNTERSUNK_SCREW	M8	8.0	1.25	22.85	30.0	38.0	15.8	4.65	2.0	1.8	2.5	2.0	3.2	St	JIS B 1101	1996
JIS B 1101 SCREW M8x35 STEEL COUNTERSUNK SLOTTED FLAT HEAD	JIS_B_1101_M8x35_STEEL_SLOTTED_COUNTERSUNK_SCREW	M8	8.0	1.25	27.85	35.0	38.0	15.8	4.65	2.0	1.8	2.5	2.0	3.2	St	JIS B 1101	1996
JIS B 1101 SCREW M8x40 STEEL COUNTERSUNK SLOTTED FLAT HEAD	JIS_B_1101_M8x40_STEEL_SLOTTED_COUNTERSUNK_SCREW	M8	8.0	1.25	32.85	40.0	38.0	15.8	4.65	2.0	1.8	2.5	2.0	3.2	St	JIS B 1101	1996
JIS B 1101 SCREW M8x45 STEEL COUNTERSUNK SLOTTED FLAT HEAD	JIS_B_1101_M8x45_STEEL_SLOTTED_COUNTERSUNK_SCREW	M8	8.0	1.25	37.85	45.0	38.0	15.8	4.65	2.0	1.8	2.5	2.0	3.2	St	JIS B 1101	1996
JIS B 1101 SCREW M8x50 STEEL COUNTERSUNK SLOTTED FLAT HEAD	JIS_B_1101_M8x50_STEEL_SLOTTED_COUNTERSUNK_SCREW	M8	8.0	1.25	38.0	50.0	38.0	15.8	4.65	2.0	1.8	2.5	2.0	3.2	St	JIS B 1101	1996
JIS B 1101 SCREW M8x55 STEEL COUNTERSUNK SLOTTED FLAT HEAD	JIS_B_1101_M8x55_STEEL_SLOTTED_COUNTERSUNK_SCREW	M8	8.0	1.25	38.0	55.0	38.0	15.8	4.65	2.0	1.8	2.5	2.0	3.2	St	JIS B 1101	1996
JIS B 1101 SCREW M8x60 STEEL COUNTERSUNK SLOTTED FLAT HEAD	JIS_B_1101_M8x60_STEEL_SLOTTED_COUNTERSUNK_SCREW	M8	8.0	1.25	38.0	60.0	38.0	15.8	4.65	2.0	1.8	2.5	2.0	3.2	St	JIS B 1101	1996
JIS B 1101 SCREW M8x65 STEEL COUNTERSUNK SLOTTED FLAT HEAD	JIS_B_1101_M8x65_STEEL_SLOTTED_COUNTERSUNK_SCREW	M8	8.0	1.25	38.0	65.0	38.0	15.8	4.65	2.0	1.8	2.5	2.0	3.2	St	JIS B 1101	1996
JIS B 1101 SCREW M8x70 STEEL COUNTERSUNK SLOTTED FLAT HEAD	JIS_B_1101_M8x70_STEEL_SLOTTED_COUNTERSUNK_SCREW	M8	8.0	1.25	38.0	70.0	38.0	15.8	4.65	2.0	1.8	2.5	2.0	3.2	St	JIS B 1101	1996
JIS B 1101 SCREW M8x75 STEEL COUNTERSUNK SLOTTED FLAT HEAD	JIS_B_1101_M8x75_STEEL_SLOTTED_COUNTERSUNK_SCREW	M8	8.0	1.25	38.0	75.0	38.0	15.8	4.65	2.0	1.8	2.5	2.0	3.2	St	JIS B 1101	1996
JIS B 1101 SCREW M8x80 STEEL COUNTERSUNK SLOTTED FLAT HEAD	JIS_B_1101_M8x80_STEEL_SLOTTED_COUNTERSUNK_SCREW	M8	8.0	1.25	38.0	80.0	38.0	15.8	4.65	2.0	1.8	2.5	2.0	3.2	St	JIS B 1101	1996
JIS B 1101 SCREW M10x12 STEEL COUNTERSUNK SLOTTED FLAT HEAD	JIS_B_1101_M10x12_STEEL_SLOTTED_COUNTERSUNK_SCREW	M10	10.0	1.5	4.0	12.0	38.0	18.3	5.0	2.5	2.0	3.0	2.5	3.8	St	JIS B 1101	1996
JIS B 1101 SCREW M10x14 STEEL COUNTERSUNK SLOTTED FLAT HEAD	JIS_B_1101_M10x14_STEEL_SLOTTED_COUNTERSUNK_SCREW	M10	10.0	1.5	6.0	14.0	38.0	18.3	5.0	2.5	2.0	3.0	2.5	3.8	St	JIS B 1101	1996
JIS B 1101 SCREW M10x16 STEEL COUNTERSUNK SLOTTED FLAT HEAD	JIS_B_1101_M10x16_STEEL_SLOTTED_COUNTERSUNK_SCREW	M10	10.0	1.5	8.0	16.0	38.0	18.3	5.0	2.5	2.0	3.0	2.5	3.8	St	JIS B 1101	1996
JIS B 1101 SCREW M10x20 STEEL COUNTERSUNK SLOTTED FLAT HEAD	JIS_B_1101_M10x20_STEEL_SLOTTED_COUNTERSUNK_SCREW	M10	10.0	1.5	12.0	20.0	38.0	18.3	5.0	2.5	2.0	3.0	2.5	3.8	St	JIS B 1101	1996
JIS B 1101 SCREW M10x25 STEEL COUNTERSUNK SLOTTED FLAT HEAD	JIS_B_1101_M10x25_STEEL_SLOTTED_COUNTERSUNK_SCREW	M10	10.0	1.5	17.0	25.0	38.0	18.3	5.0	2.5	2.0	3.0	2.5	3.8	St	JIS B 1101	1996
JIS B 1101 SCREW M10x30 STEEL COUNTERSUNK SLOTTED FLAT HEAD	JIS_B_1101_M10x30_STEEL_SLOTTED_COUNTERSUNK_SCREW	M10	10.0	1.5	22.0	30.0	38.0	18.3	5.0	2.5	2.0	3.0	2.5	3.8	St	JIS B 1101	1996
JIS B 1101 SCREW M10x35 STEEL COUNTERSUNK SLOTTED FLAT HEAD	JIS_B_1101_M10x35_STEEL_SLOTTED_COUNTERSUNK_SCREW	M10	10.0	1.5	27.0	35.0	38.0	18.3	5.0	2.5	2.0	3.0	2.5	3.8	St	JIS B 1101	1996
JIS B 1101 SCREW M10x40 STEEL COUNTERSUNK SLOTTED FLAT HEAD	JIS_B_1101_M10x40_STEEL_SLOTTED_COUNTERSUNK_SCREW	M10	10.0	1.5	32.0	40.0	38.0	18.3	5.0	2.5	2.0	3.0	2.5	3.8	St	JIS B 1101	1996
JIS B 1101 SCREW M10x45 STEEL COUNTERSUNK SLOTTED FLAT HEAD	JIS_B_1101_M10x45_STEEL_SLOTTED_COUNTERSUNK_SCREW	M10	10.0	1.5	37.0	45.0	38.0	18.3	5.0	2.5	2.0	3.0	2.5	3.8	St	JIS B 1101	1996
JIS B 1101 SCREW M10x50 STEEL COUNTERSUNK SLOTTED FLAT HEAD	JIS_B_1101_M10x50_STEEL_SLOTTED_COUNTERSUNK_SCREW	M10	10.0	1.5	38.0	50.0	38.0	18.3	5.0	2.5	2.0	3.0	2.5	3.8	St	JIS B 1101	1996
JIS B 1101 SCREW M10x55 STEEL COUNTERSUNK SLOTTED FLAT HEAD	JIS_B_1101_M10x55_STEEL_SLOTTED_COUNTERSUNK_SCREW	M10	10.0	1.5	38.0	55.0	38.0	18.3	5.0	2.5	2.0	3.0	2.5	3.8	St	JIS B 1101	1996
JIS B 1101 SCREW M10x60 STEEL COUNTERSUNK SLOTTED FLAT HEAD	JIS_B_1101_M10x60_STEEL_SLOTTED_COUNTERSUNK_SCREW	M10	10.0	1.5	38.0	60.0	38.0	18.3	5.0	2.5	2.0	3.0	2.5	3.8	St	JIS B 1101	1996
JIS B 1101 SCREW M10x65 STEEL COUNTERSUNK SLOTTED FLAT HEAD	JIS_B_1101_M10x65_STEEL_SLOTTED_COUNTERSUNK_SCREW	M10	10.0	1.5	38.0	65.0	38.0	18.3	5.0	2.5	2.0	3.0	2.5	3.8	St	JIS B 1101	1996
JIS B 1101 SCREW M10x70 STEEL COUNTERSUNK SLOTTED FLAT HEAD	JIS_B_1101_M10x70_STEEL_SLOTTED_COUNTERSUNK_SCREW	M10	10.0	1.5	38.0	70.0	38.0	18.3	5.0	2.5	2.0	3.0	2.5	3.8	St	JIS B 1101	1996
JIS B 1101 SCREW M10x75 STEEL COUNTERSUNK SLOTTED FLAT HEAD	JIS_B_1101_M10x75_STEEL_SLOTTED_COUNTERSUNK_SCREW	M10	10.0	1.5	38.0	75.0	38.0	18.3	5.0	2.5	2.0	3.0	2.5	3.8	St	JIS B 1101	1996
JIS B 1101 SCREW M10x80 STEEL COUNTERSUNK SLOTTED FLAT HEAD	JIS_B_1101_M10x80_STEEL_SLOTTED_COUNTERSUNK_SCREW	M10	10.0	1.5	38.0	80.0	38.0	18.3	5.0	2.5	2.0	3.0	2.5	3.8	St	JIS B 1101	1996
