PartNumber	PartName	Designation	d_dia(mm)	P_pitch(mm)	Threading(mm)	l_nom(mm)	b_min(mm)	dk_nom(mm)	k_max(mm)	rf_(mm)	r_max(mm)	x_max(mm)	m_ref(mm)	m_penetration_max(mm)	Slot_width(mm)	f_(mm)	a_max(mm)	Type	Grade	Material	Reference	Edition
EN ISO 7047 SCREW M6x25-Z STEEL GRADE A COUNTERSUNK RAISED HEAD	EN_ISO_7047_M6x25-Z_STEEL_GRADE_A_COUNTERSUNK_RAISED_HEAD_SCREW	M6	6.0	1.0	19.7	25.0	38.0	11.3	3.3	12.0	1.5	2.5	7.1	3.85	1.42	1.4	2.0	Z	A	St	EN ISO 7047	1994
EN ISO 7047 SCREW M6x30-Z STEEL GRADE A COUNTERSUNK RAISED HEAD	EN_ISO_7047_M6x30-Z_STEEL_GRADE_A_COUNTERSUNK_RAISED_HEAD_SCREW	M6	6.0	1.0	24.7	30.0	38.0	11.3	3.3	12.0	1.5	2.5	7.1	3.85	1.42	1.4	2.0	Z	A	St	EN ISO 7047	1994
EN ISO 7047 SCREW M6x35-Z STEEL GRADE A COUNTERSUNK RAISED HEAD	EN_ISO_7047_M6x35-Z_STEEL_GRADE_A_COUNTERSUNK_RAISED_HEAD_SCREW	M6	6.0	1.0	29.7	35.0	38.0	11.3	3.3	12.0	1.5	2.5	7.1	3.85	1.42	1.4	2.0	Z	A	St	EN ISO 7047	1994
EN ISO 7047 SCREW M6x40-Z STEEL GRADE A COUNTERSUNK RAISED HEAD	EN_ISO_7047_M6x40-Z_STEEL_GRADE_A_COUNTERSUNK_RAISED_HEAD_SCREW	M6	6.0	1.0	34.7	40.0	38.0	11.3	3.3	12.0	1.5	2.5	7.1	3.85	1.42	1.4	2.0	Z	A	St	EN ISO 7047	1994
EN ISO 7047 SCREW M6x45-Z STEEL GRADE A COUNTERSUNK RAISED HEAD	EN_ISO_7047_M6x45-Z_STEEL_GRADE_A_COUNTERSUNK_RAISED_HEAD_SCREW	M6	6.0	1.0	39.7	45.0	38.0	11.3	3.3	12.0	1.5	2.5	7.1	3.85	1.42	1.4	2.0	Z	A	St	EN ISO 7047	1994
EN ISO 7047 SCREW M6x50-Z STEEL GRADE A COUNTERSUNK RAISED HEAD	EN_ISO_7047_M6x50-Z_STEEL_GRADE_A_COUNTERSUNK_RAISED_HEAD_SCREW	M6	6.0	1.0	38.0	50.0	38.0	11.3	3.3	12.0	1.5	2.5	7.1	3.85	1.42	1.4	2.0	Z	A	St	EN ISO 7047	1994
EN ISO 7047 SCREW M6x55-Z STEEL GRADE A COUNTERSUNK RAISED HEAD	EN_ISO_7047_M6x55-Z_STEEL_GRADE_A_COUNTERSUNK_RAISED_HEAD_SCREW	M6	6.0	1.0	38.0	55.0	38.0	11.3	3.3	12.0	1.5	2.5	7.1	3.85	1.42	1.4	2.0	Z	A	St	EN ISO 7047	1994
EN ISO 7047 SCREW M6x60-Z STEEL GRADE A COUNTERSUNK RAISED HEAD	EN_ISO_7047_M6x60-Z_STEEL_GRADE_A_COUNTERSUNK_RAISED_HEAD_SCREW	M6	6.0	1.0	38.0	60.0	38.0	11.3	3.3	12.0	1.5	2.5	7.1	3.85	1.42	1.4	2.0	Z	A	St	EN ISO 7047	1994
EN ISO 7047 SCREW M8x10-Z STEEL GRADE A COUNTERSUNK RAISED HEAD	EN_ISO_7047_M8x10-Z_STEEL_GRADE_A_COUNTERSUNK_RAISED_HEAD_SCREW	M8	8.0	1.25	2.85	10.0	38.0	15.8	4.65	16.5	2.0	3.2	9.5	5.2	2.16	2.0	2.5	Z	A	St	EN ISO 7047	1994
EN ISO 7047 SCREW M8x12-Z STEEL GRADE A COUNTERSUNK RAISED HEAD	EN_ISO_7047_M8x12-Z_STEEL_GRADE_A_COUNTERSUNK_RAISED_HEAD_SCREW	M8	8.0	1.25	4.85	12.0	38.0	15.8	4.65	16.5	2.0	3.2	9.5	5.2	2.16	2.0	2.5	Z	A	St	EN ISO 7047	1994
EN ISO 7047 SCREW M8x14-Z STEEL GRADE A COUNTERSUNK RAISED HEAD	EN_ISO_7047_M8x14-Z_STEEL_GRADE_A_COUNTERSUNK_RAISED_HEAD_SCREW	M8	8.0	1.25	6.85	14.0	38.0	15.8	4.65	16.5	2.0	3.2	9.5	5.2	2.16	2.0	2.5	Z	A	St	EN ISO 7047	1994
EN ISO 7047 SCREW M8x16-Z STEEL GRADE A COUNTERSUNK RAISED HEAD	EN_ISO_7047_M8x16-Z_STEEL_GRADE_A_COUNTERSUNK_RAISED_HEAD_SCREW	M8	8.0	1.25	8.85	16.0	38.0	15.8	4.65	16.5	2.0	3.2	9.5	5.2	2.16	2.0	2.5	Z	A	St	EN ISO 7047	1994
EN ISO 7047 SCREW M8x20-Z STEEL GRADE A COUNTERSUNK RAISED HEAD	EN_ISO_7047_M8x20-Z_STEEL_GRADE_A_COUNTERSUNK_RAISED_HEAD_SCREW	M8	8.0	1.25	12.85	20.0	38.0	15.8	4.65	16.5	2.0	3.2	9.5	5.2	2.16	2.0	2.5	Z	A	St	EN ISO 7047	1994
EN ISO 7047 SCREW M8x25-Z STEEL GRADE A COUNTERSUNK RAISED HEAD	EN_ISO_7047_M8x25-Z_STEEL_GRADE_A_COUNTERSUNK_RAISED_HEAD_SCREW	M8	8.0	1.25	17.85	25.0	38.0	15.8	4.65	16.5	2.0	3.2	9.5	5.2	2.16	2.0	2.5	Z	A	St	EN ISO 7047	1994
EN ISO 7047 SCREW M8x30-Z STEEL GRADE A COUNTERSUNK RAISED HEAD	EN_ISO_7047_M8x30-Z_STEEL_GRADE_A_COUNTERSUNK_RAISED_HEAD_SCREW	M8	8.0	1.25	22.85	30.0	38.0	15.8	4.65	16.5	2.0	3.2	9.5	5.2	2.16	2.0	2.5	Z	A	St	EN ISO 7047	1994
EN ISO 7047 SCREW M8x35-Z STEEL GRADE A COUNTERSUNK RAISED HEAD	EN_ISO_7047_M8x35-Z_STEEL_GRADE_A_COUNTERSUNK_RAISED_HEAD_SCREW	M8	8.0	1.25	27.85	35.0	38.0	15.8	4.65	16.5	2.0	3.2	9.5	5.2	2.16	2.0	2.5	Z	A	St	EN ISO 7047	1994
EN ISO 7047 SCREW M8x40-Z STEEL GRADE A COUNTERSUNK RAISED HEAD	EN_ISO_7047_M8x40-Z_STEEL_GRADE_A_COUNTERSUNK_RAISED_HEAD_SCREW	M8	8.0	1.25	32.85	40.0	38.0	15.8	4.65	16.5	2.0	3.2	9.5	5.2	2.16	2.0	2.5	Z	A	St	EN ISO 7047	1994
EN ISO 7047 SCREW M8x45-Z STEEL GRADE A COUNTERSUNK RAISED HEAD	EN_ISO_7047_M8x45-Z_STEEL_GRADE_A_COUNTERSUNK_RAISED_HEAD_SCREW	M8	8.0	1.25	37.85	45.0	38.0	15.8	4.65	16.5	2.0	3.2	9.5	5.2	2.16	2.0	2.5	Z	A	St	EN ISO 7047	1994
EN ISO 7047 SCREW M8x50-Z STEEL GRADE A COUNTERSUNK RAISED HEAD	EN_ISO_7047_M8x50-Z_STEEL_GRADE_A_COUNTERSUNK_RAISED_HEAD_SCREW	M8	8.0	1.25	38.0	50.0	38.0	15.8	4.65	16.5	2.0	3.2	9.5	5.2	2.16	2.0	2.5	Z	A	St	EN ISO 7047	1994
EN ISO 7047 SCREW M8x55-Z STEEL GRADE A COUNTERSUNK RAISED HEAD	EN_ISO_7047_M8x55-Z_STEEL_GRADE_A_COUNTERSUNK_RAISED_HEAD_SCREW	M8	8.0	1.25	38.0	55.0	38.0	15.8	4.65	16.5	2.0	3.2	9.5	5.2	2.16	2.0	2.5	Z	A	St	EN ISO 7047	1994
EN ISO 7047 SCREW M8x60-Z STEEL GRADE A COUNTERSUNK RAISED HEAD	EN_ISO_7047_M8x60-Z_STEEL_GRADE_A_COUNTERSUNK_RAISED_HEAD_SCREW	M8	8.0	1.25	38.0	60.0	38.0	15.8	4.65	16.5	2.0	3.2	9.5	5.2	2.16	2.0	2.5	Z	A	St	EN ISO 7047	1994
EN ISO 7047 SCREW M10x12-Z STEEL GRADE A COUNTERSUNK RAISED HEAD	EN_ISO_7047_M10x12-Z_STEEL_GRADE_A_COUNTERSUNK_RAISED_HEAD_SCREW	M10	10.0	1.5	4.0	12.0	38.0	18.3	5.0	19.5	2.5	3.8	10.3	6.05	2.16	2.3	3.0	Z	A	St	EN ISO 7047	1994
EN ISO 7047 SCREW M10x14-Z STEEL GRADE A COUNTERSUNK RAISED HEAD	EN_ISO_7047_M10x14-Z_STEEL_GRADE_A_COUNTERSUNK_RAISED_HEAD_SCREW	M10	10.0	1.5	6.0	14.0	38.0	18.3	5.0	19.5	2.5	3.8	10.3	6.05	2.16	2.3	3.0	Z	A	St	EN ISO 7047	1994
EN ISO 7047 SCREW M10x16-Z STEEL GRADE A COUNTERSUNK RAISED HEAD	EN_ISO_7047_M10x16-Z_STEEL_GRADE_A_COUNTERSUNK_RAISED_HEAD_SCREW	M10	10.0	1.5	8.0	16.0	38.0	18.3	5.0	19.5	2.5	3.8	10.3	6.05	2.16	2.3	3.0	Z	A	St	EN ISO 7047	1994
EN ISO 7047 SCREW M10x20-Z STEEL GRADE A COUNTERSUNK RAISED HEAD	EN_ISO_7047_M10x20-Z_STEEL_GRADE_A_COUNTERSUNK_RAISED_HEAD_SCREW	M10	10.0	1.5	12.0	20.0	38.0	18.3	5.0	19.5	2.5	3.8	10.3	6.05	2.16	2.3	3.0	Z	A	St	EN ISO 7047	1994
EN ISO 7047 SCREW M10x25-Z STEEL GRADE A COUNTERSUNK RAISED HEAD	EN_ISO_7047_M10x25-Z_STEEL_GRADE_A_COUNTERSUNK_RAISED_HEAD_SCREW	M10	10.0	1.5	17.0	25.0	38.0	18.3	5.0	19.5	2.5	3.8	10.3	6.05	2.16	2.3	3.0	Z	A	St	EN ISO 7047	1994
EN ISO 7047 SCREW M10x30-Z STEEL GRADE A COUNTERSUNK RAISED HEAD	EN_ISO_7047_M10x30-Z_STEEL_GRADE_A_COUNTERSUNK_RAISED_HEAD_SCREW	M10	10.0	1.5	22.0	30.0	38.0	18.3	5.0	19.5	2.5	3.8	10.3	6.05	2.16	2.3	3.0	Z	A	St	EN ISO 7047	1994
EN ISO 7047 SCREW M10x35-Z STEEL GRADE A COUNTERSUNK RAISED HEAD	EN_ISO_7047_M10x35-Z_STEEL_GRADE_A_COUNTERSUNK_RAISED_HEAD_SCREW	M10	10.0	1.5	27.0	35.0	38.0	18.3	5.0	19.5	2.5	3.8	10.3	6.05	2.16	2.3	3.0	Z	A	St	EN ISO 7047	1994
EN ISO 7047 SCREW M10x40-Z STEEL GRADE A COUNTERSUNK RAISED HEAD	EN_ISO_7047_M10x40-Z_STEEL_GRADE_A_COUNTERSUNK_RAISED_HEAD_SCREW	M10	10.0	1.5	32.0	40.0	38.0	18.3	5.0	19.5	2.5	3.8	10.3	6.05	2.16	2.3	3.0	Z	A	St	EN ISO 7047	1994
EN ISO 7047 SCREW M10x45-Z STEEL GRADE A COUNTERSUNK RAISED HEAD	EN_ISO_7047_M10x45-Z_STEEL_GRADE_A_COUNTERSUNK_RAISED_HEAD_SCREW	M10	10.0	1.5	37.0	45.0	38.0	18.3	5.0	19.5	2.5	3.8	10.3	6.05	2.16	2.3	3.0	Z	A	St	EN ISO 7047	1994
EN ISO 7047 SCREW M10x50-Z STEEL GRADE A COUNTERSUNK RAISED HEAD	EN_ISO_7047_M10x50-Z_STEEL_GRADE_A_COUNTERSUNK_RAISED_HEAD_SCREW	M10	10.0	1.5	38.0	50.0	38.0	18.3	5.0	19.5	2.5	3.8	10.3	6.05	2.16	2.3	3.0	Z	A	St	EN ISO 7047	1994
EN ISO 7047 SCREW M10x55-Z STEEL GRADE A COUNTERSUNK RAISED HEAD	EN_ISO_7047_M10x55-Z_STEEL_GRADE_A_COUNTERSUNK_RAISED_HEAD_SCREW	M10	10.0	1.5	38.0	55.0	38.0	18.3	5.0	19.5	2.5	3.8	10.3	6.05	2.16	2.3	3.0	Z	A	St	EN ISO 7047	1994
EN ISO 7047 SCREW M10x60-Z STEEL GRADE A COUNTERSUNK RAISED HEAD	EN_ISO_7047_M10x60-Z_STEEL_GRADE_A_COUNTERSUNK_RAISED_HEAD_SCREW	M10	10.0	1.5	38.0	60.0	38.0	18.3	5.0	19.5	2.5	3.8	10.3	6.05	2.16	2.3	3.0	Z	A	St	EN ISO 7047	1994
