PartNumber	PartName	Designation	d_dia(mm)	P_pitch(mm)	Threading(mm)	l_nom(mm)	b_min(mm)	dk_nom(mm)	k_max(mm)	rf_(mm)	r_max(mm)	x_max(mm)	m_ref(mm)	m_penetration_max(mm)	Slot_width(mm)	f_(mm)	a_max(mm)	Type	Grade	Material	Reference	Edition
EN ISO 7047 SCREW M3.5x6-H STEEL GRADE A COUNTERSUNK RAISED HEAD	EN_ISO_7047_M3.5x6-H_STEEL_GRADE_A_COUNTERSUNK_RAISED_HEAD_SCREW	M3.5	3.5	0.6	2.45	6.0	38.0	7.3	2.35	8.5	0.9	1.5	4.8	2.75	0.7	0.8	1.2	H	A	St	EN ISO 7047	1994
EN ISO 7047 SCREW M3.5x8-H STEEL GRADE A COUNTERSUNK RAISED HEAD	EN_ISO_7047_M3.5x8-H_STEEL_GRADE_A_COUNTERSUNK_RAISED_HEAD_SCREW	M3.5	3.5	0.6	4.45	8.0	38.0	7.3	2.35	8.5	0.9	1.5	4.8	2.75	0.7	0.8	1.2	H	A	St	EN ISO 7047	1994
EN ISO 7047 SCREW M3.5x10-H STEEL GRADE A COUNTERSUNK RAISED HEAD	EN_ISO_7047_M3.5x10-H_STEEL_GRADE_A_COUNTERSUNK_RAISED_HEAD_SCREW	M3.5	3.5	0.6	6.45	10.0	38.0	7.3	2.35	8.5	0.9	1.5	4.8	2.75	0.7	0.8	1.2	H	A	St	EN ISO 7047	1994
EN ISO 7047 SCREW M3.5x12-H STEEL GRADE A COUNTERSUNK RAISED HEAD	EN_ISO_7047_M3.5x12-H_STEEL_GRADE_A_COUNTERSUNK_RAISED_HEAD_SCREW	M3.5	3.5	0.6	8.45	12.0	38.0	7.3	2.35	8.5	0.9	1.5	4.8	2.75	0.7	0.8	1.2	H	A	St	EN ISO 7047	1994
EN ISO 7047 SCREW M3.5x14-H STEEL GRADE A COUNTERSUNK RAISED HEAD	EN_ISO_7047_M3.5x14-H_STEEL_GRADE_A_COUNTERSUNK_RAISED_HEAD_SCREW	M3.5	3.5	0.6	10.45	14.0	38.0	7.3	2.35	8.5	0.9	1.5	4.8	2.75	0.7	0.8	1.2	H	A	St	EN ISO 7047	1994
EN ISO 7047 SCREW M3.5x16-H STEEL GRADE A COUNTERSUNK RAISED HEAD	EN_ISO_7047_M3.5x16-H_STEEL_GRADE_A_COUNTERSUNK_RAISED_HEAD_SCREW	M3.5	3.5	0.6	12.45	16.0	38.0	7.3	2.35	8.5	0.9	1.5	4.8	2.75	0.7	0.8	1.2	H	A	St	EN ISO 7047	1994
EN ISO 7047 SCREW M3.5x20-H STEEL GRADE A COUNTERSUNK RAISED HEAD	EN_ISO_7047_M3.5x20-H_STEEL_GRADE_A_COUNTERSUNK_RAISED_HEAD_SCREW	M3.5	3.5	0.6	16.45	20.0	38.0	7.3	2.35	8.5	0.9	1.5	4.8	2.75	0.7	0.8	1.2	H	A	St	EN ISO 7047	1994
EN ISO 7047 SCREW M3.5x25-H STEEL GRADE A COUNTERSUNK RAISED HEAD	EN_ISO_7047_M3.5x25-H_STEEL_GRADE_A_COUNTERSUNK_RAISED_HEAD_SCREW	M3.5	3.5	0.6	21.45	25.0	38.0	7.3	2.35	8.5	0.9	1.5	4.8	2.75	0.7	0.8	1.2	H	A	St	EN ISO 7047	1994
EN ISO 7047 SCREW M3.5x30-H STEEL GRADE A COUNTERSUNK RAISED HEAD	EN_ISO_7047_M3.5x30-H_STEEL_GRADE_A_COUNTERSUNK_RAISED_HEAD_SCREW	M3.5	3.5	0.6	26.45	30.0	38.0	7.3	2.35	8.5	0.9	1.5	4.8	2.75	0.7	0.8	1.2	H	A	St	EN ISO 7047	1994
EN ISO 7047 SCREW M3.5x35-H STEEL GRADE A COUNTERSUNK RAISED HEAD	EN_ISO_7047_M3.5x35-H_STEEL_GRADE_A_COUNTERSUNK_RAISED_HEAD_SCREW	M3.5	3.5	0.6	31.45	35.0	38.0	7.3	2.35	8.5	0.9	1.5	4.8	2.75	0.7	0.8	1.2	H	A	St	EN ISO 7047	1994
