PartNumber	PartName	d_dia(mm)	l_length_nom(mm)	c_max(mm)	dl_hole_dia(mm)	le_length(mm)	Material	Reference	Edition
EN 22340 CLEVIS PIN 10x60 STEEL WITHOUT HEAD TYPE B WITH SPLIT PIN HOLES	EN_22340_10x60_STEEL_WITHOUT_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLES_CLEVIS_PIN	10.0	60.0	2.0	3.2	4.5	St	EN 22340	1992
EN 22340 CLEVIS PIN 10x65 STEEL WITHOUT HEAD TYPE B WITH SPLIT PIN HOLES	EN_22340_10x65_STEEL_WITHOUT_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLES_CLEVIS_PIN	10.0	65.0	2.0	3.2	4.5	St	EN 22340	1992
EN 22340 CLEVIS PIN 10x70 STEEL WITHOUT HEAD TYPE B WITH SPLIT PIN HOLES	EN_22340_10x70_STEEL_WITHOUT_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLES_CLEVIS_PIN	10.0	70.0	2.0	3.2	4.5	St	EN 22340	1992
EN 22340 CLEVIS PIN 10x75 STEEL WITHOUT HEAD TYPE B WITH SPLIT PIN HOLES	EN_22340_10x75_STEEL_WITHOUT_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLES_CLEVIS_PIN	10.0	75.0	2.0	3.2	4.5	St	EN 22340	1992
EN 22340 CLEVIS PIN 10x80 STEEL WITHOUT HEAD TYPE B WITH SPLIT PIN HOLES	EN_22340_10x80_STEEL_WITHOUT_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLES_CLEVIS_PIN	10.0	80.0	2.0	3.2	4.5	St	EN 22340	1992
EN 22340 CLEVIS PIN 10x85 STEEL WITHOUT HEAD TYPE B WITH SPLIT PIN HOLES	EN_22340_10x85_STEEL_WITHOUT_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLES_CLEVIS_PIN	10.0	85.0	2.0	3.2	4.5	St	EN 22340	1992
EN 22340 CLEVIS PIN 10x90 STEEL WITHOUT HEAD TYPE B WITH SPLIT PIN HOLES	EN_22340_10x90_STEEL_WITHOUT_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLES_CLEVIS_PIN	10.0	90.0	2.0	3.2	4.5	St	EN 22340	1992
EN 22340 CLEVIS PIN 10x95 STEEL WITHOUT HEAD TYPE B WITH SPLIT PIN HOLES	EN_22340_10x95_STEEL_WITHOUT_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLES_CLEVIS_PIN	10.0	95.0	2.0	3.2	4.5	St	EN 22340	1992
EN 22340 CLEVIS PIN 10x100 STEEL WITHOUT HEAD TYPE B WITH SPLIT PIN HOLES	EN_22340_10x100_STEEL_WITHOUT_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLES_CLEVIS_PIN	10.0	100.0	2.0	3.2	4.5	St	EN 22340	1992
EN 22340 CLEVIS PIN 12x24 STEEL WITHOUT HEAD TYPE B WITH SPLIT PIN HOLES	EN_22340_12x24_STEEL_WITHOUT_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLES_CLEVIS_PIN	12.0	24.0	3.0	3.2	5.5	St	EN 22340	1992
EN 22340 CLEVIS PIN 12x26 STEEL WITHOUT HEAD TYPE B WITH SPLIT PIN HOLES	EN_22340_12x26_STEEL_WITHOUT_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLES_CLEVIS_PIN	12.0	26.0	3.0	3.2	5.5	St	EN 22340	1992
EN 22340 CLEVIS PIN 12x28 STEEL WITHOUT HEAD TYPE B WITH SPLIT PIN HOLES	EN_22340_12x28_STEEL_WITHOUT_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLES_CLEVIS_PIN	12.0	28.0	3.0	3.2	5.5	St	EN 22340	1992
EN 22340 CLEVIS PIN 12x30 STEEL WITHOUT HEAD TYPE B WITH SPLIT PIN HOLES	EN_22340_12x30_STEEL_WITHOUT_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLES_CLEVIS_PIN	12.0	30.0	3.0	3.2	5.5	St	EN 22340	1992
EN 22340 CLEVIS PIN 12x32 STEEL WITHOUT HEAD TYPE B WITH SPLIT PIN HOLES	EN_22340_12x32_STEEL_WITHOUT_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLES_CLEVIS_PIN	12.0	32.0	3.0	3.2	5.5	St	EN 22340	1992
EN 22340 CLEVIS PIN 12x35 STEEL WITHOUT HEAD TYPE B WITH SPLIT PIN HOLES	EN_22340_12x35_STEEL_WITHOUT_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLES_CLEVIS_PIN	12.0	35.0	3.0	3.2	5.5	St	EN 22340	1992
EN 22340 CLEVIS PIN 12x40 STEEL WITHOUT HEAD TYPE B WITH SPLIT PIN HOLES	EN_22340_12x40_STEEL_WITHOUT_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLES_CLEVIS_PIN	12.0	40.0	3.0	3.2	5.5	St	EN 22340	1992
EN 22340 CLEVIS PIN 12x45 STEEL WITHOUT HEAD TYPE B WITH SPLIT PIN HOLES	EN_22340_12x45_STEEL_WITHOUT_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLES_CLEVIS_PIN	12.0	45.0	3.0	3.2	5.5	St	EN 22340	1992
EN 22340 CLEVIS PIN 12x50 STEEL WITHOUT HEAD TYPE B WITH SPLIT PIN HOLES	EN_22340_12x50_STEEL_WITHOUT_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLES_CLEVIS_PIN	12.0	50.0	3.0	3.2	5.5	St	EN 22340	1992
EN 22340 CLEVIS PIN 12x55 STEEL WITHOUT HEAD TYPE B WITH SPLIT PIN HOLES	EN_22340_12x55_STEEL_WITHOUT_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLES_CLEVIS_PIN	12.0	55.0	3.0	3.2	5.5	St	EN 22340	1992
EN 22340 CLEVIS PIN 12x60 STEEL WITHOUT HEAD TYPE B WITH SPLIT PIN HOLES	EN_22340_12x60_STEEL_WITHOUT_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLES_CLEVIS_PIN	12.0	60.0	3.0	3.2	5.5	St	EN 22340	1992
EN 22340 CLEVIS PIN 12x65 STEEL WITHOUT HEAD TYPE B WITH SPLIT PIN HOLES	EN_22340_12x65_STEEL_WITHOUT_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLES_CLEVIS_PIN	12.0	65.0	3.0	3.2	5.5	St	EN 22340	1992
EN 22340 CLEVIS PIN 12x70 STEEL WITHOUT HEAD TYPE B WITH SPLIT PIN HOLES	EN_22340_12x70_STEEL_WITHOUT_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLES_CLEVIS_PIN	12.0	70.0	3.0	3.2	5.5	St	EN 22340	1992
EN 22340 CLEVIS PIN 12x75 STEEL WITHOUT HEAD TYPE B WITH SPLIT PIN HOLES	EN_22340_12x75_STEEL_WITHOUT_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLES_CLEVIS_PIN	12.0	75.0	3.0	3.2	5.5	St	EN 22340	1992
EN 22340 CLEVIS PIN 12x80 STEEL WITHOUT HEAD TYPE B WITH SPLIT PIN HOLES	EN_22340_12x80_STEEL_WITHOUT_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLES_CLEVIS_PIN	12.0	80.0	3.0	3.2	5.5	St	EN 22340	1992
EN 22340 CLEVIS PIN 12x85 STEEL WITHOUT HEAD TYPE B WITH SPLIT PIN HOLES	EN_22340_12x85_STEEL_WITHOUT_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLES_CLEVIS_PIN	12.0	85.0	3.0	3.2	5.5	St	EN 22340	1992
EN 22340 CLEVIS PIN 12x90 STEEL WITHOUT HEAD TYPE B WITH SPLIT PIN HOLES	EN_22340_12x90_STEEL_WITHOUT_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLES_CLEVIS_PIN	12.0	90.0	3.0	3.2	5.5	St	EN 22340	1992
EN 22340 CLEVIS PIN 12x95 STEEL WITHOUT HEAD TYPE B WITH SPLIT PIN HOLES	EN_22340_12x95_STEEL_WITHOUT_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLES_CLEVIS_PIN	12.0	95.0	3.0	3.2	5.5	St	EN 22340	1992
EN 22340 CLEVIS PIN 12x100 STEEL WITHOUT HEAD TYPE B WITH SPLIT PIN HOLES	EN_22340_12x100_STEEL_WITHOUT_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLES_CLEVIS_PIN	12.0	100.0	3.0	3.2	5.5	St	EN 22340	1992
EN 22340 CLEVIS PIN 12x120 STEEL WITHOUT HEAD TYPE B WITH SPLIT PIN HOLES	EN_22340_12x120_STEEL_WITHOUT_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLES_CLEVIS_PIN	12.0	120.0	3.0	3.2	5.5	St	EN 22340	1992
EN 22340 CLEVIS PIN 14x28 STEEL WITHOUT HEAD TYPE B WITH SPLIT PIN HOLES	EN_22340_14x28_STEEL_WITHOUT_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLES_CLEVIS_PIN	14.0	28.0	3.0	4.0	6.0	St	EN 22340	1992
EN 22340 CLEVIS PIN 14x30 STEEL WITHOUT HEAD TYPE B WITH SPLIT PIN HOLES	EN_22340_14x30_STEEL_WITHOUT_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLES_CLEVIS_PIN	14.0	30.0	3.0	4.0	6.0	St	EN 22340	1992
EN 22340 CLEVIS PIN 14x32 STEEL WITHOUT HEAD TYPE B WITH SPLIT PIN HOLES	EN_22340_14x32_STEEL_WITHOUT_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLES_CLEVIS_PIN	14.0	32.0	3.0	4.0	6.0	St	EN 22340	1992
EN 22340 CLEVIS PIN 14x35 STEEL WITHOUT HEAD TYPE B WITH SPLIT PIN HOLES	EN_22340_14x35_STEEL_WITHOUT_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLES_CLEVIS_PIN	14.0	35.0	3.0	4.0	6.0	St	EN 22340	1992
EN 22340 CLEVIS PIN 14x40 STEEL WITHOUT HEAD TYPE B WITH SPLIT PIN HOLES	EN_22340_14x40_STEEL_WITHOUT_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLES_CLEVIS_PIN	14.0	40.0	3.0	4.0	6.0	St	EN 22340	1992
EN 22340 CLEVIS PIN 14x45 STEEL WITHOUT HEAD TYPE B WITH SPLIT PIN HOLES	EN_22340_14x45_STEEL_WITHOUT_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLES_CLEVIS_PIN	14.0	45.0	3.0	4.0	6.0	St	EN 22340	1992
EN 22340 CLEVIS PIN 14x50 STEEL WITHOUT HEAD TYPE B WITH SPLIT PIN HOLES	EN_22340_14x50_STEEL_WITHOUT_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLES_CLEVIS_PIN	14.0	50.0	3.0	4.0	6.0	St	EN 22340	1992
EN 22340 CLEVIS PIN 14x55 STEEL WITHOUT HEAD TYPE B WITH SPLIT PIN HOLES	EN_22340_14x55_STEEL_WITHOUT_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLES_CLEVIS_PIN	14.0	55.0	3.0	4.0	6.0	St	EN 22340	1992
EN 22340 CLEVIS PIN 14x60 STEEL WITHOUT HEAD TYPE B WITH SPLIT PIN HOLES	EN_22340_14x60_STEEL_WITHOUT_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLES_CLEVIS_PIN	14.0	60.0	3.0	4.0	6.0	St	EN 22340	1992
EN 22340 CLEVIS PIN 14x65 STEEL WITHOUT HEAD TYPE B WITH SPLIT PIN HOLES	EN_22340_14x65_STEEL_WITHOUT_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLES_CLEVIS_PIN	14.0	65.0	3.0	4.0	6.0	St	EN 22340	1992
EN 22340 CLEVIS PIN 14x70 STEEL WITHOUT HEAD TYPE B WITH SPLIT PIN HOLES	EN_22340_14x70_STEEL_WITHOUT_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLES_CLEVIS_PIN	14.0	70.0	3.0	4.0	6.0	St	EN 22340	1992
EN 22340 CLEVIS PIN 14x75 STEEL WITHOUT HEAD TYPE B WITH SPLIT PIN HOLES	EN_22340_14x75_STEEL_WITHOUT_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLES_CLEVIS_PIN	14.0	75.0	3.0	4.0	6.0	St	EN 22340	1992
EN 22340 CLEVIS PIN 14x80 STEEL WITHOUT HEAD TYPE B WITH SPLIT PIN HOLES	EN_22340_14x80_STEEL_WITHOUT_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLES_CLEVIS_PIN	14.0	80.0	3.0	4.0	6.0	St	EN 22340	1992
EN 22340 CLEVIS PIN 14x85 STEEL WITHOUT HEAD TYPE B WITH SPLIT PIN HOLES	EN_22340_14x85_STEEL_WITHOUT_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLES_CLEVIS_PIN	14.0	85.0	3.0	4.0	6.0	St	EN 22340	1992
EN 22340 CLEVIS PIN 14x90 STEEL WITHOUT HEAD TYPE B WITH SPLIT PIN HOLES	EN_22340_14x90_STEEL_WITHOUT_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLES_CLEVIS_PIN	14.0	90.0	3.0	4.0	6.0	St	EN 22340	1992
EN 22340 CLEVIS PIN 14x95 STEEL WITHOUT HEAD TYPE B WITH SPLIT PIN HOLES	EN_22340_14x95_STEEL_WITHOUT_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLES_CLEVIS_PIN	14.0	95.0	3.0	4.0	6.0	St	EN 22340	1992
EN 22340 CLEVIS PIN 14x100 STEEL WITHOUT HEAD TYPE B WITH SPLIT PIN HOLES	EN_22340_14x100_STEEL_WITHOUT_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLES_CLEVIS_PIN	14.0	100.0	3.0	4.0	6.0	St	EN 22340	1992
EN 22340 CLEVIS PIN 14x120 STEEL WITHOUT HEAD TYPE B WITH SPLIT PIN HOLES	EN_22340_14x120_STEEL_WITHOUT_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLES_CLEVIS_PIN	14.0	120.0	3.0	4.0	6.0	St	EN 22340	1992
EN 22340 CLEVIS PIN 14x140 STEEL WITHOUT HEAD TYPE B WITH SPLIT PIN HOLES	EN_22340_14x140_STEEL_WITHOUT_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLES_CLEVIS_PIN	14.0	140.0	3.0	4.0	6.0	St	EN 22340	1992
EN 22340 CLEVIS PIN 16x32 STEEL WITHOUT HEAD TYPE B WITH SPLIT PIN HOLES	EN_22340_16x32_STEEL_WITHOUT_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLES_CLEVIS_PIN	16.0	32.0	3.0	4.0	6.0	St	EN 22340	1992
EN 22340 CLEVIS PIN 16x35 STEEL WITHOUT HEAD TYPE B WITH SPLIT PIN HOLES	EN_22340_16x35_STEEL_WITHOUT_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLES_CLEVIS_PIN	16.0	35.0	3.0	4.0	6.0	St	EN 22340	1992
EN 22340 CLEVIS PIN 16x40 STEEL WITHOUT HEAD TYPE B WITH SPLIT PIN HOLES	EN_22340_16x40_STEEL_WITHOUT_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLES_CLEVIS_PIN	16.0	40.0	3.0	4.0	6.0	St	EN 22340	1992
EN 22340 CLEVIS PIN 16x45 STEEL WITHOUT HEAD TYPE B WITH SPLIT PIN HOLES	EN_22340_16x45_STEEL_WITHOUT_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLES_CLEVIS_PIN	16.0	45.0	3.0	4.0	6.0	St	EN 22340	1992
EN 22340 CLEVIS PIN 16x50 STEEL WITHOUT HEAD TYPE B WITH SPLIT PIN HOLES	EN_22340_16x50_STEEL_WITHOUT_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLES_CLEVIS_PIN	16.0	50.0	3.0	4.0	6.0	St	EN 22340	1992
EN 22340 CLEVIS PIN 16x55 STEEL WITHOUT HEAD TYPE B WITH SPLIT PIN HOLES	EN_22340_16x55_STEEL_WITHOUT_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLES_CLEVIS_PIN	16.0	55.0	3.0	4.0	6.0	St	EN 22340	1992
EN 22340 CLEVIS PIN 16x60 STEEL WITHOUT HEAD TYPE B WITH SPLIT PIN HOLES	EN_22340_16x60_STEEL_WITHOUT_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLES_CLEVIS_PIN	16.0	60.0	3.0	4.0	6.0	St	EN 22340	1992
EN 22340 CLEVIS PIN 16x65 STEEL WITHOUT HEAD TYPE B WITH SPLIT PIN HOLES	EN_22340_16x65_STEEL_WITHOUT_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLES_CLEVIS_PIN	16.0	65.0	3.0	4.0	6.0	St	EN 22340	1992
EN 22340 CLEVIS PIN 16x70 STEEL WITHOUT HEAD TYPE B WITH SPLIT PIN HOLES	EN_22340_16x70_STEEL_WITHOUT_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLES_CLEVIS_PIN	16.0	70.0	3.0	4.0	6.0	St	EN 22340	1992
EN 22340 CLEVIS PIN 16x75 STEEL WITHOUT HEAD TYPE B WITH SPLIT PIN HOLES	EN_22340_16x75_STEEL_WITHOUT_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLES_CLEVIS_PIN	16.0	75.0	3.0	4.0	6.0	St	EN 22340	1992
EN 22340 CLEVIS PIN 16x80 STEEL WITHOUT HEAD TYPE B WITH SPLIT PIN HOLES	EN_22340_16x80_STEEL_WITHOUT_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLES_CLEVIS_PIN	16.0	80.0	3.0	4.0	6.0	St	EN 22340	1992
EN 22340 CLEVIS PIN 16x85 STEEL WITHOUT HEAD TYPE B WITH SPLIT PIN HOLES	EN_22340_16x85_STEEL_WITHOUT_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLES_CLEVIS_PIN	16.0	85.0	3.0	4.0	6.0	St	EN 22340	1992
EN 22340 CLEVIS PIN 16x90 STEEL WITHOUT HEAD TYPE B WITH SPLIT PIN HOLES	EN_22340_16x90_STEEL_WITHOUT_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLES_CLEVIS_PIN	16.0	90.0	3.0	4.0	6.0	St	EN 22340	1992
EN 22340 CLEVIS PIN 16x95 STEEL WITHOUT HEAD TYPE B WITH SPLIT PIN HOLES	EN_22340_16x95_STEEL_WITHOUT_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLES_CLEVIS_PIN	16.0	95.0	3.0	4.0	6.0	St	EN 22340	1992
EN 22340 CLEVIS PIN 16x100 STEEL WITHOUT HEAD TYPE B WITH SPLIT PIN HOLES	EN_22340_16x100_STEEL_WITHOUT_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLES_CLEVIS_PIN	16.0	100.0	3.0	4.0	6.0	St	EN 22340	1992
EN 22340 CLEVIS PIN 16x120 STEEL WITHOUT HEAD TYPE B WITH SPLIT PIN HOLES	EN_22340_16x120_STEEL_WITHOUT_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLES_CLEVIS_PIN	16.0	120.0	3.0	4.0	6.0	St	EN 22340	1992
EN 22340 CLEVIS PIN 16x140 STEEL WITHOUT HEAD TYPE B WITH SPLIT PIN HOLES	EN_22340_16x140_STEEL_WITHOUT_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLES_CLEVIS_PIN	16.0	140.0	3.0	4.0	6.0	St	EN 22340	1992
EN 22340 CLEVIS PIN 16x160 STEEL WITHOUT HEAD TYPE B WITH SPLIT PIN HOLES	EN_22340_16x160_STEEL_WITHOUT_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLES_CLEVIS_PIN	16.0	160.0	3.0	4.0	6.0	St	EN 22340	1992
EN 22340 CLEVIS PIN 18x35 STEEL WITHOUT HEAD TYPE B WITH SPLIT PIN HOLES	EN_22340_18x35_STEEL_WITHOUT_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLES_CLEVIS_PIN	18.0	35.0	3.0	5.0	7.0	St	EN 22340	1992
EN 22340 CLEVIS PIN 18x40 STEEL WITHOUT HEAD TYPE B WITH SPLIT PIN HOLES	EN_22340_18x40_STEEL_WITHOUT_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLES_CLEVIS_PIN	18.0	40.0	3.0	5.0	7.0	St	EN 22340	1992
EN 22340 CLEVIS PIN 18x45 STEEL WITHOUT HEAD TYPE B WITH SPLIT PIN HOLES	EN_22340_18x45_STEEL_WITHOUT_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLES_CLEVIS_PIN	18.0	45.0	3.0	5.0	7.0	St	EN 22340	1992
EN 22340 CLEVIS PIN 18x50 STEEL WITHOUT HEAD TYPE B WITH SPLIT PIN HOLES	EN_22340_18x50_STEEL_WITHOUT_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLES_CLEVIS_PIN	18.0	50.0	3.0	5.0	7.0	St	EN 22340	1992
EN 22340 CLEVIS PIN 18x55 STEEL WITHOUT HEAD TYPE B WITH SPLIT PIN HOLES	EN_22340_18x55_STEEL_WITHOUT_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLES_CLEVIS_PIN	18.0	55.0	3.0	5.0	7.0	St	EN 22340	1992
EN 22340 CLEVIS PIN 18x60 STEEL WITHOUT HEAD TYPE B WITH SPLIT PIN HOLES	EN_22340_18x60_STEEL_WITHOUT_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLES_CLEVIS_PIN	18.0	60.0	3.0	5.0	7.0	St	EN 22340	1992
EN 22340 CLEVIS PIN 18x65 STEEL WITHOUT HEAD TYPE B WITH SPLIT PIN HOLES	EN_22340_18x65_STEEL_WITHOUT_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLES_CLEVIS_PIN	18.0	65.0	3.0	5.0	7.0	St	EN 22340	1992
EN 22340 CLEVIS PIN 18x70 STEEL WITHOUT HEAD TYPE B WITH SPLIT PIN HOLES	EN_22340_18x70_STEEL_WITHOUT_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLES_CLEVIS_PIN	18.0	70.0	3.0	5.0	7.0	St	EN 22340	1992
EN 22340 CLEVIS PIN 18x75 STEEL WITHOUT HEAD TYPE B WITH SPLIT PIN HOLES	EN_22340_18x75_STEEL_WITHOUT_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLES_CLEVIS_PIN	18.0	75.0	3.0	5.0	7.0	St	EN 22340	1992
EN 22340 CLEVIS PIN 18x80 STEEL WITHOUT HEAD TYPE B WITH SPLIT PIN HOLES	EN_22340_18x80_STEEL_WITHOUT_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLES_CLEVIS_PIN	18.0	80.0	3.0	5.0	7.0	St	EN 22340	1992
EN 22340 CLEVIS PIN 18x85 STEEL WITHOUT HEAD TYPE B WITH SPLIT PIN HOLES	EN_22340_18x85_STEEL_WITHOUT_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLES_CLEVIS_PIN	18.0	85.0	3.0	5.0	7.0	St	EN 22340	1992
EN 22340 CLEVIS PIN 18x90 STEEL WITHOUT HEAD TYPE B WITH SPLIT PIN HOLES	EN_22340_18x90_STEEL_WITHOUT_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLES_CLEVIS_PIN	18.0	90.0	3.0	5.0	7.0	St	EN 22340	1992
EN 22340 CLEVIS PIN 18x95 STEEL WITHOUT HEAD TYPE B WITH SPLIT PIN HOLES	EN_22340_18x95_STEEL_WITHOUT_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLES_CLEVIS_PIN	18.0	95.0	3.0	5.0	7.0	St	EN 22340	1992
EN 22340 CLEVIS PIN 18x100 STEEL WITHOUT HEAD TYPE B WITH SPLIT PIN HOLES	EN_22340_18x100_STEEL_WITHOUT_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLES_CLEVIS_PIN	18.0	100.0	3.0	5.0	7.0	St	EN 22340	1992
EN 22340 CLEVIS PIN 18x120 STEEL WITHOUT HEAD TYPE B WITH SPLIT PIN HOLES	EN_22340_18x120_STEEL_WITHOUT_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLES_CLEVIS_PIN	18.0	120.0	3.0	5.0	7.0	St	EN 22340	1992
EN 22340 CLEVIS PIN 18x140 STEEL WITHOUT HEAD TYPE B WITH SPLIT PIN HOLES	EN_22340_18x140_STEEL_WITHOUT_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLES_CLEVIS_PIN	18.0	140.0	3.0	5.0	7.0	St	EN 22340	1992
EN 22340 CLEVIS PIN 18x160 STEEL WITHOUT HEAD TYPE B WITH SPLIT PIN HOLES	EN_22340_18x160_STEEL_WITHOUT_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLES_CLEVIS_PIN	18.0	160.0	3.0	5.0	7.0	St	EN 22340	1992
EN 22340 CLEVIS PIN 18x180 STEEL WITHOUT HEAD TYPE B WITH SPLIT PIN HOLES	EN_22340_18x180_STEEL_WITHOUT_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLES_CLEVIS_PIN	18.0	180.0	3.0	5.0	7.0	St	EN 22340	1992
EN 22340 CLEVIS PIN 20x40 STEEL WITHOUT HEAD TYPE B WITH SPLIT PIN HOLES	EN_22340_20x40_STEEL_WITHOUT_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLES_CLEVIS_PIN	20.0	40.0	4.0	5.0	8.0	St	EN 22340	1992
EN 22340 CLEVIS PIN 20x45 STEEL WITHOUT HEAD TYPE B WITH SPLIT PIN HOLES	EN_22340_20x45_STEEL_WITHOUT_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLES_CLEVIS_PIN	20.0	45.0	4.0	5.0	8.0	St	EN 22340	1992
EN 22340 CLEVIS PIN 20x50 STEEL WITHOUT HEAD TYPE B WITH SPLIT PIN HOLES	EN_22340_20x50_STEEL_WITHOUT_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLES_CLEVIS_PIN	20.0	50.0	4.0	5.0	8.0	St	EN 22340	1992
EN 22340 CLEVIS PIN 20x55 STEEL WITHOUT HEAD TYPE B WITH SPLIT PIN HOLES	EN_22340_20x55_STEEL_WITHOUT_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLES_CLEVIS_PIN	20.0	55.0	4.0	5.0	8.0	St	EN 22340	1992
EN 22340 CLEVIS PIN 20x60 STEEL WITHOUT HEAD TYPE B WITH SPLIT PIN HOLES	EN_22340_20x60_STEEL_WITHOUT_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLES_CLEVIS_PIN	20.0	60.0	4.0	5.0	8.0	St	EN 22340	1992
EN 22340 CLEVIS PIN 20x65 STEEL WITHOUT HEAD TYPE B WITH SPLIT PIN HOLES	EN_22340_20x65_STEEL_WITHOUT_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLES_CLEVIS_PIN	20.0	65.0	4.0	5.0	8.0	St	EN 22340	1992
EN 22340 CLEVIS PIN 20x70 STEEL WITHOUT HEAD TYPE B WITH SPLIT PIN HOLES	EN_22340_20x70_STEEL_WITHOUT_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLES_CLEVIS_PIN	20.0	70.0	4.0	5.0	8.0	St	EN 22340	1992
EN 22340 CLEVIS PIN 20x75 STEEL WITHOUT HEAD TYPE B WITH SPLIT PIN HOLES	EN_22340_20x75_STEEL_WITHOUT_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLES_CLEVIS_PIN	20.0	75.0	4.0	5.0	8.0	St	EN 22340	1992
