PartNumber	PartName	Designation	d_dia(mm)	P_pitch(mm)	threading(mm)	l_length(mm)	l_length_max(mm)	a_max(mm)	a_min(mm)	c_max(mm)	da_max(mm)	dw_min(mm)	e_min(mm)	k_max_head_depth(mm)	kw_head_edge_length(mm)	r_min(mm)	s_nom_across_flats(mm)	Grade	Material	Reference	Edition
EN ISO 4018 SCREW M22x100 STEEL GRADE C HEXAGON HEAD NONPREFERRED	EN_ISO_4018_M22x100_STEEL_GRADE_C_HEXAGON_HEAD_NONPREFERRED_SCREW	M22	22.0	2.5	92.5	100.0	101.75	7.5	2.5	0.8	26.4	31.35	37.29	14.9	9.17	0.8	34.0	C	St	EN ISO 4018	2000
EN ISO 4018 SCREW M22x110 STEEL GRADE C HEXAGON HEAD NONPREFERRED	EN_ISO_4018_M22x110_STEEL_GRADE_C_HEXAGON_HEAD_NONPREFERRED_SCREW	M22	22.0	2.5	102.5	110.0	111.75	7.5	2.5	0.8	26.4	31.35	37.29	14.9	9.17	0.8	34.0	C	St	EN ISO 4018	2000
EN ISO 4018 SCREW M22x120 STEEL GRADE C HEXAGON HEAD NONPREFERRED	EN_ISO_4018_M22x120_STEEL_GRADE_C_HEXAGON_HEAD_NONPREFERRED_SCREW	M22	22.0	2.5	112.5	120.0	121.75	7.5	2.5	0.8	26.4	31.35	37.29	14.9	9.17	0.8	34.0	C	St	EN ISO 4018	2000
EN ISO 4018 SCREW M22x130 STEEL GRADE C HEXAGON HEAD NONPREFERRED	EN_ISO_4018_M22x130_STEEL_GRADE_C_HEXAGON_HEAD_NONPREFERRED_SCREW	M22	22.0	2.5	122.5	130.0	132.0	7.5	2.5	0.8	26.4	31.35	37.29	14.9	9.17	0.8	34.0	C	St	EN ISO 4018	2000
EN ISO 4018 SCREW M22x140 STEEL GRADE C HEXAGON HEAD NONPREFERRED	EN_ISO_4018_M22x140_STEEL_GRADE_C_HEXAGON_HEAD_NONPREFERRED_SCREW	M22	22.0	2.5	132.5	140.0	142.0	7.5	2.5	0.8	26.4	31.35	37.29	14.9	9.17	0.8	34.0	C	St	EN ISO 4018	2000
EN ISO 4018 SCREW M22x150 STEEL GRADE C HEXAGON HEAD NONPREFERRED	EN_ISO_4018_M22x150_STEEL_GRADE_C_HEXAGON_HEAD_NONPREFERRED_SCREW	M22	22.0	2.5	142.5	150.0	152.0	7.5	2.5	0.8	26.4	31.35	37.29	14.9	9.17	0.8	34.0	C	St	EN ISO 4018	2000
EN ISO 4018 SCREW M22x160 STEEL GRADE C HEXAGON HEAD NONPREFERRED	EN_ISO_4018_M22x160_STEEL_GRADE_C_HEXAGON_HEAD_NONPREFERRED_SCREW	M22	22.0	2.5	152.5	160.0	164.0	7.5	2.5	0.8	26.4	31.35	37.29	14.9	9.17	0.8	34.0	C	St	EN ISO 4018	2000
EN ISO 4018 SCREW M22x180 STEEL GRADE C HEXAGON HEAD NONPREFERRED	EN_ISO_4018_M22x180_STEEL_GRADE_C_HEXAGON_HEAD_NONPREFERRED_SCREW	M22	22.0	2.5	172.5	180.0	184.0	7.5	2.5	0.8	26.4	31.35	37.29	14.9	9.17	0.8	34.0	C	St	EN ISO 4018	2000
EN ISO 4018 SCREW M22x200 STEEL GRADE C HEXAGON HEAD NONPREFERRED	EN_ISO_4018_M22x200_STEEL_GRADE_C_HEXAGON_HEAD_NONPREFERRED_SCREW	M22	22.0	2.5	192.5	200.0	204.6	7.5	2.5	0.8	26.4	31.35	37.29	14.9	9.17	0.8	34.0	C	St	EN ISO 4018	2000
EN ISO 4018 SCREW M22x220 STEEL GRADE C HEXAGON HEAD NONPREFERRED	EN_ISO_4018_M22x220_STEEL_GRADE_C_HEXAGON_HEAD_NONPREFERRED_SCREW	M22	22.0	2.5	212.5	220.0	224.6	7.5	2.5	0.8	26.4	31.35	37.29	14.9	9.17	0.8	34.0	C	St	EN ISO 4018	2000
EN ISO 4018 SCREW M27x55 STEEL GRADE C HEXAGON HEAD NONPREFERRED	EN_ISO_4018_M27x55_STEEL_GRADE_C_HEXAGON_HEAD_NONPREFERRED_SCREW	M27	27.0	3.0	46.0	55.0	56.5	9.0	3.0	0.8	32.4	38.0	45.2	17.9	11.27	1.0	41.0	C	St	EN ISO 4018	2000
EN ISO 4018 SCREW M27x60 STEEL GRADE C HEXAGON HEAD NONPREFERRED	EN_ISO_4018_M27x60_STEEL_GRADE_C_HEXAGON_HEAD_NONPREFERRED_SCREW	M27	27.0	3.0	51.0	60.0	61.5	9.0	3.0	0.8	32.4	38.0	45.2	17.9	11.27	1.0	41.0	C	St	EN ISO 4018	2000
EN ISO 4018 SCREW M27x65 STEEL GRADE C HEXAGON HEAD NONPREFERRED	EN_ISO_4018_M27x65_STEEL_GRADE_C_HEXAGON_HEAD_NONPREFERRED_SCREW	M27	27.0	3.0	56.0	65.0	66.5	9.0	3.0	0.8	32.4	38.0	45.2	17.9	11.27	1.0	41.0	C	St	EN ISO 4018	2000
EN ISO 4018 SCREW M27x70 STEEL GRADE C HEXAGON HEAD NONPREFERRED	EN_ISO_4018_M27x70_STEEL_GRADE_C_HEXAGON_HEAD_NONPREFERRED_SCREW	M27	27.0	3.0	61.0	70.0	71.5	9.0	3.0	0.8	32.4	38.0	45.2	17.9	11.27	1.0	41.0	C	St	EN ISO 4018	2000
EN ISO 4018 SCREW M27x80 STEEL GRADE C HEXAGON HEAD NONPREFERRED	EN_ISO_4018_M27x80_STEEL_GRADE_C_HEXAGON_HEAD_NONPREFERRED_SCREW	M27	27.0	3.0	71.0	80.0	81.5	9.0	3.0	0.8	32.4	38.0	45.2	17.9	11.27	1.0	41.0	C	St	EN ISO 4018	2000
EN ISO 4018 SCREW M27x90 STEEL GRADE C HEXAGON HEAD NONPREFERRED	EN_ISO_4018_M27x90_STEEL_GRADE_C_HEXAGON_HEAD_NONPREFERRED_SCREW	M27	27.0	3.0	81.0	90.0	91.75	9.0	3.0	0.8	32.4	38.0	45.2	17.9	11.27	1.0	41.0	C	St	EN ISO 4018	2000
EN ISO 4018 SCREW M27x100 STEEL GRADE C HEXAGON HEAD NONPREFERRED	EN_ISO_4018_M27x100_STEEL_GRADE_C_HEXAGON_HEAD_NONPREFERRED_SCREW	M27	27.0	3.0	91.0	100.0	101.75	9.0	3.0	0.8	32.4	38.0	45.2	17.9	11.27	1.0	41.0	C	St	EN ISO 4018	2000
EN ISO 4018 SCREW M27x110 STEEL GRADE C HEXAGON HEAD NONPREFERRED	EN_ISO_4018_M27x110_STEEL_GRADE_C_HEXAGON_HEAD_NONPREFERRED_SCREW	M27	27.0	3.0	101.0	110.0	111.75	9.0	3.0	0.8	32.4	38.0	45.2	17.9	11.27	1.0	41.0	C	St	EN ISO 4018	2000
EN ISO 4018 SCREW M27x120 STEEL GRADE C HEXAGON HEAD NONPREFERRED	EN_ISO_4018_M27x120_STEEL_GRADE_C_HEXAGON_HEAD_NONPREFERRED_SCREW	M27	27.0	3.0	111.0	120.0	121.75	9.0	3.0	0.8	32.4	38.0	45.2	17.9	11.27	1.0	41.0	C	St	EN ISO 4018	2000
EN ISO 4018 SCREW M27x130 STEEL GRADE C HEXAGON HEAD NONPREFERRED	EN_ISO_4018_M27x130_STEEL_GRADE_C_HEXAGON_HEAD_NONPREFERRED_SCREW	M27	27.0	3.0	121.0	130.0	132.0	9.0	3.0	0.8	32.4	38.0	45.2	17.9	11.27	1.0	41.0	C	St	EN ISO 4018	2000
EN ISO 4018 SCREW M27x140 STEEL GRADE C HEXAGON HEAD NONPREFERRED	EN_ISO_4018_M27x140_STEEL_GRADE_C_HEXAGON_HEAD_NONPREFERRED_SCREW	M27	27.0	3.0	131.0	140.0	142.0	9.0	3.0	0.8	32.4	38.0	45.2	17.9	11.27	1.0	41.0	C	St	EN ISO 4018	2000
