PartNumber	PartName	Designation	d_dia(mm)	p_pitch(mm)	threading(mm)	l_nom_length(mm)	ds_dia_point(mm)	e_across_points(mm)	s_across_flat(mm)	t_depth_socket(mm)	Material	Reference	Edition
EN ISO 4029 SCREW M8&16 GRADE A STEEL HEX SOCKET SET WITH CUP POINT	EN_ISO_4029_M8&16_GRADE_A_STEEL_HEX_SOCKET_WITH_CUP_POINT_SET_SCREW	M8	8.0	1.25	15.609	16.0	5.0	4.583	4.0	5.0	St	EN IS0 4029	2003
EN ISO 4029 SCREW M8&20 GRADE A STEEL HEX SOCKET SET WITH CUP POINT	EN_ISO_4029_M8&20_GRADE_A_STEEL_HEX_SOCKET_WITH_CUP_POINT_SET_SCREW	M8	8.0	1.25	19.609	20.0	5.0	4.583	4.0	5.0	St	EN IS0 4029	2003
EN ISO 4029 SCREW M8&25 GRADE A STEEL HEX SOCKET SET WITH CUP POINT	EN_ISO_4029_M8&25_GRADE_A_STEEL_HEX_SOCKET_WITH_CUP_POINT_SET_SCREW	M8	8.0	1.25	24.609	25.0	5.0	4.583	4.0	5.0	St	EN IS0 4029	2003
EN ISO 4029 SCREW M8&30 GRADE A STEEL HEX SOCKET SET WITH CUP POINT	EN_ISO_4029_M8&30_GRADE_A_STEEL_HEX_SOCKET_WITH_CUP_POINT_SET_SCREW	M8	8.0	1.25	29.609	30.0	5.0	4.583	4.0	5.0	St	EN IS0 4029	2003
EN ISO 4029 SCREW M8&35 GRADE A STEEL HEX SOCKET SET WITH CUP POINT	EN_ISO_4029_M8&35_GRADE_A_STEEL_HEX_SOCKET_WITH_CUP_POINT_SET_SCREW	M8	8.0	1.25	34.609	35.0	5.0	4.583	4.0	5.0	St	EN IS0 4029	2003
EN ISO 4029 SCREW M8&40 GRADE A STEEL HEX SOCKET SET WITH CUP POINT	EN_ISO_4029_M8&40_GRADE_A_STEEL_HEX_SOCKET_WITH_CUP_POINT_SET_SCREW	M8	8.0	1.25	39.609	40.0	5.0	4.583	4.0	5.0	St	EN IS0 4029	2003
EN ISO 4029 SCREW M10&10 GRADE A STEEL HEX SOCKET SET WITH CUP POINT	EN_ISO_4029_M10&10_GRADE_A_STEEL_HEX_SOCKET_WITH_CUP_POINT_SET_SCREW	M10	10.0	1.5	9.531	10.0	6.0	5.723	5.0	4.0	St	EN IS0 4029	2003
EN ISO 4029 SCREW M10&12 GRADE A STEEL HEX SOCKET SET WITH CUP POINT	EN_ISO_4029_M10&12_GRADE_A_STEEL_HEX_SOCKET_WITH_CUP_POINT_SET_SCREW	M10	10.0	1.5	11.531	12.0	6.0	5.723	5.0	6.0	St	EN IS0 4029	2003
EN ISO 4029 SCREW M10&16 GRADE A STEEL HEX SOCKET SET WITH CUP POINT	EN_ISO_4029_M10&16_GRADE_A_STEEL_HEX_SOCKET_WITH_CUP_POINT_SET_SCREW	M10	10.0	1.5	15.531	16.0	6.0	5.723	5.0	6.0	St	EN IS0 4029	2003
EN ISO 4029 SCREW M10&20 GRADE A STEEL HEX SOCKET SET WITH CUP POINT	EN_ISO_4029_M10&20_GRADE_A_STEEL_HEX_SOCKET_WITH_CUP_POINT_SET_SCREW	M10	10.0	1.5	19.531	20.0	6.0	5.723	5.0	6.0	St	EN IS0 4029	2003
EN ISO 4029 SCREW M10&25 GRADE A STEEL HEX SOCKET SET WITH CUP POINT	EN_ISO_4029_M10&25_GRADE_A_STEEL_HEX_SOCKET_WITH_CUP_POINT_SET_SCREW	M10	10.0	1.5	24.531	25.0	6.0	5.723	5.0	6.0	St	EN IS0 4029	2003
EN ISO 4029 SCREW M10&30 GRADE A STEEL HEX SOCKET SET WITH CUP POINT	EN_ISO_4029_M10&30_GRADE_A_STEEL_HEX_SOCKET_WITH_CUP_POINT_SET_SCREW	M10	10.0	1.5	29.531	30.0	6.0	5.723	5.0	6.0	St	EN IS0 4029	2003
EN ISO 4029 SCREW M10&35 GRADE A STEEL HEX SOCKET SET WITH CUP POINT	EN_ISO_4029_M10&35_GRADE_A_STEEL_HEX_SOCKET_WITH_CUP_POINT_SET_SCREW	M10	10.0	1.5	34.531	35.0	6.0	5.723	5.0	6.0	St	EN IS0 4029	2003
EN ISO 4029 SCREW M10&40 GRADE A STEEL HEX SOCKET SET WITH CUP POINT	EN_ISO_4029_M10&40_GRADE_A_STEEL_HEX_SOCKET_WITH_CUP_POINT_SET_SCREW	M10	10.0	1.5	39.531	40.0	6.0	5.723	5.0	6.0	St	EN IS0 4029	2003
EN ISO 4029 SCREW M10&45 GRADE A STEEL HEX SOCKET SET WITH CUP POINT	EN_ISO_4029_M10&45_GRADE_A_STEEL_HEX_SOCKET_WITH_CUP_POINT_SET_SCREW	M10	10.0	1.5	44.531	45.0	6.0	5.723	5.0	6.0	St	EN IS0 4029	2003
EN ISO 4029 SCREW M10&50 GRADE A STEEL HEX SOCKET SET WITH CUP POINT	EN_ISO_4029_M10&50_GRADE_A_STEEL_HEX_SOCKET_WITH_CUP_POINT_SET_SCREW	M10	10.0	1.5	49.531	50.0	6.0	5.723	5.0	6.0	St	EN IS0 4029	2003
