PartNumber	PartName	d1_nom_dia(mm)	l_nom_length(mm)	l_min(mm)	l_max(mm)	c1_rad(mm)	c2_cham(mm)	a_rad(mm)	tol	Material	Reference	Edition
ISO 8740 GROOVED PIN 20x28 STEEL FULL LENGTH PARALLEL WITH CHAMFER	ISO_8740_20x28_STEEL_FULL_LENGTH_WITH_CHAMFER_PARALLEL_GROOVED_PIN	20.0	28.0	27.5	28.5	2.0	6.0	2.5	h11	St	ISO 8740	1997
ISO 8740 GROOVED PIN 20x30 STEEL FULL LENGTH PARALLEL WITH CHAMFER	ISO_8740_20x30_STEEL_FULL_LENGTH_WITH_CHAMFER_PARALLEL_GROOVED_PIN	20.0	30.0	29.5	30.5	2.0	6.0	2.5	h11	St	ISO 8740	1997
ISO 8740 GROOVED PIN 20x32 STEEL FULL LENGTH PARALLEL WITH CHAMFER	ISO_8740_20x32_STEEL_FULL_LENGTH_WITH_CHAMFER_PARALLEL_GROOVED_PIN	20.0	32.0	31.5	32.5	2.0	6.0	2.5	h11	St	ISO 8740	1997
ISO 8740 GROOVED PIN 20x35 STEEL FULL LENGTH PARALLEL WITH CHAMFER	ISO_8740_20x35_STEEL_FULL_LENGTH_WITH_CHAMFER_PARALLEL_GROOVED_PIN	20.0	35.0	34.5	35.5	2.0	6.0	2.5	h11	St	ISO 8740	1997
ISO 8740 GROOVED PIN 20x40 STEEL FULL LENGTH PARALLEL WITH CHAMFER	ISO_8740_20x40_STEEL_FULL_LENGTH_WITH_CHAMFER_PARALLEL_GROOVED_PIN	20.0	40.0	39.5	40.5	2.0	6.0	2.5	h11	St	ISO 8740	1997
ISO 8740 GROOVED PIN 20x45 STEEL FULL LENGTH PARALLEL WITH CHAMFER	ISO_8740_20x45_STEEL_FULL_LENGTH_WITH_CHAMFER_PARALLEL_GROOVED_PIN	20.0	45.0	44.5	45.5	2.0	6.0	2.5	h11	St	ISO 8740	1997
ISO 8740 GROOVED PIN 20x50 STEEL FULL LENGTH PARALLEL WITH CHAMFER	ISO_8740_20x50_STEEL_FULL_LENGTH_WITH_CHAMFER_PARALLEL_GROOVED_PIN	20.0	50.0	49.5	50.5	2.0	6.0	2.5	h11	St	ISO 8740	1997
ISO 8740 GROOVED PIN 20x55 STEEL FULL LENGTH PARALLEL WITH CHAMFER	ISO_8740_20x55_STEEL_FULL_LENGTH_WITH_CHAMFER_PARALLEL_GROOVED_PIN	20.0	55.0	54.25	55.75	2.0	6.0	2.5	h11	St	ISO 8740	1997
ISO 8740 GROOVED PIN 20x60 STEEL FULL LENGTH PARALLEL WITH CHAMFER	ISO_8740_20x60_STEEL_FULL_LENGTH_WITH_CHAMFER_PARALLEL_GROOVED_PIN	20.0	60.0	59.25	60.75	2.0	6.0	2.5	h11	St	ISO 8740	1997
ISO 8740 GROOVED PIN 20x65 STEEL FULL LENGTH PARALLEL WITH CHAMFER	ISO_8740_20x65_STEEL_FULL_LENGTH_WITH_CHAMFER_PARALLEL_GROOVED_PIN	20.0	65.0	64.25	65.75	2.0	6.0	2.5	h11	St	ISO 8740	1997
ISO 8740 GROOVED PIN 20x70 STEEL FULL LENGTH PARALLEL WITH CHAMFER	ISO_8740_20x70_STEEL_FULL_LENGTH_WITH_CHAMFER_PARALLEL_GROOVED_PIN	20.0	70.0	69.25	70.75	2.0	6.0	2.5	h11	St	ISO 8740	1997
ISO 8740 GROOVED PIN 20x75 STEEL FULL LENGTH PARALLEL WITH CHAMFER	ISO_8740_20x75_STEEL_FULL_LENGTH_WITH_CHAMFER_PARALLEL_GROOVED_PIN	20.0	75.0	74.25	75.75	2.0	6.0	2.5	h11	St	ISO 8740	1997
ISO 8740 GROOVED PIN 20x80 STEEL FULL LENGTH PARALLEL WITH CHAMFER	ISO_8740_20x80_STEEL_FULL_LENGTH_WITH_CHAMFER_PARALLEL_GROOVED_PIN	20.0	80.0	79.25	80.75	2.0	6.0	2.5	h11	St	ISO 8740	1997
ISO 8740 GROOVED PIN 20x85 STEEL FULL LENGTH PARALLEL WITH CHAMFER	ISO_8740_20x85_STEEL_FULL_LENGTH_WITH_CHAMFER_PARALLEL_GROOVED_PIN	20.0	85.0	84.25	85.75	2.0	6.0	2.5	h11	St	ISO 8740	1997
ISO 8740 GROOVED PIN 20x90 STEEL FULL LENGTH PARALLEL WITH CHAMFER	ISO_8740_20x90_STEEL_FULL_LENGTH_WITH_CHAMFER_PARALLEL_GROOVED_PIN	20.0	90.0	89.25	90.75	2.0	6.0	2.5	h11	St	ISO 8740	1997
ISO 8740 GROOVED PIN 20x95 STEEL FULL LENGTH PARALLEL WITH CHAMFER	ISO_8740_20x95_STEEL_FULL_LENGTH_WITH_CHAMFER_PARALLEL_GROOVED_PIN	20.0	95.0	94.25	95.75	2.0	6.0	2.5	h11	St	ISO 8740	1997
ISO 8740 GROOVED PIN 20x100 STEEL FULL LENGTH PARALLEL WITH CHAMFER	ISO_8740_20x100_STEEL_FULL_LENGTH_WITH_CHAMFER_PARALLEL_GROOVED_PIN	20.0	100.0	99.25	100.75	2.0	6.0	2.5	h11	St	ISO 8740	1997
ISO 8740 GROOVED PIN 25x26 STEEL FULL LENGTH PARALLEL WITH CHAMFER	ISO_8740_25x26_STEEL_FULL_LENGTH_WITH_CHAMFER_PARALLEL_GROOVED_PIN	25.0	26.0	25.5	26.5	2.5	7.5	3.0	h11	St	ISO 8740	1997
ISO 8740 GROOVED PIN 25x28 STEEL FULL LENGTH PARALLEL WITH CHAMFER	ISO_8740_25x28_STEEL_FULL_LENGTH_WITH_CHAMFER_PARALLEL_GROOVED_PIN	25.0	28.0	27.5	28.5	2.5	7.5	3.0	h11	St	ISO 8740	1997
ISO 8740 GROOVED PIN 25x30 STEEL FULL LENGTH PARALLEL WITH CHAMFER	ISO_8740_25x30_STEEL_FULL_LENGTH_WITH_CHAMFER_PARALLEL_GROOVED_PIN	25.0	30.0	29.5	30.5	2.5	7.5	3.0	h11	St	ISO 8740	1997
ISO 8740 GROOVED PIN 25x32 STEEL FULL LENGTH PARALLEL WITH CHAMFER	ISO_8740_25x32_STEEL_FULL_LENGTH_WITH_CHAMFER_PARALLEL_GROOVED_PIN	25.0	32.0	31.5	32.5	2.5	7.5	3.0	h11	St	ISO 8740	1997
ISO 8740 GROOVED PIN 25x35 STEEL FULL LENGTH PARALLEL WITH CHAMFER	ISO_8740_25x35_STEEL_FULL_LENGTH_WITH_CHAMFER_PARALLEL_GROOVED_PIN	25.0	35.0	34.5	35.5	2.5	7.5	3.0	h11	St	ISO 8740	1997
ISO 8740 GROOVED PIN 25x40 STEEL FULL LENGTH PARALLEL WITH CHAMFER	ISO_8740_25x40_STEEL_FULL_LENGTH_WITH_CHAMFER_PARALLEL_GROOVED_PIN	25.0	40.0	39.5	40.5	2.5	7.5	3.0	h11	St	ISO 8740	1997
ISO 8740 GROOVED PIN 25x45 STEEL FULL LENGTH PARALLEL WITH CHAMFER	ISO_8740_25x45_STEEL_FULL_LENGTH_WITH_CHAMFER_PARALLEL_GROOVED_PIN	25.0	45.0	44.5	45.5	2.5	7.5	3.0	h11	St	ISO 8740	1997
ISO 8740 GROOVED PIN 25x50 STEEL FULL LENGTH PARALLEL WITH CHAMFER	ISO_8740_25x50_STEEL_FULL_LENGTH_WITH_CHAMFER_PARALLEL_GROOVED_PIN	25.0	50.0	49.5	50.5	2.5	7.5	3.0	h11	St	ISO 8740	1997
ISO 8740 GROOVED PIN 25x55 STEEL FULL LENGTH PARALLEL WITH CHAMFER	ISO_8740_25x55_STEEL_FULL_LENGTH_WITH_CHAMFER_PARALLEL_GROOVED_PIN	25.0	55.0	54.25	55.75	2.5	7.5	3.0	h11	St	ISO 8740	1997
ISO 8740 GROOVED PIN 25x60 STEEL FULL LENGTH PARALLEL WITH CHAMFER	ISO_8740_25x60_STEEL_FULL_LENGTH_WITH_CHAMFER_PARALLEL_GROOVED_PIN	25.0	60.0	59.25	60.75	2.5	7.5	3.0	h11	St	ISO 8740	1997
ISO 8740 GROOVED PIN 25x65 STEEL FULL LENGTH PARALLEL WITH CHAMFER	ISO_8740_25x65_STEEL_FULL_LENGTH_WITH_CHAMFER_PARALLEL_GROOVED_PIN	25.0	65.0	64.25	65.75	2.5	7.5	3.0	h11	St	ISO 8740	1997
ISO 8740 GROOVED PIN 25x70 STEEL FULL LENGTH PARALLEL WITH CHAMFER	ISO_8740_25x70_STEEL_FULL_LENGTH_WITH_CHAMFER_PARALLEL_GROOVED_PIN	25.0	70.0	69.25	70.75	2.5	7.5	3.0	h11	St	ISO 8740	1997
ISO 8740 GROOVED PIN 25x75 STEEL FULL LENGTH PARALLEL WITH CHAMFER	ISO_8740_25x75_STEEL_FULL_LENGTH_WITH_CHAMFER_PARALLEL_GROOVED_PIN	25.0	75.0	74.25	75.75	2.5	7.5	3.0	h11	St	ISO 8740	1997
ISO 8740 GROOVED PIN 25x80 STEEL FULL LENGTH PARALLEL WITH CHAMFER	ISO_8740_25x80_STEEL_FULL_LENGTH_WITH_CHAMFER_PARALLEL_GROOVED_PIN	25.0	80.0	79.25	80.75	2.5	7.5	3.0	h11	St	ISO 8740	1997
ISO 8740 GROOVED PIN 25x85 STEEL FULL LENGTH PARALLEL WITH CHAMFER	ISO_8740_25x85_STEEL_FULL_LENGTH_WITH_CHAMFER_PARALLEL_GROOVED_PIN	25.0	85.0	84.25	85.75	2.5	7.5	3.0	h11	St	ISO 8740	1997
ISO 8740 GROOVED PIN 25x90 STEEL FULL LENGTH PARALLEL WITH CHAMFER	ISO_8740_25x90_STEEL_FULL_LENGTH_WITH_CHAMFER_PARALLEL_GROOVED_PIN	25.0	90.0	89.25	90.75	2.5	7.5	3.0	h11	St	ISO 8740	1997
ISO 8740 GROOVED PIN 25x95 STEEL FULL LENGTH PARALLEL WITH CHAMFER	ISO_8740_25x95_STEEL_FULL_LENGTH_WITH_CHAMFER_PARALLEL_GROOVED_PIN	25.0	95.0	94.25	95.75	2.5	7.5	3.0	h11	St	ISO 8740	1997
ISO 8740 GROOVED PIN 25x100 STEEL FULL LENGTH PARALLEL WITH CHAMFER	ISO_8740_25x100_STEEL_FULL_LENGTH_WITH_CHAMFER_PARALLEL_GROOVED_PIN	25.0	100.0	99.25	100.75	2.5	7.5	3.0	h11	St	ISO 8740	1997
