PartNumber	PartName	d_dia(mm)	a(mm)	l_length_nom(mm)	l_max(mm)	l_min(mm)	r1(mm)	r2(mm)	Material	Reference	Edition
ISO 2339 PIN 4x20 STEEL TAPER UNHARDENED	ISO_2339_4x20_STEEL_UNHARDENED_TAPER_PIN	4.0	0.5	20.0	20.5	19.5	4.0	4.29	St	ISO 2339	1986
ISO 2339 PIN 4x22 STEEL TAPER UNHARDENED	ISO_2339_4x22_STEEL_UNHARDENED_TAPER_PIN	4.0	0.5	22.0	22.5	21.5	4.0	4.298	St	ISO 2339	1986
ISO 2339 PIN 4x24 STEEL TAPER UNHARDENED	ISO_2339_4x24_STEEL_UNHARDENED_TAPER_PIN	4.0	0.5	24.0	24.5	23.5	4.0	4.308	St	ISO 2339	1986
ISO 2339 PIN 4x26 STEEL TAPER UNHARDENED	ISO_2339_4x26_STEEL_UNHARDENED_TAPER_PIN	4.0	0.5	26.0	26.5	25.5	4.0	4.318	St	ISO 2339	1986
ISO 2339 PIN 4x28 STEEL TAPER UNHARDENED	ISO_2339_4x28_STEEL_UNHARDENED_TAPER_PIN	4.0	0.5	28.0	28.5	27.5	4.0	4.328	St	ISO 2339	1986
ISO 2339 PIN 4x30 STEEL TAPER UNHARDENED	ISO_2339_4x30_STEEL_UNHARDENED_TAPER_PIN	4.0	0.5	30.0	30.5	29.5	4.0	4.34	St	ISO 2339	1986
ISO 2339 PIN 4x32 STEEL TAPER UNHARDENED	ISO_2339_4x32_STEEL_UNHARDENED_TAPER_PIN	4.0	0.5	32.0	32.5	31.5	4.0	4.352	St	ISO 2339	1986
ISO 2339 PIN 4x35 STEEL TAPER UNHARDENED	ISO_2339_4x35_STEEL_UNHARDENED_TAPER_PIN	4.0	0.5	35.0	35.5	34.5	4.0	4.373	St	ISO 2339	1986
ISO 2339 PIN 4x40 STEEL TAPER UNHARDENED	ISO_2339_4x40_STEEL_UNHARDENED_TAPER_PIN	4.0	0.5	40.0	40.5	39.5	4.0	4.41	St	ISO 2339	1986
ISO 2339 PIN 4x45 STEEL TAPER UNHARDENED	ISO_2339_4x45_STEEL_UNHARDENED_TAPER_PIN	4.0	0.5	45.0	45.5	44.5	4.0	4.453	St	ISO 2339	1986
