PartNumber	PartName	Designation	d_dia(mm)	P_pitch(mm)	Threading(mm)	l_nom(mm)	b_min(mm)	a_max(mm)	dk_nom(mm)	k_max(mm)	r_max(mm)	x_max(mm)	m_ref(mm)	m_penetration_max(mm)	Recess_width(mm)	type	Series	Material	Reference	Edition
ISO 7046-2 SCREW M3.5x40-H2 STEEL GRADE A COUNTERSUNK FLAT HEAD	ISO_7046-2_M3.5x40-H2_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M3.5	3.5	0.6	36.45	40.0	38.0	1.2	7.3	2.35	0.9	1.5	4.1	2.1	0.7	H	2.0	St	ISO 7046-2	1990
ISO 7046-2 SCREW M3.5x45-H2 STEEL GRADE A COUNTERSUNK FLAT HEAD	ISO_7046-2_M3.5x45-H2_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M3.5	3.5	0.6	41.45	45.0	38.0	1.2	7.3	2.35	0.9	1.5	4.1	2.1	0.7	H	2.0	St	ISO 7046-2	1990
ISO 7046-2 SCREW M4x5-H2 STEEL GRADE A COUNTERSUNK FLAT HEAD	ISO_7046-2_M4x5-H2_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M4	4.0	0.7	0.9	5.0	38.0	1.4	8.4	2.7	1.0	1.75	4.6	2.6	0.7	H	2.0	St	ISO 7046-2	1990
ISO 7046-2 SCREW M4x6-H2 STEEL GRADE A COUNTERSUNK FLAT HEAD	ISO_7046-2_M4x6-H2_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M4	4.0	0.7	1.9	6.0	38.0	1.4	8.4	2.7	1.0	1.75	4.6	2.6	0.7	H	2.0	St	ISO 7046-2	1990
ISO 7046-2 SCREW M4x8-H2 STEEL GRADE A COUNTERSUNK FLAT HEAD	ISO_7046-2_M4x8-H2_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M4	4.0	0.7	3.9	8.0	38.0	1.4	8.4	2.7	1.0	1.75	4.6	2.6	0.7	H	2.0	St	ISO 7046-2	1990
ISO 7046-2 SCREW M4x10-H2 STEEL GRADE A COUNTERSUNK FLAT HEAD	ISO_7046-2_M4x10-H2_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M4	4.0	0.7	5.9	10.0	38.0	1.4	8.4	2.7	1.0	1.75	4.6	2.6	0.7	H	2.0	St	ISO 7046-2	1990
ISO 7046-2 SCREW M4x12-H2 STEEL GRADE A COUNTERSUNK FLAT HEAD	ISO_7046-2_M4x12-H2_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M4	4.0	0.7	7.9	12.0	38.0	1.4	8.4	2.7	1.0	1.75	4.6	2.6	0.7	H	2.0	St	ISO 7046-2	1990
ISO 7046-2 SCREW M4x14-H2 STEEL GRADE A COUNTERSUNK FLAT HEAD	ISO_7046-2_M4x14-H2_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M4	4.0	0.7	9.9	14.0	38.0	1.4	8.4	2.7	1.0	1.75	4.6	2.6	0.7	H	2.0	St	ISO 7046-2	1990
ISO 7046-2 SCREW M4x16-H2 STEEL GRADE A COUNTERSUNK FLAT HEAD	ISO_7046-2_M4x16-H2_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M4	4.0	0.7	11.9	16.0	38.0	1.4	8.4	2.7	1.0	1.75	4.6	2.6	0.7	H	2.0	St	ISO 7046-2	1990
ISO 7046-2 SCREW M4x20-H2 STEEL GRADE A COUNTERSUNK FLAT HEAD	ISO_7046-2_M4x20-H2_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M4	4.0	0.7	15.9	20.0	38.0	1.4	8.4	2.7	1.0	1.75	4.6	2.6	0.7	H	2.0	St	ISO 7046-2	1990
ISO 7046-2 SCREW M4x25-H2 STEEL GRADE A COUNTERSUNK FLAT HEAD	ISO_7046-2_M4x25-H2_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M4	4.0	0.7	20.9	25.0	38.0	1.4	8.4	2.7	1.0	1.75	4.6	2.6	0.7	H	2.0	St	ISO 7046-2	1990
ISO 7046-2 SCREW M4x30-H2 STEEL GRADE A COUNTERSUNK FLAT HEAD	ISO_7046-2_M4x30-H2_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M4	4.0	0.7	25.9	30.0	38.0	1.4	8.4	2.7	1.0	1.75	4.6	2.6	0.7	H	2.0	St	ISO 7046-2	1990
ISO 7046-2 SCREW M4x35-H2 STEEL GRADE A COUNTERSUNK FLAT HEAD	ISO_7046-2_M4x35-H2_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M4	4.0	0.7	30.9	35.0	38.0	1.4	8.4	2.7	1.0	1.75	4.6	2.6	0.7	H	2.0	St	ISO 7046-2	1990
ISO 7046-2 SCREW M4x40-H2 STEEL GRADE A COUNTERSUNK FLAT HEAD	ISO_7046-2_M4x40-H2_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M4	4.0	0.7	35.9	40.0	38.0	1.4	8.4	2.7	1.0	1.75	4.6	2.6	0.7	H	2.0	St	ISO 7046-2	1990
ISO 7046-2 SCREW M4x45-H2 STEEL GRADE A COUNTERSUNK FLAT HEAD	ISO_7046-2_M4x45-H2_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M4	4.0	0.7	40.9	45.0	38.0	1.4	8.4	2.7	1.0	1.75	4.6	2.6	0.7	H	2.0	St	ISO 7046-2	1990
ISO 7046-2 SCREW M5x6-H2 STEEL GRADE A COUNTERSUNK FLAT HEAD	ISO_7046-2_M5x6-H2_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M5	5.0	0.8	1.7	6.0	38.0	1.6	9.3	2.7	1.3	2.0	4.8	2.8	0.7	H	2.0	St	ISO 7046-2	1990
ISO 7046-2 SCREW M5x8-H2 STEEL GRADE A COUNTERSUNK FLAT HEAD	ISO_7046-2_M5x8-H2_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M5	5.0	0.8	3.7	8.0	38.0	1.6	9.3	2.7	1.3	2.0	4.8	2.8	0.7	H	2.0	St	ISO 7046-2	1990
ISO 7046-2 SCREW M5x10-H2 STEEL GRADE A COUNTERSUNK FLAT HEAD	ISO_7046-2_M5x10-H2_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M5	5.0	0.8	5.7	10.0	38.0	1.6	9.3	2.7	1.3	2.0	4.8	2.8	0.7	H	2.0	St	ISO 7046-2	1990
ISO 7046-2 SCREW M5x12-H2 STEEL GRADE A COUNTERSUNK FLAT HEAD	ISO_7046-2_M5x12-H2_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M5	5.0	0.8	7.7	12.0	38.0	1.6	9.3	2.7	1.3	2.0	4.8	2.8	0.7	H	2.0	St	ISO 7046-2	1990
ISO 7046-2 SCREW M5x14-H2 STEEL GRADE A COUNTERSUNK FLAT HEAD	ISO_7046-2_M5x14-H2_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M5	5.0	0.8	9.7	14.0	38.0	1.6	9.3	2.7	1.3	2.0	4.8	2.8	0.7	H	2.0	St	ISO 7046-2	1990
ISO 7046-2 SCREW M5x16-H2 STEEL GRADE A COUNTERSUNK FLAT HEAD	ISO_7046-2_M5x16-H2_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M5	5.0	0.8	11.7	16.0	38.0	1.6	9.3	2.7	1.3	2.0	4.8	2.8	0.7	H	2.0	St	ISO 7046-2	1990
ISO 7046-2 SCREW M5x20-H2 STEEL GRADE A COUNTERSUNK FLAT HEAD	ISO_7046-2_M5x20-H2_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M5	5.0	0.8	15.7	20.0	38.0	1.6	9.3	2.7	1.3	2.0	4.8	2.8	0.7	H	2.0	St	ISO 7046-2	1990
ISO 7046-2 SCREW M5x25-H2 STEEL GRADE A COUNTERSUNK FLAT HEAD	ISO_7046-2_M5x25-H2_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M5	5.0	0.8	20.7	25.0	38.0	1.6	9.3	2.7	1.3	2.0	4.8	2.8	0.7	H	2.0	St	ISO 7046-2	1990
ISO 7046-2 SCREW M5x30-H2 STEEL GRADE A COUNTERSUNK FLAT HEAD	ISO_7046-2_M5x30-H2_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M5	5.0	0.8	25.7	30.0	38.0	1.6	9.3	2.7	1.3	2.0	4.8	2.8	0.7	H	2.0	St	ISO 7046-2	1990
ISO 7046-2 SCREW M5x35-H2 STEEL GRADE A COUNTERSUNK FLAT HEAD	ISO_7046-2_M5x35-H2_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M5	5.0	0.8	30.7	35.0	38.0	1.6	9.3	2.7	1.3	2.0	4.8	2.8	0.7	H	2.0	St	ISO 7046-2	1990
