PartNumber	PartName	Designation	d_dia(mm)	p_pitch(mm)	threading(mm)	l_nom_length(mm)	d1_dia_point(mm)	Y_Cone_Angle	e_across_points(mm)	s_across_flat(mm)	t_depth_socket(mm)	Material	Reference	Edition
ISO 4027 SCREW M6x25 GRADE A STEEL HEX SOCKET SET WITH CONE POINT	ISO_4027_M6x25_GRADE_A_STEEL_HEX_SOCKET_WITH_CONE_POINT_SET_SCREW	M6	6.0	1.0	24.688	25.0	1.5	90	3.443	3.0	3.5	St	IS0 4027	2003
ISO 4027 SCREW M6x30 GRADE A STEEL HEX SOCKET SET WITH CONE POINT	ISO_4027_M6x30_GRADE_A_STEEL_HEX_SOCKET_WITH_CONE_POINT_SET_SCREW	M6	6.0	1.0	29.688	30.0	1.5	90	3.443	3.0	3.5	St	IS0 4027	2003
ISO 4027 SCREW M8x8 GRADE A STEEL HEX SOCKET SET WITH CONE POINT	ISO_4027_M8x8_GRADE_A_STEEL_HEX_SOCKET_WITH_CONE_POINT_SET_SCREW	M8	8.0	1.25	7.609	8.0	2.0	120	4.583	4.0	3.0	St	IS0 4027	2003
ISO 4027 SCREW M8x10 GRADE A STEEL HEX SOCKET SET WITH CONE POINT	ISO_4027_M8x10_GRADE_A_STEEL_HEX_SOCKET_WITH_CONE_POINT_SET_SCREW	M8	8.0	1.25	9.609	10.0	2.0	90	4.583	4.0	5.0	St	IS0 4027	2003
ISO 4027 SCREW M8x12 GRADE A STEEL HEX SOCKET SET WITH CONE POINT	ISO_4027_M8x12_GRADE_A_STEEL_HEX_SOCKET_WITH_CONE_POINT_SET_SCREW	M8	8.0	1.25	11.609	12.0	2.0	90	4.583	4.0	5.0	St	IS0 4027	2003
ISO 4027 SCREW M8x16 GRADE A STEEL HEX SOCKET SET WITH CONE POINT	ISO_4027_M8x16_GRADE_A_STEEL_HEX_SOCKET_WITH_CONE_POINT_SET_SCREW	M8	8.0	1.25	15.609	16.0	2.0	90	4.583	4.0	5.0	St	IS0 4027	2003
ISO 4027 SCREW M8x20 GRADE A STEEL HEX SOCKET SET WITH CONE POINT	ISO_4027_M8x20_GRADE_A_STEEL_HEX_SOCKET_WITH_CONE_POINT_SET_SCREW	M8	8.0	1.25	19.609	20.0	2.0	90	4.583	4.0	5.0	St	IS0 4027	2003
ISO 4027 SCREW M8x25 GRADE A STEEL HEX SOCKET SET WITH CONE POINT	ISO_4027_M8x25_GRADE_A_STEEL_HEX_SOCKET_WITH_CONE_POINT_SET_SCREW	M8	8.0	1.25	24.609	25.0	2.0	90	4.583	4.0	5.0	St	IS0 4027	2003
ISO 4027 SCREW M8x30 GRADE A STEEL HEX SOCKET SET WITH CONE POINT	ISO_4027_M8x30_GRADE_A_STEEL_HEX_SOCKET_WITH_CONE_POINT_SET_SCREW	M8	8.0	1.25	29.609	30.0	2.0	90	4.583	4.0	5.0	St	IS0 4027	2003
ISO 4027 SCREW M8x35 GRADE A STEEL HEX SOCKET SET WITH CONE POINT	ISO_4027_M8x35_GRADE_A_STEEL_HEX_SOCKET_WITH_CONE_POINT_SET_SCREW	M8	8.0	1.25	34.609	35.0	2.0	90	4.583	4.0	5.0	St	IS0 4027	2003
ISO 4027 SCREW M8x40 GRADE A STEEL HEX SOCKET SET WITH CONE POINT	ISO_4027_M8x40_GRADE_A_STEEL_HEX_SOCKET_WITH_CONE_POINT_SET_SCREW	M8	8.0	1.25	39.609	40.0	2.0	90	4.583	4.0	5.0	St	IS0 4027	2003
ISO 4027 SCREW M10x10 GRADE A STEEL HEX SOCKET SET WITH CONE POINT	ISO_4027_M10x10_GRADE_A_STEEL_HEX_SOCKET_WITH_CONE_POINT_SET_SCREW	M10	10.0	1.5	9.531	10.0	2.5	120	5.723	5.0	4.0	St	IS0 4027	2003
ISO 4027 SCREW M10x12 GRADE A STEEL HEX SOCKET SET WITH CONE POINT	ISO_4027_M10x12_GRADE_A_STEEL_HEX_SOCKET_WITH_CONE_POINT_SET_SCREW	M10	10.0	1.5	11.531	12.0	2.5	90	5.723	5.0	6.0	St	IS0 4027	2003
ISO 4027 SCREW M10x16 GRADE A STEEL HEX SOCKET SET WITH CONE POINT	ISO_4027_M10x16_GRADE_A_STEEL_HEX_SOCKET_WITH_CONE_POINT_SET_SCREW	M10	10.0	1.5	15.531	16.0	2.5	90	5.723	5.0	6.0	St	IS0 4027	2003
ISO 4027 SCREW M10x20 GRADE A STEEL HEX SOCKET SET WITH CONE POINT	ISO_4027_M10x20_GRADE_A_STEEL_HEX_SOCKET_WITH_CONE_POINT_SET_SCREW	M10	10.0	1.5	19.531	20.0	2.5	90	5.723	5.0	6.0	St	IS0 4027	2003
ISO 4027 SCREW M10x25 GRADE A STEEL HEX SOCKET SET WITH CONE POINT	ISO_4027_M10x25_GRADE_A_STEEL_HEX_SOCKET_WITH_CONE_POINT_SET_SCREW	M10	10.0	1.5	24.531	25.0	2.5	90	5.723	5.0	6.0	St	IS0 4027	2003
ISO 4027 SCREW M10x30 GRADE A STEEL HEX SOCKET SET WITH CONE POINT	ISO_4027_M10x30_GRADE_A_STEEL_HEX_SOCKET_WITH_CONE_POINT_SET_SCREW	M10	10.0	1.5	29.531	30.0	2.5	90	5.723	5.0	6.0	St	IS0 4027	2003
ISO 4027 SCREW M10x35 GRADE A STEEL HEX SOCKET SET WITH CONE POINT	ISO_4027_M10x35_GRADE_A_STEEL_HEX_SOCKET_WITH_CONE_POINT_SET_SCREW	M10	10.0	1.5	34.531	35.0	2.5	90	5.723	5.0	6.0	St	IS0 4027	2003
ISO 4027 SCREW M10x40 GRADE A STEEL HEX SOCKET SET WITH CONE POINT	ISO_4027_M10x40_GRADE_A_STEEL_HEX_SOCKET_WITH_CONE_POINT_SET_SCREW	M10	10.0	1.5	39.531	40.0	2.5	90	5.723	5.0	6.0	St	IS0 4027	2003
ISO 4027 SCREW M10x45 GRADE A STEEL HEX SOCKET SET WITH CONE POINT	ISO_4027_M10x45_GRADE_A_STEEL_HEX_SOCKET_WITH_CONE_POINT_SET_SCREW	M10	10.0	1.5	44.531	45.0	2.5	90	5.723	5.0	6.0	St	IS0 4027	2003
ISO 4027 SCREW M10x50 GRADE A STEEL HEX SOCKET SET WITH CONE POINT	ISO_4027_M10x50_GRADE_A_STEEL_HEX_SOCKET_WITH_CONE_POINT_SET_SCREW	M10	10.0	1.5	49.531	50.0	2.5	90	5.723	5.0	6.0	St	IS0 4027	2003
ISO 4027 SCREW M12x12 GRADE A STEEL HEX SOCKET SET WITH CONE POINT	ISO_4027_M12x12_GRADE_A_STEEL_HEX_SOCKET_WITH_CONE_POINT_SET_SCREW	M12	12.0	1.75	11.453	12.0	3.0	120	6.863	6.0	4.8	St	IS0 4027	2003
ISO 4027 SCREW M12x16 GRADE A STEEL HEX SOCKET SET WITH CONE POINT	ISO_4027_M12x16_GRADE_A_STEEL_HEX_SOCKET_WITH_CONE_POINT_SET_SCREW	M12	12.0	1.75	15.453	16.0	3.0	90	6.863	6.0	8.0	St	IS0 4027	2003
ISO 4027 SCREW M12x20 GRADE A STEEL HEX SOCKET SET WITH CONE POINT	ISO_4027_M12x20_GRADE_A_STEEL_HEX_SOCKET_WITH_CONE_POINT_SET_SCREW	M12	12.0	1.75	19.453	20.0	3.0	90	6.863	6.0	8.0	St	IS0 4027	2003
ISO 4027 SCREW M12x25 GRADE A STEEL HEX SOCKET SET WITH CONE POINT	ISO_4027_M12x25_GRADE_A_STEEL_HEX_SOCKET_WITH_CONE_POINT_SET_SCREW	M12	12.0	1.75	24.453	25.0	3.0	90	6.863	6.0	8.0	St	IS0 4027	2003
ISO 4027 SCREW M12x30 GRADE A STEEL HEX SOCKET SET WITH CONE POINT	ISO_4027_M12x30_GRADE_A_STEEL_HEX_SOCKET_WITH_CONE_POINT_SET_SCREW	M12	12.0	1.75	29.453	30.0	3.0	90	6.863	6.0	8.0	St	IS0 4027	2003
ISO 4027 SCREW M12x35 GRADE A STEEL HEX SOCKET SET WITH CONE POINT	ISO_4027_M12x35_GRADE_A_STEEL_HEX_SOCKET_WITH_CONE_POINT_SET_SCREW	M12	12.0	1.75	34.453	35.0	3.0	90	6.863	6.0	8.0	St	IS0 4027	2003
ISO 4027 SCREW M12x40 GRADE A STEEL HEX SOCKET SET WITH CONE POINT	ISO_4027_M12x40_GRADE_A_STEEL_HEX_SOCKET_WITH_CONE_POINT_SET_SCREW	M12	12.0	1.75	39.453	40.0	3.0	90	6.863	6.0	8.0	St	IS0 4027	2003
ISO 4027 SCREW M12x45 GRADE A STEEL HEX SOCKET SET WITH CONE POINT	ISO_4027_M12x45_GRADE_A_STEEL_HEX_SOCKET_WITH_CONE_POINT_SET_SCREW	M12	12.0	1.75	44.453	45.0	3.0	90	6.863	6.0	8.0	St	IS0 4027	2003
ISO 4027 SCREW M12x50 GRADE A STEEL HEX SOCKET SET WITH CONE POINT	ISO_4027_M12x50_GRADE_A_STEEL_HEX_SOCKET_WITH_CONE_POINT_SET_SCREW	M12	12.0	1.75	49.453	50.0	3.0	90	6.863	6.0	8.0	St	IS0 4027	2003
ISO 4027 SCREW M12x55 GRADE A STEEL HEX SOCKET SET WITH CONE POINT	ISO_4027_M12x55_GRADE_A_STEEL_HEX_SOCKET_WITH_CONE_POINT_SET_SCREW	M12	12.0	1.75	54.453	55.0	3.0	90	6.863	6.0	8.0	St	IS0 4027	2003
ISO 4027 SCREW M12x60 GRADE A STEEL HEX SOCKET SET WITH CONE POINT	ISO_4027_M12x60_GRADE_A_STEEL_HEX_SOCKET_WITH_CONE_POINT_SET_SCREW	M12	12.0	1.75	59.453	60.0	3.0	90	6.863	6.0	8.0	St	IS0 4027	2003
ISO 4027 SCREW M16x16 GRADE A STEEL HEX SOCKET SET WITH CONE POINT	ISO_4027_M16x16_GRADE_A_STEEL_HEX_SOCKET_WITH_CONE_POINT_SET_SCREW	M16	16.0	2.0	15.375	16.0	4.0	120	9.149	8.0	6.4	St	IS0 4027	2003
ISO 4027 SCREW M16x20 GRADE A STEEL HEX SOCKET SET WITH CONE POINT	ISO_4027_M16x20_GRADE_A_STEEL_HEX_SOCKET_WITH_CONE_POINT_SET_SCREW	M16	16.0	2.0	19.375	20.0	4.0	90	9.149	8.0	10.0	St	IS0 4027	2003
ISO 4027 SCREW M16x25 GRADE A STEEL HEX SOCKET SET WITH CONE POINT	ISO_4027_M16x25_GRADE_A_STEEL_HEX_SOCKET_WITH_CONE_POINT_SET_SCREW	M16	16.0	2.0	24.375	25.0	4.0	90	9.149	8.0	10.0	St	IS0 4027	2003
ISO 4027 SCREW M16x30 GRADE A STEEL HEX SOCKET SET WITH CONE POINT	ISO_4027_M16x30_GRADE_A_STEEL_HEX_SOCKET_WITH_CONE_POINT_SET_SCREW	M16	16.0	2.0	29.375	30.0	4.0	90	9.149	8.0	10.0	St	IS0 4027	2003
ISO 4027 SCREW M16x35 GRADE A STEEL HEX SOCKET SET WITH CONE POINT	ISO_4027_M16x35_GRADE_A_STEEL_HEX_SOCKET_WITH_CONE_POINT_SET_SCREW	M16	16.0	2.0	34.375	35.0	4.0	90	9.149	8.0	10.0	St	IS0 4027	2003
