PartNumber	PartName	Designation	d_dia(mm)	P_pitch(mm)	threading(mm)	l_length(mm)	l_length_max(mm)	a_max(mm)	c_max(mm)	c_min(mm)	da_max(mm)	dw_min(mm)	e_min(mm)	k_max_head_depth(mm)	kw_head_edge_length(mm)	r_min(mm)	s_nom_across_flats(mm)	Grade	Material	Reference	Edition
ISO 4017 SCREW M18x180 STEEL GRADE B HEXAGON HEAD NONPREFERRED	ISO_4017_M18x180_STEEL_GRADE_B_HEXAGON_HEAD_NONPREFERRED_SCREW	M18	18.0	2.5	172.5	180.0	182.0	7.5	0.8	0.2	20.2	24.85	29.56	11.85	7.81	0.6	27.0	B	St	ISO 4017	1999
ISO 4017 SCREW M18x200 STEEL GRADE B HEXAGON HEAD NONPREFERRED	ISO_4017_M18x200_STEEL_GRADE_B_HEXAGON_HEAD_NONPREFERRED_SCREW	M18	18.0	2.5	192.5	200.0	202.3	7.5	0.8	0.2	20.2	24.85	29.56	11.85	7.81	0.6	27.0	B	St	ISO 4017	1999
ISO 4017 SCREW M22x45 STEEL GRADE A HEXAGON HEAD NONPREFERRED	ISO_4017_M22x45_STEEL_GRADE_A_HEXAGON_HEAD_NONPREFERRED_SCREW	M22	22.0	2.5	37.5	45.0	45.5	7.5	0.8	0.2	24.4	31.71	37.72	14.215	9.65	0.8	34.0	A	St	ISO 4017	1999
ISO 4017 SCREW M22x50 STEEL GRADE A HEXAGON HEAD NONPREFERRED	ISO_4017_M22x50_STEEL_GRADE_A_HEXAGON_HEAD_NONPREFERRED_SCREW	M22	22.0	2.5	42.5	50.0	50.5	7.5	0.8	0.2	24.4	31.71	37.72	14.215	9.65	0.8	34.0	A	St	ISO 4017	1999
ISO 4017 SCREW M22x55 STEEL GRADE A HEXAGON HEAD NONPREFERRED	ISO_4017_M22x55_STEEL_GRADE_A_HEXAGON_HEAD_NONPREFERRED_SCREW	M22	22.0	2.5	47.5	55.0	55.6	7.5	0.8	0.2	24.4	31.71	37.72	14.215	9.65	0.8	34.0	A	St	ISO 4017	1999
ISO 4017 SCREW M22x60 STEEL GRADE A HEXAGON HEAD NONPREFERRED	ISO_4017_M22x60_STEEL_GRADE_A_HEXAGON_HEAD_NONPREFERRED_SCREW	M22	22.0	2.5	52.5	60.0	60.6	7.5	0.8	0.2	24.4	31.71	37.72	14.215	9.65	0.8	34.0	A	St	ISO 4017	1999
ISO 4017 SCREW M22x65 STEEL GRADE A HEXAGON HEAD NONPREFERRED	ISO_4017_M22x65_STEEL_GRADE_A_HEXAGON_HEAD_NONPREFERRED_SCREW	M22	22.0	2.5	57.5	65.0	65.6	7.5	0.8	0.2	24.4	31.71	37.72	14.215	9.65	0.8	34.0	A	St	ISO 4017	1999
ISO 4017 SCREW M22x70 STEEL GRADE A HEXAGON HEAD NONPREFERRED	ISO_4017_M22x70_STEEL_GRADE_A_HEXAGON_HEAD_NONPREFERRED_SCREW	M22	22.0	2.5	62.5	70.0	70.6	7.5	0.8	0.2	24.4	31.71	37.72	14.215	9.65	0.8	34.0	A	St	ISO 4017	1999
ISO 4017 SCREW M22x80 STEEL GRADE A HEXAGON HEAD NONPREFERRED	ISO_4017_M22x80_STEEL_GRADE_A_HEXAGON_HEAD_NONPREFERRED_SCREW	M22	22.0	2.5	72.5	80.0	80.6	7.5	0.8	0.2	24.4	31.71	37.72	14.215	9.65	0.8	34.0	A	St	ISO 4017	1999
ISO 4017 SCREW M22x90 STEEL GRADE A HEXAGON HEAD NONPREFERRED	ISO_4017_M22x90_STEEL_GRADE_A_HEXAGON_HEAD_NONPREFERRED_SCREW	M22	22.0	2.5	82.5	90.0	90.7	7.5	0.8	0.2	24.4	31.71	37.72	14.215	9.65	0.8	34.0	A	St	ISO 4017	1999
ISO 4017 SCREW M22x100 STEEL GRADE A HEXAGON HEAD NONPREFERRED	ISO_4017_M22x100_STEEL_GRADE_A_HEXAGON_HEAD_NONPREFERRED_SCREW	M22	22.0	2.5	92.5	100.0	100.7	7.5	0.8	0.2	24.4	31.71	37.72	14.215	9.65	0.8	34.0	A	St	ISO 4017	1999
ISO 4017 SCREW M22x110 STEEL GRADE A HEXAGON HEAD NONPREFERRED	ISO_4017_M22x110_STEEL_GRADE_A_HEXAGON_HEAD_NONPREFERRED_SCREW	M22	22.0	2.5	102.5	110.0	110.7	7.5	0.8	0.2	24.4	31.71	37.72	14.215	9.65	0.8	34.0	A	St	ISO 4017	1999
ISO 4017 SCREW M22x120 STEEL GRADE A HEXAGON HEAD NONPREFERRED	ISO_4017_M22x120_STEEL_GRADE_A_HEXAGON_HEAD_NONPREFERRED_SCREW	M22	22.0	2.5	112.5	120.0	120.7	7.5	0.8	0.2	24.4	31.71	37.72	14.215	9.65	0.8	34.0	A	St	ISO 4017	1999
ISO 4017 SCREW M22x130 STEEL GRADE A HEXAGON HEAD NONPREFERRED	ISO_4017_M22x130_STEEL_GRADE_A_HEXAGON_HEAD_NONPREFERRED_SCREW	M22	22.0	2.5	122.5	130.0	130.8	7.5	0.8	0.2	24.4	31.71	37.72	14.215	9.65	0.8	34.0	A	St	ISO 4017	1999
ISO 4017 SCREW M22x140 STEEL GRADE A HEXAGON HEAD NONPREFERRED	ISO_4017_M22x140_STEEL_GRADE_A_HEXAGON_HEAD_NONPREFERRED_SCREW	M22	22.0	2.5	132.5	140.0	140.8	7.5	0.8	0.2	24.4	31.71	37.72	14.215	9.65	0.8	34.0	A	St	ISO 4017	1999
ISO 4017 SCREW M22x150 STEEL GRADE A HEXAGON HEAD NONPREFERRED	ISO_4017_M22x150_STEEL_GRADE_A_HEXAGON_HEAD_NONPREFERRED_SCREW	M22	22.0	2.5	142.5	150.0	150.8	7.5	0.8	0.2	24.4	31.71	37.72	14.215	9.65	0.8	34.0	A	St	ISO 4017	1999
ISO 4017 SCREW M22x160 STEEL GRADE B HEXAGON HEAD NONPREFERRED	ISO_4017_M22x160_STEEL_GRADE_B_HEXAGON_HEAD_NONPREFERRED_SCREW	M22	22.0	2.5	152.5	160.0	162.0	7.5	0.8	0.2	24.4	31.35	37.29	14.35	9.56	0.8	34.0	B	St	ISO 4017	1999
ISO 4017 SCREW M22x180 STEEL GRADE B HEXAGON HEAD NONPREFERRED	ISO_4017_M22x180_STEEL_GRADE_B_HEXAGON_HEAD_NONPREFERRED_SCREW	M22	22.0	2.5	172.5	180.0	182.0	7.5	0.8	0.2	24.4	31.35	37.29	14.35	9.56	0.8	34.0	B	St	ISO 4017	1999
ISO 4017 SCREW M22x200 STEEL GRADE B HEXAGON HEAD NONPREFERRED	ISO_4017_M22x200_STEEL_GRADE_B_HEXAGON_HEAD_NONPREFERRED_SCREW	M22	22.0	2.5	192.5	200.0	202.3	7.5	0.8	0.2	24.4	31.35	37.29	14.35	9.56	0.8	34.0	B	St	ISO 4017	1999
