PartNumber	PartName	Designation	d_dia(mm)	p_pitch(mm)	threading(mm)	l_nom_length(mm)	dp_dia_point(mm)	e_across_points(mm)	s_across_flat(mm)	t_depth_socket(mm)	z_dog_point_len_max(mm)	type	Material	Reference	Edition
ISO 4028 SCREW M10x16 GR A STEEL HEX SOCKET SET WITH LONG DOG POINT	ISO_4028_M10x16_GR_A_STEEL_HEX_SOCKET_WITH_LONG_DOG_POINT_SET_SCREW	M10	10.0	1.5	15.531	16.0	7.0	5.723	5.0	6.0	5.3	LONG	St	IS0 4028	2003
ISO 4028 SCREW M10x20 GR A STEEL HEX SOCKET SET WITH LONG DOG POINT	ISO_4028_M10x20_GR_A_STEEL_HEX_SOCKET_WITH_LONG_DOG_POINT_SET_SCREW	M10	10.0	1.5	19.531	20.0	7.0	5.723	5.0	6.0	5.3	LONG	St	IS0 4028	2003
ISO 4028 SCREW M10x25 GR A STEEL HEX SOCKET SET WITH LONG DOG POINT	ISO_4028_M10x25_GR_A_STEEL_HEX_SOCKET_WITH_LONG_DOG_POINT_SET_SCREW	M10	10.0	1.5	24.531	25.0	7.0	5.723	5.0	6.0	5.3	LONG	St	IS0 4028	2003
ISO 4028 SCREW M10x30 GR A STEEL HEX SOCKET SET WITH LONG DOG POINT	ISO_4028_M10x30_GR_A_STEEL_HEX_SOCKET_WITH_LONG_DOG_POINT_SET_SCREW	M10	10.0	1.5	29.531	30.0	7.0	5.723	5.0	6.0	5.3	LONG	St	IS0 4028	2003
ISO 4028 SCREW M10x35 GR A STEEL HEX SOCKET SET WITH LONG DOG POINT	ISO_4028_M10x35_GR_A_STEEL_HEX_SOCKET_WITH_LONG_DOG_POINT_SET_SCREW	M10	10.0	1.5	34.531	35.0	7.0	5.723	5.0	6.0	5.3	LONG	St	IS0 4028	2003
ISO 4028 SCREW M10x40 GR A STEEL HEX SOCKET SET WITH LONG DOG POINT	ISO_4028_M10x40_GR_A_STEEL_HEX_SOCKET_WITH_LONG_DOG_POINT_SET_SCREW	M10	10.0	1.5	39.531	40.0	7.0	5.723	5.0	6.0	5.3	LONG	St	IS0 4028	2003
ISO 4028 SCREW M10x45 GR A STEEL HEX SOCKET SET WITH LONG DOG POINT	ISO_4028_M10x45_GR_A_STEEL_HEX_SOCKET_WITH_LONG_DOG_POINT_SET_SCREW	M10	10.0	1.5	44.531	45.0	7.0	5.723	5.0	6.0	5.3	LONG	St	IS0 4028	2003
ISO 4028 SCREW M10x50 GR A STEEL HEX SOCKET SET WITH LONG DOG POINT	ISO_4028_M10x50_GR_A_STEEL_HEX_SOCKET_WITH_LONG_DOG_POINT_SET_SCREW	M10	10.0	1.5	49.531	50.0	7.0	5.723	5.0	6.0	5.3	LONG	St	IS0 4028	2003
ISO 4028 SCREW M12x12 GR A STEEL HEX SOCKET SET WITH SHORT DOG POINT	ISO_4028_M12x12_GR_A_STEEL_HEX_SOCKET_WITH_SHORT_DOG_POINT_SET_SCREW	M12	12.0	1.75	11.453	12.0	8.5	6.863	6.0	4.8	3.25	SHORT	St	IS0 4028	2003
ISO 4028 SCREW M12x16 GR A STEEL HEX SOCKET SET WITH SHORT DOG POINT	ISO_4028_M12x16_GR_A_STEEL_HEX_SOCKET_WITH_SHORT_DOG_POINT_SET_SCREW	M12	12.0	1.75	15.453	16.0	8.5	6.863	6.0	4.8	3.25	SHORT	St	IS0 4028	2003
ISO 4028 SCREW M12x20 GR A STEEL HEX SOCKET SET WITH LONG DOG POINT	ISO_4028_M12x20_GR_A_STEEL_HEX_SOCKET_WITH_LONG_DOG_POINT_SET_SCREW	M12	12.0	1.75	19.453	20.0	8.5	6.863	6.0	8.0	6.3	LONG	St	IS0 4028	2003
ISO 4028 SCREW M12x25 GR A STEEL HEX SOCKET SET WITH LONG DOG POINT	ISO_4028_M12x25_GR_A_STEEL_HEX_SOCKET_WITH_LONG_DOG_POINT_SET_SCREW	M12	12.0	1.75	24.453	25.0	8.5	6.863	6.0	8.0	6.3	LONG	St	IS0 4028	2003
ISO 4028 SCREW M12x30 GR A STEEL HEX SOCKET SET WITH LONG DOG POINT	ISO_4028_M12x30_GR_A_STEEL_HEX_SOCKET_WITH_LONG_DOG_POINT_SET_SCREW	M12	12.0	1.75	29.453	30.0	8.5	6.863	6.0	8.0	6.3	LONG	St	IS0 4028	2003
ISO 4028 SCREW M12x35 GR A STEEL HEX SOCKET SET WITH LONG DOG POINT	ISO_4028_M12x35_GR_A_STEEL_HEX_SOCKET_WITH_LONG_DOG_POINT_SET_SCREW	M12	12.0	1.75	34.453	35.0	8.5	6.863	6.0	8.0	6.3	LONG	St	IS0 4028	2003
ISO 4028 SCREW M12x40 GR A STEEL HEX SOCKET SET WITH LONG DOG POINT	ISO_4028_M12x40_GR_A_STEEL_HEX_SOCKET_WITH_LONG_DOG_POINT_SET_SCREW	M12	12.0	1.75	39.453	40.0	8.5	6.863	6.0	8.0	6.3	LONG	St	IS0 4028	2003
ISO 4028 SCREW M12x45 GR A STEEL HEX SOCKET SET WITH LONG DOG POINT	ISO_4028_M12x45_GR_A_STEEL_HEX_SOCKET_WITH_LONG_DOG_POINT_SET_SCREW	M12	12.0	1.75	44.453	45.0	8.5	6.863	6.0	8.0	6.3	LONG	St	IS0 4028	2003
ISO 4028 SCREW M12x50 GR A STEEL HEX SOCKET SET WITH LONG DOG POINT	ISO_4028_M12x50_GR_A_STEEL_HEX_SOCKET_WITH_LONG_DOG_POINT_SET_SCREW	M12	12.0	1.75	49.453	50.0	8.5	6.863	6.0	8.0	6.3	LONG	St	IS0 4028	2003
ISO 4028 SCREW M12x55 GR A STEEL HEX SOCKET SET WITH LONG DOG POINT	ISO_4028_M12x55_GR_A_STEEL_HEX_SOCKET_WITH_LONG_DOG_POINT_SET_SCREW	M12	12.0	1.75	54.453	55.0	8.5	6.863	6.0	8.0	6.3	LONG	St	IS0 4028	2003
ISO 4028 SCREW M12x60 GR A STEEL HEX SOCKET SET WITH LONG DOG POINT	ISO_4028_M12x60_GR_A_STEEL_HEX_SOCKET_WITH_LONG_DOG_POINT_SET_SCREW	M12	12.0	1.75	59.453	60.0	8.5	6.863	6.0	8.0	6.3	LONG	St	IS0 4028	2003
ISO 4028 SCREW M16x16 GR A STEEL HEX SOCKET SET WITH SHORT DOG POINT	ISO_4028_M16x16_GR_A_STEEL_HEX_SOCKET_WITH_SHORT_DOG_POINT_SET_SCREW	M16	16.0	2.0	15.375	16.0	12.0	9.149	8.0	6.4	4.3	SHORT	St	IS0 4028	2003
ISO 4028 SCREW M16x20 GR A STEEL HEX SOCKET SET WITH SHORT DOG POINT	ISO_4028_M16x20_GR_A_STEEL_HEX_SOCKET_WITH_SHORT_DOG_POINT_SET_SCREW	M16	16.0	2.0	19.375	20.0	12.0	9.149	8.0	6.4	4.3	SHORT	St	IS0 4028	2003
ISO 4028 SCREW M16x25 GR A STEEL HEX SOCKET SET WITH LONG DOG POINT	ISO_4028_M16x25_GR_A_STEEL_HEX_SOCKET_WITH_LONG_DOG_POINT_SET_SCREW	M16	16.0	2.0	24.375	25.0	12.0	9.149	8.0	10.0	8.36	LONG	St	IS0 4028	2003
ISO 4028 SCREW M16x30 GR A STEEL HEX SOCKET SET WITH LONG DOG POINT	ISO_4028_M16x30_GR_A_STEEL_HEX_SOCKET_WITH_LONG_DOG_POINT_SET_SCREW	M16	16.0	2.0	29.375	30.0	12.0	9.149	8.0	10.0	8.36	LONG	St	IS0 4028	2003
ISO 4028 SCREW M16x35 GR A STEEL HEX SOCKET SET WITH LONG DOG POINT	ISO_4028_M16x35_GR_A_STEEL_HEX_SOCKET_WITH_LONG_DOG_POINT_SET_SCREW	M16	16.0	2.0	34.375	35.0	12.0	9.149	8.0	10.0	8.36	LONG	St	IS0 4028	2003
ISO 4028 SCREW M16x40 GR A STEEL HEX SOCKET SET WITH LONG DOG POINT	ISO_4028_M16x40_GR_A_STEEL_HEX_SOCKET_WITH_LONG_DOG_POINT_SET_SCREW	M16	16.0	2.0	39.375	40.0	12.0	9.149	8.0	10.0	8.36	LONG	St	IS0 4028	2003
