PartNumber	PartName	d1_pin_nom_dia(mm)	l_pin_length_nom(mm)	l_pin_length_min(mm)	l_pin_length_max(mm)	d1_pin_max(mm)	d1_pin_min(mm)	d2_pin_id(mm)	a_cham_max(mm)	a_cham_min(mm)	s_wall_th(mm)	Material	Reference	Edition
ISO 8752 SPRING PIN 8x100 STEEL SLOTTED HEAVY DUTY	ISO_8752_8x100_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	8.0	100.0	99.25	100.75	8.8	8.5	5.5	2.0	1.6	1.5	St	ISO 8752	1997
ISO 8752 SPRING PIN 8x120 STEEL SLOTTED HEAVY DUTY	ISO_8752_8x120_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	8.0	120.0	119.25	120.75	8.8	8.5	5.5	2.0	1.6	1.5	St	ISO 8752	1997
ISO 8752 SPRING PIN 10x10 STEEL SLOTTED HEAVY DUTY	ISO_8752_10x10_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	10.0	10.0	9.75	10.25	10.8	10.5	6.5	2.4	2.0	2.0	St	ISO 8752	1997
ISO 8752 SPRING PIN 10x12 STEEL SLOTTED HEAVY DUTY	ISO_8752_10x12_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	10.0	12.0	11.5	12.5	10.8	10.5	6.5	2.4	2.0	2.0	St	ISO 8752	1997
ISO 8752 SPRING PIN 10x14 STEEL SLOTTED HEAVY DUTY	ISO_8752_10x14_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	10.0	14.0	13.5	14.5	10.8	10.5	6.5	2.4	2.0	2.0	St	ISO 8752	1997
ISO 8752 SPRING PIN 10x16 STEEL SLOTTED HEAVY DUTY	ISO_8752_10x16_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	10.0	16.0	15.5	16.5	10.8	10.5	6.5	2.4	2.0	2.0	St	ISO 8752	1997
ISO 8752 SPRING PIN 10x18 STEEL SLOTTED HEAVY DUTY	ISO_8752_10x18_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	10.0	18.0	17.5	18.5	10.8	10.5	6.5	2.4	2.0	2.0	St	ISO 8752	1997
ISO 8752 SPRING PIN 10x20 STEEL SLOTTED HEAVY DUTY	ISO_8752_10x20_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	10.0	20.0	19.5	20.5	10.8	10.5	6.5	2.4	2.0	2.0	St	ISO 8752	1997
ISO 8752 SPRING PIN 10x22 STEEL SLOTTED HEAVY DUTY	ISO_8752_10x22_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	10.0	22.0	21.5	22.5	10.8	10.5	6.5	2.4	2.0	2.0	St	ISO 8752	1997
ISO 8752 SPRING PIN 10x24 STEEL SLOTTED HEAVY DUTY	ISO_8752_10x24_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	10.0	24.0	23.5	24.5	10.8	10.5	6.5	2.4	2.0	2.0	St	ISO 8752	1997
ISO 8752 SPRING PIN 10x26 STEEL SLOTTED HEAVY DUTY	ISO_8752_10x26_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	10.0	26.0	25.5	26.5	10.8	10.5	6.5	2.4	2.0	2.0	St	ISO 8752	1997
ISO 8752 SPRING PIN 10x28 STEEL SLOTTED HEAVY DUTY	ISO_8752_10x28_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	10.0	28.0	27.5	28.5	10.8	10.5	6.5	2.4	2.0	2.0	St	ISO 8752	1997
ISO 8752 SPRING PIN 10x30 STEEL SLOTTED HEAVY DUTY	ISO_8752_10x30_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	10.0	30.0	29.5	30.5	10.8	10.5	6.5	2.4	2.0	2.0	St	ISO 8752	1997
ISO 8752 SPRING PIN 10x32 STEEL SLOTTED HEAVY DUTY	ISO_8752_10x32_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	10.0	32.0	31.5	32.5	10.8	10.5	6.5	2.4	2.0	2.0	St	ISO 8752	1997
ISO 8752 SPRING PIN 10x35 STEEL SLOTTED HEAVY DUTY	ISO_8752_10x35_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	10.0	35.0	34.5	35.5	10.8	10.5	6.5	2.4	2.0	2.0	St	ISO 8752	1997
ISO 8752 SPRING PIN 10x40 STEEL SLOTTED HEAVY DUTY	ISO_8752_10x40_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	10.0	40.0	39.5	40.5	10.8	10.5	6.5	2.4	2.0	2.0	St	ISO 8752	1997
ISO 8752 SPRING PIN 10x45 STEEL SLOTTED HEAVY DUTY	ISO_8752_10x45_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	10.0	45.0	44.5	45.5	10.8	10.5	6.5	2.4	2.0	2.0	St	ISO 8752	1997
ISO 8752 SPRING PIN 10x50 STEEL SLOTTED HEAVY DUTY	ISO_8752_10x50_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	10.0	50.0	49.5	50.5	10.8	10.5	6.5	2.4	2.0	2.0	St	ISO 8752	1997
ISO 8752 SPRING PIN 10x55 STEEL SLOTTED HEAVY DUTY	ISO_8752_10x55_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	10.0	55.0	54.25	55.75	10.8	10.5	6.5	2.4	2.0	2.0	St	ISO 8752	1997
ISO 8752 SPRING PIN 10x60 STEEL SLOTTED HEAVY DUTY	ISO_8752_10x60_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	10.0	60.0	59.25	60.75	10.8	10.5	6.5	2.4	2.0	2.0	St	ISO 8752	1997
ISO 8752 SPRING PIN 10x65 STEEL SLOTTED HEAVY DUTY	ISO_8752_10x65_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	10.0	65.0	64.25	65.75	10.8	10.5	6.5	2.4	2.0	2.0	St	ISO 8752	1997
ISO 8752 SPRING PIN 10x70 STEEL SLOTTED HEAVY DUTY	ISO_8752_10x70_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	10.0	70.0	69.25	70.75	10.8	10.5	6.5	2.4	2.0	2.0	St	ISO 8752	1997
ISO 8752 SPRING PIN 10x75 STEEL SLOTTED HEAVY DUTY	ISO_8752_10x75_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	10.0	75.0	74.25	75.75	10.8	10.5	6.5	2.4	2.0	2.0	St	ISO 8752	1997
ISO 8752 SPRING PIN 10x80 STEEL SLOTTED HEAVY DUTY	ISO_8752_10x80_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	10.0	80.0	79.25	80.75	10.8	10.5	6.5	2.4	2.0	2.0	St	ISO 8752	1997
ISO 8752 SPRING PIN 10x85 STEEL SLOTTED HEAVY DUTY	ISO_8752_10x85_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	10.0	85.0	84.25	85.75	10.8	10.5	6.5	2.4	2.0	2.0	St	ISO 8752	1997
ISO 8752 SPRING PIN 10x90 STEEL SLOTTED HEAVY DUTY	ISO_8752_10x90_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	10.0	90.0	89.25	90.75	10.8	10.5	6.5	2.4	2.0	2.0	St	ISO 8752	1997
ISO 8752 SPRING PIN 10x95 STEEL SLOTTED HEAVY DUTY	ISO_8752_10x95_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	10.0	95.0	94.25	95.75	10.8	10.5	6.5	2.4	2.0	2.0	St	ISO 8752	1997
ISO 8752 SPRING PIN 10x100 STEEL SLOTTED HEAVY DUTY	ISO_8752_10x100_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	10.0	100.0	99.25	100.75	10.8	10.5	6.5	2.4	2.0	2.0	St	ISO 8752	1997
ISO 8752 SPRING PIN 10x120 STEEL SLOTTED HEAVY DUTY	ISO_8752_10x120_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	10.0	120.0	119.25	120.75	10.8	10.5	6.5	2.4	2.0	2.0	St	ISO 8752	1997
ISO 8752 SPRING PIN 10x140 STEEL SLOTTED HEAVY DUTY	ISO_8752_10x140_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	10.0	140.0	139.25	140.75	10.8	10.5	6.5	2.4	2.0	2.0	St	ISO 8752	1997
ISO 8752 SPRING PIN 10x160 STEEL SLOTTED HEAVY DUTY	ISO_8752_10x160_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	10.0	160.0	159.25	160.75	10.8	10.5	6.5	2.4	2.0	2.0	St	ISO 8752	1997
ISO 8752 SPRING PIN 12x10 STEEL SLOTTED HEAVY DUTY	ISO_8752_12x10_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	12.0	10.0	9.75	10.25	12.8	12.5	7.5	2.4	2.0	2.5	St	ISO 8752	1997
ISO 8752 SPRING PIN 12x12 STEEL SLOTTED HEAVY DUTY	ISO_8752_12x12_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	12.0	12.0	11.5	12.5	12.8	12.5	7.5	2.4	2.0	2.5	St	ISO 8752	1997
ISO 8752 SPRING PIN 12x14 STEEL SLOTTED HEAVY DUTY	ISO_8752_12x14_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	12.0	14.0	13.5	14.5	12.8	12.5	7.5	2.4	2.0	2.5	St	ISO 8752	1997
ISO 8752 SPRING PIN 12x16 STEEL SLOTTED HEAVY DUTY	ISO_8752_12x16_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	12.0	16.0	15.5	16.5	12.8	12.5	7.5	2.4	2.0	2.5	St	ISO 8752	1997
ISO 8752 SPRING PIN 12x18 STEEL SLOTTED HEAVY DUTY	ISO_8752_12x18_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	12.0	18.0	17.5	18.5	12.8	12.5	7.5	2.4	2.0	2.5	St	ISO 8752	1997
ISO 8752 SPRING PIN 12x20 STEEL SLOTTED HEAVY DUTY	ISO_8752_12x20_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	12.0	20.0	19.5	20.5	12.8	12.5	7.5	2.4	2.0	2.5	St	ISO 8752	1997
ISO 8752 SPRING PIN 12x22 STEEL SLOTTED HEAVY DUTY	ISO_8752_12x22_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	12.0	22.0	21.5	22.5	12.8	12.5	7.5	2.4	2.0	2.5	St	ISO 8752	1997
ISO 8752 SPRING PIN 12x24 STEEL SLOTTED HEAVY DUTY	ISO_8752_12x24_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	12.0	24.0	23.5	24.5	12.8	12.5	7.5	2.4	2.0	2.5	St	ISO 8752	1997
ISO 8752 SPRING PIN 12x26 STEEL SLOTTED HEAVY DUTY	ISO_8752_12x26_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	12.0	26.0	25.5	26.5	12.8	12.5	7.5	2.4	2.0	2.5	St	ISO 8752	1997
ISO 8752 SPRING PIN 12x28 STEEL SLOTTED HEAVY DUTY	ISO_8752_12x28_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	12.0	28.0	27.5	28.5	12.8	12.5	7.5	2.4	2.0	2.5	St	ISO 8752	1997
ISO 8752 SPRING PIN 12x30 STEEL SLOTTED HEAVY DUTY	ISO_8752_12x30_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	12.0	30.0	29.5	30.5	12.8	12.5	7.5	2.4	2.0	2.5	St	ISO 8752	1997
ISO 8752 SPRING PIN 12x32 STEEL SLOTTED HEAVY DUTY	ISO_8752_12x32_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	12.0	32.0	31.5	32.5	12.8	12.5	7.5	2.4	2.0	2.5	St	ISO 8752	1997
ISO 8752 SPRING PIN 12x35 STEEL SLOTTED HEAVY DUTY	ISO_8752_12x35_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	12.0	35.0	34.5	35.5	12.8	12.5	7.5	2.4	2.0	2.5	St	ISO 8752	1997
ISO 8752 SPRING PIN 12x40 STEEL SLOTTED HEAVY DUTY	ISO_8752_12x40_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	12.0	40.0	39.5	40.5	12.8	12.5	7.5	2.4	2.0	2.5	St	ISO 8752	1997
ISO 8752 SPRING PIN 12x45 STEEL SLOTTED HEAVY DUTY	ISO_8752_12x45_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	12.0	45.0	44.5	45.5	12.8	12.5	7.5	2.4	2.0	2.5	St	ISO 8752	1997
ISO 8752 SPRING PIN 12x50 STEEL SLOTTED HEAVY DUTY	ISO_8752_12x50_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	12.0	50.0	49.5	50.5	12.8	12.5	7.5	2.4	2.0	2.5	St	ISO 8752	1997
ISO 8752 SPRING PIN 12x55 STEEL SLOTTED HEAVY DUTY	ISO_8752_12x55_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	12.0	55.0	54.25	55.75	12.8	12.5	7.5	2.4	2.0	2.5	St	ISO 8752	1997
ISO 8752 SPRING PIN 12x60 STEEL SLOTTED HEAVY DUTY	ISO_8752_12x60_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	12.0	60.0	59.25	60.75	12.8	12.5	7.5	2.4	2.0	2.5	St	ISO 8752	1997
ISO 8752 SPRING PIN 12x65 STEEL SLOTTED HEAVY DUTY	ISO_8752_12x65_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	12.0	65.0	64.25	65.75	12.8	12.5	7.5	2.4	2.0	2.5	St	ISO 8752	1997
ISO 8752 SPRING PIN 12x70 STEEL SLOTTED HEAVY DUTY	ISO_8752_12x70_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	12.0	70.0	69.25	70.75	12.8	12.5	7.5	2.4	2.0	2.5	St	ISO 8752	1997
ISO 8752 SPRING PIN 12x75 STEEL SLOTTED HEAVY DUTY	ISO_8752_12x75_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	12.0	75.0	74.25	75.75	12.8	12.5	7.5	2.4	2.0	2.5	St	ISO 8752	1997
ISO 8752 SPRING PIN 12x80 STEEL SLOTTED HEAVY DUTY	ISO_8752_12x80_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	12.0	80.0	79.25	80.75	12.8	12.5	7.5	2.4	2.0	2.5	St	ISO 8752	1997
ISO 8752 SPRING PIN 12x85 STEEL SLOTTED HEAVY DUTY	ISO_8752_12x85_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	12.0	85.0	84.25	85.75	12.8	12.5	7.5	2.4	2.0	2.5	St	ISO 8752	1997
ISO 8752 SPRING PIN 12x90 STEEL SLOTTED HEAVY DUTY	ISO_8752_12x90_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	12.0	90.0	89.25	90.75	12.8	12.5	7.5	2.4	2.0	2.5	St	ISO 8752	1997
ISO 8752 SPRING PIN 12x95 STEEL SLOTTED HEAVY DUTY	ISO_8752_12x95_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	12.0	95.0	94.25	95.75	12.8	12.5	7.5	2.4	2.0	2.5	St	ISO 8752	1997
ISO 8752 SPRING PIN 12x100 STEEL SLOTTED HEAVY DUTY	ISO_8752_12x100_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	12.0	100.0	99.25	100.75	12.8	12.5	7.5	2.4	2.0	2.5	St	ISO 8752	1997
ISO 8752 SPRING PIN 12x120 STEEL SLOTTED HEAVY DUTY	ISO_8752_12x120_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	12.0	120.0	119.25	120.75	12.8	12.5	7.5	2.4	2.0	2.5	St	ISO 8752	1997
ISO 8752 SPRING PIN 12x140 STEEL SLOTTED HEAVY DUTY	ISO_8752_12x140_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	12.0	140.0	139.25	140.75	12.8	12.5	7.5	2.4	2.0	2.5	St	ISO 8752	1997
ISO 8752 SPRING PIN 12x160 STEEL SLOTTED HEAVY DUTY	ISO_8752_12x160_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	12.0	160.0	159.25	160.75	12.8	12.5	7.5	2.4	2.0	2.5	St	ISO 8752	1997
ISO 8752 SPRING PIN 12x180 STEEL SLOTTED HEAVY DUTY	ISO_8752_12x180_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	12.0	180.0	179.25	180.75	12.8	12.5	7.5	2.4	2.0	2.5	St	ISO 8752	1997
ISO 8752 SPRING PIN 13x10 STEEL SLOTTED HEAVY DUTY	ISO_8752_13x10_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	13.0	10.0	9.75	10.25	13.8	13.5	8.5	2.4	2.0	2.5	St	ISO 8752	1997
ISO 8752 SPRING PIN 13x12 STEEL SLOTTED HEAVY DUTY	ISO_8752_13x12_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	13.0	12.0	11.5	12.5	13.8	13.5	8.5	2.4	2.0	2.5	St	ISO 8752	1997
ISO 8752 SPRING PIN 13x14 STEEL SLOTTED HEAVY DUTY	ISO_8752_13x14_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	13.0	14.0	13.5	14.5	13.8	13.5	8.5	2.4	2.0	2.5	St	ISO 8752	1997
ISO 8752 SPRING PIN 13x16 STEEL SLOTTED HEAVY DUTY	ISO_8752_13x16_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	13.0	16.0	15.5	16.5	13.8	13.5	8.5	2.4	2.0	2.5	St	ISO 8752	1997
ISO 8752 SPRING PIN 13x18 STEEL SLOTTED HEAVY DUTY	ISO_8752_13x18_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	13.0	18.0	17.5	18.5	13.8	13.5	8.5	2.4	2.0	2.5	St	ISO 8752	1997
ISO 8752 SPRING PIN 13x20 STEEL SLOTTED HEAVY DUTY	ISO_8752_13x20_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	13.0	20.0	19.5	20.5	13.8	13.5	8.5	2.4	2.0	2.5	St	ISO 8752	1997
ISO 8752 SPRING PIN 13x22 STEEL SLOTTED HEAVY DUTY	ISO_8752_13x22_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	13.0	22.0	21.5	22.5	13.8	13.5	8.5	2.4	2.0	2.5	St	ISO 8752	1997
ISO 8752 SPRING PIN 13x24 STEEL SLOTTED HEAVY DUTY	ISO_8752_13x24_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	13.0	24.0	23.5	24.5	13.8	13.5	8.5	2.4	2.0	2.5	St	ISO 8752	1997
ISO 8752 SPRING PIN 13x26 STEEL SLOTTED HEAVY DUTY	ISO_8752_13x26_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	13.0	26.0	25.5	26.5	13.8	13.5	8.5	2.4	2.0	2.5	St	ISO 8752	1997
ISO 8752 SPRING PIN 13x28 STEEL SLOTTED HEAVY DUTY	ISO_8752_13x28_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	13.0	28.0	27.5	28.5	13.8	13.5	8.5	2.4	2.0	2.5	St	ISO 8752	1997
ISO 8752 SPRING PIN 13x30 STEEL SLOTTED HEAVY DUTY	ISO_8752_13x30_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	13.0	30.0	29.5	30.5	13.8	13.5	8.5	2.4	2.0	2.5	St	ISO 8752	1997
ISO 8752 SPRING PIN 13x32 STEEL SLOTTED HEAVY DUTY	ISO_8752_13x32_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	13.0	32.0	31.5	32.5	13.8	13.5	8.5	2.4	2.0	2.5	St	ISO 8752	1997
ISO 8752 SPRING PIN 13x35 STEEL SLOTTED HEAVY DUTY	ISO_8752_13x35_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	13.0	35.0	34.5	35.5	13.8	13.5	8.5	2.4	2.0	2.5	St	ISO 8752	1997
ISO 8752 SPRING PIN 13x40 STEEL SLOTTED HEAVY DUTY	ISO_8752_13x40_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	13.0	40.0	39.5	40.5	13.8	13.5	8.5	2.4	2.0	2.5	St	ISO 8752	1997
ISO 8752 SPRING PIN 13x45 STEEL SLOTTED HEAVY DUTY	ISO_8752_13x45_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	13.0	45.0	44.5	45.5	13.8	13.5	8.5	2.4	2.0	2.5	St	ISO 8752	1997
ISO 8752 SPRING PIN 13x50 STEEL SLOTTED HEAVY DUTY	ISO_8752_13x50_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	13.0	50.0	49.5	50.5	13.8	13.5	8.5	2.4	2.0	2.5	St	ISO 8752	1997
ISO 8752 SPRING PIN 13x55 STEEL SLOTTED HEAVY DUTY	ISO_8752_13x55_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	13.0	55.0	54.25	55.75	13.8	13.5	8.5	2.4	2.0	2.5	St	ISO 8752	1997
ISO 8752 SPRING PIN 13x60 STEEL SLOTTED HEAVY DUTY	ISO_8752_13x60_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	13.0	60.0	59.25	60.75	13.8	13.5	8.5	2.4	2.0	2.5	St	ISO 8752	1997
ISO 8752 SPRING PIN 13x65 STEEL SLOTTED HEAVY DUTY	ISO_8752_13x65_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	13.0	65.0	64.25	65.75	13.8	13.5	8.5	2.4	2.0	2.5	St	ISO 8752	1997
ISO 8752 SPRING PIN 13x70 STEEL SLOTTED HEAVY DUTY	ISO_8752_13x70_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	13.0	70.0	69.25	70.75	13.8	13.5	8.5	2.4	2.0	2.5	St	ISO 8752	1997
ISO 8752 SPRING PIN 13x75 STEEL SLOTTED HEAVY DUTY	ISO_8752_13x75_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	13.0	75.0	74.25	75.75	13.8	13.5	8.5	2.4	2.0	2.5	St	ISO 8752	1997
ISO 8752 SPRING PIN 13x80 STEEL SLOTTED HEAVY DUTY	ISO_8752_13x80_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	13.0	80.0	79.25	80.75	13.8	13.5	8.5	2.4	2.0	2.5	St	ISO 8752	1997
ISO 8752 SPRING PIN 13x85 STEEL SLOTTED HEAVY DUTY	ISO_8752_13x85_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	13.0	85.0	84.25	85.75	13.8	13.5	8.5	2.4	2.0	2.5	St	ISO 8752	1997
ISO 8752 SPRING PIN 13x90 STEEL SLOTTED HEAVY DUTY	ISO_8752_13x90_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	13.0	90.0	89.25	90.75	13.8	13.5	8.5	2.4	2.0	2.5	St	ISO 8752	1997
ISO 8752 SPRING PIN 13x95 STEEL SLOTTED HEAVY DUTY	ISO_8752_13x95_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	13.0	95.0	94.25	95.75	13.8	13.5	8.5	2.4	2.0	2.5	St	ISO 8752	1997
ISO 8752 SPRING PIN 13x100 STEEL SLOTTED HEAVY DUTY	ISO_8752_13x100_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	13.0	100.0	99.25	100.75	13.8	13.5	8.5	2.4	2.0	2.5	St	ISO 8752	1997
ISO 8752 SPRING PIN 13x120 STEEL SLOTTED HEAVY DUTY	ISO_8752_13x120_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	13.0	120.0	119.25	120.75	13.8	13.5	8.5	2.4	2.0	2.5	St	ISO 8752	1997
ISO 8752 SPRING PIN 13x140 STEEL SLOTTED HEAVY DUTY	ISO_8752_13x140_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	13.0	140.0	139.25	140.75	13.8	13.5	8.5	2.4	2.0	2.5	St	ISO 8752	1997
ISO 8752 SPRING PIN 13x160 STEEL SLOTTED HEAVY DUTY	ISO_8752_13x160_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	13.0	160.0	159.25	160.75	13.8	13.5	8.5	2.4	2.0	2.5	St	ISO 8752	1997
ISO 8752 SPRING PIN 13x180 STEEL SLOTTED HEAVY DUTY	ISO_8752_13x180_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	13.0	180.0	179.25	180.75	13.8	13.5	8.5	2.4	2.0	2.5	St	ISO 8752	1997
ISO 8752 SPRING PIN 14x10 STEEL SLOTTED HEAVY DUTY	ISO_8752_14x10_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	14.0	10.0	9.75	10.25	14.8	14.5	8.5	2.4	2.0	3.0	St	ISO 8752	1997
ISO 8752 SPRING PIN 14x12 STEEL SLOTTED HEAVY DUTY	ISO_8752_14x12_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	14.0	12.0	11.5	12.5	14.8	14.5	8.5	2.4	2.0	3.0	St	ISO 8752	1997
ISO 8752 SPRING PIN 14x14 STEEL SLOTTED HEAVY DUTY	ISO_8752_14x14_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	14.0	14.0	13.5	14.5	14.8	14.5	8.5	2.4	2.0	3.0	St	ISO 8752	1997
ISO 8752 SPRING PIN 14x16 STEEL SLOTTED HEAVY DUTY	ISO_8752_14x16_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	14.0	16.0	15.5	16.5	14.8	14.5	8.5	2.4	2.0	3.0	St	ISO 8752	1997
ISO 8752 SPRING PIN 14x18 STEEL SLOTTED HEAVY DUTY	ISO_8752_14x18_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	14.0	18.0	17.5	18.5	14.8	14.5	8.5	2.4	2.0	3.0	St	ISO 8752	1997
ISO 8752 SPRING PIN 14x20 STEEL SLOTTED HEAVY DUTY	ISO_8752_14x20_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	14.0	20.0	19.5	20.5	14.8	14.5	8.5	2.4	2.0	3.0	St	ISO 8752	1997
ISO 8752 SPRING PIN 14x22 STEEL SLOTTED HEAVY DUTY	ISO_8752_14x22_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	14.0	22.0	21.5	22.5	14.8	14.5	8.5	2.4	2.0	3.0	St	ISO 8752	1997
ISO 8752 SPRING PIN 14x24 STEEL SLOTTED HEAVY DUTY	ISO_8752_14x24_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	14.0	24.0	23.5	24.5	14.8	14.5	8.5	2.4	2.0	3.0	St	ISO 8752	1997
ISO 8752 SPRING PIN 14x26 STEEL SLOTTED HEAVY DUTY	ISO_8752_14x26_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	14.0	26.0	25.5	26.5	14.8	14.5	8.5	2.4	2.0	3.0	St	ISO 8752	1997
ISO 8752 SPRING PIN 14x28 STEEL SLOTTED HEAVY DUTY	ISO_8752_14x28_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	14.0	28.0	27.5	28.5	14.8	14.5	8.5	2.4	2.0	3.0	St	ISO 8752	1997
ISO 8752 SPRING PIN 14x30 STEEL SLOTTED HEAVY DUTY	ISO_8752_14x30_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	14.0	30.0	29.5	30.5	14.8	14.5	8.5	2.4	2.0	3.0	St	ISO 8752	1997
ISO 8752 SPRING PIN 14x32 STEEL SLOTTED HEAVY DUTY	ISO_8752_14x32_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	14.0	32.0	31.5	32.5	14.8	14.5	8.5	2.4	2.0	3.0	St	ISO 8752	1997
