PartNumber	PartName	d_pin_dia(mm)	l_pin_len_nom(mm)	l_pin_len_min(mm)	l_pin_len_max(mm)	c(mm)	Material	Reference	Edition
ISO 8734 PARALLEL PIN 6x22 STEEL HARDENED WITH INTERNAL THREAD	ISO_8734_6x22_STEEL_HARDENED_WITH_INTERNAL_THREAD_PARALLEL_PIN	6.0	22.0	21.5	22.5	1.2	St	ISO 8734	1997
ISO 8734 PARALLEL PIN 6x24 STEEL HARDENED WITH INTERNAL THREAD	ISO_8734_6x24_STEEL_HARDENED_WITH_INTERNAL_THREAD_PARALLEL_PIN	6.0	24.0	23.5	24.5	1.2	St	ISO 8734	1997
ISO 8734 PARALLEL PIN 6x26 STEEL HARDENED WITH INTERNAL THREAD	ISO_8734_6x26_STEEL_HARDENED_WITH_INTERNAL_THREAD_PARALLEL_PIN	6.0	26.0	25.5	26.5	1.2	St	ISO 8734	1997
ISO 8734 PARALLEL PIN 6x28 STEEL HARDENED WITH INTERNAL THREAD	ISO_8734_6x28_STEEL_HARDENED_WITH_INTERNAL_THREAD_PARALLEL_PIN	6.0	28.0	27.5	28.5	1.2	St	ISO 8734	1997
ISO 8734 PARALLEL PIN 6x30 STEEL HARDENED WITH INTERNAL THREAD	ISO_8734_6x30_STEEL_HARDENED_WITH_INTERNAL_THREAD_PARALLEL_PIN	6.0	30.0	29.5	30.5	1.2	St	ISO 8734	1997
ISO 8734 PARALLEL PIN 6x32 STEEL HARDENED WITH INTERNAL THREAD	ISO_8734_6x32_STEEL_HARDENED_WITH_INTERNAL_THREAD_PARALLEL_PIN	6.0	32.0	31.5	32.5	1.2	St	ISO 8734	1997
ISO 8734 PARALLEL PIN 6x35 STEEL HARDENED WITH INTERNAL THREAD	ISO_8734_6x35_STEEL_HARDENED_WITH_INTERNAL_THREAD_PARALLEL_PIN	6.0	35.0	34.5	35.5	1.2	St	ISO 8734	1997
ISO 8734 PARALLEL PIN 6x40 STEEL HARDENED WITH INTERNAL THREAD	ISO_8734_6x40_STEEL_HARDENED_WITH_INTERNAL_THREAD_PARALLEL_PIN	6.0	40.0	39.5	40.5	1.2	St	ISO 8734	1997
ISO 8734 PARALLEL PIN 6x45 STEEL HARDENED WITH INTERNAL THREAD	ISO_8734_6x45_STEEL_HARDENED_WITH_INTERNAL_THREAD_PARALLEL_PIN	6.0	45.0	44.5	45.5	1.2	St	ISO 8734	1997
ISO 8734 PARALLEL PIN 6x50 STEEL HARDENED WITH INTERNAL THREAD	ISO_8734_6x50_STEEL_HARDENED_WITH_INTERNAL_THREAD_PARALLEL_PIN	6.0	50.0	49.5	50.5	1.2	St	ISO 8734	1997
