PartNumber	PartName	d_pin_dia(mm)	l_pin_length(mm)	dk_head_dia(mm)	c_max(mm)	e(mm)	k_head_depth(mm)	le_min(mm)	r(mm)	dl_hole_dia(mm)	Material	Reference	Edition
ISO 2341 CLEVIS PIN 5x32 STEEL WITH HEAD TYPE B WITH SPLIT PIN HOLE	ISO_2341_5x32_STEEL_WITH_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLE_CLEVIS_PIN	5.0	32.0	8.0	2.0	1.0	1.6	2.9	0.6	1.2	St	ISO 2341	1986
ISO 2341 CLEVIS PIN 5x35 STEEL WITH HEAD TYPE B WITH SPLIT PIN HOLE	ISO_2341_5x35_STEEL_WITH_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLE_CLEVIS_PIN	5.0	35.0	8.0	2.0	1.0	1.6	2.9	0.6	1.2	St	ISO 2341	1986
ISO 2341 CLEVIS PIN 5x40 STEEL WITH HEAD TYPE B WITH SPLIT PIN HOLE	ISO_2341_5x40_STEEL_WITH_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLE_CLEVIS_PIN	5.0	40.0	8.0	2.0	1.0	1.6	2.9	0.6	1.2	St	ISO 2341	1986
ISO 2341 CLEVIS PIN 5x45 STEEL WITH HEAD TYPE B WITH SPLIT PIN HOLE	ISO_2341_5x45_STEEL_WITH_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLE_CLEVIS_PIN	5.0	45.0	8.0	2.0	1.0	1.6	2.9	0.6	1.2	St	ISO 2341	1986
ISO 2341 CLEVIS PIN 5x50 STEEL WITH HEAD TYPE B WITH SPLIT PIN HOLE	ISO_2341_5x50_STEEL_WITH_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLE_CLEVIS_PIN	5.0	50.0	8.0	2.0	1.0	1.6	2.9	0.6	1.2	St	ISO 2341	1986
ISO 2341 CLEVIS PIN 6x12 STEEL WITH HEAD TYPE B WITH SPLIT PIN HOLE	ISO_2341_6x12_STEEL_WITH_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLE_CLEVIS_PIN	6.0	12.0	10.0	2.0	1.0	2.0	3.2	0.6	1.6	St	ISO 2341	1986
ISO 2341 CLEVIS PIN 6x14 STEEL WITH HEAD TYPE B WITH SPLIT PIN HOLE	ISO_2341_6x14_STEEL_WITH_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLE_CLEVIS_PIN	6.0	14.0	10.0	2.0	1.0	2.0	3.2	0.6	1.6	St	ISO 2341	1986
ISO 2341 CLEVIS PIN 6x16 STEEL WITH HEAD TYPE B WITH SPLIT PIN HOLE	ISO_2341_6x16_STEEL_WITH_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLE_CLEVIS_PIN	6.0	16.0	10.0	2.0	1.0	2.0	3.2	0.6	1.6	St	ISO 2341	1986
ISO 2341 CLEVIS PIN 6x18 STEEL WITH HEAD TYPE B WITH SPLIT PIN HOLE	ISO_2341_6x18_STEEL_WITH_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLE_CLEVIS_PIN	6.0	18.0	10.0	2.0	1.0	2.0	3.2	0.6	1.6	St	ISO 2341	1986
ISO 2341 CLEVIS PIN 6x20 STEEL WITH HEAD TYPE B WITH SPLIT PIN HOLE	ISO_2341_6x20_STEEL_WITH_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLE_CLEVIS_PIN	6.0	20.0	10.0	2.0	1.0	2.0	3.2	0.6	1.6	St	ISO 2341	1986
ISO 2341 CLEVIS PIN 6x22 STEEL WITH HEAD TYPE B WITH SPLIT PIN HOLE	ISO_2341_6x22_STEEL_WITH_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLE_CLEVIS_PIN	6.0	22.0	10.0	2.0	1.0	2.0	3.2	0.6	1.6	St	ISO 2341	1986
