PartNumber	PartName	Designation	d_dia(mm)	p_pitch(mm)	threading(mm)	L_length_nom(mm)	J_hex_socket_nom(mm)	T_depth_min(mm)	A_point_dia_max(mm)	A_point_dia_min(mm)	Y_point angle(deg)	Material	Reference	Edition
ASME B18.3.6M SCREW M4x35 STEEL SOCKET SET CONE POINT	ASME_B18_3_6M_M4x35_STEEL_CONE_POINT_HEX_SOCKET_SET_SCREW	M4	4.0	0.7	34.781	35.0	2.0	2.3	0.4	0.0	90	St	ASME B18.3.6M	1986
ASME B18.3.6M SCREW M4x40 STEEL SOCKET SET CONE POINT	ASME_B18_3_6M_M4x40_STEEL_CONE_POINT_HEX_SOCKET_SET_SCREW	M4	4.0	0.7	39.781	40.0	2.0	2.3	0.4	0.0	90	St	ASME B18.3.6M	1986
ASME B18.3.6M SCREW M5x4 STEEL SOCKET SET CONE POINT	ASME_B18_3_6M_M5x4_STEEL_CONE_POINT_HEX_SOCKET_SET_SCREW	M5	5.0	0.8	3.75	4.0	2.5	1.2	0.5	0.0	118	St	ASME B18.3.6M	1986
ASME B18.3.6M SCREW M5x5 STEEL SOCKET SET CONE POINT	ASME_B18_3_6M_M5x5_STEEL_CONE_POINT_HEX_SOCKET_SET_SCREW	M5	5.0	0.8	4.75	5.0	2.5	1.7	0.5	0.0	118	St	ASME B18.3.6M	1986
ASME B18.3.6M SCREW M5x6 STEEL SOCKET SET CONE POINT	ASME_B18_3_6M_M5x6_STEEL_CONE_POINT_HEX_SOCKET_SET_SCREW	M5	5.0	0.8	5.75	6.0	2.5	2.0	0.5	0.0	90	St	ASME B18.3.6M	1986
ASME B18.3.6M SCREW M5x8 STEEL SOCKET SET CONE POINT	ASME_B18_3_6M_M5x8_STEEL_CONE_POINT_HEX_SOCKET_SET_SCREW	M5	5.0	0.8	7.75	8.0	2.5	2.7	0.5	0.0	90	St	ASME B18.3.6M	1986
ASME B18.3.6M SCREW M5x10 STEEL SOCKET SET CONE POINT	ASME_B18_3_6M_M5x10_STEEL_CONE_POINT_HEX_SOCKET_SET_SCREW	M5	5.0	0.8	9.75	10.0	2.5	2.7	0.5	0.0	90	St	ASME B18.3.6M	1986
ASME B18.3.6M SCREW M5x12 STEEL SOCKET SET CONE POINT	ASME_B18_3_6M_M5x12_STEEL_CONE_POINT_HEX_SOCKET_SET_SCREW	M5	5.0	0.8	11.75	12.0	2.5	2.7	0.5	0.0	90	St	ASME B18.3.6M	1986
ASME B18.3.6M SCREW M5x16 STEEL SOCKET SET CONE POINT	ASME_B18_3_6M_M5x16_STEEL_CONE_POINT_HEX_SOCKET_SET_SCREW	M5	5.0	0.8	15.75	16.0	2.5	2.7	0.5	0.0	90	St	ASME B18.3.6M	1986
ASME B18.3.6M SCREW M5x20 STEEL SOCKET SET CONE POINT	ASME_B18_3_6M_M5x20_STEEL_CONE_POINT_HEX_SOCKET_SET_SCREW	M5	5.0	0.8	19.75	20.0	2.5	2.7	0.5	0.0	90	St	ASME B18.3.6M	1986
ASME B18.3.6M SCREW M5x25 STEEL SOCKET SET CONE POINT	ASME_B18_3_6M_M5x25_STEEL_CONE_POINT_HEX_SOCKET_SET_SCREW	M5	5.0	0.8	24.75	25.0	2.5	2.7	0.5	0.0	90	St	ASME B18.3.6M	1986
