PartNumber	PartName	Designation	d_dia(mm)	p_pitch(mm)	threading(mm)	l_len_nom(mm)	ds_dia_min(mm)	dk_dia_max(mm)	dk_dia_min(mm)	k_hd_hgt(mm)	r_u_head(mm)	M_recess_ref(mm)	T_Recess_ref(mm)	N_recess_ref(mm)	Driver_size	Lus_head(mm)	Dp_min(mm)	Recess_type	Style	Material	Reference	Edition
ASME B18.6.7M SCREW M5x20 STEEL MC FLAT HEAD RECESS TYPE 1 STYLE A	ASME_B18_6_7M_M5x20_STEEL_FLAT_HEAD_RECESS_TYPE_1_STYLE_A_MC_SCREW	M5	5.0	0.8	15.3	20.0	4.36	9.3	8.9	2.7	1.0	5.06	3.25	1.04	2.0	2.0	3.28	1.0	A	St	ASME 18.6.7M	1999
ASME B18.6.7M SCREW M5x25 STEEL MC FLAT HEAD RECESS TYPE 1 STYLE A	ASME_B18_6_7M_M5x25_STEEL_FLAT_HEAD_RECESS_TYPE_1_STYLE_A_MC_SCREW	M5	5.0	0.8	20.3	25.0	4.36	9.3	8.9	2.7	1.0	5.06	3.25	1.04	2.0	2.0	3.28	1.0	A	St	ASME 18.6.7M	1999
ASME B18.6.7M SCREW M5x30 STEEL MC FLAT HEAD RECESS TYPE 1 STYLE A	ASME_B18_6_7M_M5x30_STEEL_FLAT_HEAD_RECESS_TYPE_1_STYLE_A_MC_SCREW	M5	5.0	0.8	25.3	30.0	4.36	9.3	8.9	2.7	1.0	5.06	3.25	1.04	2.0	2.0	3.28	1.0	A	St	ASME 18.6.7M	1999
ASME B18.6.7M SCREW M5x35 STEEL MC FLAT HEAD RECESS TYPE 1 STYLE A	ASME_B18_6_7M_M5x35_STEEL_FLAT_HEAD_RECESS_TYPE_1_STYLE_A_MC_SCREW	M5	5.0	0.8	30.3	35.0	4.36	9.3	8.9	2.7	1.0	5.06	3.25	1.04	2.0	2.0	3.28	1.0	A	St	ASME 18.6.7M	1999
ASME B18.6.7M SCREW M5x40 STEEL MC FLAT HEAD RECESS TYPE 1 STYLE A	ASME_B18_6_7M_M5x40_STEEL_FLAT_HEAD_RECESS_TYPE_1_STYLE_A_MC_SCREW	M5	5.0	0.8	35.3	40.0	4.36	9.3	8.9	2.7	1.0	5.06	3.25	1.04	2.0	2.0	3.28	1.0	A	St	ASME 18.6.7M	1999
ASME B18.6.7M SCREW M5x45 STEEL MC FLAT HEAD RECESS TYPE 1 STYLE A	ASME_B18_6_7M_M5x45_STEEL_FLAT_HEAD_RECESS_TYPE_1_STYLE_A_MC_SCREW	M5	5.0	0.8	40.3	45.0	4.36	9.3	8.9	2.7	1.0	5.06	3.25	1.04	2.0	2.0	3.28	1.0	A	St	ASME 18.6.7M	1999
ASME B18.6.7M SCREW M5x50 STEEL MC FLAT HEAD RECESS TYPE 1 STYLE A	ASME_B18_6_7M_M5x50_STEEL_FLAT_HEAD_RECESS_TYPE_1_STYLE_A_MC_SCREW	M5	5.0	0.8	45.3	50.0	4.36	9.3	8.9	2.7	1.0	5.06	3.25	1.04	2.0	2.0	3.28	1.0	A	St	ASME 18.6.7M	1999
ASME B18.6.7M SCREW M6x8 STEEL MC FLAT HEAD RECESS TYPE 1 STYLE A	ASME_B18_6_7M_M6x8_STEEL_FLAT_HEAD_RECESS_TYPE_1_STYLE_A_MC_SCREW	M6	6.0	1.0	2.2	8.0	5.21	11.3	10.9	3.3	1.2	6.62	3.61	1.12	3.0	2.5	3.85	1.0	A	St	ASME 18.6.7M	1999
ASME B18.6.7M SCREW M6x10 STEEL MC FLAT HEAD RECESS TYPE 1 STYLE A	ASME_B18_6_7M_M6x10_STEEL_FLAT_HEAD_RECESS_TYPE_1_STYLE_A_MC_SCREW	M6	6.0	1.0	4.2	10.0	5.21	11.3	10.9	3.3	1.2	6.62	3.61	1.12	3.0	2.5	3.85	1.0	A	St	ASME 18.6.7M	1999
ASME B18.6.7M SCREW M6x13 STEEL MC FLAT HEAD RECESS TYPE 1 STYLE A	ASME_B18_6_7M_M6x13_STEEL_FLAT_HEAD_RECESS_TYPE_1_STYLE_A_MC_SCREW	M6	6.0	1.0	7.2	13.0	5.21	11.3	10.9	3.3	1.2	6.62	3.61	1.12	3.0	2.5	3.85	1.0	A	St	ASME 18.6.7M	1999
ASME B18.6.7M SCREW M6x16 STEEL MC FLAT HEAD RECESS TYPE 1 STYLE A	ASME_B18_6_7M_M6x16_STEEL_FLAT_HEAD_RECESS_TYPE_1_STYLE_A_MC_SCREW	M6	6.0	1.0	10.2	16.0	5.21	11.3	10.9	3.3	1.2	6.62	3.61	1.12	3.0	2.5	3.85	1.0	A	St	ASME 18.6.7M	1999
ASME B18.6.7M SCREW M6x20 STEEL MC FLAT HEAD RECESS TYPE 1 STYLE A	ASME_B18_6_7M_M6x20_STEEL_FLAT_HEAD_RECESS_TYPE_1_STYLE_A_MC_SCREW	M6	6.0	1.0	14.2	20.0	5.21	11.3	10.9	3.3	1.2	6.62	3.61	1.12	3.0	2.5	3.85	1.0	A	St	ASME 18.6.7M	1999
