PartNumber	PartName	Designation	d_dia(mm)	p_pitch(mm)	threading(mm)	ds_screw_dia_max(mm)	ds_screw_dia_min(mm)	l_screw_len(mm)	b_ref(mm)	s_af_dis_max(mm)	s_af_dis_min(mm)	e_ac_dis_max(mm)	e_ac_dis_min(mm)	k_head_hgt_max(mm)	k_head_hgt_min(mm)	k1_wrench_hgt(mm)	r_u_head(mm)	d_sh_dia_max(mm)	d_sh_dia_min(mm)	d_body_dia_max(mm)	d_body_dia_min(mm)	l_sh_max(mm)	l_sh_min(mm)	Material	Reference	Edition
ANSI B18.2.3.5M BOLT M12x100 STEEL HEX SHOULDER 	ANSI_B18_2_3_5M_M12x100_STEEL_HEX_SHOULDER_BOLT	M12	12.0	1.75	30.0	12.7	11.3	100.0	30.0	18.0	17.57	20.78	19.85	7.95	7.24	5.2	0.6	12.7	11.3	10.95	10.68	7.0	6.0	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M12x110 STEEL HEX SHOULDER 	ANSI_B18_2_3_5M_M12x110_STEEL_HEX_SHOULDER_BOLT	M12	12.0	1.75	30.0	12.7	11.3	110.0	30.0	18.0	17.57	20.78	19.85	7.95	7.24	5.2	0.6	12.7	11.3	10.95	10.68	7.0	6.0	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M12x120 STEEL HEX SHOULDER 	ANSI_B18_2_3_5M_M12x120_STEEL_HEX_SHOULDER_BOLT	M12	12.0	1.75	30.0	12.7	11.3	120.0	30.0	18.0	17.57	20.78	19.85	7.95	7.24	5.2	0.6	12.7	11.3	10.95	10.68	7.0	6.0	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M14x50 STEEL HEX SHOULDER 	ANSI_B18_2_3_5M_M14x50_STEEL_HEX_SHOULDER_BOLT	M14	14.0	2.0	34.0	14.7	13.3	50.0	34.0	21.0	20.16	24.25	22.78	9.25	8.51	6.2	0.6	14.7	13.3	12.77	12.5	8.0	7.0	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M14x60 STEEL HEX SHOULDER 	ANSI_B18_2_3_5M_M14x60_STEEL_HEX_SHOULDER_BOLT	M14	14.0	2.0	34.0	14.7	13.3	60.0	34.0	21.0	20.16	24.25	22.78	9.25	8.51	6.2	0.6	14.7	13.3	12.77	12.5	8.0	7.0	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M14x70 STEEL HEX SHOULDER 	ANSI_B18_2_3_5M_M14x70_STEEL_HEX_SHOULDER_BOLT	M14	14.0	2.0	34.0	14.7	13.3	70.0	34.0	21.0	20.16	24.25	22.78	9.25	8.51	6.2	0.6	14.7	13.3	12.77	12.5	8.0	7.0	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M14x80 STEEL HEX SHOULDER 	ANSI_B18_2_3_5M_M14x80_STEEL_HEX_SHOULDER_BOLT	M14	14.0	2.0	34.0	14.7	13.3	80.0	34.0	21.0	20.16	24.25	22.78	9.25	8.51	6.2	0.6	14.7	13.3	12.77	12.5	8.0	7.0	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M14x90 STEEL HEX SHOULDER 	ANSI_B18_2_3_5M_M14x90_STEEL_HEX_SHOULDER_BOLT	M14	14.0	2.0	34.0	14.7	13.3	90.0	34.0	21.0	20.16	24.25	22.78	9.25	8.51	6.2	0.6	14.7	13.3	12.77	12.5	8.0	7.0	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M14x100 STEEL HEX SHOULDER 	ANSI_B18_2_3_5M_M14x100_STEEL_HEX_SHOULDER_BOLT	M14	14.0	2.0	34.0	14.7	13.3	100.0	34.0	21.0	20.16	24.25	22.78	9.25	8.51	6.2	0.6	14.7	13.3	12.77	12.5	8.0	7.0	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M14x110 STEEL HEX SHOULDER 	ANSI_B18_2_3_5M_M14x110_STEEL_HEX_SHOULDER_BOLT	M14	14.0	2.0	34.0	14.7	13.3	110.0	34.0	21.0	20.16	24.25	22.78	9.25	8.51	6.2	0.6	14.7	13.3	12.77	12.5	8.0	7.0	St	ANSI B18.2.3.5M	1979
