PartNumber	PartName	l_length(mm)	b_width(mm)	h_thickness(mm)	s_chamfer(mm)	Style	Material	Reference	Edition
ASME B18.25.1M KEY 50x28x180 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_50x28x180_STEEL_STYLE_C_RECTANGULAR_KEY	180.0	50.0	28.0	1.2	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 50x28x200 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_50x28x200_STEEL_STYLE_C_RECTANGULAR_KEY	200.0	50.0	28.0	1.2	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 50x28x220 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_50x28x220_STEEL_STYLE_C_RECTANGULAR_KEY	220.0	50.0	28.0	1.2	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 50x28x250 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_50x28x250_STEEL_STYLE_C_RECTANGULAR_KEY	250.0	50.0	28.0	1.2	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 50x28x280 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_50x28x280_STEEL_STYLE_C_RECTANGULAR_KEY	280.0	50.0	28.0	1.2	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 50x28x320 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_50x28x320_STEEL_STYLE_C_RECTANGULAR_KEY	320.0	50.0	28.0	1.2	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 50x28x360 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_50x28x360_STEEL_STYLE_C_RECTANGULAR_KEY	360.0	50.0	28.0	1.2	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 50x28x400 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_50x28x400_STEEL_STYLE_C_RECTANGULAR_KEY	400.0	50.0	28.0	1.2	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 56x32x100 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_56x32x100_STEEL_STYLE_C_RECTANGULAR_KEY	100.0	56.0	32.0	2.0	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 56x32x110 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_56x32x110_STEEL_STYLE_C_RECTANGULAR_KEY	110.0	56.0	32.0	2.0	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 56x32x125 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_56x32x125_STEEL_STYLE_C_RECTANGULAR_KEY	125.0	56.0	32.0	2.0	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 56x32x140 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_56x32x140_STEEL_STYLE_C_RECTANGULAR_KEY	140.0	56.0	32.0	2.0	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 56x32x150 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_56x32x150_STEEL_STYLE_C_RECTANGULAR_KEY	150.0	56.0	32.0	2.0	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 56x32x180 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_56x32x180_STEEL_STYLE_C_RECTANGULAR_KEY	180.0	56.0	32.0	2.0	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 56x32x200 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_56x32x200_STEEL_STYLE_C_RECTANGULAR_KEY	200.0	56.0	32.0	2.0	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 56x32x220 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_56x32x220_STEEL_STYLE_C_RECTANGULAR_KEY	220.0	56.0	32.0	2.0	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 56x32x250 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_56x32x250_STEEL_STYLE_C_RECTANGULAR_KEY	250.0	56.0	32.0	2.0	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 56x32x280 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_56x32x280_STEEL_STYLE_C_RECTANGULAR_KEY	280.0	56.0	32.0	2.0	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 56x32x320 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_56x32x320_STEEL_STYLE_C_RECTANGULAR_KEY	320.0	56.0	32.0	2.0	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 56x32x360 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_56x32x360_STEEL_STYLE_C_RECTANGULAR_KEY	360.0	56.0	32.0	2.0	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 56x32x400 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_56x32x400_STEEL_STYLE_C_RECTANGULAR_KEY	400.0	56.0	32.0	2.0	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 63x32x100 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_63x32x100_STEEL_STYLE_C_RECTANGULAR_KEY	100.0	63.0	32.0	2.0	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 63x32x110 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_63x32x110_STEEL_STYLE_C_RECTANGULAR_KEY	110.0	63.0	32.0	2.0	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 63x32x125 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_63x32x125_STEEL_STYLE_C_RECTANGULAR_KEY	125.0	63.0	32.0	2.0	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 63x32x140 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_63x32x140_STEEL_STYLE_C_RECTANGULAR_KEY	140.0	63.0	32.0	2.0	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 63x32x150 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_63x32x150_STEEL_STYLE_C_RECTANGULAR_KEY	150.0	63.0	32.0	2.0	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 63x32x180 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_63x32x180_STEEL_STYLE_C_RECTANGULAR_KEY	180.0	63.0	32.0	2.0	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 63x32x200 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_63x32x200_STEEL_STYLE_C_RECTANGULAR_KEY	200.0	63.0	32.0	2.0	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 63x32x220 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_63x32x220_STEEL_STYLE_C_RECTANGULAR_KEY	220.0	63.0	32.0	2.0	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 63x32x250 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_63x32x250_STEEL_STYLE_C_RECTANGULAR_KEY	250.0	63.0	32.0	2.0	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 63x32x280 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_63x32x280_STEEL_STYLE_C_RECTANGULAR_KEY	280.0	63.0	32.0	2.0	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 63x32x320 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_63x32x320_STEEL_STYLE_C_RECTANGULAR_KEY	320.0	63.0	32.0	2.0	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 63x32x360 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_63x32x360_STEEL_STYLE_C_RECTANGULAR_KEY	360.0	63.0	32.0	2.0	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 63x32x400 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_63x32x400_STEEL_STYLE_C_RECTANGULAR_KEY	400.0	63.0	32.0	2.0	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 70x36x100 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_70x36x100_STEEL_STYLE_C_RECTANGULAR_KEY	100.0	70.0	36.0	2.0	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 70x36x110 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_70x36x110_STEEL_STYLE_C_RECTANGULAR_KEY	110.0	70.0	36.0	2.0	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 70x36x125 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_70x36x125_STEEL_STYLE_C_RECTANGULAR_KEY	125.0	70.0	36.0	2.0	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 70x36x140 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_70x36x140_STEEL_STYLE_C_RECTANGULAR_KEY	140.0	70.0	36.0	2.0	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 70x36x150 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_70x36x150_STEEL_STYLE_C_RECTANGULAR_KEY	150.0	70.0	36.0	2.0	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 70x36x180 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_70x36x180_STEEL_STYLE_C_RECTANGULAR_KEY	180.0	70.0	36.0	2.0	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 70x36x200 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_70x36x200_STEEL_STYLE_C_RECTANGULAR_KEY	200.0	70.0	36.0	2.0	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 70x36x220 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_70x36x220_STEEL_STYLE_C_RECTANGULAR_KEY	220.0	70.0	36.0	2.0	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 70x36x250 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_70x36x250_STEEL_STYLE_C_RECTANGULAR_KEY	250.0	70.0	36.0	2.0	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 70x36x280 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_70x36x280_STEEL_STYLE_C_RECTANGULAR_KEY	280.0	70.0	36.0	2.0	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 70x36x320 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_70x36x320_STEEL_STYLE_C_RECTANGULAR_KEY	320.0	70.0	36.0	2.0	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 70x36x360 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_70x36x360_STEEL_STYLE_C_RECTANGULAR_KEY	360.0	70.0	36.0	2.0	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 70x36x400 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_70x36x400_STEEL_STYLE_C_RECTANGULAR_KEY	400.0	70.0	36.0	2.0	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 80x40x100 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_80x40x100_STEEL_STYLE_C_RECTANGULAR_KEY	100.0	80.0	40.0	3.0	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 80x40x110 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_80x40x110_STEEL_STYLE_C_RECTANGULAR_KEY	110.0	80.0	40.0	3.0	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 80x40x125 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_80x40x125_STEEL_STYLE_C_RECTANGULAR_KEY	125.0	80.0	40.0	3.0	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 80x40x140 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_80x40x140_STEEL_STYLE_C_RECTANGULAR_KEY	140.0	80.0	40.0	3.0	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 80x40x150 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_80x40x150_STEEL_STYLE_C_RECTANGULAR_KEY	150.0	80.0	40.0	3.0	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 80x40x180 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_80x40x180_STEEL_STYLE_C_RECTANGULAR_KEY	180.0	80.0	40.0	3.0	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 80x40x200 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_80x40x200_STEEL_STYLE_C_RECTANGULAR_KEY	200.0	80.0	40.0	3.0	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 80x40x220 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_80x40x220_STEEL_STYLE_C_RECTANGULAR_KEY	220.0	80.0	40.0	3.0	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 80x40x250 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_80x40x250_STEEL_STYLE_C_RECTANGULAR_KEY	250.0	80.0	40.0	3.0	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 80x40x280 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_80x40x280_STEEL_STYLE_C_RECTANGULAR_KEY	280.0	80.0	40.0	3.0	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 80x40x320 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_80x40x320_STEEL_STYLE_C_RECTANGULAR_KEY	320.0	80.0	40.0	3.0	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 80x40x360 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_80x40x360_STEEL_STYLE_C_RECTANGULAR_KEY	360.0	80.0	40.0	3.0	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 80x40x400 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_80x40x400_STEEL_STYLE_C_RECTANGULAR_KEY	400.0	80.0	40.0	3.0	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 90x45x100 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_90x45x100_STEEL_STYLE_C_RECTANGULAR_KEY	100.0	90.0	45.0	3.0	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 90x45x110 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_90x45x110_STEEL_STYLE_C_RECTANGULAR_KEY	110.0	90.0	45.0	3.0	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 90x45x125 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_90x45x125_STEEL_STYLE_C_RECTANGULAR_KEY	125.0	90.0	45.0	3.0	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 90x45x140 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_90x45x140_STEEL_STYLE_C_RECTANGULAR_KEY	140.0	90.0	45.0	3.0	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 90x45x150 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_90x45x150_STEEL_STYLE_C_RECTANGULAR_KEY	150.0	90.0	45.0	3.0	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 90x45x180 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_90x45x180_STEEL_STYLE_C_RECTANGULAR_KEY	180.0	90.0	45.0	3.0	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 90x45x200 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_90x45x200_STEEL_STYLE_C_RECTANGULAR_KEY	200.0	90.0	45.0	3.0	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 90x45x220 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_90x45x220_STEEL_STYLE_C_RECTANGULAR_KEY	220.0	90.0	45.0	3.0	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 90x45x250 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_90x45x250_STEEL_STYLE_C_RECTANGULAR_KEY	250.0	90.0	45.0	3.0	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 90x45x280 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_90x45x280_STEEL_STYLE_C_RECTANGULAR_KEY	280.0	90.0	45.0	3.0	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 90x45x320 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_90x45x320_STEEL_STYLE_C_RECTANGULAR_KEY	320.0	90.0	45.0	3.0	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 90x45x360 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_90x45x360_STEEL_STYLE_C_RECTANGULAR_KEY	360.0	90.0	45.0	3.0	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 90x45x400 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_90x45x400_STEEL_STYLE_C_RECTANGULAR_KEY	400.0	90.0	45.0	3.0	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 100x50x100 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_100x50x100_STEEL_STYLE_C_RECTANGULAR_KEY	100.0	100.0	50.0	3.0	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 100x50x110 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_100x50x110_STEEL_STYLE_C_RECTANGULAR_KEY	110.0	100.0	50.0	3.0	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 100x50x125 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_100x50x125_STEEL_STYLE_C_RECTANGULAR_KEY	125.0	100.0	50.0	3.0	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 100x50x140 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_100x50x140_STEEL_STYLE_C_RECTANGULAR_KEY	140.0	100.0	50.0	3.0	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 100x50x150 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_100x50x150_STEEL_STYLE_C_RECTANGULAR_KEY	150.0	100.0	50.0	3.0	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 100x50x180 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_100x50x180_STEEL_STYLE_C_RECTANGULAR_KEY	180.0	100.0	50.0	3.0	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 100x50x200 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_100x50x200_STEEL_STYLE_C_RECTANGULAR_KEY	200.0	100.0	50.0	3.0	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 100x50x220 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_100x50x220_STEEL_STYLE_C_RECTANGULAR_KEY	220.0	100.0	50.0	3.0	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 100x50x250 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_100x50x250_STEEL_STYLE_C_RECTANGULAR_KEY	250.0	100.0	50.0	3.0	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 100x50x280 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_100x50x280_STEEL_STYLE_C_RECTANGULAR_KEY	280.0	100.0	50.0	3.0	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 100x50x320 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_100x50x320_STEEL_STYLE_C_RECTANGULAR_KEY	320.0	100.0	50.0	3.0	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 100x50x360 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_100x50x360_STEEL_STYLE_C_RECTANGULAR_KEY	360.0	100.0	50.0	3.0	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 100x50x400 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_100x50x400_STEEL_STYLE_C_RECTANGULAR_KEY	400.0	100.0	50.0	3.0	C	St	ASME B18.25.1M	1996
