PartNumber	PartName	Designation	d_dia(mm)	p_pitch(mm)	threading(mm)	ds_screw_dia_max(mm)	ds_screw_dia_min(mm)	l_screw_len(mm)	b_ref(mm)	s_af_dis_max(mm)	s_af_dis_min(mm)	e_ac_dis_max(mm)	e_ac_dis_min(mm)	k_head_hgt_max(mm)	k_head_hgt_min(mm)	k1_wrench_hgt(mm)	r_u_head(mm)	Material	Reference	Edition
ANSI B18.2.3.5M BOLT M14x120 STEEL HEXAGON	ANSI_B18_2_3_5M_M14x120_STEEL_HEXAGON_BOLT	M14	14.0	2.0	34.0	14.7	13.3	120.0	34.0	21.0	20.16	24.25	22.78	9.25	8.51	6.2	0.6	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M14x130 STEEL HEXAGON	ANSI_B18_2_3_5M_M14x130_STEEL_HEXAGON_BOLT	M14	14.0	2.0	40.0	14.7	13.3	130.0	40.0	21.0	20.16	24.25	22.78	9.25	8.51	6.2	0.6	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M14x140 STEEL HEXAGON	ANSI_B18_2_3_5M_M14x140_STEEL_HEXAGON_BOLT	M14	14.0	2.0	40.0	14.7	13.3	140.0	40.0	21.0	20.16	24.25	22.78	9.25	8.51	6.2	0.6	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M16x25 STEEL HEXAGON	ANSI_B18_2_3_5M_M16x25_STEEL_HEXAGON_BOLT	M16	16.0	2.0	20.0	16.7	15.3	25.0	38.0	24.0	23.16	27.71	26.17	10.75	9.68	7.0	0.6	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M16x30 STEEL HEXAGON	ANSI_B18_2_3_5M_M16x30_STEEL_HEXAGON_BOLT	M16	16.0	2.0	25.0	16.7	15.3	30.0	38.0	24.0	23.16	27.71	26.17	10.75	9.68	7.0	0.6	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M16x35 STEEL HEXAGON	ANSI_B18_2_3_5M_M16x35_STEEL_HEXAGON_BOLT	M16	16.0	2.0	30.0	16.7	15.3	35.0	38.0	24.0	23.16	27.71	26.17	10.75	9.68	7.0	0.6	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M16x40 STEEL HEXAGON	ANSI_B18_2_3_5M_M16x40_STEEL_HEXAGON_BOLT	M16	16.0	2.0	35.0	16.7	15.3	40.0	38.0	24.0	23.16	27.71	26.17	10.75	9.68	7.0	0.6	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M16x45 STEEL HEXAGON	ANSI_B18_2_3_5M_M16x45_STEEL_HEXAGON_BOLT	M16	16.0	2.0	38.0	16.7	15.3	45.0	38.0	24.0	23.16	27.71	26.17	10.75	9.68	7.0	0.6	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M16x50 STEEL HEXAGON	ANSI_B18_2_3_5M_M16x50_STEEL_HEXAGON_BOLT	M16	16.0	2.0	38.0	16.7	15.3	50.0	38.0	24.0	23.16	27.71	26.17	10.75	9.68	7.0	0.6	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M16x60 STEEL HEXAGON	ANSI_B18_2_3_5M_M16x60_STEEL_HEXAGON_BOLT	M16	16.0	2.0	38.0	16.7	15.3	60.0	38.0	24.0	23.16	27.71	26.17	10.75	9.68	7.0	0.6	St	ANSI B18.2.3.5M	1979
