PartNumber	PartName	Designation	d_dia(mm)	p_pitch(mm)	threading(mm)	ds_screw_dia_max(mm)	ds_screw_dia_min(mm)	l_screw_len(mm)	b_ref(mm)	s_af_dis_max(mm)	s_af_dis_min(mm)	e_ac_dis_max(mm)	e_ac_dis_min(mm)	k_head_hgt_max(mm)	k_head_hgt_min(mm)	k1_wrench_hgt(mm)	r_u_head(mm)	Material	Reference	Edition
ANSI B18.2.3.5M BOLT M90x120 STEEL HEXAGON	ANSI_B18_2_3_5M_M90x120_STEEL_HEXAGON_BOLT	M90	90.0	6.0	99.0	92.48	88.6	120.0	192.0	130.0	125.5	150.11	143.07	57.74	54.26	39.2	2.0	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M90x130 STEEL HEXAGON	ANSI_B18_2_3_5M_M90x130_STEEL_HEXAGON_BOLT	M90	90.0	6.0	109.0	92.48	88.6	130.0	192.0	130.0	125.5	150.11	143.07	57.74	54.26	39.2	2.0	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M90x140 STEEL HEXAGON	ANSI_B18_2_3_5M_M90x140_STEEL_HEXAGON_BOLT	M90	90.0	6.0	119.0	92.48	88.6	140.0	192.0	130.0	125.5	150.11	143.07	57.74	54.26	39.2	2.0	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M90x150 STEEL HEXAGON	ANSI_B18_2_3_5M_M90x150_STEEL_HEXAGON_BOLT	M90	90.0	6.0	129.0	92.48	88.6	150.0	192.0	130.0	125.5	150.11	143.07	57.74	54.26	39.2	2.0	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M90x160 STEEL HEXAGON	ANSI_B18_2_3_5M_M90x160_STEEL_HEXAGON_BOLT	M90	90.0	6.0	139.0	92.48	88.6	160.0	192.0	130.0	125.5	150.11	143.07	57.74	54.26	39.2	2.0	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M90x180 STEEL HEXAGON	ANSI_B18_2_3_5M_M90x180_STEEL_HEXAGON_BOLT	M90	90.0	6.0	159.0	92.48	88.6	180.0	192.0	130.0	125.5	150.11	143.07	57.74	54.26	39.2	2.0	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M90x200 STEEL HEXAGON	ANSI_B18_2_3_5M_M90x200_STEEL_HEXAGON_BOLT	M90	90.0	6.0	179.0	92.48	88.6	200.0	192.0	130.0	125.5	150.11	143.07	57.74	54.26	39.2	2.0	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M90x220 STEEL HEXAGON	ANSI_B18_2_3_5M_M90x220_STEEL_HEXAGON_BOLT	M90	90.0	6.0	199.0	92.48	88.6	220.0	205.0	130.0	125.5	150.11	143.07	57.74	54.26	39.2	2.0	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M90x240 STEEL HEXAGON	ANSI_B18_2_3_5M_M90x240_STEEL_HEXAGON_BOLT	M90	90.0	6.0	205.0	92.48	88.6	240.0	205.0	130.0	125.5	150.11	143.07	57.74	54.26	39.2	2.0	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M90x260 STEEL HEXAGON	ANSI_B18_2_3_5M_M90x260_STEEL_HEXAGON_BOLT	M90	90.0	6.0	205.0	92.48	88.6	260.0	205.0	130.0	125.5	150.11	143.07	57.74	54.26	39.2	2.0	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M90x280 STEEL HEXAGON	ANSI_B18_2_3_5M_M90x280_STEEL_HEXAGON_BOLT	M90	90.0	6.0	205.0	92.48	88.6	280.0	205.0	130.0	125.5	150.11	143.07	57.74	54.26	39.2	2.0	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M90x300 STEEL HEXAGON	ANSI_B18_2_3_5M_M90x300_STEEL_HEXAGON_BOLT	M90	90.0	6.0	205.0	92.48	88.6	300.0	205.0	130.0	125.5	150.11	143.07	57.74	54.26	39.2	2.0	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M100x130 STEEL HEXAGON	ANSI_B18_2_3_5M_M100x130_STEEL_HEXAGON_BOLT	M100	100.0	6.0	109.0	102.8	98.6	130.0	212.0	145.0	140.0	167.43	159.6	63.9	60.1	43.4	2.5	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M100x140 STEEL HEXAGON	ANSI_B18_2_3_5M_M100x140_STEEL_HEXAGON_BOLT	M100	100.0	6.0	119.0	102.8	98.6	140.0	212.0	145.0	140.0	167.43	159.6	63.9	60.1	43.4	2.5	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M100x150 STEEL HEXAGON	ANSI_B18_2_3_5M_M100x150_STEEL_HEXAGON_BOLT	M100	100.0	6.0	129.0	102.8	98.6	150.0	212.0	145.0	140.0	167.43	159.6	63.9	60.1	43.4	2.5	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M100x160 STEEL HEXAGON	ANSI_B18_2_3_5M_M100x160_STEEL_HEXAGON_BOLT	M100	100.0	6.0	139.0	102.8	98.6	160.0	212.0	145.0	140.0	167.43	159.6	63.9	60.1	43.4	2.5	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M100x180 STEEL HEXAGON	ANSI_B18_2_3_5M_M100x180_STEEL_HEXAGON_BOLT	M100	100.0	6.0	159.0	102.8	98.6	180.0	212.0	145.0	140.0	167.43	159.6	63.9	60.1	43.4	2.5	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M100x200 STEEL HEXAGON	ANSI_B18_2_3_5M_M100x200_STEEL_HEXAGON_BOLT	M100	100.0	6.0	179.0	102.8	98.6	200.0	212.0	145.0	140.0	167.43	159.6	63.9	60.1	43.4	2.5	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M100x220 STEEL HEXAGON	ANSI_B18_2_3_5M_M100x220_STEEL_HEXAGON_BOLT	M100	100.0	6.0	199.0	102.8	98.6	220.0	225.0	145.0	140.0	167.43	159.6	63.9	60.1	43.4	2.5	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M100x240 STEEL HEXAGON	ANSI_B18_2_3_5M_M100x240_STEEL_HEXAGON_BOLT	M100	100.0	6.0	219.0	102.8	98.6	240.0	225.0	145.0	140.0	167.43	159.6	63.9	60.1	43.4	2.5	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M100x260 STEEL HEXAGON	ANSI_B18_2_3_5M_M100x260_STEEL_HEXAGON_BOLT	M100	100.0	6.0	225.0	102.8	98.6	260.0	225.0	145.0	140.0	167.43	159.6	63.9	60.1	43.4	2.5	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M100x280 STEEL HEXAGON	ANSI_B18_2_3_5M_M100x280_STEEL_HEXAGON_BOLT	M100	100.0	6.0	225.0	102.8	98.6	280.0	225.0	145.0	140.0	167.43	159.6	63.9	60.1	43.4	2.5	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M100x300 STEEL HEXAGON	ANSI_B18_2_3_5M_M100x300_STEEL_HEXAGON_BOLT	M100	100.0	6.0	225.0	102.8	98.6	300.0	225.0	145.0	140.0	167.43	159.6	63.9	60.1	43.4	2.5	St	ANSI B18.2.3.5M	1979
